USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
179,Antlia,α Ant,α,Alpha,,,,90610,51172,10h 27m 09.16s,-31° 04′ 04.1″,4.28,−0.97,366,K4III,"suspected variable, Vmax = 4.22m, Vmin = 4.29m",156.788,-30.932,Antilae,Alpha Antilae
180,Antlia,ε Ant,ε,Epsilon,,,,82150,46515,09h 29m 14.74s,-35° 57′ 04.9″,4.51,−2.15,700,K3III,"variable star, ΔV = 0.003m, P = 0.09026 d",142.308,-34.049,Antilae,Epsilon Antilae
181,Antlia,ι Ant,ι,Iota,,,,94890,53502,10h 56m 43.00s,-37° 08′ 14.9″,4.6,0.67,199,K0III,,164.179,-36.863,Antilae,Iota Antilae
182,Antlia,θ Ant,θ,Theta,,,,84367,47758,09h 44m 12.13s,-27° 46′ 10.4″,4.78,−0.58,384,A7V+...,binary star,146.050,-26.231,Antilae,Theta Antilae
183,Antlia,η Ant,η,Eta,,,,86629,48926,09h 58m 52.34s,-35° 53′ 27.4″,5.23,2.66,106,A8IV,double star,149.717,-34.109,Antilae,Eta Antilae
184,Antlia,HD 90132,,HD 90132,,,,90132,50888,10h 23m 29.41s,-38° 00′ 35.0″,5.34,2.3,132,A8V,suspected variable,155.871,-37.990,Antilae,HD 90132 Antilae
185,Antlia,HD 96146,,HD 96146,,,,96146,54173,11h 04m 54.21s,-35° 48′ 16.9″,5.43,−0.63,530,A0V,,166.225,-34.196,Antilae,HD 96146 Antilae
186,Antlia,HD 82205,,HD 82205,,,,82205,46578,09h 29m 54.52s,-26° 35′ 22.6″,5.49,−1.36,763,K2IIICNII,double star,142.475,-25.411,Antilae,HD 82205 Antilae
187,Antlia,U Ant,,U,,,U,91793,51821,10h 35m 12.88s,-39° 33′ 45.3″,5.5,−1.54,836,"C6,3(N0)","slow irregular variable, Vmax = 5.27m, Vmin = 6.04m",158.800,-38.438,Antilae,U Antilae
188,Antlia,HR 4049,,AG,,,AG,89353,50456,10h 18m 07.60s,-28° 59′ 31.3″,5.52,−3.60,2173,B9.5Ib/II,"protoplanetary nebula, Vmax = 5.29m, Vmin = 5.83m, P = 429 d",154.529,-27.008,Antilae,AG Antilae
