USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
485,Aquila,Altair,α,Alpha,53,86,,187642,97649,19h 50m 46.68s,+08° 52′ 02.6″,0.76,2.2,17,A7IV-V,"Atair, Al Nesr Al Tair, Vulture Volans;[1] 12th brightest star; nearby; has two optical components; δ Sct variable, ΔV = 0.004m, P = 0.06342 d",297.692,8.867,Aquilae,Alpha Aquilae
486,Aquila,γ Aql,γ,Gamma,50,,,186791,97278,19h 46m 15.57s,+10° 36′ 47.8″,2.72,−3.03,460,K3II,"Tarazed, Tarazad, Reda, Menkib al Nesr, Humerus Vulturis;[1] double star; suspected variable",296.563,10.613,Aquilae,Gamma Aquilae
487,Aquila,ζ Aql,ζ,Zeta,17,,,177724,93747,19h 05m 24.61s,+13° 51′ 49.4″,2.99,0.96,83,A0Vn,"Okab, Deneb el Okab, Denebokab Australis, Woo, Yuë (吳越), Dzeneb al Tair, Cauda (Vulturis) Volantis;[1] triple star",286.350,13.864,Aquilae,Zeta Aquilae
488,Aquila,θ Aql,θ,Theta,65,117,,191692,99473,20h 11m 18.26s,-00° 49′ 17.3″,3.24,−1.48,287,B9.5III,"Tseen Foo, Al Mizan III, Thanih Ras al Akab, Secunda Capitis Vulturis;[1] spectroscopic binary; suspected variable",302.825,0.821,Aquilae,Theta Aquilae
489,Aquila,δ Aql,δ,Delta,30,46,,182640,95501,19h 25m 29.75s,+03° 06′ 52.5″,3.36,2.43,50,F0IV,"Denebokab, Al Mizan I, Song, Sung, Djenubi Menkib al Nesr, Australior Humerus Vulturis;[1] binary star; suspected variable",291.371,3.114,Aquilae,Delta Aquilae
490,Aquila,λ Aql,λ,Lambda,16,19,,177756,93805,19h 06m 14.95s,-04° 52′ 56.4″,3.43,0.51,125,B9Vn,Al Thalimain,286.558,-3.118,Aquilae,Lambda Aquilae
491,Aquila,β Aql,β,Beta,60,98,,188512,98036,19h 55m 18.77s,+06° 24′ 28.6″,3.71,3.03,45,G8IVvar,"Alshain, Alschain, Alschairn, Unuk al Ghyrab, Collum Corvi;[1] binary star; suspected variable; triple star; suspected variable",298.825,6.408,Aquilae,Beta Aquilae
492,Aquila,η Aql,η,Eta,55,89,,187929,97804,19h 52m 28.36s,+01° 00′ 20.4″,3.87,−3.91,1173,F6Ib-G4Ib,"Al Mizan II; Cepheid variable, Vmax = 3.48m, Vmin = 4.39m, P = 7.17664 d",298.117,1.006,Aquilae,Eta Aquilae
493,Aquila,ε Aql,ε,Epsilon,13,,,176411,93244,18h 59m 37.39s,+15° 04′ 06.5″,4.02,0.65,154,K2III,"Deneb el Okab, Denebokab Borealis, Woo, Yuë (吳越); triple star",284.904,15.068,Aquilae,Epsilon Aquilae
494,Aquila,12 Aql,i,I,12,9,,176678,93429,19h 01m 40.84s,-05° 44′ 20.5″,4.02,0.73,149,K1IIIvar,suspected variable,285.417,-4.261,Aquilae,I Aquilae
