USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
738,Aries,α Ari,α,Alpha,13,,,12929,9884,02h 07m 10.29s,+23° 27′ 46.0″,2.01,0.48,66,K2III,"Hamal, Hemal, Hamul, Ras Hammel, El Nath; suspected variable, Vmax = 1.98m, Vmin = 2.04m; has a planet (b)",31.792,23.463,Arietis,Alpha Arietis
739,Aries,β Ari,β,Beta,6,,,11636,8903,01h 54m 38.35s,+20° 48′ 29.9″,2.64,1.33,60,A5V...,"Sheratan, Sharatan, Al Sharatain; suspected variable, Vmax = 2.56m, Vmin = 2.70m",28.658,20.808,Arietis,Beta Arietis
740,Aries,41 Ari,c,C,41,,,17573,13209,02h 49m 58.99s,+27° 15′ 38.8″,3.61,0.16,159,B8Vn,"Bharani; suspected variable, Vmax = 3.60m, Vmin = 3.64m",42.492,27.261,Arietis,C Arietis
741,Aries,δ Ari,δ,Delta,57,,,19787,14838,03h 11m 37.67s,+19° 43′ 36.1″,4.35,0.79,168,K2IIIvar,"Botein, Nir al Botain, Lucida Ventris,[1] part of Al Buṭain;[2][3] suspected variable, Vmax = 4.33m, Vmin = 4.37m",47.904,19.727,Arietis,Delta Arietis
742,Aries,HD 20644,,HD 20644,,,,20644,15549,03h 20m 20.37s,+29° 02′ 54.6″,4.47,−2.00,640,K2II-III,,50.083,29.048,Arietis,HD 20644 Arietis
743,Aries,39 Ari,,39,39,,,17361,13061,02h 47m 54.44s,+29° 14′ 50.7″,4.52,0.8,181,K1III,Lilii Borea,41.975,29.247,Arietis,39 Arietis
744,Aries,γ2 Ari,γ2,Gamma 2,5,,,11503,,01h 53m 31.80s,+19° 17′ 45.0″,4.62,1.11,164,kA0hA3(IV)SiSr,"Mesarthim, Mesartim; binary star; α2 CVn variable, ΔV = 0.04m, P = 1.6092 d",28.379,19.296,Arietis,Gamma 2 Arietis
745,Aries,35 Ari,,35,35,,,16908,12719,02h 43m 27.11s,+27° 42′ 25.8″,4.65,−0.62,370,B3V,,40.863,27.707,Arietis,35 Arietis
746,Aries,γ1 Ari,γ1,Gamma 1,5,,,11502,8832,01h 53m 31.77s,+19° 17′ 38.7″,4.7,1.19,164,B9.5IV,component of the γ Ari system,28.379,19.294,Arietis,Gamma 1 Arietis
747,Aries,λ Ari,λ,Lambda,9,,,11973,9153,01h 57m 55.78s,+23° 35′ 45.9″,4.79,1.73,133,F0V,binary star,29.479,23.596,Arietis,Lambda Arietis
