USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
857,Auriga,Capella,α,Alpha,13,,,34029,24608,05h 16m 41.30s,+45° 59′ 56.5″,0.08,−0.48,42,G8III / G0III,"Alhajoth, Alhaior, Althaiot, Alhaiset, Alhatod, Alhojet, Alanac, Alanat, Alioc; quadruple star, spectroscopic binary; 11th and 14th brightest stars",79.171,45.999,Aurigae,Alpha Aurigae
858,Auriga,β Aur,β,Beta,34,,,40183,28360,05h 59m 31.77s,+44° 56′ 50.8″,1.9,−0.10,82,A2V,"Menkalinan, Menkalina; eclipsing spectroscopic binary; Algol variable, Vmax = 1.89m, Vmin = 1.98m, P = 3.96004 d",89.879,44.947,Aurigae,Beta Aurigae
859,Auriga,θ Aur,θ,Theta,37,,,40312,28380,05h 59m 43.24s,+37° 12′ 46.0″,2.62,−0.98,173,A0p Si,"Mahasim, Maha-Sim, Manus; α² CVn variable, Vmax = 2.62m, Vmin = 2.70m, P = 3.6186 d",89.929,37.213,Aurigae,Theta Aurigae
860,Auriga,ι Aur,ι,Iota,3,,,31398,23015,04h 56m 59.62s,+33° 09′ 58.1″,2.69,−3.29,512,K3IIvar,"Kabdhilinan, Hassaleh",74.246,33.166,Aurigae,Iota Aurigae
861,Auriga,ε Aur,ε,Epsilon,7,,,31964,23416,05h 01m 58.13s,+43° 49′ 23.9″,3.03,−5.95,2037,F0Ia,"Almaaz, Maaz, Al Maz, Al Anz; long period eclipsing binary; Algol variable, Vmax = 2.92m, Vmin = 3.88m, P = 9884 d",75.492,43.823,Aurigae,Epsilon Aurigae
862,Auriga,η Aur,η,Eta,10,,,32630,23767,05h 06m 30.87s,+41° 14′ 04.7″,3.18,−0.96,219,B3V,"Haedus II, Hoedus II, Haedus, Maha-Sim",76.625,41.234,Aurigae,Eta Aurigae
863,Auriga,ζ Aur,ζ,Zeta,8,,,32068,23453,05h 02m 28.68s,+41° 04′ 33.2″,3.69,−3.22,787,K4II comp,"Sadatoni, Saclateni, Haedus I, Hoedus I; eclipsing binary; Algol variable, ΔV = 0.27m, P = 972.151 d",75.617,41.076,Aurigae,Zeta Aurigae
864,Auriga,δ Aur,δ,Delta,33,,,40035,28358,05h 59m 31.55s,+54° 17′ 05.9″,3.72,0.55,140,K0III,"Prajapati, Praja",89.879,54.285,Aurigae,Delta Aurigae
865,Auriga,ν Aur,ν,Nu,32,,,39003,27673,05h 51m 29.39s,+39° 08′ 54.5″,3.97,−0.13,215,K0III,,87.871,39.148,Aurigae,Nu Aurigae
866,Auriga,π Aur,π,Pi,35,,,40239,28404,05h 59m 56.10s,+45° 56′ 12.3″,4.3,−2.76,840,M3IIvar,,89.983,45.937,Aurigae,Pi Aurigae
