USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1037,Boötes,Arcturus,α,Alpha,16,,,124897,69673,14h 15m 40.35s,+19° 11′ 14.2″,−0.05,−0.31,37,K2IIIp,"Alramech, Al Simak Al Ramih, Al Simak Lanceator;[1] 3rd brightest star, variable",213.917,19.187,Boötes,Alpha Boötes
1038,Boötes,ε Boo,ε,Epsilon,36,,,129988,72105,14h 44m 59.25s,+27° 04′ 27.0″,2.35,−1.69,210,A0,"Izar, Mirak, Pulcherrima, Mintek al Aoua, Cingulum Latratoris;[1] binary star",221.246,27.074,Boötes,Epsilon Boötes
1039,Boötes,η Boo,η,Eta,8,,,121370,67927,13h 54m 41.12s,+18° 23′ 54.9″,2.68,2.41,37,G0IV,"Muphrid, Ramih al Ramih, Lancea Lanceator[1]",208.671,18.398,Boötes,Eta Boötes
1040,Boötes,ε Boo,ε,Epsilon,36,,,129989,,14h 44m 59.20s,+27° 04′ 27.0″,2.7,,203,,component of the ε Boo system,221.246,27.074,Boötes,Epsilon Boötes
1041,Boötes,γ Boo,γ,Gamma,27,,,127762,71075,14h 32m 04.76s,+38° 18′ 28.4″,3.04,0.96,85,A7IIIvar,"Seginus, Menkib al Aoua al Aisr, Humerus Sinister Latratoris;[1] δ Sct variable, Vmax = 3.02m, Vmin = 3.07m, P = 0.290314 d",218.017,38.308,Boötes,Gamma Boötes
1042,Boötes,δ Boo,δ,Delta,49,,,135722,74666,15h 15m 30.10s,+33° 18′ 54.4″,3.46,0.69,117,G8III,Princeps.[2],228.875,33.315,Boötes,Delta Boötes
1043,Boötes,β Boo,β,Beta,42,,,133208,73555,15h 01m 56.79s,+40° 23′ 26.3″,3.49,−0.64,219,G8III,"Nekkar, Meres",225.483,40.391,Boötes,Beta Boötes
1044,Boötes,ρ Boo,ρ,Rho,25,,,127665,71053,14h 31m 49.86s,+30° 22′ 16.1″,3.57,0.27,149,K3III,,217.954,30.371,Boötes,Rho Boötes
1045,Boötes,ζ Boo,ζ,Zeta,30,,,129246,71795,14h 41m 08.92s,+13° 43′ 42.0″,3.78,0.06,180,A3IVn,double star,220.283,13.728,Boötes,Zeta Boötes
1046,Boötes,θ Boo,θ,Theta,23,,,126660,70497,14h 25m 12.02s,+51° 51′ 06.2″,4.04,3.22,48,F7V,Asellus Primus[3],216.300,51.852,Boötes,Theta Boötes
1047,Boötes,υ Boo,υ,Upsilon,5,,,120477,67459,13h 49m 28.70s,+15° 47′ 52.1″,4.05,−0.33,245,K5IIIvar,,207.367,15.798,Boötes,Upsilon Boötes
1048,Boötes,λ Boo,λ,Lambda,19,,,125162,69732,14h 16m 23.18s,+46° 05′ 16.5″,4.18,1.81,97,A0sh,Xuángē (玄戈)[4],214.096,46.088,Boötes,Lambda Boötes
1049,Boötes,μ1 Boo,μ1,Mu 1,51,,,137391,75411,15h 24m 29.54s,+37° 22′ 37.1″,4.31,1.46,121,F0V,Alkalurops; double star,231.121,37.377,Boötes,Mu 1 Boötes
1050,Boötes,ζ Boo,ζ,Zeta,30,,,129247,,14h 41m 08.90s,+13° 43′ 42.0″,4.43,,180,,,220.283,13.728,Boötes,Zeta Boötes
1051,Boötes,σ Boo,σ,Sigma,28,,,128167,71284,14h 34m 40.69s,+29° 44′ 41.3″,4.47,3.52,50,F3Vwvar,,218.667,29.745,Boötes,Sigma Boötes
