USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1202,Caelum,α Cae,α,Alpha,,,,29875,21770,04h 40m 33.82s,-41° 51′ 48.9″,4.44,2.92,66,F2IV,"binary star; suspected δ Sct variable, Vmax = 4.44m, Vmin = 4.47m",70.138,-40.137,Caeli,Alpha Caeli
1203,Caelum,γ1 Cae,γ1,Gamma 1,,,,32831,23595,05h 04m 24.31s,-35° 28′ 58.3″,4.55,0.78,185,K2III,binary star,76.100,-34.517,Caeli,Gamma 1 Caeli
1204,Caelum,β Cae,β,Beta,,,,29992,21861,04h 42m 03.45s,-37° 08′ 41.2″,5.04,2.83,90,F3V,,70.513,-36.855,Caeli,Beta Caeli
1205,Caelum,δ Cae,δ,Delta,,,,28873,21060,04h 30m 50.10s,-44° 57′ 13.5″,5.07,−1.62,710,B2IV-V,Suspected variable star,67.708,-43.046,Caeli,Delta Caeli
1206,Caelum,HD 30080,,HD 30080,,,,30080,21958,04h 43m 09.31s,-30° 45′ 55.4″,5.66,−1.14,748,K3III,,70.788,-29.235,Caeli,HD 30080 Caeli
1207,Caelum,HD 31093,,HD 31093,,,,31093,22573,04h 51m 28.20s,-34° 54′ 22.4″,5.82,1.1,286,A2/A3V,binary star,72.867,-33.094,Caeli,HD 31093 Caeli
1208,Caelum,HD 32515,,HD 32515,,,,32515,23446,05h 02m 22.81s,-31° 46′ 17.5″,5.92,0.9,329,K2III,,75.592,-30.229,Caeli,HD 32515 Caeli
1209,Caelum,HD 32453,,HD 32453,,,,32453,23377,05h 01m 34.53s,-39° 43′ 05.3″,6.02,0.77,366,G8III,,75.392,-38.282,Caeli,HD 32453 Caeli
1210,Caelum,HD 30432,,HD 30432,,,,30432,22144,04h 45m 55.50s,-39° 21′ 23.7″,6.04,1.12,315,K1III,,71.479,-38.644,Caeli,HD 30432 Caeli
1211,Caelum,ν Cae,ν,Nu,,,,30985,22488,04h 50m 16.18s,-41° 19′ 15.6″,6.06,2.47,171,F1III-IV,double star,72.567,-40.679,Caeli,Nu Caeli
1212,Caelum,HD 28454,,HD 28454,,,,28454,20781,04h 27m 05.92s,-46° 56′ 48.6″,6.1,3.54,106,F8V,,66.771,-45.053,Caeli,HD 28454 Caeli
1213,Caelum,HD 31529,,HD 31529,,,,31529,22847,04h 54m 54.82s,-39° 37′ 43.2″,6.11,−1.35,1012,K3III,,73.725,-38.371,Caeli,HD 31529 Caeli
1214,Caelum,HD 28700,,HD 28700,,,,28700,20934,04h 29m 20.04s,-46° 30′ 55.3″,6.13,0.73,392,K1III,,67.333,-45.485,Caeli,HD 28700 Caeli
1215,Caelum,λ Cae,λ,Lambda,,,,30202,21998,04h 43m 44.26s,-41° 03′ 53.3″,6.24,−0.27,652,K3/K4III,,70.933,-40.935,Caeli,Lambda Caeli
1216,Caelum,HD 32820,,HD 32820,,,,32820,23555,05h 03m 53.94s,-41° 44′ 43.2″,6.3,3.82,102,F8V,,75.971,-40.255,Caeli,HD 32820 Caeli
1217,Caelum,X Cae,γ2,Gamma 2,,,X,32846,23596,05h 04m 26.14s,-35° 42′ 18.7″,6.32,1.27,334,F2IV/V,"δ Sct variable, Vmax = 6.28m, Vmin = 6.39m, P = 0.270488 d",76.108,-34.295,Caeli,Gamma 2 Caeli
1218,Caelum,ζ Cae,ζ,Zeta,,,,30608,22280,04h 47m 49.56s,-30° 01′ 14.2″,6.35,0.36,513,K0III,,71.954,-29.979,Caeli,Zeta Caeli
1219,Caelum,HD 28246,,HD 28246,,,,28246,20630,04h 25m 19.10s,-44° 09′ 39.8″,6.38,3.54,121,F6V,suspected variable star,66.329,-43.839,Caeli,HD 28246 Caeli
1220,Caelum,HD 29559,,HD 29559,,,,29559,21525,04h 37m 19.25s,-41° 52′ 23.0″,6.4,1.2,358,A3Vs...,,69.329,-40.127,Caeli,HD 29559 Caeli
1221,Caelum,RV Cae,,RV,,,RV,28552,20856,04h 28m 09.48s,-41° 57′ 35.4″,6.41,−1.18,1072,M1III,"Semiregular variable, Vmax = 6.44m, Vmin = 6.56m",67.038,-40.040,Caeli,RV Caeli
1222,Caelum,WASP-159,,W-159,,,,,,04h 32m 33.00s,-38° 58′ 06.00″,12.8,,,F9,has a transiting planet (b),68.138,-37.032,Caeli,W-159 Caeli
1223,Caelum,RR Cae,,RR,,,RR,,,04h 21m 06.00s,-48° 39′ 07.00″,14.4,,,DAZ8+dM,Algol variable; has a planet (b),65.275,-47.348,Caeli,RR Caeli
