USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1224,Camelopardalis,β Cam,β,Beta,10,,,31910,23522,05h 03m 25.10s,+60° 26′ 32.2″,4.03,−3.40,997,G0Ib,,75.854,60.442,Camelopardalis,Beta Camelopardalis
1225,Camelopardalis,CS Cam,,CS,,,CS,21291,16228,03h 29m 04.13s,+59° 56′ 25.2″,4.21,−6.39,4289,B9Ia,"α Cyg variable, ΔV = 0.05m",52.267,59.940,Camelopardalis,CS Camelopardalis
1226,Camelopardalis,α Cam,α,Alpha,9,,,30614,22783,04h 54m 03.01s,+66° 20′ 33.6″,4.26,−7.38,6936,O9.5Ia SB:,Shǎowèi (少衛)[1],73.513,66.343,Camelopardalis,Alpha Camelopardalis
1227,Camelopardalis,BE Cam,,BE,,,BE,23475,17884,03h 49m 31.29s,+65° 31′ 33.6″,4.39,−2.97,964,M1III,"irregular variable, Vmax = 4.35m, Vmin = 4.48m",57.379,65.526,Camelopardalis,BE Camelopardalis
1228,Camelopardalis,7 Cam,,7,7,,,31278,23040,04h 57m 17.22s,+53° 45′ 07.5″,4.43,−0.88,376,A1V,,74.321,53.752,Camelopardalis,7 Camelopardalis
1229,Camelopardalis,CE Cam,,CE,,,CE,21389,16281,03h 29m 54.75s,+58° 52′ 43.5″,4.55,−4.85,2470,A0Ia SB:,"α Cyg variable, ΔV = 0.03m",52.475,58.879,Camelopardalis,CE Camelopardalis
1230,Camelopardalis,M Cam,,HD 49878,,,,49878,33694,07h 00m 03.85s,+76° 58′ 38.8″,4.55,0.76,187,K4III,,105.013,76.977,Camelopardalis,HD 49878 Camelopardalis
1231,Camelopardalis,γ Cam,γ,Gamma,,,,23401,17959,03h 50m 21.48s,+71° 19′ 56.5″,4.59,−0.47,335,A2IVn,,57.588,71.332,Camelopardalis,Gamma Camelopardalis
1232,Camelopardalis,Gliese 445,, ,,,,,,11h 47m 00.00s,+78° 41′ 00.00″,,,17.6,,,176.750,78.683,Camelopardalis,  Camelopardalis
1233,Camelopardalis,BK Cam,,BK,,,BK,20336,15520,03h 19m 59.26s,+65° 39′ 08.4″,4.74,−2.21,801,B2.5Vne,"γ Cas variable, ΔV = ~0.11m",49.996,65.652,Camelopardalis,BK Camelopardalis
1234,Camelopardalis,HD 42818,,HD 42818,,,,42818,29997,06h 18m 50.78s,+69° 19′ 12.1″,4.76,1.1,176,A0Vn,,94.708,69.320,Camelopardalis,HD 42818 Camelopardalis
1235,Camelopardalis,PLX 772,,HD 23089,,,,23089,17587,03h 46m 02.33s,+63° 20′ 42.2″,4.78,−2.17,799,A3V...,,56.508,63.345,Camelopardalis,HD 23089 Camelopardalis
1236,Camelopardalis,VZ Cam,,VZ,,,VZ,55966,36547,07h 31m 04.48s,+82° 24′ 41.6″,4.92,−0.89,473,M4IIIa,"semiregular variable, Vmax = 4.80m, Vmin = 4.96m, P = 23.7 d",112.767,82.411,Camelopardalis,VZ Camelopardalis
1237,Camelopardalis,H Cam,,HD 24479,,,,24479,18505,03h 57m 25.44s,+63° 04′ 20.1″,4.95,−0.13,338,B9.5V,,59.354,63.072,Camelopardalis,HD 24479 Camelopardalis
1238,Camelopardalis,HD 24480,,HD 24480,,,,24480,18488,03h 57m 08.29s,+61° 06′ 32.1″,4.99,−3.78,1852,K3I-II,,59.283,61.109,Camelopardalis,HD 24480 Camelopardalis
1239,Camelopardalis,,,HD 25291,,,,25291,19018,04h 04m 27.16s,+59° 09′ 19.8″,5,−3.63,1734,F0II,,61.113,59.155,Camelopardalis,HD 25291 Camelopardalis
1240,Camelopardalis,BD Cam,,BD,,,BD,22649,17296,03h 42m 09.35s,+63° 13′ 00.3″,5.06,−0.95,520,S5.3 SB:,"a symbiotic star; irregular variable, Vmax = 5.04m, Vmin = 5.17m",55.538,63.217,Camelopardalis,BD Camelopardalis
1241,Camelopardalis,3 Cam,,3,3,,,29317,21727,04h 39m 54.69s,+53° 04′ 46.5″,5.07,−0.84,495,K0III SB,,69.975,53.079,Camelopardalis,3 Camelopardalis
1242,Camelopardalis,K Cam,,HD 33564,,,,33564,25110,05h 22m 33.78s,+79° 13′ 50.7″,5.08,3.47,68,F6V,has a planet (b),80.638,79.231,Camelopardalis,HD 33564 Camelopardalis
1243,Camelopardalis,D Cam,,HD 21447,,,,21447,16292,03h 30m 00.23s,+55° 27′ 06.6″,5.09,1.25,191,A1V,,52.500,55.452,Camelopardalis,HD 21447 Camelopardalis
1244,Camelopardalis,43 Cam,,43,43,,,49340,33104,06h 53m 42.24s,+68° 53′ 17.9″,5.11,−2.32,1000,B7III,,103.425,68.888,Camelopardalis,43 Camelopardalis
