USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1390,Cancer,β Cnc,β,Beta,17,,,69267,40526,08h 16m 30.95s,+09° 11′ 08.4″,3.53,−1.22,290,K4III,"Tarf, Al Tarf; variable star, ΔV = 0.005m, P = 6.01 d, has a planet (b)",124.125,9.186,Cancri,Beta Cancri
1391,Cancer,δ Cnc,δ,Delta,47,,,74442,42911,08h 44m 41.11s,+18° 09′ 17.5″,3.94,0.84,136,K0III,Asellus Australis,131.171,18.155,Cancri,Delta Cancri
1392,Cancer,ι Cnc A,ι,Iota,48,,,74739,43103,08h 46m 41.83s,+28° 45′ 36.0″,4.03,−0.77,298,G8Iab:,component of the ι Cnc system,131.671,28.760,Cancri,Iota Cancri
1393,Cancer,α Cnc,α,Alpha,65,,,76756,44066,08h 58m 29.20s,+11° 51′ 28.0″,4.26,0.63,173,A5m,"Acubens, Sertan; suspected variable, Vmax = 4.20m, Vmin = 4.27m",134.621,11.858,Cancri,Alpha Cancri
1394,Cancer,γ Cnc,γ,Gamma,43,,,74198,42806,08h 43m 17.21s,+21° 28′ 06.9″,4.66,1.23,181,A1IV,Asellus Borealis,130.821,21.468,Cancri,Gamma Cancri
1395,Cancer,ζ Cnc,ζ,Zeta,16,,,"68255, 68256, 68257",40167,08h 12m 12.71s,+17° 38′ 53.3″,4.67,2.63,83,F7V+F9V+G0V+?,"Tegmine, quaternary star",123.050,17.648,Cancri,Zeta Cancri
1396,Cancer,HD 71115,,HD 71115,,,,71115,41325,08h 25m 54.79s,+07° 33′ 52.3″,5.13,−0.08,359,G8II,double star,126.475,7.564,Cancri,HD 71115 Cancri
1397,Cancer,8 Cnc,,8,8,,,66664,39567,08h 05m 04.51s,+13° 07′ 06.1″,5.14,1.09,210,A1V,,121.267,13.118,Cancri,8 Cancri
1398,Cancer,χ Cnc,χ,Chi,18,,,69897,40843,08h 20m 03.87s,+27° 13′ 07.0″,5.14,3.84,59,F6V,suspected variable,125.013,27.219,Cancri,Chi Cancri
1399,Cancer,ξ Cnc,ξ,Xi,77,,,78515,44946,09h 09m 21.53s,+22° 02′ 43.6″,5.16,−0.18,380,K0III,Nahn,137.338,22.045,Cancri,Xi Cancri
1400,Cancer,ο1 Cnc,ο1,Omicron 1,62,,,76543,43970,08h 57m 14.91s,+15° 19′ 21.8″,5.22,1.77,160,A5III,α2 CVn variable,134.308,15.323,Cancri,Omicron 1 Cancri
1401,Cancer,ρ2 Cnc,ρ2,Rho 2,58,,,76219,43834,08h 55m 39.69s,+27° 55′ 39.2″,5.23,−1.00,574,G8II-III,,133.913,27.928,Cancri,Rho 2 Cancri
1402,Cancer,σ3 Cnc,σ3,Sigma 3,64,,,76813,44154,08h 59m 32.68s,+32° 25′ 07.1″,5.23,0.27,320,G9III,suspected variable,134.883,32.419,Cancri,Sigma 3 Cancri
1403,Cancer,κ Cnc,κ,Kappa,76,,,78316,44798,09h 07m 44.82s,+10° 40′ 05.6″,5.23,−0.63,484,B8IIImnp,"α2 CVn variable, Vmax = 5.22m, Vmin = 5.27m, P = 5.0035 d",136.933,10.668,Cancri,Kappa Cancri
1404,Cancer,μ2 Cnc,μ2,Mu 2,10,,,67228,39780,08h 07m 45.84s,+21° 34′ 55.1″,5.3,3.46,76,G2IV,,121.938,21.582,Cancri,Mu 2 Cancri
1405,Cancer,θ Cnc,θ,Theta,31,,,72094,41822,08h 31m 35.77s,+18° 05′ 40.4″,5.33,−0.57,494,K5III,suspected variable,127.896,18.094,Cancri,Theta Cancri
1406,Cancer,η Cnc,η,Eta,33,,,72292,41909,08h 32m 42.52s,+20° 26′ 28.6″,5.33,0.43,312,K3III,,128.175,20.441,Cancri,Eta Cancri
1407,Cancer,82 Cnc,π2,Pi 2,82,,,79554,45410,09h 15m 13.88s,+14° 56′ 29.5″,5.36,−1.30,701,K1III,,138.804,14.941,Cancri,Pi 2 Cancri
1408,Cancer,57 Cnc,,57,57,,,75959,43721,08h 54m 14.70s,+30° 34′ 45.0″,5.4,0.15,365,G7III,,133.558,30.579,Cancri,57 Cancri
1409,Cancer,τ Cnc,τ,Tau,72,,,78235,44818,09h 08m 00.07s,+29° 39′ 15.2″,5.42,0.91,260,G8III,,137.000,29.654,Cancri,Tau Cancri
1410,Cancer,60 Cnc,,60,60,,,76351,43851,08h 55m 55.56s,+11° 37′ 33.8″,5.44,−0.82,582,K5III,,133.979,11.626,Cancri,60 Cancri
1411,Cancer,σ2 Cnc,σ2,Sigma 2,59,,,76398,43932,08h 56m 56.63s,+32° 54′ 38.1″,5.44,1.56,195,A7IV,,134.233,32.911,Cancri,Sigma 2 Cancri
1412,Cancer,ν Cnc,ν,Nu,69,,,77350,44405,09h 02m 44.27s,+24° 27′ 10.6″,5.45,−0.28,457,A0pSi,"α2 CVn variable, Vmax = 5.33m, Vmin = 5.49m, P = 4.20 d",135.683,24.453,Cancri,Nu Cancri
1413,Cancer,27 Cnc,,27,27,,BP,71250,41400,08h 26m 43.95s,+12° 39′ 17.5″,5.56,−1.98,1052,M3III,"semiregular variable, Vmax = 5.41m, Vmin = 5.75m, P = 40 d",126.679,12.655,Cancri,27 Cancri
1414,Cancer,φ1 Cnc,φ1,Phi 1,22,,,71093,41377,08h 26m 27.73s,+27° 53′ 37.9″,5.58,0.15,398,K5III,,126.613,27.894,Cancri,Phi 1 Cancri
1415,Cancer,3 Cnc,,3,3,,,65759,39177,08h 00m 47.31s,+17° 18′ 31.4″,5.6,−1.12,721,K3III,,120.196,17.309,Cancri,3 Cancri
