USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1577,Canes Venatici,Cor Caroli,α2,Alpha 2,12,,,112413,63125,12h 56m 01.84s,+38° 19′ 05.7″,2.89,0.25,114,A0spe...,"prototype α² CVn variable, Vmax = 2.86m, Vmin = 2.93m, P = 5.46939 d; binary star with α1 CVn",194.004,38.318,Cancri,Alpha 2 Cancri
1578,Canes Venatici,β CVn,β,Beta,8,,,109358,61317,12h 33m 45.09s,+41° 21′ 24.4″,4.24,4.63,27,G0V,"Chara, Asterion; solar analog; suspected variable, Vmax = 4.24m, Vmin = 4.29m",188.438,41.357,Canum Venaticorum,Beta Canum Venaticorum
1579,Canes Venatici,24 CVn,,24,24,,,118232,66234,13h 34m 27.37s,+49° 00′ 57.3″,4.68,0.85,190,A5V,"suspected variable, Vmax = 4.60m, Vmin = 4.70m",203.613,49.016,Canum Venaticorum,24 Canum Venaticorum
1580,Canes Venatici,20 CVn,,20,20,,AO,115604,64844,13h 17m 32.64s,+40° 34′ 21.2″,4.72,0,286,F3III,"δ Sct variable, Vmax = 4.7m, Vmin = 4.75m, P = 0.12168 d",199.383,40.573,Canum Venaticorum,20 Canum Venaticorum
1581,Canes Venatici,AW CVn,,AW,,,AW,120933,67665,13h 51m 47.49s,+34° 26′ 39.5″,4.76,−1.58,604,K5III,"semiregular variable, Vmax = 4.72m, Vmin = 4.81m",207.946,34.444,Canum Venaticorum,AW Canum Venaticorum
1582,Canes Venatici,5 CVn,,5,5,,,107950,60485,12h 24m 01.48s,+51° 33′ 44.0″,4.77,−0.64,393,G7III,"Xiāng (相)[1]; suspected eclipsing binary, ΔV = 0.07m",186.004,51.562,Canum Venaticorum,5 Canum Venaticorum
1583,Canes Venatici,25 CVn,,25,25,,,118623,66458,13h 37m 27.70s,+36° 17′ 41.4″,4.82,0.97,192,A7III,binary star,204.363,36.295,Canum Venaticorum,25 Canum Venaticorum
1584,Canes Venatici,HR 5110,,BH,,,BH,118216,66257,13h 34m 47.75s,+37° 10′ 56.8″,4.91,1.67,145,F2IV SB,"RS CVn variable, ΔV = 0.07m, P = 2.61317 d",203.696,37.182,Canum Venaticorum,BH Canum Venaticorum
1585,Canes Venatici,HD 115004,,HD 115004,,,,115004,64540,13h 13m 42.98s,+40° 09′ 10.3″,4.94,−1.08,522,K0III,,198.425,40.153,Canum Venaticorum,HD 115004 Canum Venaticorum
1586,Canes Venatici,6 CVn,,6,6,,,108225,60646,12h 25m 51.00s,+39° 01′ 07.3″,5.01,0.79,227,G8III-IV,"variable star, ΔV = 0.006m, P = 157.23270 d",186.463,39.019,Canum Venaticorum,6 Canum Venaticorum
1587,Canes Venatici,21 CVn,,21,21,,BK,115735,64906,13h 18m 14.54s,+49° 40′ 55.3″,5.13,0.51,275,A0V,"α² CVn variable, ΔV = 0.04m",199.558,49.682,Canum Venaticorum,21 Canum Venaticorum
1588,Canes Venatici,14 CVn,,14,14,,,113797,63901,13h 05m 44.46s,+35° 47′ 55.9″,5.2,0.51,282,B9V,"suspected variable, Vmax = 5.10m, Vmin = 5.29m",196.433,35.799,Canum Venaticorum,14 Canum Venaticorum
1589,Canes Venatici,3 CVn,,3,3,,,107274,60122,12h 19m 48.72s,+48° 59′ 02.9″,5.28,−0.72,517,M0III,suspected variable,184.950,48.984,Canum Venaticorum,3 Canum Venaticorum
1590,Canes Venatici,HD 109317,,HD 109317,,,,109317,61309,12h 33m 38.90s,+33° 14′ 51.6″,5.42,0.86,266,K0IIICN...,,188.408,33.248,Canum Venaticorum,HD 109317 Canum Venaticorum
1591,Canes Venatici,La Superba,,Y,,,Y,110914,62223,12h 45m 07.83s,+45° 26′ 24.8″,5.42,−1.27,710,C7Iab,"semiregular variable, Vmax = 4.86m, Vmin = 5.88m, P = 267.8 d",191.279,45.440,Canum Venaticorum,Y Canum Venaticorum
1592,Canes Venatici,HD 120164,,HD 120164,,,,120164,67250,13h 46m 59.87s,+38° 32′ 33.9″,5.51,0.67,304,K0III+...,,206.746,38.543,Canum Venaticorum,HD 120164 Canum Venaticorum
1593,Canes Venatici,23 CVn,,23,23,,,116010,65072,13h 20m 19.00s,+40° 09′ 02.0″,5.6,−0.91,655,K1III,,200.079,40.151,Canum Venaticorum,23 Canum Venaticorum
1594,Canes Venatici,α1 CVn,α1,Alpha 1,12,,,112412,63121,12h 56m 00.60s,+38° 18′ 52.9″,5.61,2.78,120.2,F0V,component of the Cor Caroli system,194.000,38.314,Canum Venaticorum,Alpha 1 Canum Venaticorum
1595,Canes Venatici,HD 120420,,HD 120420,,,,120420,67384,13h 48m 38.74s,+31° 11′ 24.4″,5.61,0.71,311,K0III,,207.158,31.190,Canum Venaticorum,HD 120420 Canum Venaticorum
