USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1663,Canis Major,"Sirius A, B",α,Alpha,9,,,48915,32349,06h 45m 09.25s,-16° 42′ 47.3″,−1.46,1.42,8.6,A0m...,"Alhabor, Aschere, Canicula, the Dog Star; brightest star, 5th nearest star system; binary; suspected variable, Vmax = -1.46m, Vmin = -1.41m",101.288,-15.287,Canis Majoris,Alpha Canis Majoris
1664,Canis Major,ε CMa,ε,Epsilon,21,,,52089,33579,06h 58m 37.55s,-28° 58′ 19.5″,1.5,−4.10,431,B2II,"Adhara, Aoul al Adzari, Prima Virginum[1] part of Al ʽAdhārā or Al Adzari[2][3]",104.654,-27.028,Canis Majoris,Epsilon Canis Majoris
1665,Canis Major,δ CMa,δ,Delta,25,,,54605,34444,07h 08m 23.49s,-26° 23′ 35.5″,1.83,−6.87,1791,F8Ia,"Wezen, Thalath al Adzari, Tertia Virginum,[1] part of Al ʽAdhārā or Al Adzari;[2][3] variable star, ΔV = 0.004m, P = 24.08478 d",107.096,-25.607,Canis Majoris,Delta Canis Majoris
1666,Canis Major,β CMa,β,Beta,2,,,44743,30324,06h 22m 41.99s,-17° 57′ 21.3″,1.98,−3.95,499,B1II/III,"Mirzam (Murzim); β Cep variable, Vmax = 1.93m, Vmin = 2m, P = 0.25003 d",95.671,-16.044,Canis Majoris,Beta Canis Majoris
1667,Canis Major,η CMa,η,Eta,31,,,58350,35904,07h 24m 05.71s,-29° 18′ 11.2″,2.45,−7.51,3196,B5Ia,"Aludra, part of Al ʽAdhārā or Al Adzari;[2][3] α Cyg variable",111.021,-28.697,Canis Majoris,Eta Canis Majoris
1668,Canis Major,ζ CMa,ζ,Zeta,1,,,44402,30122,06h 20m 18.79s,-30° 03′ 48.2″,3.02,−2.05,336,B2.5V,Furud; spectroscopic binary; suspected variable,95.075,-29.937,Canis Majoris,Zeta Canis Majoris
1669,Canis Major,ο2 CMa,ο2,Omicron 2,24,,,53138,33977,07h 03m 01.47s,-23° 49′ 59.9″,3.02,−6.46,2567,B3Ia,"Thanih al Adzari, Secunda Virginum,[1] part of Al ʽAdhārā or Al Adzari;[2][3] α Cyg variable",105.754,-22.167,Canis Majoris,Omicron 2 Canis Majoris
1670,Canis Major,σ CMa,σ,Sigma,22,,,52877,33856,07h 01m 43.15s,-27° 56′ 05.4″,3.49,−4.37,1216,K4III,"Unurgunite, irregular variable, Vmax = 3.43m, Vmin = 3.51m",105.429,-26.065,Canis Majoris,Sigma Canis Majoris
1671,Canis Major,κ CMa,κ,Kappa,13,,,50013,32759,06h 49m 50.47s,-32° 30′ 30.6″,3.5,−3.42,789,B1.5IVne,"γ Cas variable, Vmax = 3.40m, Vmin = 3.97m",102.458,-31.492,Canis Majoris,Kappa Canis Majoris
1672,Canis Major,ο1 CMa,ο1,Omicron 1,16,,,50877,33152,06h 54m 07.95s,-24° 11′ 03.2″,3.89,−5.02,1976,K3Iab,"irregular variable, Vmax = 3.78m, Vmin = 3.99m",103.529,-23.816,Canis Majoris,Omicron 1 Canis Majoris
1673,Canis Major,ν2 CMa,ν2,Nu 2,7,,,47205,31592,06h 36m 41.00s,-19° 15′ 20.6″,3.95,2.46,65,K1III+...,"Yějī (野雞),[4] has a planet (b); suspected variable, Vmax = 3.87m, Vmin = 3.96m",99.171,-18.744,Canis Majoris,Nu 2 Canis Majoris
1674,Canis Major,ω CMa,ω,Omega,28,,,56139,35037,07h 14m 48.66s,-26° 46′ 21.7″,4.01,−3.25,924,B2IV/Ve,"γ Cas variable, Vmax = 3.54m, Vmin = 4.18m",108.700,-25.228,Canis Majoris,Omega Canis Majoris
1675,Canis Major,θ CMa,θ,Theta,14,,,50778,33160,06h 54m 11.48s,-12° 02′ 18.9″,4.08,−0.36,252,K4III,,103.546,-11.962,Canis Majoris,Theta Canis Majoris
1676,Canis Major,γ CMa,γ,Gamma,23,,,53244,34045,07h 03m 45.49s,-15° 37′ 59.7″,4.12,−1.34,402,B8II,Muliphein; suspected variable,105.938,-14.367,Canis Majoris,Gamma Canis Majoris
1677,Canis Major,ξ1 CMa,ξ1,Xi1,4,,,46328,31125,06h 31m 51.37s,-23° 25′ 06.4″,4.34,−4.65,2050,B1III,"β Cep variable, Vmax = 4.33m, Vmin = 4.36m, P = 0.2095755 d",97.963,-22.582,Canis Majoris,Xi1 Canis Majoris
1678,Canis Major,ι CMa,ι,Iota,20,,,51309,33347,06h 56m 08.23s,-17° 03′ 15.3″,4.36,−5.51,3075,B3Ib/II,"β Cep variable, Vmax = 4.36m, Vmin = 4.4m, P = 0.08 d",104.033,-16.946,Canis Majoris,Iota Canis Majoris
1679,Canis Major,τ CMa,τ,Tau,30,,,57061,35415,07h 18m 42.49s,-24° 57′ 15.8″,4.37,−5.59,3196,O9Ib,member of the NGC 2362 star cluster; β Lyr variable,109.675,-23.046,Canis Majoris,Tau Canis Majoris
1680,Canis Major,ν3 CMa,ν3,Nu 3,8,,,47442,31700,06h 37m 53.43s,-18° 14′ 14.8″,4.42,−1.35,464,K0II/III,,99.471,-17.763,Canis Majoris,Nu 3 Canis Majoris
1681,Canis Major,27 CMa,,27,27,,EW,56014,34981,07h 14m 15.22s,-26° 21′ 09.1″,4.42,−4.00,1575,B3IIIe,"binary, component A spectroscopic binary, component B γ Cas variable, Vmax = 4.42m, Vmin = 4.82m",108.563,-25.648,Canis Majoris,27 Canis Majoris
1682,Canis Major,λ CMa,λ,Lambda,,,,45813,30788,06h 28m 10.22s,-32° 34′ 48.5″,4.47,−1.01,406,B4V,,97.042,-31.420,Canis Majoris,Lambda Canis Majoris
1683,Canis Major,ξ2 CMa,ξ2,Xi2,5,,,46933,31416,06h 35m 03.38s,-22° 57′ 53.4″,4.54,−0.97,412,A0III,,98.763,-21.035,Canis Majoris,Xi2 Canis Majoris
1684,Canis Major,π CMa,π,Pi,19,,,51199,33302,06h 55m 37.40s,-20° 08′ 11.7″,4.66,2.33,95,F2IV/V,"variable star, ΔV = 0.002m, P = 0.09013 d",103.904,-19.864,Canis Majoris,Pi Canis Majoris
1685,Canis Major,HD 56618,,HD 56618,,,,56618,35205,07h 16m 35.00s,-27° 52′ 52.6″,4.66,−1.05,453,M2III,suspected variable,109.146,-26.119,Canis Majoris,HD 56618 Canis Majoris
1686,Canis Major,HD 47667,,HD 47667,,,,47667,31827,06h 39m 16.72s,-14° 08′ 44.7″,4.82,−3.60,1575,K2III,,99.817,-13.854,Canis Majoris,HD 47667 Canis Majoris
1687,Canis Major,15 CMa,,15,15,,EY,50707,33092,06h 53m 32.91s,-20° 13′ 27.3″,4.82,−3.65,1614,B1IV,"β Cep variable, Vmax = 4.79m, Vmin = 4.84m, P = 0.184557 d",103.383,-19.776,Canis Majoris,15 Canis Majoris
1688,Canis Major,HD 56577,,HD 56577,,,,56577,35210,07h 16m 36.84s,-23° 18′ 56.2″,4.83,−6.59,6269,K4III,"Double star; suspected variable, Vmax = 4.78m, Vmin = 4.86m",109.150,-22.684,Canis Majoris,HD 56577 Canis Majoris
1689,Canis Major,UW CMa,,29,29,,UW,57060,35412,07h 18m 40.38s,-24° 33′ 31.3″,4.88,−4.93,2991,O7Ia:fp,"β Lyr variable, Vmax = 4.84m, Vmin = 5.33m, P = 4.393407 d",109.667,-23.441,Canis Majoris,29 Canis Majoris
1690,Canis Major,HD 57821,,HD 57821,,,,57821,35727,07h 22m 13.53s,-19° 00′ 59.7″,4.94,−1.06,517,B5II/III,,110.554,-18.984,Canis Majoris,HD 57821 Canis Majoris
1691,Canis Major,HD 43445,,HD 43445,,,,43445,29735,06h 15m 44.88s,-13° 43′ 06.2″,5,−0.30,375,B9V,,93.933,-12.282,Canis Majoris,HD 43445 Canis Majoris
1692,Canis Major,μ CMa,μ,Mu,18,,,51250,33345,06h 56m 06.65s,-14° 02′ 36.4″,5,−2.22,908,B9.5V,Isis,104.025,-13.957,Canis Majoris,Mu Canis Majoris
1693,Canis Major,HD 43827,,HD 43827,,,,43827,29895,06h 17m 41.73s,-16° 48′ 57.3″,5.15,−1.05,567,K1III,,94.421,-15.184,Canis Majoris,HD 43827 Canis Majoris
1694,Canis Major,HD 46184,,HD 46184,,,,46184,31084,06h 31m 23.02s,-12° 23′ 30.9″,5.16,0.05,343,K1III,,97.846,-11.608,Canis Majoris,HD 46184 Canis Majoris
1695,Canis Major,HD 58343,,FW,,,FW,58343,35951,07h 24m 40.19s,-16° 12′ 05.1″,5.18,−2.13,945,B2Vne,"γ Cas variable, Vmax = 5.m, Vmin = 5.5m",111.167,-15.799,Canis Majoris,FW Canis Majoris
1696,Canis Major,HD 44951,,HD 44951,,,,44951,30457,06h 24m 10.35s,-11° 31′ 48.0″,5.21,−0.34,420,K3III,,96.042,-10.470,Canis Majoris,HD 44951 Canis Majoris
1697,Canis Major,10 CMa,,10,10,,FT,48917,32292,06h 44m 28.47s,-31° 04′ 13.9″,5.23,−4.29,2608,B2V,"γ Cas variable, Vmax = 5.13m, Vmin = 5.44m",101.117,-30.930,Canis Majoris,10 Canis Majoris
1698,Canis Major,HD 47536,,HD 47536,,,,47536,31688,06h 37m 47.54s,-32° 20′ 23.6″,5.25,−0.17,396,K1III,has two planets (b & c),99.446,-31.660,Canis Majoris,HD 47536 Canis Majoris
1699,Canis Major,11 CMa,,11,11,,,49229,32492,06h 46m 51.09s,-14° 25′ 33.6″,5.28,−1.19,642,B8/B9III,,101.713,-13.574,Canis Majoris,11 Canis Majoris
1700,Canis Major,HD 51283,,HD 51283,,,,51283,33316,06h 55m 46.93s,-22° 56′ 29.2″,5.28,−3.82,2159,B2/B3III,suspected variable,103.942,-21.059,Canis Majoris,HD 51283 Canis Majoris
1701,Canis Major,HD 57146,,HD 57146,,,,57146,35427,07h 18m 51.28s,-26° 35′ 09.1″,5.29,−2.80,1353,G2II,suspected variable,109.713,-25.414,Canis Majoris,HD 57146 Canis Majoris
