USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1835,Canis Minor,Procyon,α,Alpha,10,,,61421,37279,07h 39m 18.54s,+05° 13′ 39.0″,0.34,2.65,11,F5IV-V,"Antecanis, Al Shira, Elgomaisa; 7th brightest star, 13th nearest star system; binary; suspected variable, Vmax = 0.34m, Vmin = 0.41m",114.825,5.228,Canis Minoris,Alpha Canis Minoris
1836,Canis Minor,β CMi,β,Beta,3,,,58715,36188,07h 27m 09.07s,+08° 17′ 21.9″,2.89,−0.70,170,B8Vvar,"Gomeisa; γ Cas variable, Vmax = 2.84m, Vmin = 2.92m",111.788,8.289,Canis Minoris,Beta Canis Minoris
1837,Canis Minor,γ CMi,γ,Gamma,4,,,58972,36284,07h 28m 09.83s,+08° 55′ 31.8″,4.33,−1.10,318,K3III SB,"semiregular variable, Vmax = 4.30m, Vmin = 4.34m, P = 55 d",112.038,8.925,Canis Minoris,Gamma Canis Minoris
1838,Canis Minor,HD 66141,(λ)[1],Gamma,(13)[2],,,66141,39311,08h 02m 15.95s,+02° 20′ 03.5″,4.39,−0.13,261,K2III,suspected variable; has a planet (b),120.563,2.334,Canis Minoris,Gamma Canis Minoris
1839,Canis Minor,6 CMi,,6,6,,,59294,36425,07h 29m 47.78s,+12° 00′ 23.8″,4.55,−1.63,560,K2III,"suspected variable, Vmax = 4.48m, Vmin = 4.55m",112.446,12.006,Canis Minoris,6 Canis Minoris
1840,Canis Minor,ε CMi,ε,Epsilon,2,,,58367,36041,07h 25m 38.90s,+09° 16′ 34.0″,4.99,−2.42,988,G8III,,111.408,9.276,Canis Minoris,Epsilon Canis Minoris
1841,Canis Minor,ζ CMi,ζ,Zeta,13,,,63975,38373,07h 51m 42.00s,+01° 46′ 00.8″,5.12,−0.43,420,B8II,,117.925,1.767,Canis Minoris,Zeta Canis Minoris
1842,Canis Minor,η CMi,η,Eta,5,,,58923,36265,07h 28m 02.08s,+06° 56′ 31.5″,5.22,0.06,351,F0III,,112.008,6.942,Canis Minoris,Eta Canis Minoris
1843,Canis Minor,δ1 CMi,δ1,Delta 1,7,,,59881,36641,07h 32m 05.95s,+01° 54′ 52.1″,5.24,−1.67,787,F0III,,113.021,1.914,Canis Minoris,Delta 1 Canis Minoris
1844,Canis Minor,11 CMi,,11,11,,,62832,37921,07h 46m 16.22s,+10° 46′ 05.9″,5.25,0.34,312,A1Vnn,,116.567,10.768,Canis Minoris,11 Canis Minoris
1845,Canis Minor,14 CMi,,14,14,,,65345,38962,07h 58m 20.75s,+02° 13′ 28.3″,5.3,0.75,264,K0III,,119.583,2.224,Canis Minoris,14 Canis Minoris
1846,Canis Minor,HD 55751,,HD 55751,,,,55751,34987,07h 14m 20.07s,+03° 06′ 41.1″,5.36,−1.45,749,K0III,,108.583,3.111,Canis Minoris,HD 55751 Canis Minoris
1847,Canis Minor,1 CMi,,1,1,,,58187,35987,07h 24m 58.19s,+11° 40′ 10.4″,5.37,0.43,317,A5IV,,111.242,11.669,Canis Minoris,1 Canis Minoris
1848,Canis Minor,δ2 CMi,δ2,Delta 2,8,,,60111,36723,07h 33m 11.68s,+03° 17′ 25.0″,5.59,2.44,139,F2V,,113.296,3.290,Canis Minoris,Delta 2 Canis Minoris
1849,Canis Minor,HD 65900,,HD 65900,,,,65900,39213,08h 01m 13.91s,+04° 52′ 47.2″,5.65,0.52,346,A1V,,120.304,4.880,Canis Minoris,HD 65900 Canis Minoris
1850,Canis Minor,HD 55730,,HD 55730,,,,55730,35005,07h 14m 32.65s,+12° 06′ 57.1″,5.71,0.68,331,G6III,,108.633,12.116,Canis Minoris,HD 55730 Canis Minoris
1851,Canis Minor,HD 54079,,HD 54079,,,,54079,34387,07h 07m 49.48s,+07° 28′ 16.7″,5.74,−0.47,568,K0III:,,106.954,7.471,Canis Minoris,HD 54079 Canis Minoris
1852,Canis Minor,HD 56031,,HD 56031,,,,56031,35120,07h 15m 39.42s,+07° 58′ 39.9″,5.78,−0.56,604,M4III,"semiregular variable, ΔV = 0.08m",108.913,7.978,Canis Minoris,HD 56031 Canis Minoris
1853,Canis Minor,δ3 CMi,δ3,Delta 3,9,,,60357,36812,07h 34m 15.89s,+03° 22′ 18.3″,5.83,−0.75,676,A0Vnn,,113.563,3.372,Canis Minoris,Delta 3 Canis Minoris
1854,Canis Minor,HD 64685,,HD 64685,,,,64685,38712,07h 55m 31.44s,+08° 51′ 47.0″,5.86,2.95,124,F2IV,,118.879,8.863,Canis Minoris,HD 64685 Canis Minoris
1855,Canis Minor,HD 60803,,HD 60803,,,,60803,37031,07h 36m 34.77s,+05° 51′ 43.6″,5.89,2.69,142,G0V,binary,114.142,5.862,Canis Minoris,HD 60803 Canis Minoris
1856,Canis Minor,HD 56989,,HD 56989,,,,56989,35476,07h 19m 22.37s,+02° 44′ 26.6″,5.9,−0.11,520,G9III,,109.842,2.741,Canis Minoris,HD 56989 Canis Minoris
1857,Canis Minor,HD 57006,,HD 57006,,,,57006,35509,07h 19m 47.61s,+07° 08′ 35.1″,5.91,2.04,193,F8IV,,109.946,7.143,Canis Minoris,HD 57006 Canis Minoris
1858,Canis Minor,HD 61887,,HD 61887,,,,61887,37478,07h 41m 35.16s,+03° 37′ 29.4″,5.95,0,504,A0V,,115.396,3.625,Canis Minoris,HD 61887 Canis Minoris
1859,Canis Minor,HD 57608,,HD 57608,,,,57608,35712,07h 22m 03.48s,+00° 10′ 37.7″,5.99,−5.08,5344,B8III,,110.513,0.177,Canis Minoris,HD 57608 Canis Minoris
1860,Canis Minor,HD 65066,,HD 65066,,,,65066,38868,07h 57m 15.88s,+08° 38′ 28.6″,6.03,1.25,294,K0III,,119.313,8.641,Canis Minoris,HD 65066 Canis Minoris
1861,Canis Minor,HD 55111,,HD 55111,,,,55111,34768,07h 11m 51.39s,+05° 39′ 17.0″,6.07,−0.83,782,A1V,,107.963,5.655,Canis Minoris,HD 55111 Canis Minoris
1862,Canis Minor,HD 55184,,HD 55184,,,,55184,34789,07h 12m 07.50s,+05° 28′ 27.7″,6.15,−0.67,753,K0III,,108.029,5.474,Canis Minoris,HD 55184 Canis Minoris
1863,Canis Minor,HD 64938,,HD 64938,,,,64938,38794,07h 56m 23.91s,+04° 29′ 08.1″,6.16,−0.91,845,G8III,,119.096,4.486,Canis Minoris,HD 64938 Canis Minoris
1864,Canis Minor,HD 62264,,HD 62264,,,,62264,37614,07h 43m 05.42s,+00° 11′ 21.7″,6.17,0.46,453,K0III,,115.771,0.189,Canis Minoris,HD 62264 Canis Minoris
1865,Canis Minor,HD 63799,,HD 63799,,,,63799,38300,07h 50m 47.36s,+03° 16′ 38.4″,6.17,0.81,384,K1III,,117.696,3.277,Canis Minoris,HD 63799 Canis Minoris
1866,Canis Minor,HD 66011,,HD 66011,,,,66011,39271,08h 01m 50.73s,+08° 54′ 50.2″,6.22,2.34,194,G0IV,,120.458,8.914,Canis Minoris,HD 66011 Canis Minoris
1867,Canis Minor,HD 60275,,HD 60275,,,,60275,36796,07h 34m 04.98s,+10° 34′ 05.2″,6.28,0.73,420,A1V,,113.517,10.568,Canis Minoris,HD 60275 Canis Minoris
