USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1892,Capricornus,δ Cap,δ,Delta,49,,,207098,107556,21h 47m 02.29s,-16° 07′ 35.6″,2.85,2.49,39,A5mF2 (IV),"Deneb Algedi, Scheddi; Algol variable, Vmax = 2.81m, Vmin = 3.05m, P = 1.0227688 d",326.758,-15.874,Capricorni,Delta Capricorni
1893,Capricornus,β1 Cap,β1,Beta 1,9,,,193495,100345,20h 21m 00.65s,-14° 46′ 53.0″,3.05,−2.07,328,A5:n,"Dabih; multiple star system; variable star, ΔV = 0.003m, P = 1.40657 d",305.250,-13.219,Capricorni,Beta 1 Capricorni
1894,Capricornus,α2 Cap,α2,Alpha 2,6,,,192947,100064,20h 18m 03.22s,-12° 32′ 41.5″,3.58,0.97,109,G6/G8III,"Algedi Secunda, Secunda Giedi; suspected variable",304.513,-11.455,Capricorni,Alpha 2 Capricorni
1895,Capricornus,γ Cap,γ,Gamma,40,,,206088,106985,21h 40m 05.34s,-16° 39′ 44.1″,3.69,0.54,139,A7III:mp...,Nashira; α 2 CVn variable,325.021,-15.338,Capricorni,Gamma Capricorni
1896,Capricornus,ζ Cap,ζ,Zeta,34,,,204075,105881,21h 26m 40.03s,-22° 24′ 41.0″,3.77,−1.66,398,G4Ibp...,"Yan (燕), Yen;[1] suspected eclipsing binary",321.667,-21.589,Capricorni,Zeta Capricorni
1897,Capricornus,θ Cap,θ,Theta,23,,,200761,104139,21h 05m 56.78s,-17° 13′ 57.8″,4.08,0.65,158,A1V,"Qin (秦), Tsin,[1] Dorsum",316.483,-16.768,Capricorni,Theta Capricorni
1898,Capricornus,ω Cap,ω,Omega,18,,,198542,102978,20h 51m 49.30s,-26° 55′ 08.9″,4.12,−2.30,628,K4III,suspected variable,312.954,-25.081,Capricorni,Omega Capricorni
1899,Capricornus,ψ Cap,ψ,Psi,16,,,197692,102485,20h 46m 05.77s,-25° 16′ 13.9″,4.13,3.3,48,F5V,"Yue;[1] rotating variable, Vmax = 4.13m, Vmin = 4.14m, P = 4.932 d",311.521,-24.730,Capricorni,Psi Capricorni
1900,Capricornus,ι Cap,ι,Iota,32,,,203387,105515,21h 22m 14.78s,-16° 50′ 04.4″,4.27,0.18,215,G8III,"Dai (代), Tae;[1] BY Dra variable, ΔV = 0.06m",320.558,-15.166,Capricorni,Iota Capricorni
1901,Capricornus,α1 Cap,α1,Alpha 1,5,,,192876,100027,20h 17m 38.86s,-12° 30′ 29.6″,4.3,−2.32,686,G3Ib,"Algedi Prima, Prima Giedi; suspected variable",304.408,-11.492,Capricorni,Alpha 1 Capricorni
1902,Capricornus,24 Cap,A,A,24,,,200914,104234,21h 07m 07.69s,-25° 00′ 20.7″,4.49,−1.53,522,K5/M0III,,316.779,-24.994,Capricorni,A Capricorni
1903,Capricornus,36 Cap,b,B,36,,,204381,106039,21h 28m 43.32s,-21° 48′ 25.8″,4.5,0.8,179,K0III,"Jin (晉)[2], Tsin[1]",322.179,-20.193,Capricorni,B Capricorni
1904,Capricornus,ε Cap,ε,Epsilon,39,,,205637,106723,21h 37m 04.82s,-19° 27′ 57.6″,4.51,−2.03,"1,060",B2.5Vpe,"Castra, Kastra; binary star system; γ Cas variable, Vmax = 4.48m, Vmin = 4.72m",324.267,-18.534,Capricorni,Epsilon Capricorni
1905,Capricornus,κ Cap,κ,Kappa,43,,,206453,107188,21h 42m 39.42s,-18° 51′ 58.7″,4.72,−0.03,291,G8III,,325.663,-17.134,Capricorni,Kappa Capricorni
1906,Capricornus,ν Cap,ν,Nu,8,,,193432,100310,20h 20m 39.81s,-12° 45′ 32.6″,4.77,0.16,272,B9IV,Alshat,305.163,-11.241,Capricorni,Nu Capricorni
1907,Capricornus,ρ Cap,ρ,Rho,11,,,194943,101027,20h 28m 51.62s,-17° 48′ 49.2″,4.77,2.37,99,F3V,Bos,307.213,-16.186,Capricorni,Rho Capricorni
1908,Capricornus,η Cap,η,Eta,22,,,200499,104019,21h 04m 24.32s,-19° 51′ 17.8″,4.82,1.39,158,A5V,"Armus, Zhou (周), Chow[1]",316.100,-18.145,Capricorni,Eta Capricorni
1909,Capricornus,μ Cap,μ,Mu,51,,,207958,108036,21h 53m 17.58s,-13° 33′ 06.5″,5.07,2.87,90,F3IV,"Kuh;[1] suspected variable, ΔV = 0.03m",328.321,-12.448,Capricorni,Mu Capricorni
1910,Capricornus,π Cap,π,Pi,10,,,194636,100881,20h 27m 19.20s,-18° 12′ 42.1″,5.08,−1.47,665,B4V,Okul,306.829,-17.788,Capricorni,Pi Capricorni
1911,Capricornus,46 Cap,c,C,46,,,206834,107382,21h 45m 00.25s,-09° 04′ 56.7″,5.1,−1.85,799,G8II-III,part of Saʽd al Suʽud[3][4],326.250,-8.918,Capricorni,C Capricorni
1912,Capricornus,υ Cap,υ,Upsilon,15,,,196777,101984,20h 40m 02.96s,-18° 08′ 19.0″,5.15,−1.67,755,M1III,suspected variable,310.008,-17.861,Capricorni,Upsilon Capricorni
1913,Capricornus,42 Cap,,42,42,,BY,206301,107095,21h 41m 32.93s,-14° 02′ 48.7″,5.16,2.6,106,G2V,"RS CVn variable, Vmax = 5.13m, Vmin = 5.18m",325.383,-13.953,Capricorni,42 Capricorni
1914,Capricornus,φ Cap,φ,Phi,28,,,202320,104963,21h 15m 37.89s,-20° 39′ 06.1″,5.17,−1.46,691,K0II/III,,318.904,-19.348,Capricorni,Phi Capricorni
1915,Capricornus,τ2 Cap,τ2,Tau 2,14,,,196662,101923,20h 39m 16.32s,-14° 57′ 17.0″,5.24,−3.41,1753,B7III,,309.817,-13.045,Capricorni,Tau 2 Capricorni
1916,Capricornus,41 Cap,,41,41,,,206356,107128,21h 42m 00.64s,-23° 15′ 45.5″,5.24,0.84,247,K0III,,325.500,-22.738,Capricorni,41 Capricorni
1917,Capricornus,σ Cap,σ,Sigma,7,,,193150,100195,20h 19m 23.60s,-19° 07′ 06.6″,5.28,−1.37,697,K2III,,304.846,-18.882,Capricorni,Sigma Capricorni
1918,Capricornus,χ Cap,χ,Chi,25,,,201184,104365,21h 08m 33.61s,-21° 11′ 36.7″,5.3,1.46,191,A0V,,317.138,-20.807,Capricorni,Chi Capricorni
1919,Capricornus,29 Cap,,29,29,,,202369,104974,21h 15m 44.83s,-15° 10′ 17.4″,5.31,−1.11,628,M2III,semiregular variable,318.933,-14.829,Capricorni,29 Capricorni
1920,Capricornus,33 Cap,,33,33,,,203638,105665,21h 24m 09.60s,-20° 51′ 05.6″,5.38,1.16,228,K0III,"suspected variable, Vmax = 5.35m, Vmin = 5.77m",321.038,-19.149,Capricorni,33 Capricorni
1921,Capricornus,30 Cap,,30,30,,,202671,105143,21h 17m 57.28s,-17° 59′ 06.5″,5.4,−0.85,579,B5II/III,α2 CVn variable,319.488,-16.015,Capricorni,30 Capricorni
1922,Capricornus,λ Cap,λ,Lambda,48,,,207052,107517,21h 46m 32.08s,-11° 21′ 57.4″,5.57,0.8,294,A1V,,326.633,-10.634,Capricorni,Lambda Capricorni
1923,Capricornus,HD 203475,,HD 203475,,,,203475,105576,21h 23m 00.47s,-22° 40′ 08.6″,5.63,−0.92,667,M0III,"variable star, ΔV = 0.018m, P = 4.95221 d",320.750,-21.331,Capricorni,HD 203475 Capricorni
1924,Capricornus,HD 195564,,HD 195564,,,,195564,101345,20h 32m 23.51s,-09° 51′ 13.1″,5.66,3.74,79,G3V,,308.096,-8.146,Capricorni,HD 195564 Capricorni
1925,Capricornus,HD 199260,,HD 199260,,,,199260,103389,20h 56m 47.27s,-26° 17′ 46.4″,5.7,4.09,68,F7V,"suspected variable, Vmax = 5.68m, Vmin = 5.74m",314.196,-25.704,Capricorni,HD 199260 Capricorni
1926,Capricornus,37 Cap,,37,37,,,205289,106559,21h 34m 51.07s,-20° 05′ 03.8″,5.7,3.53,88,F5V,,323.713,-19.916,Capricorni,37 Capricorni
1927,Capricornus,HD 192310,,HD 192310,,,,192310,99825,20h 15m 16.58s,-27° 01′ 57.1″,5.73,6,29,K3V,"suspected variable, Vmax = 5.72m, Vmin = 5.76m; has two planets (b) and (c)",303.817,-26.968,Capricorni,HD 192310 Capricorni
1928,Capricornus,19 Cap,,19,19,,,199012,103226,20h 54m 47.85s,-17° 55′ 22.3″,5.78,0.36,395,K0III,,313.696,-16.077,Capricorni,19 Capricorni
1929,Capricornus,35 Cap,,35,35,,,204139,105928,21h 27m 14.83s,-21° 11′ 46.1″,5.78,0.02,462,K3III,,321.808,-20.804,Capricorni,35 Capricorni
1930,Capricornus,HD 196857,,HD 196857,,,,196857,102026,20h 40m 32.56s,-16° 07′ 27.7″,5.79,0.77,329,K0III,,310.133,-15.876,Capricorni,HD 196857 Capricorni
1931,Capricornus,ξ2 Cap,ξ2,Xi2,2,,,191862,99572,20h 12m 25.76s,-12° 37′ 01.3″,5.84,3.6,91,F5V,,303.104,-11.383,Capricorni,Xi2 Capricorni
