USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
1998,Carina,Canopus,α,Alpha,,,,45348,30438,06h 23m 57.09s,-52° 41′ 44.6″,−0.72,−5.53,313,F0Ib,"Suhel;[1] 2nd brightest star, nearest supergiant",95.988,-51.304,Carinae,Alpha Carinae
1999,Carina,β Car,β,Beta,,,,80007,45238,09h 13m 12.24s,-69° 43′ 02.9″,1.67,−0.99,111,A2IV,Miaplacidus,138.300,-68.283,Carinae,Beta Carinae
2000,Carina,ε Car,ε,Epsilon,,,,71129,41037,08h 22m 30.86s,-59° 30′ 34.3″,1.86,−4.58,632,K3III+B2V,"Avior; suspected eclipsing binary, Vmax = 1.82m, Vmin = 1.94m",125.625,-58.491,Carinae,Epsilon Carinae
2001,Carina,ι Car,ι,Iota,,,,80404,45556,09h 17m 05.43s,-59° 16′ 30.9″,2.23,−4.43,692,A8Ib,"Aspidiske, Turais, Scutulum; suspected variable, Vmax = 2.23m, Vmin = 2.28m",139.271,-58.725,Carinae,Iota Carinae
2002,Carina,θ Car,θ,Theta,,,,93030,52419,10h 42m 57.43s,-64° 23′ 40.1″,2.74,−2.91,439,B0Vp,in IC 2602,160.738,-63.606,Carinae,Theta Carinae
2003,Carina,υ Car,υ,Upsilon,,,,85123,48002,09h 47m 06.14s,-65° 04′ 19.3″,2.92,−5.56,1622,A9,binary star,146.775,-64.928,Carinae,Upsilon Carinae
2004,Carina,ω Car,ω,Omega,,,,89080,50099,10h 13m 44.28s,-70° 02′ 16.5″,3.29,−1.99,370,B8III,,153.433,-69.962,Carinae,Omega Carinae
2005,Carina,p Car,p,P,,,PP,91465,51576,10h 32m 01.48s,-61° 41′ 07.3″,3.3,−2.62,497,B4Vne,"γ Cas variable, Vmax = 3.22m, Vmin = 3.55m",158.004,-60.315,Carinae,P Carinae
2006,Carina,V337 Car,q,Q,,,V337,89388,50371,10h 17m 05.01s,-61° 19′ 56.4″,3.39,−3.38,736,K3II,"irregular variable, Vmax = 3.36m, Vmin = 3.44m",154.271,-60.668,Carinae,Q Carinae
2007,Carina,a Car,a,A,,,V357,79351,45080,09h 10m 58.11s,-58° 58′ 00.9″,3.43,−2.11,418,B2IV,"eclipsing binary, Vmax = 3.41m, Vmin = 3.44m",137.742,-57.033,Carinae,A Carinae
2008,Carina,χ Car,χ,Chi,,,,65575,38827,07h 56m 46.74s,-52° 58′ 56.6″,3.46,−1.91,387,B3IVp,"β Cep variable, ΔV = 0.015m, P = 0.10 d",119.192,-51.018,Carinae,Chi Carinae
2009,Carina,l Car,l,L,,,,84810,47854,09h 45m 14.83s,-62° 30′ 28.5″,3.69,−4.64,1509,G5Iab/Ib,"classical Cepheid, Vmax = 3.28m, Vmin = 4.18m, P = 35.54 d",146.308,-61.492,Carinae,L Carinae
2010,Carina,HD 94510,u,U,,,,94510,53253,10h 53m 29.57s,-58° 51′ 11.8″,3.78,1.42,97,K0III-IV...,"suspected variable, Vmax = 3.75m, Vmin = 3.80m",163.371,-57.147,Carinae,U Carinae
2011,Carina,HD 90853,s,S,,,,90853,51232,10h 27m 52.75s,-58° 44′ 21.9″,3.81,−3.71,1042,F2II,suspected variable,156.967,-57.261,Carinae,S Carinae
2012,Carina,HD 76728,c,C,,,,76728,43783,08h 55m 02.86s,-60° 38′ 41.0″,3.84,−1.06,312,B8III,double star,133.758,-59.355,Carinae,C Carinae
2013,Carina,V382 Car,x,X,,,V382,96918,54463,11h 08m 35.40s,-58° 58′ 30.2″,3.93,−7.37,5927,G0Ia0,"hypergiant; slow irregular variable, Vmax = 3.77m, Vmin = 4.05m",167.146,-57.025,Carinae,X Carinae
2014,Carina,HD 79447,i,I,,,,79447,45101,09h 11m 16.77s,-62° 19′ 01.3″,3.96,−1.97,499,B3IV,"variable star, ΔV = 0.008m, P = 22.26 d",137.817,-61.683,Carinae,I Carinae
2015,Carina,HD 90589,I,I,,,,90589,50954,10h 24m 23.74s,-74° 01′ 53.6″,3.99,2.94,53,F2IV,"suspected variable, Vmax = 3.96m, Vmin = 4.00m",156.096,-73.969,Carinae,I Carinae
2016,Carina,HD 83183,h,H,,,,83183,46974,09h 34m 26.66s,-59° 13′ 47.2″,4.08,−4.83,1976,B5II,,143.608,-58.770,Carinae,H Carinae
2017,Carina,V343 Car,d,D,,,V343,74375,42568,08h 40m 37.04s,-59° 45′ 39.7″,4.31,−3.87,1411,B1.5III,β Cep variable,130.154,-58.239,Carinae,D Carinae
2018,Carina,HD 80230,g,G,,,,80230,45496,09h 16m 12.10s,-57° 32′ 29.2″,4.34,−1.74,536,M1III,"suspected variable, Vmax = 4.31m, Vmin = 4.35m",139.050,-56.459,Carinae,G Carinae
2019,Carina,HD 47306,N,N,,,,47306,31407,06h 34m 58.59s,-52° 58′ 32.3″,4.35,−4.31,1762,B9III,,98.742,-51.024,Carinae,N Carinae
2020,Carina,HR 2554,A,A,,,V415,50337,32761,06h 49m 51.32s,-53° 37′ 21.0″,4.39,−1.74,553,G6II,"Algol variable, ΔV = 0.06m",102.463,-52.378,Carinae,A Carinae
