USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
2312,Cassiopeia,γ Cas,γ,Gamma,27,,,5394,4427,00h 56m 42.50s,+60° 43′ 00.3″,2.15,−4.22,613,B0IV:evar,"Tsih, Navi; prototype γ Cas variable, Vmax = 1.6m, Vmin = 3.0m",14.175,60.717,Cassiopaie,Gamma Cassiopaie
2313,Cassiopeia,α Cas,α,Alpha,18,,,3712,3179,00h 40m 30.39s,+56° 32′ 14.7″,2.24,−1.99,228,K0II-IIIvar,Schedar,10.125,56.537,Cassiopaie,Alpha Cassiopaie
2314,Cassiopeia,β Cas,β,Beta,11,,,432,746,00h 09m 10.09s,+59° 09′ 00.8″,2.28,1.17,54,F2III-IV,"Caph; δ Sct variable, Vmax = 2.25m, Vmin = 2.29m, P = 0.10 d",2.292,59.150,Cassiopaie,Beta Cassiopaie
2315,Cassiopeia,δ Cas,δ,Delta,37,,,8538,6686,01h 25m 48.60s,+60° 14′ 07.5″,2.68,0.26,99,A5Vv SB,"Ruchbah; Algol variable, Vmax = 2.68m, Vmin = 2.76m, P = 759 d",21.450,60.235,Cassiopaie,Delta Cassiopaie
2316,Cassiopeia,ε Cas,ε,Epsilon,45,,,11415,8886,01h 54m 23.68s,+63° 40′ 12.5″,3.35,−2.31,442,B2pvar,"Segin; variable star, ΔV = 0.002m, P = 0.09 d",28.596,63.670,Cassiopaie,Epsilon Cassiopaie
2317,Cassiopeia,η Cas,η,Eta,24,,,4614,3821,00h 49m 05.10s,+57° 48′ 59.6″,3.46,4.59,19,G0V SB,"Achird, RS CVn variable",12.271,57.816,Cassiopaie,Eta Cassiopaie
2318,Cassiopeia,ζ Cas,ζ,Zeta,17,,,3360,2920,00h 36m 58.27s,+53° 53′ 49.0″,3.69,−2.62,597,B2IV,"Fùlù (附路)[1], suspected variable",9.242,53.897,Cassiopaie,Zeta Cassiopaie
2319,Cassiopeia,50 Cas,,50,50,,,12216,9598,02h 03m 26.19s,+72° 25′ 16.5″,3.95,0.47,162,A2V,"variable star, ΔV = 0.003m, P = 0.80 d",30.858,72.421,Cassiopaie,50 Cassiopaie
2320,Cassiopeia,κ Cas,κ,Kappa,15,,,2905,2599,00h 32m 59.99s,+62° 55′ 54.4″,4.17,−6.34,4127,B1Ia,"α Cyg variable, Vmax = 4.12m, Vmin = 4.21m, P = 2.65 d",8.246,62.932,Cassiopaie,Kappa Cassiopaie
2321,Cassiopeia,θ Cas,θ,Theta,33,,,6961,5542,01h 11m 05.93s,+55° 08′ 59.8″,4.34,1.22,137,A7Vvar,Marfak; suspected variable,17.771,55.150,Cassiopaie,Theta Cassiopaie
2322,Cassiopeia,ι Cas,ι,Iota,,,,15089,11569,02h 29m 03.99s,+67° 24′ 08.6″,4.46,1.27,141,A5p Sr,"α2 CVn variable, Vmax = 4.45m, Vmin = 4.53m, P = 1.74 d",37.263,67.402,Cassiopaie,Iota Cassiopaie
2323,Cassiopeia,ο Cas,ο,Omicron,22,,,4180,3504,00h 44m 43.50s,+48° 17′ 03.8″,4.48,−2.74,906,B5III,"triple star, γ Cas variable, Vmax = 4.31m, Vmin = 4.62m",11.179,48.284,Cassiopaie,Omicron Cassiopaie
2324,Cassiopeia,48 Cas,A,A,48,,,12111,9480,02h 01m 57.55s,+70° 54′ 25.4″,4.49,1.72,117,A3IV,quadruple star,30.488,70.907,Cassiopaie,A Cassiopaie
2325,Cassiopeia,ρ Cas,ρ,Rho,7,,,224014,117863,23h 54m 23.04s,+57° 29′ 57.8″,4.51,−9.5,8500,F8Ia0-M2I,"yellow hypergiant; semiregular variable, Vmax = 4.1m, Vmin = 6.2m, P = 320 d",358.596,57.499,Cassiopaie,Rho Cassiopaie
2326,Cassiopeia,υ2 Cas,υ2,Upsilon 2,28,,,5395,4422,00h 56m 40.01s,+59° 10′ 52.2″,4.62,0.62,206,G8III-IV,Castula,14.167,59.181,Cassiopaie,Upsilon 2 Cassiopaie
2327,Cassiopeia,χ Cas,χ,Chi,39,,,9408,7294,01h 33m 55.93s,+59° 13′ 55.5″,4.68,0.7,204,K0III,,23.479,59.232,Cassiopaie,Chi Cassiopaie
2328,Cassiopeia,ψ Cas,ψ,Psi,36,,,8491,6692,01h 25m 55.90s,+68° 07′ 47.8″,4.72,0.86,193,K0III,,21.479,68.130,Cassiopaie,Psi Cassiopaie
2329,Cassiopeia,λ Cas,λ,Lambda,14,,,2772,2505,00h 31m 46.32s,+54° 31′ 20.4″,4.74,−0.44,354,B8Vn,suspected variable,7.942,54.522,Cassiopaie,Lambda Cassiopaie
2330,Cassiopeia,ξ Cas,ξ,Xi,19,,,3901,3300,00h 42m 03.88s,+50° 30′ 45.1″,4.8,−2.86,1109,B2.5V,suspected variable,10.513,50.513,Cassiopaie,Xi Cassiopaie
2331,Cassiopeia,HR 244,,HD 5015,,,,5015,4151,00h 53m 04.28s,+61° 07′ 24.8″,4.8,3.46,61,F8V,spectroscopic binary,13.267,61.123,Cassiopaie,HD 5015 Cassiopaie
2332,Cassiopeia,R Cas,,R,,,R,224490,118188,23h 58m 24.80s,+51° 23′ 19.0″,4.8,,410,M6.5-9e,"Mira variable, Vmax = 4.7m, Vmin = 13.5m, P = 430 d",359.600,51.389,Cassiopaie,R Cassiopaie
2333,Cassiopeia,υ1 Cas,υ1,Upsilon 1,26,,,5234,4292,00h 55m 00.19s,+58° 58′ 22.1″,4.83,−0.65,406,K2III,,13.750,58.973,Cassiopaie,Upsilon 1 Cassiopaie
2334,Cassiopeia,1 Cas,,1,1,,,218376,114104,23h 06m 36.81s,+59° 25′ 11.2″,4.84,−2.81,1105,B0.5IV,,346.650,59.420,Cassiopaie,1 Cassiopaie
2335,Cassiopeia,HD 19275,,HD 19275,,,,19275,14862,03h 11m 56.24s,+74° 23′ 37.9″,4.85,1.37,162,A2Vnn,,47.983,74.394,Cassiopaie,HD 19275 Cassiopaie
2336,Cassiopeia,τ Cas,τ,Tau,5,,,223165,117301,23h 47m 03.39s,+58° 39′ 06.7″,4.88,1.26,173,K1III,,356.763,58.652,Cassiopaie,Tau Cassiopaie
2337,Cassiopeia,σ Cas,σ,Sigma,8,,,224572,118243,23h 59m 00.53s,+55° 45′ 17.8″,4.88,−3.47,1523,B1V...,,359.750,55.755,Cassiopaie,Sigma Cassiopaie
2338,Cassiopeia,AR Cas,,AR,,,AR,221253,115990,23h 30m 01.92s,+58° 32′ 56.1″,4.89,−1.34,575,B3IV,"septuple star; Algol variable, Vmax = 4.82m, Vmin = 4.96m, P = 6.07 d",352.504,58.549,Cassiopaie,AR Cassiopaie
2339,Cassiopeia,ν Cas,ν,Nu,25,,,4636,3801,00h 48m 49.99s,+50° 58′ 05.5″,4.9,−0.49,389,B9III,,12.204,50.968,Cassiopaie,Nu Cassiopaie
2340,Cassiopeia,π Cas,π,Pi,20,,,4058,3414,00h 43m 28.09s,+47° 01′ 28.7″,4.95,1.31,174,A5V,rotating ellipsoidal variable,10.867,47.024,Cassiopaie,Pi Cassiopaie
2341,Cassiopeia,φ Cas,φ,Phi,34,,,7927,6242,01h 20m 04.92s,+58° 13′ 53.8″,4.95,−4.32,2329,F0Ia,foreground star appearing among NGC 457; suspected variable,20.017,58.231,Cassiopaie,Phi Cassiopaie
