USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
2627,Centaurus,α Cen A,α,Alpha,,363,,128620,71683,14h 39m 40.90s,-60° 50′ 06.5″,−0.01,4.34,4.36,G2V,Rigil Kentaurus; nearest star system; 4th brightest star; a component of the triple Alpha Centauri star system,219.917,-59.165,Centarui,Alpha Centarui
2628,Centaurus,β Cen,β,Beta,,304,,122451,68702,14h 03m 49.44s,-60° 22′ 22.7″,0.61,−5.42,525,B1III,"Hadar, Agena; β Cep variable, ΔV = 0.045m, P = 0.157 d",210.954,-59.627,Centarui,Beta Centarui
2629,Centaurus,α Cen B,α,Alpha,,364,,128621,71681,14h 39m 39.39s,-60° 50′ 22.1″,1.35,5.7,4.36,K1V,"Toliman, 21st brightest star; a component of the triple Alpha Centauri star system; has a planet (b)",219.913,-59.161,Centarui,Alpha Centarui
2630,Centaurus,"θ Cen (5 Cen)",θ,Theta,,314,,123139,68933,14h 06m 41.32s,-36° 22′ 07.3″,2.06,0.7,61,K0IIIb,Menkent,211.671,-35.631,Centarui,Theta Centarui
2631,Centaurus,γ Cen,γ,Gamma,,134,,110304,61932,12h 41m 31.20s,-48° 57′ 35.6″,2.2,−0.81,130,A1IV,Muhlifain; binary period 89.3 y,190.379,-47.040,Centarui,Gamma Centarui
2632,Centaurus,ε Cen,ε,Epsilon,,245,,118716,66657,13h 39m 53.27s,-53° 27′ 58.9″,2.29,−3.02,376,B1III,"β Cep variable, ΔV = 0.02m, P = 0.169608 d",204.971,-52.534,Centarui,Epsilon Centarui
2633,Centaurus,η Cen,η,Eta,,356,,127972,71352,14h 35m 30.45s,-42° 09′ 27.9″,2.33,−2.55,308,B1Vn + A,"γ Cas variable, Vmax = 2.30m, Vmin = 2.41m",218.875,-41.843,Centarui,Eta Centarui
2634,Centaurus,ζ Cen,ζ,Zeta,,289,,121263,68002,13h 55m 32.43s,-47° 17′ 17.8″,2.55,−2.81,384,B2.5IV,Alnair; spectroscopic binary,208.883,-46.712,Centarui,Zeta Centarui
2635,Centaurus,δ Cen,δ,Delta,,94,,105435,59196,12h 08m 21.54s,-50° 43′ 20.7″,2.58,−2.84,395,B2IVne,"γ Cas variable, Vmax = 2.51m, Vmin = 2.65m",182.088,-49.278,Centarui,Delta Centarui
2636,Centaurus,ι Cen,ι,Iota,,204,,115892,65109,13h 20m 36.07s,-36° 42′ 43.5″,2.75,1.48,59,A2V,,200.150,-35.288,Centarui,Iota Centarui
2637,Centaurus,λ Cen,λ,Lambda,,46,,100841,56561,11h 35m 46.93s,-63° 01′ 11.4″,3.11,−2.39,410,B9II:,,173.942,-62.980,Centarui,Lambda Centarui
2638,Centaurus,κ Cen,κ,Kappa,,385,,132200,73334,14h 59m 09.70s,-42° 06′ 14.9″,3.13,−2.96,539,B2IV,suspected variable,224.788,-41.896,Centarui,Kappa Centarui
2639,Centaurus,ν Cen,ν,Nu,,272,,120307,67464,13h 49m 30.30s,-41° 41′ 15.6″,3.41,−2.41,475,B2IV,"rotating ellipsoidal variable and β Cep variable, ΔV = 0.03m",207.375,-40.313,Centarui,Nu Centarui
2640,Centaurus,μ Cen,μ,Mu,,273,,120324,67472,13h 49m 37.01s,-42° 28′ 25.3″,3.47,−2.57,527,B2IV-Ve,"γ Cas variable, Vmax = 2.92m, Vmin = 3.47m",207.404,-41.526,Centarui,Mu Centarui
2641,Centaurus,φ Cen,φ,Phi,,296,,121743,68245,13h 58m 16.28s,-42° 06′ 02.5″,3.83,−1.94,465,B2IV,,209.567,-41.899,Centarui,Phi Centarui
2642,Centaurus,τ Cen,τ,Tau,,131,,109787,61622,12h 37m 42.33s,-48° 32′ 28.6″,3.85,0.82,132,A2V,,189.425,-47.459,Centarui,Tau Centarui
2643,Centaurus,υ1 Cen,υ1,Upsilon 1,,297,,121790,68282,13h 58m 40.77s,-44° 48′ 12.7″,3.87,−1.67,417,B2IV-V,,209.667,-43.197,Centarui,Upsilon 1 Centarui
2644,Centaurus,π Cen,π,Pi,,24,,98718,55425,11h 21m 00.44s,-54° 29′ 27.7″,3.9,−1.07,321,B5Vn,binary star,170.250,-53.509,Centarui,Pi Centarui
2645,Centaurus,d Cen,d,D,,227,,117440,65936,13h 31m 02.67s,-39° 24′ 26.2″,3.9,−4.03,1254,G8II/III,,202.758,-38.593,Centarui,D Centarui
2646,Centaurus,σ Cen,σ,Sigma,,121,,108483,60823,12h 28m 02.41s,-50° 13′ 50.2″,3.91,−1.76,443,B3V,,187.008,-49.769,Centarui,Sigma Centarui
2647,Centaurus,ρ Cen,ρ,Rho,,101,,105937,59449,12h 11m 39.15s,-52° 22′ 06.3″,3.97,−1.13,342,B3V,,182.913,-51.632,Centarui,Rho Centarui
2648,Centaurus,b Cen,b,B,,368,,129116,71865,14h 41m 57.61s,-37° 47′ 36.3″,4.01,−0.85,305,B2.5V,,220.488,-36.207,Centarui,B Centarui
2649,Centaurus,ψ Cen,ψ,Psi,,338,,125473,70090,14h 20m 33.48s,-37° 53′ 07.0″,4.05,−0.35,247,A0IV,,215.138,-36.115,Centarui,Psi Centarui
2650,Centaurus,c1 Cen,c1,C1,,371,,129456,72010,14h 43m 39.48s,-35° 10′ 23.6″,4.06,0.07,205,K3III,,220.913,-34.827,Centarui,C1 Centarui
2651,Centaurus,HD 102350,,65 G,,65,,102350,57439,11h 46m 30.85s,-61° 10′ 42.1″,4.11,−1.51,434,G0II,Cepheid variable,176.625,-60.822,Centarui,65 G Centarui
2652,Centaurus,2 Cen,g,G,,274,,120323,67457,13h 49m 26.75s,-34° 27′ 02.3″,4.19,0.51,177,M5III,"V806 Cen; semiregular variable, Vmax = 4.16m, Vmin = 4.26m, P = 12 d",207.358,-33.549,Centarui,G Centarui
2653,Centaurus,1 Cen,i,I,,265,,119756,67153,13h 45m 41.57s,-33° 02′ 36.1″,4.23,2.81,63,F3V,,206.421,-32.957,Centarui,I Centarui
2654,Centaurus,n Cen,n,N,,150,,111968,62896,12h 53m 26.15s,-40° 10′ 43.7″,4.25,0.86,155,A4IV,,193.358,-39.821,Centarui,N Centarui
2655,Centaurus,ξ2 Cen,ξ2,Xi2,,173,V1261 (B),113791,64004,13h 06m 54.66s,-49° 54′ 22.4″,4.27,−1.24,412,B1.5V,,196.725,-48.094,Centarui,Xi2 Centarui
2656,Centaurus,j Cen,j,J,,69,,102776,57669,11h 49m 41.09s,-63° 47′ 18.6″,4.3,−1.44,459,B3V,suspected variable,177.421,-62.212,Centarui,J Centarui
2657,Centaurus,v Cen,v,V,,336,,125288,70069,14h 20m 19.55s,-56° 23′ 11.3″,4.3,−3.50,1185,B6Ib,,215.079,-55.614,Centarui,V Centarui
2658,Centaurus,3 Cen A,k,K,,280,V983,120709,67669,13h 51m 49.63s,-32° 59′ 38.5″,4.32,−0.48,297,B5,"V983 Cen; double star; possible eclipsing binary, ΔV = 0.05m",207.954,-31.006,Centarui,K Centarui
2659,Centaurus,e Cen,e,E,,149,,111915,62867,12h 53m 06.98s,-48° 56′ 35.7″,4.33,−0.51,303,K3/K4III,,193.275,-47.057,Centarui,E Centarui
2660,Centaurus,υ2 Cen,υ2,Upsilon 2,,303,,122223,68523,14h 01m 43.49s,-45° 36′ 12.1″,4.34,−1.35,448,F6II,,210.429,-44.397,Centarui,Upsilon 2 Centarui
2661,Centaurus,χ Cen,χ,Chi,,311,,122980,68862,14h 06m 02.79s,-41° 10′ 46.5″,4.36,−1.32,446,B2V,"β Cep variable, ΔV = ~0.02m, P = 0.035 d",211.508,-40.821,Centarui,Chi Centarui
2662,Centaurus,V761 Cen,a,A,,342,V761,125823,70300,14h 23m 02.26s,-39° 30′ 42.4″,4.41,−1.13,418,B2V,"Bidelman's Helium Variable Star; SX Ari variable, Vmax = 4.38m, Vmin = 4.43m, P = 8.8171 d",215.758,-38.488,Centarui,A Centarui
2663,Centaurus,V863 Cen,,V863,,92,V863,105382,59173,12h 08m 05.26s,-50° 39′ 40.5″,4.46,−0.85,376,B2IIIne,"Be star; variable, ΔV = ~0.05m",182.021,-49.339,Centarui,V863 Centarui
2664,Centaurus,B Cen,B,B,,71,,102964,57803,11h 51m 08.75s,-45° 10′ 24.4″,4.47,−1.30,464,K4III,,177.783,-44.827,Centarui,B Centarui
2665,Centaurus,J Cen,J,J,,208,,116087,65271,13h 22m 37.98s,-60° 59′ 18.1″,4.52,−0.66,354,B3V,,200.654,-59.012,Centarui,J Centarui
2666,Centaurus,m Cen,m,M,,214,,116243,65387,13h 24m 00.44s,-64° 32′ 08.2″,4.52,0.04,257,G5III-IV,,201.000,-63.464,Centarui,M Centarui
2667,Centaurus,V831 Cen,,V831,,183,V831,114529,64425,13h 12m 17.63s,-59° 55′ 13.9″,4.58,−0.55,346,B8V,"ellipsoidal variable, Vmax = 4.49m, Vmin = 4.66m",198.071,-58.080,Centarui,V831 Centarui
2668,Centaurus,A Cen,A,A,,42,,100673,56480,11h 34m 45.71s,-54° 15′ 50.9″,4.62,−1.14,463,B9V,,173.688,-53.736,Centarui,A Centarui
2669,Centaurus,l Cen,l,L,,132,,110073,61789,12h 39m 52.56s,-39° 59′ 14.1″,4.63,−0.55,355,B8II/III,,189.967,-38.013,Centarui,L Centarui
2670,Centaurus,M Cen,M,M,,266,,119834,67234,13h 46m 39.37s,-51° 25′ 57.7″,4.64,0.16,257,G8/K0III,,206.663,-50.568,Centarui,M Centarui
2671,Centaurus,w Cen,w,W,,136,,110458,62012,12h 42m 35.56s,-48° 48′ 46.9″,4.66,0.85,188,K0III,,190.646,-47.187,Centarui,W Centarui
2672,Centaurus,f Cen,f,F,,171,,113703,63945,13h 06m 16.73s,-48° 27′ 47.7″,4.71,−0.81,414,B5V,,196.567,-47.537,Centarui,F Centarui
2673,Centaurus,294 G. Cen,,294 G,,294,,121474,68191,13h 57m 38.94s,-63° 41′ 11.8″,4.71,0.68,209,K4III,,209.408,-62.314,Centarui,294 G Centarui
2674,Centaurus,321 G. Cen,,321 G,,321,,123569,69191,14h 09m 54.96s,-53° 26′ 19.4″,4.74,1.01,182,G8III,double star,212.475,-52.561,Centarui,321 G Centarui
2675,Centaurus,4 Cen,h,H,,284,,120955,67786,13h 53m 12.55s,-31° 55′ 39.3″,4.75,−1.81,669,B4IV,,208.300,-30.073,Centarui,H Centarui
