USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
2950,Cepheus,α Cep,α,Alpha,5,,,203280,105199,21h 18m 34.58s,+62° 35′ 07.6″,2.45,1.58,49,A7IV-V,Alderamin; suspected variable,319.642,62.585,Cephei,Alpha Cephei
2951,Cepheus,γ Cep,γ,Gamma,35,,,222404,116727,23h 39m 20.98s,+77° 37′ 55.1″,3.21,2.51,45,K1IV,Arrai; binary star; has a planet (b); suspected variable,354.833,77.632,Cephei,Gamma Cephei
2952,Cepheus,β Cep,β,Beta,8,,,205021,106032,21h 28m 39.58s,+70° 33′ 38.5″,3.23,−3.08,595,B2IIIv SB,"Alfirk; prototype β Cep variable, Vmax = 3.16m, Vmin = 3.27m, P = 0.19 d",322.163,70.561,Cephei,Beta Cephei
2953,Cepheus,ζ Cep,ζ,Zeta,21,,,210745,109492,22h 10m 51.26s,+58° 12′ 04.5″,3.39,−3.35,726,K1Ibv SB,eclipsing binary,332.713,58.201,Cephei,Zeta Cephei
2954,Cepheus,η Cep,η,Eta,3,,,198149,102422,20h 45m 17.27s,+61° 50′ 12.5″,3.41,2.63,47,K0IV,Al Kidr,311.321,61.837,Cephei,Eta Cephei
2955,Cepheus,ι Cep,ι,Iota,32,,,216228,112724,22h 49m 40.91s,+66° 12′ 02.6″,3.5,0.76,115,K0III,,342.417,66.201,Cephei,Iota Cephei
2956,Cepheus,δ Cep A,δ,Delta,27,,,213306,110991,22h 29m 10.25s,+58° 24′ 54.7″,4.07,−3.47,887,F5Iab + B7-8,"prototype Cepheid variable, Vmax = 3.49m, Vmin = 4.36m, P = 5.37 d; binary star",337.292,58.415,Cephei,Delta Cephei
2957,Cepheus,ε Cep,ε,Epsilon,23,,,211336,109857,22h 15m 01.68s,+57° 02′ 36.5″,4.18,2.13,84,F0IV,"δ Sct variable, Vmax = 4.15m, Vmin = 4.21m, P = 0.04 d",333.754,57.043,Cephei,Epsilon Cephei
2958,Cepheus,θ Cep,θ,Theta,2,,,195725,101093,20h 29m 34.83s,+62° 59′ 38.9″,4.21,1.11,136,A7III,Al Kidr,307.392,62.994,Cephei,Theta Cephei
2959,Cepheus,μ Cep,μ,Mu,,,,206936,107259,21h 43m 30.45s,+58° 46′ 48.2″,4.23,−6.81,5258,M2Ia,"Garnet Star; in Trumpler 37; semiregular variable, Vmax = 3.43m, Vmin = 5.1m, P = 835 d",325.875,58.780,Cephei,Mu Cephei
2960,Cepheus,2 UMi,,2,-2,,,5848,5372,01h 08m 44.16s,+86° 15′ 25.6″,4.24,−0.67,313,K2II-III,,17.183,86.257,Cephei,2 Cephei
2961,Cepheus,ν Cep,ν,Nu,10,,,207260,107418,21h 45m 26.93s,+61° 07′ 14.9″,4.25,−6.72,5094,A2Ia,"α Cyg variable, Vmax = 4.25m, Vmin = 4.35m",326.358,61.121,Cephei,Nu Cephei
2962,Cepheus,κ Cep,κ,Kappa,1,,,192907,99255,20h 08m 53.32s,+77° 42′ 40.9″,4.38,−0.63,327,B9III,triple star,302.221,77.711,Cephei,Kappa Cephei
2963,Cepheus,π Cep,π,Pi,33,,,218658,114222,23h 07m 53.84s,+75° 23′ 15.3″,4.41,0.27,220,G2III,triple star,346.971,75.388,Cephei,Pi Cephei
2964,Cepheus,ξ Cep A,ξ,Xi,17,,,209790,108917,22h 03m 47.45s,+64° 37′ 40.7″,4.45,,96,Am,"Kurhah, component of the ξ Cep system; spectroscopic binary",330.946,64.628,Cephei,Xi Cephei
2965,Cepheus,HR 7955,,HD 198084,,,,198084,102431,20h 45m 21.20s,+57° 34′ 49.1″,4.52,2.35,88,F8IV-V,spectroscopic binary,311.338,57.580,Cephei,HD 198084 Cephei
2966,Cepheus,11 Cep,,11,11,,,206952,107119,21h 41m 55.08s,+71° 18′ 40.3″,4.55,0.89,176,K0III,,325.479,71.311,Cephei,11 Cephei
2967,Cepheus,HD 217382,,HD 217382,,,,217382,113116,22h 54m 24.38s,+84° 20′ 46.0″,4.7,−0.69,390,K4III,"variable star, ΔV = 0.004m, P = 0.09 d",343.600,84.346,Cephei,HD 217382 Cephei
2968,Cepheus,ο Cep,ο,Omicron,34,,,219916,115088,23h 18m 37.41s,+68° 06′ 41.1″,4.75,0.7,211,K0III,multiple star; suspected variable,349.654,68.111,Cephei,Omicron Cephei
2969,Cepheus,9 Cep,,9,9,,V337,206165,106801,21h 37m 55.23s,+62° 04′ 55.0″,4.76,−5.95,4528,B2Ib,"α Cyg variable, Vmax = 4.69m, Vmin = 4.78m",324.479,62.082,Cephei,9 Cephei
2970,Cepheus,HD 216446,,HD 216446,,,,216446,112519,22h 47m 28.95s,+83° 09′ 13.4″,4.77,−0.22,324,K3III,double star,341.867,83.154,Cephei,HD 216446 Cephei
2971,Cepheus,24 Cep,,24,24,,,210807,109400,22h 09m 48.37s,+72° 20′ 28.3″,4.79,−0.53,377,G8III,,332.450,72.341,Cephei,24 Cephei
2972,Cepheus,16 Cep,,16,16,,,209369,108535,21h 59m 15.10s,+73° 10′ 49.0″,5.04,2.17,122,F5V,double star,329.813,73.180,Cephei,16 Cephei
2973,Cepheus,OV Cep,,OV,,,OV,51802,37391,07h 40m 31.09s,+87° 01′ 12.6″,5.05,−0.88,499,M2III,"semiregular variable, Vmax = 5.00m, Vmin = 5.07m",115.129,87.020,Cephei,OV Cephei
2974,Cepheus,λ Cep,λ,Lambda,22,,,210839,109556,22h 11m 30.58s,+59° 24′ 52.3″,5.05,−3.47,1646,O6If(n),emission-line star; suspected variable,332.875,59.414,Cephei,Lambda Cephei
2975,Cepheus,HD 223274,,HD 223274,,,,223274,117371,23h 47m 54.75s,+67° 48′ 24.5″,5.05,0.25,297,A1Vn,,356.975,67.807,Cephei,HD 223274 Cephei
2976,Cepheus,19 Cep,,19,19,,,209975,109017,22h 05m 08.79s,+62° 16′ 47.4″,5.07,−6.04,5433,O9.5Ib,triple star,331.283,62.280,Cephei,19 Cephei
2977,Cepheus,31 Cep,,31,31,,,214470,111532,22h 35m 45.78s,+73° 38′ 35.3″,5.08,1.32,184,F3III-IV,,338.938,73.643,Cephei,31 Cephei
2978,Cepheus,HD 30338,,HD 30338,,,,30338,23265,05h 00m 20.72s,+81° 11′ 38.5″,5.09,−0.03,345,K3III,,75.083,81.194,Cephei,HD 30338 Cephei
2979,Cepheus,HD 25007,,HD 25007,,,,25007,19461,04h 10m 02.79s,+80° 41′ 55.2″,5.1,−0.03,345,G8III+...,double star,62.508,80.699,Cephei,HD 25007 Cephei
2980,Cepheus,VV Cep,,VV,,,VV,208816,108317,21h 56m 39.14s,+63° 37′ 32.0″,5.11,−6.93,8359,M2 + B0,"Algol and semiregular variable, Vmax = 4.80m, Vmin = 5.36m, P = 7430 d; one of the largest stars known",329.163,63.626,Cephei,VV Cephei
2981,Cepheus,78 Dra,,78,-78,,,207130,107230,21h 43m 04.13s,+72° 19′ 12.7″,5.18,0.78,247,K0III,,325.767,72.320,Cephei,78 Cephei
2982,Cepheus,6 Cep,,6,6,,V382,203467,105268,21h 19m 22.21s,+64° 52′ 18.6″,5.19,−2.41,1079,B3IVe,"Be star, Vmax = 5.08m, Vmin = 5.23m",319.842,64.872,Cephei,6 Cephei
2983,Cepheus,30 Cep,,30,30,,,214734,111797,22h 38m 39.05s,+63° 35′ 04.3″,5.19,0.23,320,A3IV,,339.663,63.584,Cephei,30 Cephei
2984,Cepheus,HD 210855,,HD 210855,,,,210855,109572,22h 11m 48.52s,+56° 50′ 20.6″,5.24,2.4,121,F8V,,332.950,56.839,Cephei,HD 210855 Cephei
2985,Cepheus,HD 218029,,HD 218029,,,,218029,113864,23h 03m 32.85s,+67° 12′ 33.1″,5.25,−0.11,384,K3III,,345.883,67.209,Cephei,HD 218029 Cephei
2986,Cepheus,18 Cep,,18,18,,MO,209772,108924,22h 03m 52.93s,+63° 07′ 11.2″,5.26,−0.43,448,M5III,"slow irregular variable, Vmax = 5.13m, Vmin = 5.33m",330.967,63.120,Cephei,18 Cephei
2987,Cepheus,20 Cep,,20,20,,,209960,109005,22h 05m 00.48s,+62° 47′ 07.9″,5.27,0.32,318,K4III,suspected variable,331.250,62.785,Cephei,20 Cephei
2988,Cepheus,HD 212710,,HD 212710,,,,212710,109693,22h 13m 10.17s,+86° 06′ 28.3″,5.27,0.8,256,B9.5Vn,,333.292,86.108,Cephei,HD 212710 Cephei
2989,Cepheus,HD 210939,,HD 210939,,,,210939,109592,22h 12m 02.01s,+60° 45′ 32.7″,5.37,0.08,373,K1III,,333.008,60.759,Cephei,HD 210939 Cephei
