USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3408,Chamaeleon,α Cha,α,Alpha,,,,71243,40702,08h 18m 31.27s,-76° 55′ 11.9″,4.05,2.6,63,F5III,,124.629,-75.080,Chamaeleontis,Alpha Chamaeleontis
3409,Chamaeleon,γ Cha,γ,Gamma,,,,92305,51839,10h 35m 28.22s,-78° 36′ 28.1″,4.11,−1.40,413,M0III,suspected variable,158.867,-77.392,Chamaeleontis,Gamma Chamaeleontis
3410,Chamaeleon,β Cha,β,Beta,,,,106911,60000,12h 18m 20.94s,-79° 18′ 44.2″,4.24,−0.36,271,B5Vn,suspected variable,184.583,-78.688,Chamaeleontis,Beta Chamaeleontis
3411,Chamaeleon,θ Cha,θ,Theta,,,,71701,40888,08h 20m 38.89s,-77° 29′ 04.5″,4.34,0.97,154,K0III-IV,double star,125.158,-76.516,Chamaeleontis,Theta Chamaeleontis
3412,Chamaeleon,δ2 Cha,δ2,Delta 2,,,,93845,52633,10h 45m 47.14s,-80° 32′ 24.7″,4.45,−0.79,363,B2.5IV,,161.446,-79.460,Chamaeleontis,Delta 2 Chamaeleontis
3413,Chamaeleon,ε Cha,ε,Epsilon,,,,104174,58484,11h 59m 37.69s,-78° 13′ 18.5″,4.88,−0.36,364,B9Vn,double star,179.904,-77.778,Chamaeleontis,Epsilon Chamaeleontis
3414,Chamaeleon,κ Cha,κ,Kappa,,,,104902,58905,12h 04m 46.66s,-76° 31′ 09.0″,5.04,−0.61,441,K4III,"variable star, ΔV = 0.005m, P = 3.89651 d",181.192,-75.481,Chamaeleontis,Kappa Chamaeleontis
3415,Chamaeleon,ζ Cha,ζ,Zeta,,,,83979,46928,09h 33m 53.51s,-80° 56′ 28.7″,5.07,−1.02,539,B5V,"β Cep variable, Vmax = 5.06m, Vmin = 5.17m, P = 1.07964 d",143.471,-79.059,Chamaeleontis,Zeta Chamaeleontis
3416,Chamaeleon,ι Cha,ι,Iota,,,,82554,46107,09h 24m 09.73s,-80° 47′ 13.9″,5.34,1.58,184,F3/F5IV,,141.038,-79.213,Chamaeleontis,Iota Chamaeleontis
3417,Chamaeleon,ν Cha,ν,Nu,,,,85396,47956,09h 46m 20.42s,-76° 46′ 33.5″,5.43,1.59,191,G8III,,146.583,-75.224,Chamaeleontis,Nu Chamaeleontis
3418,Chamaeleon,η Cha,η,Eta,,,,75416,42637,08h 41m 19.60s,-78° 57′ 48.3″,5.46,0.53,316,B9IV,,130.329,-77.037,Chamaeleontis,Eta Chamaeleontis
3419,Chamaeleon,δ1 Cha,δ1,Delta 1,,,,93779,52595,10h 45m 16.38s,-80° 28′ 10.3″,5.46,0.28,354,K0III,double star,161.317,-79.531,Chamaeleontis,Delta 1 Chamaeleontis
3420,Chamaeleon,μ¹ Cha,μ,Mu,,,,87971,49065,10h 00m 43.90s,-82° 12′ 53.1″,5.53,0.09,399,A0IV,,150.179,-81.785,Chamaeleontis,Mu Chamaeleontis
3421,Chamaeleon,π Cha,π,Pi,,,,101132,56675,11h 37m 15.94s,-75° 53′ 47.5″,5.64,2.52,137,F1III,,174.313,-74.104,Chamaeleontis,Pi Chamaeleontis
3422,Chamaeleon,HD 72922,,HD 72922,,,,72922,41191,08h 24m 20.38s,-80° 54′ 53.0″,5.67,1.23,252,G8III,,126.083,-79.085,Chamaeleontis,HD 72922 Chamaeleontis
3423,Chamaeleon,HD 76236,,HD 76236,,,,76236,43012,08h 45m 55.23s,-79° 30′ 16.5″,5.79,−0.38,559,K5III,"variable star, ΔV = 0.008m, P = 53.70569 d",131.479,-78.496,Chamaeleontis,HD 76236 Chamaeleontis
3424,Chamaeleon,HD 114533,,HD 114533,,,,114533,64587,13h 14m 17.36s,-78° 26′ 50.8″,5.84,−2.94,1863,F8Ib,,198.571,-77.553,Chamaeleontis,HD 114533 Chamaeleontis
