USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3503,Columba,α Col,α,Alpha,,,,37795,26634,05h 39m 38.94s,-34° 04′ 26.6″,2.65,−1.93,268,B7IV,"Phact; suspected γ Cas variable, Vmax = 2.62m, Vmin = 2.66m",84.908,-33.926,Columbae,Alpha Columbae
3504,Columba,β Col,β,Beta,,,,39425,27628,05h 50m 57.55s,-35° 46′ 09.5″,3.12,1.02,86,K1.5III,Wezn,87.738,-34.231,Columbae,Beta Columbae
3505,Columba,δ Col,δ,Delta,,,,44762,30277,06h 22m 06.85s,-33° 26′ 10.6″,3.85,−0.46,237,G7II,,95.525,-32.564,Columbae,Delta Columbae
3506,Columba,ε Col,ε,Epsilon,,,,36597,25859,05h 31m 12.74s,-35° 28′ 13.6″,3.86,−0.79,277,K1II/III,,82.800,-34.530,Columbae,Epsilon Columbae
3507,Columba,η Col,η,Eta,,,,40808,28328,05h 59m 08.79s,-42° 48′ 54.4″,3.96,−2.10,531,K0III,,89.783,-41.185,Columbae,Eta Columbae
3508,Columba,γ Col,γ,Gamma,,,,40494,28199,05h 57m 32.21s,-35° 16′ 59.9″,4.36,−2.73,853,B2.5IV,suspected variable,89.383,-34.717,Columbae,Gamma Columbae
3509,Columba,κ Col,κ,Kappa,,,,43785,29807,06h 16m 33.14s,-35° 08′ 26.6″,4.37,0.63,183,G8II,suspected variable,94.138,-34.859,Columbae,Kappa Columbae
3510,Columba,ο Col,ο,Omicron,,,,34642,24659,05h 17m 29.02s,-34° 53′ 39.8″,4.81,2.17,110,K0/K1III/IV,,79.371,-33.106,Columbae,Omicron Columbae
3511,Columba,λ Col,λ,Lambda,,,,39764,27810,05h 53m 06.88s,-33° 48′ 05.2″,4.88,−0.22,341,B5V,"Tsze; rotating ellipsoidal variable, Vmax = 4.85m, Vmin = 4.92m, P = 0.64 d",88.275,-32.199,Columbae,Lambda Columbae
3512,Columba,ξ Col,ξ,Xi,,,,40176,28010,05h 55m 29.89s,-37° 07′ 14.2″,4.97,−0.05,328,K1IIICN...,,88.871,-36.879,Columbae,Xi Columbae
3513,Columba,θ Col,θ,Theta,,,,42167,29034,06h 07m 31.63s,-37° 15′ 10.5″,5,−1.84,762,B8:IV,Elkurud,91.879,-36.747,Columbae,Theta Columbae
3514,Columba,μ Col,μ,Mu,,,,38666,27204,05h 45m 59.89s,-32° 18′ 23.0″,5.18,−2.81,1294,B1IV/V,She;[1] runaway star,86.496,-31.694,Columbae,Mu Columbae
3515,Columba,HD 46568,,HD 46568,,,,46568,31165,06h 32m 21.33s,-37° 41′ 47.4″,5.25,0.64,273,G8III,,98.088,-36.304,Columbae,HD 46568 Columbae
3516,Columba,ν2 Col,ν2,Nu 2,,,,37495,26460,05h 37m 44.64s,-28° 41′ 23.3″,5.28,2.14,138,F5V,,84.433,-27.310,Columbae,Nu 2 Columbae
3517,Columba,WZ Col,,WZ,,,WZ,38170,26868,05h 42m 15.19s,-34° 40′ 04.6″,5.29,0.06,363,B9/B9.5V,53 Persei variable,85.563,-33.332,Columbae,WZ Columbae
3518,Columba,HD 46815,,HD 46815,,,,46815,31299,06h 33m 49.49s,-36° 13′ 56.2″,5.42,−0.06,406,K3III,,98.454,-35.768,Columbae,HD 46815 Columbae
3519,Columba,HD 37811,,HD 37811,,,,37811,26649,05h 39m 49.85s,-32° 37′ 44.9″,5.44,0.1,382,G6/G8III,,84.954,-31.371,Columbae,HD 37811 Columbae
3520,Columba,HD 36848,,HD 36848,,,,36848,25993,05h 32m 51.38s,-38° 30′ 48.0″,5.45,1.83,172,K2/K3III,,83.213,-37.487,Columbae,HD 36848 Columbae
3521,Columba,π2 Col,π2,Pi 2,,,,42303,29064,06h 07m 52.87s,-42° 09′ 14.4″,5.5,0.98,261,A0V,,91.967,-41.846,Columbae,Pi 2 Columbae
3522,Columba,σ Col,σ,Sigma,,,,40248,28098,05h 56m 20.94s,-31° 22′ 56.8″,5.52,−2.74,1462,F2III,,89.083,-30.618,Columbae,Sigma Columbae
3523,Columba,HD 41047,,HD 41047,,,,41047,28524,06h 01m 16.29s,-33° 54′ 42.4″,5.54,−0.62,555,K5III,,90.317,-32.088,Columbae,HD 41047 Columbae
3524,Columba,AF Col,,AF,,,AF,42682,29263,06h 10m 10.42s,-40° 21′ 14.3″,5.54,−1.55,853,M2II/III,semiregular variable,92.542,-39.646,Columbae,AF Columbae
3525,Columba,HD 43899,,HD 43899,,,,43899,29842,06h 17m 01.23s,-37° 44′ 15.5″,5.54,0.7,302,K2III,,94.254,-36.263,Columbae,HD 43899 Columbae
3526,Columba,HD 40091,,HD 40091,,,,40091,27955,05h 54m 52.49s,-39° 57′ 28.5″,5.55,−0.42,509,M0III,suspected variable,88.717,-38.042,Columbae,HD 40091 Columbae
3527,Columba,HD 44506,,HD 44506,,,,44506,30143,06h 20m 36.24s,-34° 08′ 39.1″,5.55,−3.40,2012,B3V,"suspected variable, Vmax = 5.48m, Vmin = 5.55m",95.150,-33.856,Columbae,HD 44506 Columbae
3528,Columba,HD 36187,,HD 36187,,,,36187,25608,05h 28m 15.33s,-37° 13′ 51.4″,5.56,0.79,294,A0V,,82.063,-36.769,Columbae,HD 36187 Columbae
3529,Columba,HD 47144,,HD 47144,,,,47144,31457,06h 35m 24.22s,-36° 46′ 47.7″,5.59,−0.66,580,A0V,variable star,98.850,-35.220,Columbae,HD 47144 Columbae
3530,Columba,HD 39720,,HD 39720,,,,39720,27766,05h 52m 33.16s,-37° 37′ 51.6″,5.62,0.65,321,K1III,,88.138,-36.369,Columbae,HD 39720 Columbae
3531,Columba,HD 45145,,HD 45145,,,,45145,30444,06h 24m 01.02s,-36° 42′ 28.4″,5.62,0.74,308,K1II/III,,96.004,-35.292,Columbae,HD 45145 Columbae
