USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3580,Coma Berenices,β Com,β,Beta,43,,,114710,64394,13h 11m 52.92s,+27° 52′ 33.7″,4.26,4.42,30,G0V,"suspected BY Dra variable, ΔV = 0.02m",197.967,27.876,Coma Berenices,Beta Coma Berenices
3581,Coma Berenices,α Com A,α,Alpha,42,,,114378,64241,13h 09m 59.55s,+17° 31′ 44.8″,4.32,3.54,47,F5V,"Diadem, Al Dafirah; double star; suspected Algol variable, Vmax = 4.29m, Vmin = 4.35m, P = 9485.68 d",197.496,17.529,Coma Berenices,Alpha Coma Berenices
3582,Coma Berenices,γ Com,γ,Gamma,15,,,108381,60742,12h 26m 56.33s,+28° 16′ 07.0″,4.35,0.76,170,K2IIICN+...,,186.733,28.269,Coma Berenices,Gamma Coma Berenices
3583,Coma Berenices,11 Com,,11,11,,,107383,60202,12h 20m 43.09s,+17° 47′ 33.6″,4.72,−0.50,361,G8III,,185.179,17.793,Coma Berenices,11 Coma Berenices
3584,Coma Berenices,36 Com,,36,36,,,112769,63355,12h 58m 55.47s,+17° 24′ 33.7″,4.76,−0.05,299,M0III,"suspected variable, Vmax = 4.74m, Vmin = 4.82m",194.729,17.409,Coma Berenices,36 Coma Berenices
3585,Coma Berenices,12 Com A,,12,12,,,107700,60351,12h 22m 30.32s,+25° 50′ 46.3″,4.78,0.16,273,F8:p...,"double star; suspected variable, Vmax = 4.78m, Vmin = 4.89m",185.625,25.846,Coma Berenices,12 Coma Berenices
3586,Coma Berenices,23 Com,,23,23,,,109485,61394,12h 34m 51.12s,+22° 37′ 45.1″,4.8,−0.44,365,A0IV,,188.713,22.629,Coma Berenices,23 Coma Berenices
3587,Coma Berenices,41 Com,,41,41,,,113996,64022,13h 07m 10.71s,+27° 37′ 29.7″,4.8,−0.04,303,K5III,has a planet (b),196.792,27.625,Coma Berenices,41 Coma Berenices
3588,Coma Berenices,35 Com,,35,35,,,112033,62886,12h 53m 17.77s,+21° 14′ 42.1″,4.89,−0.10,324,G8III,,193.321,21.245,Coma Berenices,35 Coma Berenices
3589,Coma Berenices,37 Com,,37,37,,LU,112989,63462,13h 00m 16.49s,+30° 47′ 06.1″,4.9,−2.32,898,K1IIIp,"RS CVn variable, ΔV = 0.15m",195.067,30.785,Coma Berenices,37 Coma Berenices
3590,Coma Berenices,14 Com,,14,14,,,108283,60697,12h 26m 24.07s,+27° 16′ 05.7″,4.92,0.3,273,F0p,,186.600,27.268,Coma Berenices,14 Coma Berenices
3591,Coma Berenices,7 Com,,7,7,,,106714,59847,12h 16m 20.56s,+23° 56′ 43.5″,4.93,0.52,248,K0III,,184.083,23.945,Coma Berenices,7 Coma Berenices
3592,Coma Berenices,31 Com,,31,31,,LS,111812,62763,12h 51m 41.93s,+27° 32′ 26.6″,4.93,0.06,307,G0III,"Polaris Galacticum Borealis, Lángjiāng (郎將)[1], FK Com variable, Vmax = 4.87m, Vmin = 4.97m",192.921,27.541,Coma Berenices,31 Coma Berenices
3593,Coma Berenices,16 Com,,16,16,,,108382,60746,12h 26m 59.30s,+26° 49′ 32.6″,4.98,0.29,282,A4V,,186.746,26.826,Coma Berenices,16 Coma Berenices
3594,Coma Berenices,HD 106760,,HD 106760,,,,106760,59856,12h 16m 30.17s,+33° 03′ 42.5″,4.99,0.13,306,K1III,suspected variable,184.125,33.062,Coma Berenices,HD 106760 Coma Berenices
