USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3686,Corona Australis,β CrA,β,Beta,,,,178345,94160,19h 10m 01.75s,-39° 20′ 26.5″,4.1,−1.86,508,K0II/IIICN.,suspected variable,287.504,-38.659,Coronae Australis,Beta Coronae Australis
3687,Corona Australis,α CrA,α,Alpha,,,,178253,94114,19h 09m 28.28s,-37° 54′ 15.3″,4.11,1.11,130,A0/A1V,"Meridiana (traditionally Alphekka Meridiana, Alfecca Meridiana)",287.367,-36.096,Coronae Australis,Alpha Coronae Australis
3688,Corona Australis,γ CrA A,γ,Gamma,,,,177474,93825,19h 06m 25.04s,-37° 03′ 45.9″,4.23,2.97,58,F7IV-V,double star,286.604,-36.938,Coronae Australis,Gamma Coronae Australis
3689,Corona Australis,δ CrA,δ,Delta,,,,177873,94005,19h 08m 20.93s,-40° 29′ 47.9″,4.57,0.93,175,K1III,,287.083,-39.504,Coronae Australis,Delta Coronae Australis
3690,Corona Australis,θ CrA,θ,Theta,,,,170845,90982,18h 33m 30.16s,-42° 18′ 44.9″,4.62,−2.50,867,G5III,,278.375,-41.688,Coronae Australis,Theta Coronae Australis
3691,Corona Australis,ζ CrA,ζ,Zeta,,,,176638,93542,19h 03m 06.83s,-42° 05′ 42.0″,4.74,0.99,184,A0Vn,,285.775,-41.905,Coronae Australis,Zeta Coronae Australis
3692,Corona Australis,ε CrA,ε,Epsilon,,,,175813,93174,18h 58m 43.47s,-37° 06′ 25.5″,4.83,2.45,98,F3IV/V,"W UMa variable, Vmax = 4.74m, Vmin = 5m, P = 0.5914264 d",284.679,-36.893,Coronae Australis,Epsilon Coronae Australis
3693,Corona Australis,HD 165189,,HD 165189,,,,165189,88726,18h 06m 49.88s,-43° 25′ 29.9″,4.92,1.71,143,A5V,,271.704,-42.575,Coronae Australis,HD 165189 Coronae Australis
3694,Corona Australis,γ CrA B,γ,Gamma,,,,177475,,19h 06m 25.10s,-37° 03′ 48.0″,4.99,,56.4,,component of the γ CrA system,286.604,-36.937,Coronae Australis,Gamma Coronae Australis
3695,Corona Australis,HD 168592,,HD 168592,,,,168592,90037,18h 22m 18.60s,-38° 39′ 24.6″,5.09,−0.85,503,K4/K5III,,275.575,-37.343,Coronae Australis,HD 168592 Coronae Australis
3696,Corona Australis,λ CrA,λ,Lambda,,,,172777,91875,18h 43m 46.94s,-38° 19′ 23.9″,5.11,1.15,202,A0/A1V,"suspected variable, ΔV = 0.07m",280.942,-37.677,Coronae Australis,Lambda Coronae Australis
3697,Corona Australis,HD 170642,,HD 170642,,,,170642,90887,18h 32m 21.31s,-39° 42′ 14.1″,5.16,1.02,220,A3V,,278.088,-38.296,Coronae Australis,HD 170642 Coronae Australis
3698,Corona Australis,μ CrA,μ,Mu,,,,173540,92226,18h 47m 44.60s,-40° 24′ 22.0″,5.2,−0.20,393,G5/G6III,,281.933,-39.594,Coronae Australis,Mu Coronae Australis
3699,Corona Australis,HD 168905,,HD 168905,,,,168905,90200,18h 24m 18.24s,-44° 06′ 36.7″,5.24,−0.79,524,B2.5Vn,suspected variable,276.075,-43.890,Coronae Australis,HD 168905 Coronae Australis
3700,Corona Australis,HD 175219,,HD 175219,,,,175219,92953,18h 56m 16.97s,-42° 42′ 38.2″,5.35,0.46,310,G6III-IV,,284.067,-41.289,Coronae Australis,HD 175219 Coronae Australis
3701,Corona Australis,HD 175362,,V686,,,V686,175362,92989,18h 56m 40.49s,-37° 20′ 35.5″,5.36,−0.22,425,B3V,"α2 CVn variable, Vmax = 5.25m, Vmin = 5.41m, P = 7.34 d",284.167,-36.657,Coronae Australis,V686 Coronae Australis
3702,Corona Australis,HD 172991,,HD 172991,,,,172991,91989,18h 44m 57.15s,-39° 41′ 10.2″,5.4,−2.64,1320,K1/K2III+..,,281.238,-38.314,Coronae Australis,HD 172991 Coronae Australis
3703,Corona Australis,V718 CrA,,V718,,,V718,171967,91494,18h 39m 35.18s,-43° 11′ 08.8″,5.42,−1.58,817,M2III,slow irregular variable,279.896,-42.814,Coronae Australis,V718 Coronae Australis
3704,Corona Australis,HD 167096,,HD 167096,,,,167096,89507,18h 15m 53.39s,-44° 12′ 23.4″,5.45,0.87,268,G8/K0III,,273.971,-43.794,Coronae Australis,HD 167096 Coronae Australis
3705,Corona Australis,η1 CrA,η1,Eta 1,,,,173715,92308,18h 48m 50.47s,-43° 40′ 48.0″,5.46,0.33,347,A2Vn,,282.208,-42.320,Coronae Australis,Eta 1 Coronae Australis
3706,Corona Australis,V692 CrA,,V692,,,V692,166596,89290,18h 13m 12.70s,-41° 20′ 09.9″,5.47,−3.06,1655,B2.5III,"SX Ari variable, ΔV = 0.05m, P = 1.67 d",273.300,-40.664,Coronae Australis,V692 Coronae Australis
3707,Corona Australis,η2 CrA,η2,Eta 2,,,,173861,92382,18h 49m 35.00s,-43° 26′ 02.5″,5.6,−0.75,607,B9IV,,282.396,-42.566,Coronae Australis,Eta 2 Coronae Australis
3708,Corona Australis,HD 169853,,HD 169853,,,,169853,90541,18h 28m 27.11s,-38° 59′ 44.1″,5.63,−0.29,498,A2m...,,277.113,-37.004,Coronae Australis,HD 169853 Coronae Australis
3709,Corona Australis,κ2 CrA,κ2,Kappa 2,,,,170868,90968,18h 33m 23.13s,-38° 43′ 33.4″,5.67,−2.94,1716,B9.5,,278.346,-37.274,Coronae Australis,Kappa 2 Coronae Australis
3710,Corona Australis,HD 170521,,HD 170521,,,,170521,90842,18h 31m 56.22s,-43° 30′ 26.5″,5.71,−2.20,1244,K2III,,277.983,-42.493,Coronae Australis,HD 170521 Coronae Australis
3711,Corona Australis,V701 CrA,,V701,,,V701,176723,93552,19h 03m 17.69s,-38° 15′ 11.5″,5.73,1.68,211,F2III/IV,"δ Sct variable, Vmax = 5.69m, Vmin = 5.73m",285.821,-37.747,Coronae Australis,V701 Coronae Australis
3712,Corona Australis,HD 166114,,HD 166114,,,,166114,89099,18h 11m 05.54s,-41° 21′ 32.5″,5.86,1.28,269,F0Vn,suspected variable,272.771,-40.641,Coronae Australis,HD 166114 Coronae Australis
3713,Corona Australis,HD 178322,,HD 178322,,,,178322,94157,19h 09m 57.65s,-41° 53′ 32.0″,5.86,−1.14,817,B5V,suspected variable,287.488,-40.108,Coronae Australis,HD 178322 Coronae Australis
3714,Corona Australis,HD 179433,,HD 179433,,,,179433,94556,19h 14m 39.52s,-45° 11′ 36.4″,5.91,1.12,296,G8III,,288.663,-44.807,Coronae Australis,HD 179433 Coronae Australis
3715,Corona Australis,HD 170384,,HD 170384,,,,170384,90759,18h 31m 02.95s,-41° 54′ 49.5″,6.02,1.55,255,A3V,,277.758,-40.086,Coronae Australis,HD 170384 Coronae Australis
3716,Corona Australis,HD 177565,,HD 177565,,,,177565,93858,19h 06m 52.60s,-37° 48′ 35.2″,6.15,4.98,56,G8V,,286.717,-36.190,Coronae Australis,HD 177565 Coronae Australis
3717,Corona Australis,HD 176425,,HD 176425,,,,176425,93470,19h 02m 08.50s,-41° 54′ 37.7″,6.21,1.04,352,A0V,,285.533,-40.090,Coronae Australis,HD 176425 Coronae Australis
3718,Corona Australis,HD 170773,,HD 170773,,,,170773,90936,18h 33m 00.85s,-39° 53′ 30.6″,6.22,3.43,118,F5V,,278.250,-38.108,Coronae Australis,HD 170773 Coronae Australis
