USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3745,Corona Borealis,α CrB,α,Alpha,5,,,139006,76267,15h 34m 41.19s,+26° 42′ 53.7″,2.22,0.42,75,A0V,"Alphecca, Alphacca, Alphekka, Gemma, Gnosia, Gnosia Stella Coronae, Asteroth, Ashtaroth; Algol variable",233.671,26.715,Coronae Borealis,Alpha Coronae Borealis
3746,Corona Borealis,β CrB,β,Beta,3,,,137909,75695,15h 27m 49.85s,+29° 06′ 19.8″,3.66,0.94,114,F0p,"Nusakan; α² CVn variable, Vmax = 3.65m, Vmin = 3.72m, P = 18.487 d",231.954,29.105,Coronae Borealis,Beta Coronae Borealis
3747,Corona Borealis,γ CrB,γ,Gamma,8,,,140436,76952,15h 42m 44.64s,+26° 17′ 43.9″,3.81,0.57,145,A1Vs,"δ Sct variable, Vmax = 3.8m, Vmin = 3.86m, P = 0.03 d",235.683,26.295,Coronae Borealis,Gamma Coronae Borealis
3748,Corona Borealis,θ CrB,θ,Theta,4,,,138749,76127,15h 32m 55.80s,+31° 21′ 33.0″,4.14,−0.76,311,B6Vnn,"Be star, Vmax = 4.06m, Vmin = 4.33m",233.229,31.359,Coronae Borealis,Theta Coronae Borealis
3749,Corona Borealis,ε CrB,ε,Epsilon,13,,,143107,78159,15h 57m 35.30s,+26° 52′ 40.9″,4.14,−0.10,230,K3III,has a planet (b),239.396,26.878,Coronae Borealis,Epsilon Coronae Borealis
3750,Corona Borealis,δ CrB,δ,Delta,10,,,141714,77512,15h 49m 35.70s,+26° 04′ 06.8″,4.59,1.06,165,G5III-IV,"RS CVn variable, Vmax = 4.57m, Vmin = 4.69m",237.396,26.068,Coronae Borealis,Delta Coronae Borealis
3751,Corona Borealis,ζ CrB,ζ,Zeta,7,,,139891,76669,15h 39m 22.68s,+36° 38′ 09.0″,4.64,−1.17,473,B7V+...,"ζ2, a spectroscopic triple, is 6"" from ζ1",234.842,36.636,Coronae Borealis,Zeta Coronae Borealis
3752,Corona Borealis,τ CrB,τ,Tau,16,,,145328,79119,16h 08m 58.33s,+36° 29′ 24.4″,4.73,2.03,113,K0III-IV,"suspected variable, Vmax = 4.72m, Vmin = 4.82m",242.242,36.490,Coronae Borealis,Tau Coronae Borealis
3753,Corona Borealis,κ CrB,κ,Kappa,11,,,142091,77655,15h 51m 13.94s,+35° 39′ 29.6″,4.79,2.32,101,K0III-IV,has a planet (b),237.804,35.658,Coronae Borealis,Kappa Coronae Borealis
3754,Corona Borealis,ξ CrB,ξ,Xi,19,,,147677,80181,16h 22m 05.89s,+30° 53′ 30.2″,4.86,1.11,184,K0III,suspected variable,245.521,30.892,Coronae Borealis,Xi Coronae Borealis
3755,Corona Borealis,ι CrB,ι,Iota,14,,,143807,78493,16h 01m 26.59s,+29° 51′ 03.9″,4.98,−0.18,351,A0p...,"suspected α2 CVn variable, Vmax = 4.96m, Vmin = 5.08m",240.358,29.851,Coronae Borealis,Iota Coronae Borealis
3756,Corona Borealis,η CrB A,η,Eta,2,,,137107,75312,15h 23m 12.23s,+30° 17′ 17.7″,4.99,3.64,61,G2V,"double star; suspected variable, Vmax = 4.94m, Vmin = 5.02m",230.800,30.288,Coronae Borealis,Eta Coronae Borealis
3757,Corona Borealis,μ CrB,μ,Mu,6,,,139153,76307,15h 35m 14.90s,+39° 00′ 36.2″,5.14,−1.08,571,M2III,"variable star, ΔV = 0.015m, P = 40.73320 d",233.808,39.010,Coronae Borealis,Mu Coronae Borealis
3758,Corona Borealis,ν1 CrB,ν1,Nu 1,20,,,147749,80197,16h 22m 21.42s,+33° 47′ 56.9″,5.2,−0.96,555,M2III,"variable star, ΔV = 0.011m, P = 4.41014 d",245.588,33.799,Coronae Borealis,Nu 1 Coronae Borealis
3759,Corona Borealis,ρ CrB,ρ,Rho,15,,,143761,78459,16h 01m 02.80s,+33° 18′ 19.4″,5.39,4.18,57,G2V,"has a companion, has two planets (b & c), now thought to be a low mass star.",240.258,33.305,Coronae Borealis,Rho Coronae Borealis
3760,Corona Borealis,ν2 CrB,ν2,Nu 2,21,,,147767,80214,16h 22m 29.22s,+33° 42′ 12.1″,5.4,−0.72,545,K5III,suspected variable,245.621,33.703,Coronae Borealis,Nu 2 Coronae Borealis
3761,Corona Borealis,λ CrB,λ,Lambda,12,,,142908,78012,15h 55m 47.57s,+37° 56′ 48.3″,5.43,2.34,135,F0IV,"suspected variable, Vmax = 5.37m, Vmin = 5.44m",238.946,37.947,Coronae Borealis,Lambda Coronae Borealis
3762,Corona Borealis,ο CrB,ο,Omicron,1,,,136512,75049,15h 20m 08.64s,+29° 36′ 58.7″,5.51,0.89,274,K0III,has a planet (b),230.033,29.616,Coronae Borealis,Omicron Coronae Borealis
3763,Corona Borealis,σ CrB A,σ2,Sigma 2,17,,TZ,146361,79607,16h 14m 41.04s,+33° 51′ 31.8″,5.56,3.78,71,F8V,"RS CVn variable, Vmax = 5.54m, Vmin = 5.69m, P = 1.1397912 d",243.671,33.859,Coronae Borealis,Sigma 2 Coronae Borealis
3764,Corona Borealis,π CrB,π,Pi,9,,,140716,77048,15h 43m 59.32s,+32° 30′ 57.0″,5.57,1.16,249,G9III:,,235.996,32.516,Coronae Borealis,Pi Coronae Borealis
3765,Corona Borealis,HD 143435,,HD 143435,,,,143435,78276,15h 58m 57.70s,+36° 38′ 37.3″,5.61,−1.59,898,K5III,suspected variable,239.738,36.644,Coronae Borealis,HD 143435 Coronae Borealis
3766,Corona Borealis,HD 145849,,HD 145849,,,,145849,79358,16h 11m 48.06s,+36° 25′ 30.6″,5.62,−0.74,610,K3III SB,,242.950,36.425,Coronae Borealis,HD 145849 Coronae Borealis
3767,Corona Borealis,HD 144208,,HD 144208,,,,144208,78649,16h 03m 19.36s,+36° 37′ 54.6″,5.79,−0.84,691,A2V+...,,240.829,36.632,Coronae Borealis,HD 144208 Coronae Borealis
3768,Corona Borealis,υ CrB,υ,Upsilon,18,,,146738,79757,16h 16m 44.77s,+29° 09′ 01.1″,5.8,−1.22,825,A3V,"suspected variable, Vmax = 5.78m, Vmin = 5.88m",244.183,29.150,Coronae Borealis,Upsilon Coronae Borealis
3769,Corona Borealis,R CrB,,R,,,R,141527,77442,15h 48m 34.42s,+28° 09′ 24.4″,5.89,−5.45,6037,"C0,0 (F8pe)","prototype R CrB variable, Vmax = 5.71m, Vmin = 15.2m",237.142,28.157,Coronae Borealis,R Coronae Borealis
3770,Corona Borealis,η CrB B,η,Eta,2,,,137108,,15h 23m 12.30s,+30° 17′ 16.0″,6.08,,58.3,,component of the η CrB system,230.800,30.288,Coronae Borealis,Eta Coronae Borealis
3771,Corona Borealis,HD 139761,,HD 139761,,,,139761,76617,15h 38m 48.86s,+34° 40′ 30.3″,6.12,0.37,460,K0,,234.700,34.675,Coronae Borealis,HD 139761 Coronae Borealis
3772,Corona Borealis,HD 146537,,HD 146537,,,,146537,79686,16h 15m 47.34s,+27° 25′ 19.8″,6.14,0.48,442,K2,,243.946,27.422,Coronae Borealis,HD 146537 Coronae Borealis
3773,Corona Borealis,HD 139284,,HD 139284,,,,139284,76366,15h 35m 49.19s,+38° 22′ 26.2″,6.3,−0.31,683,K2,,233.954,38.374,Coronae Borealis,HD 139284 Coronae Borealis
3774,Corona Borealis,HD 145802,,HD 145802,,,,145802,79350,16h 11m 39.60s,+33° 20′ 33.8″,6.3,0.31,515,K2III,suspected variable,242.913,33.343,Coronae Borealis,HD 145802 Coronae Borealis
3775,Corona Borealis,HD 136403,,HD 136403,,,,136403,75000,15h 19m 30.07s,+32° 30′ 53.6″,6.33,1.67,278,A2m,,229.875,32.515,Coronae Borealis,HD 136403 Coronae Borealis
3776,Corona Borealis,HD 138525,,HD 138525,,,,138525,76006,15h 31m 22.31s,+36° 37′ 00.0″,6.39,2.19,225,F6III,,232.842,36.617,Coronae Borealis,HD 138525 Coronae Borealis
3777,Corona Borealis,HD 145957,,HD 145957,,,,145957,79385,16h 12m 06.55s,+39° 03′ 20.1″,6.39,−0.73,867,K0,,243.025,39.056,Coronae Borealis,HD 145957 Coronae Borealis
3778,Corona Borealis,HD 141456,,HD 141456,,,,141456,77397,15h 48m 01.79s,+31° 44′ 08.6″,6.41,−0.60,823,K5,"variable star, ΔV = 0.008m, P = 9.14829 d",237.004,31.736,Coronae Borealis,HD 141456 Coronae Borealis
3779,Corona Borealis,23 Her,,23,-23,,,147835,80247,16h 22m 56.48s,+32° 19′ 58.9″,6.41,0.42,515,A4Vn,,245.733,32.333,Coronae Borealis,23 Coronae Borealis
3780,Corona Borealis,HD 138341,,HD 138341,,,,138341,75919,15h 30m 22.78s,+31° 17′ 09.5″,6.45,0.7,460,A4IV,,232.592,31.286,Coronae Borealis,HD 138341 Coronae Borealis
