USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3800,Corvus,γ Crv,γ,Gamma,4,,,106625,59803,12h 15m 48.47s,-17° 32′ 31.1″,2.58,−0.94,165,B8III,"Gienah Corvi, Gienah, Gienah Ghurab, Djenah al Ghyrab al Eymen, Dextra ala Corvi;[1] suspected variable, Vmax = 2.56m, Vmin = 2.60m",183.950,-16.458,Corvi,Gamma Corvi
3801,Corvus,β Crv,β,Beta,9,,,109379,61359,12h 34m 23.23s,-23° 23′ 47.8″,2.65,−0.51,140,G5II,"Kraz, Tso Hea; suspected variable, Vmax = 2.60m, Vmin = 2.66m",188.596,-22.604,Corvi,Beta Corvi
3802,Corvus,δ Crv,δ,Delta,7,,,108767,60965,12h 29m 51.98s,-16° 30′ 54.3″,2.94,0.79,88,B9.5V,"Algorab, Algoral, Algorel, Algores; double star; suspected variable, Vmax = 2.91m, Vmin = 2.96m",187.463,-15.485,Corvi,Delta Corvi
3803,Corvus,ε Crv,ε,Epsilon,2,,,105707,59316,12h 10m 07.53s,-22° 37′ 11.3″,3.02,−1.82,303,K2III,"Minkar; suspected variable, Vmax = 2.98m, Vmin = 3.06m",182.529,-21.380,Corvi,Epsilon Corvi
3804,Corvus,α Crv,α,Alpha,1,,,105452,59199,12h 08m 24.75s,-24° 43′ 43.6″,4.02,3.17,48,F0IV/V,"Al Chiba, Al Minliar al Ghurab, Alchiba, Alchita, Alkhiba, Minkar al Ghyrab, Rostrum Corvi;[1]",182.100,-23.271,Corvi,Alpha Corvi
3805,Corvus,η Crv,η,Eta,8,,,109085,61174,12h 32m 04.48s,-16° 11′ 45.1″,4.3,3,59,F2V,"suspected variable, Vmax = 4.29m, Vmin = 4.32m",188.017,-15.804,Corvi,Eta Corvi
3806,Corvus,HD 107418,,HD 107418,,,,107418,60221,12h 20m 55.72s,-13° 33′ 56.7″,5.15,1.24,201,K0III,"suspected variable, Vmax = 5.14m, Vmin = 5.17m",185.229,-12.434,Corvi,HD 107418 Corvi
3807,Corvus,VV Crv,,VV,,,VV,110317,61910,12h 41m 16.02s,-13° 00′ 50.1″,5.17,0.51,278,F3IV,quadruple star; Algol variable,190.317,-12.986,Corvi,VV Corvi
3808,Corvus,ζ Crv,ζ,Zeta,5,,,107348,60189,12h 20m 33.71s,-22° 12′ 57.0″,5.2,−0.16,385,B8V,"Chang Sha (長沙);[2] emission-line star; double star, suspected variable",185.138,-21.784,Corvi,Zeta Corvi
3809,Corvus,31 Crt,,31,-31,,TY,104337,58587,12h 00m 51.17s,-19° 39′ 32.4″,5.28,−3.37,1753,B2IV,spectroscopic binary; rotating ellipsoidal variable; once mistaken for a moon of Mercury,180.213,-18.341,Corvi,31 Corvi
3810,Corvus,3 Crv,,3,3,,,105850,59394,12h 11m 03.88s,-23° 36′ 08.5″,5.45,1.7,183,A1V,,182.763,-22.398,Corvi,3 Corvi
3811,Corvus,HD 109272,,HD 109272,,,,109272,61296,12h 33m 34.27s,-12° 49′ 49.2″,5.58,2.15,158,G8III/IV,,188.392,-11.170,Corvi,HD 109272 Corvi
3812,Corvus,HD 108821,,HD 108821,,,,108821,61015,12h 30m 17.46s,-23° 41′ 47.1″,5.63,−1.57,898,M0III,,187.571,-22.304,Corvi,HD 108821 Corvi
3813,Corvus,6 Crv,,6,6,,,107815,60425,12h 23m 21.60s,-24° 50′ 26.2″,5.66,0.73,316,K1III,,185.838,-23.159,Corvi,6 Corvi
3814,Corvus,HD 109141,,HD 109141,,,,109141,61212,12h 32m 36.09s,-13° 51′ 32.3″,5.74,2.9,120,F3IV/V,,188.150,-12.141,Corvi,HD 109141 Corvi
3815,Corvus,HD 106485,,HD 106485,,,,106485,59728,12h 14m 59.58s,-20° 50′ 39.2″,5.82,0.65,353,K0IIICN...,,183.746,-19.156,Corvi,HD 106485 Corvi
3816,Corvus,HD 107295,,HD 107295,,,,107295,60157,12h 20m 10.83s,-22° 10′ 32.3″,5.94,0.13,474,K0III+...,double star,185.042,-21.824,Corvi,HD 107295 Corvi
3817,Corvus,HD 109931,,HD 109931,,,,109931,61688,12h 38m 44.69s,-18° 15′ 00.6″,6,2.03,203,F0V,,189.683,-17.750,Corvi,HD 109931 Corvi
3818,Corvus,HD 110385,,HD 110385,,,,110385,61951,12h 41m 49.51s,-19° 45′ 32.9″,6.02,1.91,216,F2V,,190.454,-18.241,Corvi,HD 110385 Corvi
3819,Corvus,HD 106819,,HD 106819,,,,106819,59895,12h 17m 03.36s,-16° 41′ 37.5″,6.05,−0.04,540,A2V,"suspected variable, Vmax = 5.82m, Vmin = 6.06m",184.263,-15.306,Corvi,HD 106819 Corvi
