USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3839,Crater,δ Crt,δ,Delta,12,,,98430,55282,11h 19m 20.52s,-14° 46′ 44.6″,3.56,−0.32,195,K0III,,169.833,-13.221,Crateris,Delta Crateris
3840,Crater,γ Crt,γ,Gamma,15,,,99211,55705,11h 24m 52.98s,-17° 41′ 02.5″,4.06,2.01,84,A9V,double star,171.217,-16.316,Crateris,Gamma Crateris
3841,Crater,α Crt,α,Alpha,7,,,95272,53740,10h 59m 46.75s,-18° 17′ 56.8″,4.08,0.44,174,K1III,"Alkes, Aoul al Batjna, Prima Crateris[1]",164.942,-17.701,Crateris,Alpha Crateris
3842,Crater,β Crt,β,Beta,11,,,97277,54682,11h 11m 39.49s,-22° 49′ 32.2″,4.46,−0.10,266,A1V,Al Sharāsīf II[2][3],167.913,-21.174,Crateris,Beta Crateris
3843,Crater,θ Crt,θ,Theta,21,,,100889,56633,11h 36m 40.95s,-09° 48′ 08.1″,4.7,−0.15,305,B9.5Vn,,174.167,-8.198,Crateris,Theta Crateris
3844,Crater,ζ Crt,ζ,Zeta,27,,,102070,57283,11h 44m 45.76s,-18° 21′ 02.2″,4.71,−0.45,350,G8III,,176.188,-17.649,Crateris,Zeta Crateris
3845,Crater,ε Crt,ε,Epsilon,14,,,99167,55687,11h 24m 36.61s,-10° 51′ 33.8″,4.81,−0.43,364,K5III,,171.150,-9.141,Crateris,Epsilon Crateris
3846,Crater,λ Crt,λ,Lambda,13,,,98991,55598,11h 23m 22.07s,-18° 46′ 47.6″,5.08,1.87,143,F3IV,spectroscopic binary,170.842,-17.220,Crateris,Lambda Crateris
3847,Crater,η Crt,η,Eta,30,,,103632,58188,11h 56m 00.98s,-17° 09′ 02.9″,5.17,0.46,285,A0V,,179.000,-16.849,Crateris,Eta Crateris
3848,Crater,ι Crt,ι,Iota,24,,,101198,56802,11h 38m 39.96s,-13° 12′ 08.1″,5.48,3.32,88,F7V,double star,174.663,-12.798,Crateris,Iota Crateris
3849,Crater,HD 95808,,HD 95808,,,,95808,54029,11h 03m 14.93s,-11° 18′ 11.6″,5.51,0.56,318,G7III...,double star,165.808,-10.697,Crateris,HD 95808 Crateris
3850,Crater,HD 94481,,HD 94481,,,,94481,53316,10h 54m 17.78s,-13° 45′ 29.0″,5.65,0.16,409,K0III + (G),,163.571,-12.242,Crateris,HD 94481 Crateris
3851,Crater,HD 99922,,HD 99922,,,,99922,56078,11h 29m 38.65s,-24° 27′ 50.6″,5.77,0.31,403,A0V,double star; suspected variable,172.408,-23.536,Crateris,HD 99922 Crateris
3852,Crater,HD 95314,,HD 95314,,,,95314,53778,11h 00m 11.70s,-14° 04′ 59.9″,5.86,0.2,442,K5III,suspected variable,165.046,-13.917,Crateris,HD 95314 Crateris
3853,Crater,HD 95234,,HD 95234,,,,95234,53723,10h 59m 30.95s,-16° 21′ 13.3″,5.88,−1.92,1185,M1III,"variable star, ΔV = 0.011m, P = 0.09041 d",164.875,-15.646,Crateris,HD 95234 Crateris
3854,Crater,κ Crt,κ,Kappa,16,,,99564,55874,11h 27m 09.58s,-12° 21′ 24.5″,5.93,1.8,219,F4III-IV,Al Sharāsīf I; double star,171.788,-11.643,Crateris,Kappa Crateris
3855,Crater,HD 100343,,HD 100343,,,,100343,56318,11h 32m 47.54s,-07° 49′ 39.1″,5.94,−0.29,575,K4III,,173.196,-6.173,Crateris,HD 100343 Crateris
3856,Crater,HD 100418,,HD 100418,,,,100418,56364,11h 33m 14.81s,-16° 16′ 49.0″,6.05,0.6,400,F8/G0Ib/II,,173.308,-15.720,Crateris,HD 100418 Crateris
3857,Crater,HD 96220,,HD 96220,,,,96220,54214,11h 05m 33.98s,-11° 05′ 19.4″,6.09,2.05,209,F0Vn,,166.388,-10.911,Crateris,HD 96220 Crateris
3858,Crater,ψ Crt,ψ,Psi,,,,97411,54742,11h 12m 30.38s,-18° 29′ 59.3″,6.11,0.28,479,A0V,double star,168.125,-17.500,Crateris,Psi Crateris
3859,Crater,HD 98088,,SV,,,SV,98088,55106,11h 16m 58.18s,-07° 08′ 04.9″,6.11,0.56,421,A2p...,Abt's Star; spectroscopic binary; α2 CVn variable,169.242,-6.866,Crateris,SV Crateris
3860,Crater,HD 102845,,HD 102845,,,,102845,57732,11h 50m 19.60s,-15° 51′ 49.3″,6.13,−0.44,672,G8II/III,,177.579,-14.136,Crateris,HD 102845 Crateris
3861,Crater,VX Crt,,VX,,,VX,101370,56899,11h 39m 50.35s,-16° 37′ 12.8″,6.17,−1.29,1012,M3II/III,semiregular variable,174.958,-15.380,Crateris,VX Crateris
3862,Crater,HD 101369,,HD 101369,,,,101369,56901,11h 39m 51.14s,-14° 28′ 06.6″,6.21,−0.10,597,A0V,double star,174.963,-13.532,Crateris,HD 101369 Crateris
3863,Crater,HD 101695,,HD 101695,,,,101695,57079,11h 42m 03.53s,-20° 17′ 38.5″,6.21,1.93,234,G8IV,,175.513,-19.706,Crateris,HD 101695 Crateris
3864,Crater,HD 100219,,HD 100219,,,,100219,56245,11h 31m 47.63s,-20° 46′ 35.6″,6.24,3.26,129,F7V,,172.946,-19.224,Crateris,HD 100219 Crateris
3865,Crater,HD 102574,,HD 102574,,,,102574,57587,11h 48m 23.55s,-10° 18′ 46.2″,6.24,3.09,139,F7V,triple star,177.096,-9.687,Crateris,HD 102574 Crateris
3866,Crater,HD 94386,,HD 94386,,,,94386,53259,10h 53m 32.86s,-15° 26′ 44.5″,6.34,1.91,251,K2III,,163.383,-14.554,Crateris,HD 94386 Crateris
3867,Crater,HD 95870,,HD 95870,,,,95870,54048,11h 03m 36.53s,-13° 26′ 05.7″,6.34,0.21,549,G8III,,165.900,-12.565,Crateris,HD 95870 Crateris
3868,Crater,HD 102990,,HD 102990,,,,102990,57819,11h 51m 22.04s,-12° 11′ 16.5″,6.34,3.08,147,F1III-IV,,177.842,-11.812,Crateris,HD 102990 Crateris
3869,Crater,HD 95441,,HD 95441,,,,95441,53849,11h 00m 57.34s,-15° 47′ 33.3″,6.35,0.13,572,K0III,,165.238,-14.208,Crateris,HD 95441 Crateris
3870,Crater,HD 97428,,HD 97428,,,,97428,54749,11h 12m 34.79s,-21° 44′ 57.7″,6.39,−0.22,685,K3III,,168.142,-20.251,Crateris,HD 97428 Crateris
3871,Crater,HD 101259,,HD 101259,,,,101259,56830,11h 39m 00.42s,-24° 43′ 13.8″,6.4,2.34,211,G6/G8V,,174.750,-23.280,Crateris,HD 101259 Crateris
3872,Crater,SY Crt,,SY,,,SY,97918,54999,11h 15m 39.77s,-12° 35′ 33.3″,6.58,,797,M3III,"semiregular variable, Vmax = 6.34m, Vmin = 6.62m",168.913,-11.408,Crateris,SY Crateris
3873,Crater,HD 98649,,HD 98649,,,,98649,55409,11h 20m 52.00s,-23° 13′ 02.00″,8.03,,131,G4V,has a planet (b),170.217,-22.783,Crateris,HD 98649 Crateris
