USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3891,Crux,β Cru,β,Beta,,,,111123,62434,12h 47m 43.32s,-59° 41′ 19.4″,1.25,−3.92,352,B0.5III,"Mimosa, Becrux; 20th brightest star; β Cep variable, Vmax = +1.23m, Vmin = +1.31m, P = 0.2365072 d Probable high-mass member of Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[1]",191.929,-58.311,Crucis,Beta Crucis
3892,Crux,α1 Cru (α Cru A),α1,Alpha 1,,,,108248,60718,12h 26m 35.94s,-63° 05′ 56.6″,1.4,−3.6,321,B0.5IV,"Acrux, 23rd brightest star, multiple star, spectroscopic binary. Possible member Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association (debated).[1]",186.646,-62.901,Crucis,Alpha 1 Crucis
3893,Crux,γ Cru,γ,Gamma,,,,108903,61084,12h 31m 09.93s,-57° 06′ 45.2″,1.6,−0.56,88,M4III,"Gacrux, SRV, Vmax = +1.60m, Vmin = +1.67m",187.788,-56.888,Crucis,Gamma Crucis
3894,Crux,α2 Cru (α Cru B),α2,Alpha 2,,,,108249,,12h 26m 36.50s,-63° 05′ 58.0″,2.09,−2.88,321,B1V,component of the α Cru system. Possible member Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association (debated).[1],186.650,-62.901,Crucis,Alpha 2 Crucis
3895,Crux,δ Cru,δ,Delta,,,,106490,59747,12h 15m 08.76s,-58° 44′ 56.0″,2.79,−2.45,364,B2IV,"Imai[2], β Cep variable; Vmax = +2.78m, Vmin = +2.80m, P = 0.151038 d; Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[3]",183.783,-57.251,Crucis,Delta Crucis
3896,Crux,ε Cru,ε,Epsilon,,,,107446,60260,12h 21m 21.81s,-60° 24′ 04.9″,3.59,−0.63,228,K3/K4III,"Ginan, suspected variable",185.338,-59.599,Crucis,Epsilon Crucis
3897,Crux,μ1 Cru,μ1,Mu 1,,,,112092,63003,12h 54m 35.66s,-57° 10′ 40.4″,4.03,−1.29,377,B2IV-V,binary star; suspected variable; Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[3],193.646,-56.822,Crucis,Mu 1 Crucis
3898,Crux,ζ Cru,ζ,Zeta,,,,106983,60009,12h 18m 26.29s,-64° 00′ 11.0″,4.06,−1.16,361,B2.5V,"double star, Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[3]",184.608,-63.997,Crucis,Zeta Crucis
3899,Crux,η Cru,η,Eta,,,,105211,59072,12h 06m 52.85s,-64° 36′ 49.1″,4.14,2.67,64,F2III,double star,181.717,-63.386,Crucis,Eta Crucis
3900,Crux,θ1 Cru,θ1,Theta 1,,,,104671,58758,12h 03m 01.70s,-63° 18′ 46.6″,4.32,0.08,230,Am,spectroscopic binary,180.754,-62.687,Crucis,Theta 1 Crucis
3901,Crux,HD 110956,,HD 110956,,,,110956,62327,12h 46m 22.75s,-56° 29′ 19.6″,4.62,−0.80,396,B3V,double star; suspected slow irregular variable; Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[3],191.592,-55.511,Crucis,HD 110956 Crucis
3902,Crux,λ Cru,λ,Lambda,,,,112078,63007,12h 54m 39.22s,-59° 08′ 48.0″,4.62,−0.59,360,B4Vn,"β Cep variable, ΔV = 0.02m, P = 0.3951 d, Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[3]",193.663,-58.853,Crucis,Lambda Crucis
3903,Crux,ι Cru,ι,Iota,,,,110829,62268,12h 45m 37.92s,-60° 58′ 52.2″,4.69,1.78,125,K1III,optical double,191.404,-59.019,Crucis,Iota Crucis
3904,Crux,θ2 Cru,θ2,Theta 2,,,,104841,58867,12h 04m 19.24s,-63° 09′ 56.6″,4.72,−2.10,753,B2IV,"spectroscopic binary; β Cep variable, Vmax = +4.70m, Vmin = +4.74m, P = 0.0889 d",181.079,-62.834,Crucis,Theta 2 Crucis
3905,Crux,α Cru C,,HD 108250,,,,108250,,12h 26m 30.90s,-63° 07′ 21.0″,4.86,,,B4IV,probable optical double with the α Cru system; suspected variable,186.625,-62.878,Crucis,HD 108250 Crucis
3906,Crux,CH Cru,,CH,,,CH,110335,61966,12h 41m 56.60s,-59° 41′ 08.9″,4.91,−2.60,1035,B6IV,γ Cas variable,190.483,-58.314,Crucis,CH Crucis
3907,Crux,μ2 Cru,μ2,Mu 2,,,,112091,63005,12h 54m 36.92s,-57° 10′ 07.1″,5.08,−0.14,361,B5Vne,"component of μ Cru system; γ Cas variable, Vmax = +4.99m, Vmin = +5.18m",193.650,-56.831,Crucis,Mu 2 Crucis
3908,Crux,HD 110432,,BZ,,,BZ,110432,62027,12h 42m 50.28s,-63° 03′ 31.0″,5.27,−2.12,982,B2pe,"high-mass X-ray binary; γ Cas variable, Vmax = +5.24m, Vmin = +5.45m",190.708,-62.941,Crucis,BZ Crucis
3909,Crux,HD 112244,,HD 112244,,,,112244,63117,12h 55m 57.14s,-56° 50′ 08.9″,5.34,−3.47,1884,O9Ib,"emission-line star; variable star, ΔV = 0.008m, P = 2.00288 d",193.988,-55.164,Crucis,HD 112244 Crucis
3910,Crux,HD 107696,,HD 107696,,,,107696,60379,12h 22m 49.47s,-57° 40′ 34.0″,5.38,0.28,342,B9V,suspected variable,185.704,-56.324,Crucis,HD 107696 Crucis
3911,Crux,BL Cru,,BL,,,BL,108396,60781,12h 27m 28.88s,-58° 59′ 30.4″,5.38,−0.82,566,M4/M5III,"semiregular variable, ΔV = 0.35m",186.867,-57.008,Crucis,BL Crucis
3912,Crux,HD 103961,,HD 103961,,,,103961,58379,11h 58m 15.25s,-56° 19′ 02.3″,5.44,−1.00,633,B8III,"suspected variable, Vmax = +5.43m, Vmin = +5.48m",179.563,-55.683,Crucis,HD 103961 Crucis
3913,Crux,BG Cru,,BG,,,BG,108968,61136,12h 31m 40.34s,-59° 25′ 26.1″,5.49,−3.07,1680,F5Ib-G0p,"Cepheid variable, Vmax = +5.34m, Vmin = +5.58m, P = 3.3428 d",187.917,-58.576,Crucis,BG Crucis
3914,Crux,HD 103884,,HD 103884,,,,103884,58326,11h 57m 40.04s,-62° 26′ 55.4″,5.59,−0.73,598,B3V,suspected variable,179.417,-61.551,Crucis,HD 103884 Crucis
3915,Crux,HD 104035,,HD 104035,,,,104035,58427,11h 58m 47.67s,-64° 20′ 22.4″,5.59,−4.11,2835,A3Ib,,179.696,-63.661,Crucis,HD 104035 Crucis
3916,Crux,DS Cru,,DS,,,DS,111613,62732,12h 51m 17.98s,-60° 19′ 47.2″,5.71,−4.10,2991,A2Iab,emission-line star; α Cyg variable,192.821,-59.670,Crucis,DS Crucis
3917,Crux,HD 111904,,HD 111904,,,,111904,62894,12h 53m 21.90s,-60° 19′ 42.6″,5.75,−4.71,4025,B9Ia,"suspected variable, Vmax = +5.70m, Vmin = +6.80m",193.338,-59.672,Crucis,HD 111904 Crucis
3918,Crux,HD 108732,,HD 108732,,,,108732,60969,12h 29m 54.19s,-56° 31′ 29.9″,5.78,−0.40,562,M1III,"variable star, ΔV = 0.010m, P = 196.46365 d",187.475,-55.475,Crucis,HD 108732 Crucis
3919,Crux,HD 106068,,HD 106068,,,,106068,59517,12h 12m 21.99s,-62° 57′ 02.8″,5.91,−4.96,4866,B9Ia,"suspected variable, ΔV = 0.02m",183.088,-61.049,Crucis,HD 106068 Crucis
3920,Crux,HD 107543,,HD 107543,,,,107543,60308,12h 21m 57.44s,-56° 22′ 27.8″,5.91,−2.73,1743,K4III + (F),"variable star, ΔV = 0.007m, P = 11.23596 d",185.488,-55.626,Crucis,HD 107543 Crucis
3921,Crux,HD 104933,,HD 104933,,,,104933,58921,12h 04m 57.25s,-60° 58′ 05.7″,5.95,−0.59,661,M2III,suspected variable,181.238,-59.032,Crucis,HD 104933 Crucis
3922,Crux,HD 109000,,HD 109000,,,,109000,61158,12h 31m 56.15s,-63° 30′ 21.2″,5.96,1.62,240,A8III,,187.983,-62.494,Crucis,HD 109000 Crucis
3923,Crux,κ Cru,κ,Kappa,,,,111973,62931,12h 53m 48.92s,-60° 22′ 34.5″,5.98,−2.55,1661,B5Ia,"member of the Jewel Box star cluster (note that κ Cru usually refers to the cluster itself); variable star, ΔV = 0.014m, P = 9.53562 d",193.450,-59.624,Crucis,Kappa Crucis
3924,Crux,HD 110506,,HD 110506,,,,110506,62058,12h 43m 09.21s,-56° 10′ 34.3″,5.99,0.47,414,B9Vn,Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[3],190.788,-55.824,Crucis,HD 110506 Crucis
3925,Crux,HD 108355,,HD 108355,,,,108355,60771,12h 27m 24.85s,-63° 47′ 20.3″,6.02,−0.50,657,B8IV,,186.850,-62.211,Crucis,HD 108355 Crucis
3926,Crux,HD 108501,,HD 108501,,,,108501,60851,12h 28m 19.31s,-64° 20′ 27.5″,6.05,1.11,317,A0Vn,,187.079,-63.659,Crucis,HD 108501 Crucis
3927,Crux,HD 110461,,HD 110461,,,,110461,62026,12h 42m 49.80s,-55° 56′ 49.1″,6.06,0.77,372,B9V,Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[3],190.704,-54.053,Crucis,HD 110461 Crucis
3928,Crux,HD 105841,,HD 105841,,,,105841,59396,12h 11m 05.25s,-61° 16′ 38.6″,6.08,1.34,290,F0III,,182.771,-60.723,Crucis,HD 105841 Crucis
3929,Crux,HD 108570,,HD 108570,,,,108570,60870,12h 28m 33.84s,-56° 24′ 26.2″,6.15,3.02,138,K0/K1III,,187.138,-55.593,Crucis,HD 108570 Crucis
3930,Crux,HD 104430,,HD 104430,,,,104430,58642,12h 01m 29.26s,-57° 30′ 13.5″,6.16,1.28,309,A1V,,180.371,-56.496,Crucis,HD 104430 Crucis
3931,Crux,DL Cru,,DL,,,DL,106343,59678,12h 14m 16.93s,-64° 24′ 30.7″,6.2,−7.66,20000,B1.5Ia,α Cyg variable,183.567,-63.592,Crucis,DL Crucis
3932,Crux,HD 108530,,HD 108530,,,,108530,60861,12h 28m 25.71s,-61° 47′ 41.4″,6.21,0.31,494,K2III,,187.104,-60.205,Crucis,HD 108530 Crucis
3933,Crux,HD 105437,,HD 105437,,,,105437,59200,12h 08m 24.74s,-60° 50′ 49.7″,6.22,−2.89,2159,K3/K4II,,182.100,-59.153,Crucis,HD 105437 Crucis
3934,Crux,HD 109492,,HD 109492,,,,109492,61443,12h 35m 29.79s,-61° 50′ 29.0″,6.22,2.89,151,G4IV,,188.871,-60.159,Crucis,HD 109492 Crucis
3935,Crux,HD 104900,,HD 104900,,,,104900,58901,12h 04m 45.29s,-59° 15′ 11.7″,6.3,1.12,354,B9Vn,,181.188,-58.747,Crucis,HD 104900 Crucis
3936,Crux,HD 108395,,HD 108395,,,,108395,60780,12h 27m 28.84s,-58° 18′ 59.3″,6.35,−0.79,874,K4III,,186.867,-57.684,Crucis,HD 108395 Crucis
3937,Crux,HD 104111,,HD 104111,,,,104111,58469,11h 59m 25.62s,-62° 49′ 51.4″,6.36,−5.85,9022,A8II,,179.854,-61.169,Crucis,HD 104111 Crucis
3938,Crux,HD 110532,,HD 110532,,,,110532,62084,12h 43m 28.40s,-58° 54′ 09.9″,6.41,−0.14,667,K0/K1III,double star,190.867,-57.098,Crucis,HD 110532 Crucis
3939,Crux,γ Cru B,γ,Gamma,,,,108925,,12h 31m 16.70s,-57° 04′ 52.0″,6.42,,88.6,A3V,component of the γ Cru system,187.817,-56.919,Crucis,Gamma Crucis
3940,Crux,T Cru,,T,,,T,107447,60259,12h 21m 21.13s,-62° 16′ 53.9″,6.58,,4000,G2Ib,"Cepheid variable, Vmax = +6.32m, Vmin = +6.83m, P = 6.73331 d",185.338,-61.719,Crucis,T Crucis
3941,Crux,S Cru,,S,,,S,112044,62986,12h 54m 22.00s,-58° 25′ 50.2″,6.58,,2300,F7Ib-II,"Cepheid variable, Vmax = +6.22m, Vmin = +6.92m, P = 4.68997 d",193.592,-57.569,Crucis,S Crucis
3942,Crux,R Cru,,R,,,R,107805,60455,12h 23m 37.69s,-61° 37′ 44.9″,6.9,0.94,508,F7Ib/II,"Cepheid variable, Vmax = +6.40m, Vmin = +7.23m, P = 5.82575 d",185.904,-60.371,Crucis,R Crucis
3943,Crux,HD 108147,,HD 108147,,,,108147,60644,12h 25m 46.27s,-64° 01′ 19.5″,6.99,4.05,126,F9V,Tupã; has a planet (b),186.442,-63.978,Crucis,HD 108147 Crucis
3944,Crux,AG Cru,,AG,,,AG,110258,,12h 41m 25.98s,-59° 47′ 38.8″,7.9,,,F8Ib-II,"Cepheid variable, Vmax = +7.73m, Vmin = +8.58m, P = 3.83728 d",190.354,-58.206,Crucis,AG Crucis
