USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
3956,Cygnus,Deneb,α,Alpha,50,,,197345,102098,20h 41m 25.91s,+45° 16′ 49.2″,1.25,−8.38,1550,A2Ia,prototype of α Cyg variables,310.354,45.280,Cygni,Alpha Cygni
3957,Cygnus,γ Cyg,γ,Gamma,37,,,194093,100453,20h 22m 13.70s,+40° 15′ 24.1″,2.23,−6.12,1523,F8Ib,"Sadr, suspected variable",305.554,40.257,Cygni,Gamma Cygni
3958,Cygnus,ε Cyg,ε,Epsilon,53,,,197989,102488,20h 46m 12.43s,+33° 58′ 10.0″,2.48,0.76,72,K0III,Aljanah,311.550,33.969,Cygni,Epsilon Cygni
3959,Cygnus,δ Cyg,δ,Delta,18,,,186882,97165,19h 44m 58.44s,+45° 07′ 50.5″,2.86,−0.74,171,B9.5III,"Fawaris, triple star",296.242,45.131,Cygni,Delta Cygni
3960,Cygnus,Albireo A,β1,Beta 1,6,,,183912,95947,19h 30m 43.29s,+27° 57′ 34.9″,3.05,−2.31,385,K3II+...,prominent visual binary with Albireo B; spectroscopic binary,292.679,27.959,Cygni,Beta 1 Cygni
3961,Cygnus,ζ Cyg,ζ,Zeta,64,,,202109,104732,21h 12m 56.18s,+30° 13′ 37.5″,3.21,−0.12,151,G8II SB,multiple star,318.233,30.227,Cygni,Zeta Cygni
3962,Cygnus,ξ Cyg,ξ,Xi,62,,,200905,104060,21h 04m 55.86s,+43° 55′ 40.3″,3.72,−4.07,1177,K5Ibv SB,,316.229,43.928,Cygni,Xi Cygni
3963,Cygnus,τ Cyg,τ,Tau,65,,,202444,104887,21h 14m 47.35s,+38° 02′ 39.6″,3.74,2.14,68,F1IV,multiple star; δ Sct variable,318.696,38.044,Cygni,Tau Cygni
3964,Cygnus,ι Cyg,ι,Iota,10,,,184006,95853,19h 29m 42.34s,+51° 43′ 46.1″,3.76,0.89,122,A5Vn,,292.425,51.729,Cygni,Iota Cygni
3965,Cygnus,κ Cyg,κ,Kappa,1,,,181276,94779,19h 17m 06.11s,+53° 22′ 05.4″,3.8,0.91,123,K0III,variable,289.275,53.368,Cygni,Kappa Cygni
3966,Cygnus,ο1 Cyg,ο1,Omicron 1,31,,V695,192577,99675,20h 13m 37.90s,+46° 44′ 28.8″,3.8,−4.29,1353,K2II+...,Algol variable,303.404,46.741,Cygni,Omicron 1 Cygni
3967,Cygnus,η Cyg,η,Eta,21,,,188947,98110,19h 56m 18.40s,+35° 05′ 00.6″,3.89,0.74,139,K0IIIvar,multiple star,299.075,35.083,Cygni,Eta Cygni
3968,Cygnus,ν Cyg,ν,Nu,58,,,199629,103413,20h 57m 10.41s,+41° 10′ 01.9″,3.94,−1.25,356,A1Vn,,314.292,41.167,Cygni,Nu Cygni
3969,Cygnus,ο2 Cyg,ο2,Omicron 2,32,,V1488,192909,99848,20h 15m 28.32s,+47° 42′ 51.1″,3.96,−3.70,1109,K3Ib-II comp,Algol variable,303.867,47.714,Cygni,Omicron 2 Cygni
3970,Cygnus,ρ Cyg,ρ,Rho,73,,,205435,106481,21h 33m 58.87s,+45° 35′ 31.4″,3.98,1.07,124,G8III,variable,323.492,45.592,Cygni,Rho Cygni
3971,Cygnus,41 Cyg,,41,41,,,195295,101076,20h 29m 23.73s,+30° 22′ 06.8″,4.01,−2.82,758,F5II,variable,307.346,30.368,Cygni,41 Cygni
3972,Cygnus,52 Cyg,,52,52,,,197912,102453,20h 45m 39.76s,+30° 43′ 10.8″,4.22,0.22,206,K0III,double star,311.413,30.719,Cygni,52 Cygni
3973,Cygnus,σ Cyg,σ,Sigma,67,,,202850,105102,21h 17m 24.95s,+39° 23′ 40.9″,4.22,−6.49,4528,B9Iab,,319.350,39.394,Cygni,Sigma Cygni
3974,Cygnus,π2 Cyg,π2,Pi 2,81,,,207330,107533,21h 46m 47.61s,+49° 18′ 34.5″,4.23,−3.52,1156,B3III,Pennae Caudalis; spectroscopic binary,326.696,49.309,Cygni,Pi 2 Cygni
3975,Cygnus,33 Cyg,,33,33,,,192696,99655,20h 13m 23.80s,+56° 34′ 03.1″,4.28,0.93,152,A3IV-Vn,variable,303.346,56.568,Cygni,33 Cygni
3976,Cygnus,υ Cyg,υ,Upsilon,66,,,202904,105138,21h 17m 55.07s,+34° 53′ 48.8″,4.41,−2.80,901,B2Vne,emission-line star; γ Cas variable,319.479,34.897,Cygni,Upsilon Cygni
3977,Cygnus,39 Cyg,,39,39,,,194317,100587,20h 23m 51.60s,+32° 11′ 24.7″,4.43,−0.04,255,K3III,,305.963,32.190,Cygni,39 Cygni
3978,Cygnus,θ Cyg,θ,Theta,13,,,185395,96441,19h 36m 26.54s,+50° 13′ 13.7″,4.49,3.14,61,F4V,triple star,294.108,50.220,Cygni,Theta Cygni
3979,Cygnus,λ Cyg,λ,Lambda,54,,,198183,102589,20h 47m 24.53s,+36° 29′ 26.7″,4.53,−2.62,879,B6IV,Be star,311.850,36.491,Cygni,Lambda Cygni
3980,Cygnus,63 Cyg,f2,F2,63,,,201251,104194,21h 06m 36.09s,+47° 38′ 54.3″,4.56,−2.83,982,K4II,double star,316.650,47.648,Cygni,F2 Cygni
3981,Cygnus,47 Cyg A,,47,47,,V2125,196093,101474,20h 33m 54.19s,+35° 15′ 03.1″,4.61,−2.66,929,K2Ib comp,double star; pulsating variable,308.475,35.251,Cygni,47 Cygni
3982,Cygnus,φ Cyg,φ,Phi,12,,,185734,96683,19h 39m 22.60s,+30° 09′ 11.6″,4.68,0.25,251,G8III-IV...,spectroscopic binary,294.842,30.153,Cygni,Phi Cygni
3983,Cygnus,π1 Cyg,π1,Pi 1,80,,,206672,107136,21h 42m 05.66s,+51° 11′ 22.7″,4.69,−3.87,1680,B3IV,Azelfafage; spectroscopic binary,325.521,51.189,Cygni,Pi 1 Cygni
3984,Cygnus,μ1 Cyg,μ1,Mu 1,78,,,206826,107310,21h 44m 08.59s,+28° 44′ 33.4″,4.69,2.94,73,F6V,multiple star,326.033,28.743,Cygni,Mu 1 Cygni
3985,Cygnus,8 Cyg,,8,8,,,184171,96052,19h 31m 46.32s,+34° 27′ 10.7″,4.74,−1.68,627,B3IV,,292.942,34.453,Cygni,8 Cygni
3986,Cygnus,59 Cyg,f1,F1,59,,V832,200120,103632,20h 59m 49.55s,+47° 31′ 15.4″,4.74,−2.95,1124,B1ne,irregular variable,314.954,47.521,Cygni,F1 Cygni
3987,Cygnus,P Cyg,P,P,34,,,193237,100044,20h 17m 47.20s,+38° 01′ 58.6″,4.77,−6.65,6269,B2pe,Nova Cygni 1600; hypergiant; prototype of P Cyg variables,304.446,38.033,Cygni,P Cygni
3988,Cygnus,30 Cyg,,30,30,,,192514,99639,20h 13m 18.04s,+46° 48′ 56.4″,4.8,−1.91,716,A5IIIn,variable,303.325,46.816,Cygni,30 Cygni
3989,Cygnus,57 Cyg,,57,57,,,199081,103089,20h 53m 14.75s,+44° 23′ 14.2″,4.8,−1.13,501,B5V,spectroscopic binary,313.308,44.387,Cygni,57 Cygni
3990,Cygnus,55 Cyg,,55,55,,V1661,198478,102724,20h 48m 56.29s,+46° 06′ 50.9″,4.81,−4.38,2248,B3Ia,α Cyg variable; emission-line star,312.233,46.114,Cygni,55 Cygni
3991,Cygnus,72 Cyg,,72,72,,,205512,106551,21h 34m 46.48s,+38° 32′ 01.8″,4.87,0.4,255,K1III,,323.692,38.534,Cygni,72 Cygni
3992,Cygnus,15 Cyg,,15,15,,,186675,97118,19h 44m 16.55s,+37° 21′ 15.4″,4.89,0.23,279,G8III,,296.067,37.354,Cygni,15 Cygni
3993,Cygnus,ψ Cyg,ψ,Psi,24,,,189037,98055,19h 55m 37.82s,+52° 26′ 20.5″,4.91,0.18,288,A4Vn,multiple star,298.904,52.439,Cygni,Psi Cygni
3994,Cygnus,28 Cyg,b2,B2,28,,V1624,191610,99303,20h 09m 25.62s,+36° 50′ 22.5″,4.93,−2.18,860,B2.5V,Be star; emission-line star,302.354,36.839,Cygni,B2 Cygni
