USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
4480,Draco,γ Dra,γ,Gamma,33,,,164058,87833,17h 56m 36.38s,+51° 29′ 20.2″,2.24,−1.04,148,K5III,"Eltanin, Etamin, Rastaban, Rastaben",269.150,51.489,Draconis,Gamma Draconis
4481,Draco,η Dra,η,Eta,14,,,148387,80331,16h 23m 59.51s,+61° 30′ 50.7″,2.73,0.58,88,G8III,"Aldibain,[1] Athebyne",245.996,61.514,Draconis,Eta Draconis
4482,Draco,β Dra,β,Beta,23,,,159181,85670,17h 30m 25.98s,+52° 18′ 04.9″,2.79,−2.43,361,G2II,"Rastaban, Rastaben, Alwaid, Asuia",262.604,52.301,Draconis,Beta Draconis
4483,Draco,δ Dra,δ,Delta,57,,,180711,94376,19h 12m 33.15s,+67° 39′ 40.7″,3.07,0.63,100,G9III,"Altais, Nodus Secundus, Nodus II, Aldib",288.138,67.661,Draconis,Delta Draconis
4484,Draco,ζ Dra,ζ,Zeta,22,,,155763,83895,17h 08m 47.23s,+65° 42′ 52.7″,3.17,−1.92,340,B6III,"Aldhibah, Eldsib, Nod, Nodus III",257.196,65.714,Draconis,Zeta Draconis
4485,Draco,ι Dra,ι,Iota,12,,,137759,75458,15h 24m 55.78s,+58° 57′ 57.7″,3.29,0.81,102,K2III,"Edasich, Eldsich, Ed Asich, Al Dhiba, Al Dhihi; has a planet (b)",231.229,58.966,Draconis,Iota Draconis
4486,Draco,χ Dra,χ,Chi,44,,,170153,89937,18h 21m 02.34s,+72° 44′ 01.3″,3.55,4.02,26,F7Vvar,,275.258,72.734,Draconis,Chi Draconis
4487,Draco,Thuban,α,Alpha,11,,,123299,68756,14h 04m 23.43s,+64° 22′ 32.9″,3.67,−1.21,309,A0III SB,"Adib, Dragon's Tail",211.096,64.376,Draconis,Alpha Draconis
4488,Draco,ξ Dra,ξ,Xi,32,,,163588,87585,17h 53m 31.63s,+56° 52′ 20.8″,3.73,1.06,111,K2III,"Grumium, Genam, Nodus Primus, Nodus I",268.379,56.872,Draconis,Xi Draconis
4489,Draco,λ Dra,λ,Lambda,1,,,100029,56211,11h 31m 24.29s,+69° 19′ 52.0″,3.82,−1.23,334,M0IIIvar,"Giausar, Giauzar, Gianfar, Giansar, Gaiusar, Juza",172.850,69.331,Draconis,Lambda Draconis
4490,Draco,ε Dra,ε,Epsilon,63,,,188119,97433,19h 48m 10.21s,+70° 16′ 04.2″,3.84,0.59,146,G8III,Tyl; binary star,297.042,70.268,Draconis,Epsilon Draconis
4491,Draco,κ Dra,κ,Kappa,5,,,109387,61281,12h 33m 29.04s,+69° 47′ 17.6″,3.85,−2.07,498,B6IIIp,Shǎowèi (少尉);[2] γ Cas variable,188.371,69.788,Draconis,Kappa Draconis
4492,Draco,θ Dra,θ,Theta,13,,,144284,78527,16h 01m 53.70s,+58° 33′ 52.0″,4.01,2.41,68,F8IV-V,Shǎngzǎi (上宰)[2],240.471,58.564,Draconis,Theta Draconis
4493,Draco,φ Dra,φ,Phi,43,,,170000,89908,18h 20m 45.44s,+71° 20′ 15.8″,4.22,−0.52,289,A0p (Si),Zhùshǐ (柱史);[2] α2 CVn variable,275.188,71.338,Draconis,Phi Draconis
4494,Draco,HD 81817,,HD 81817,,,,81817,47193,09h 37m 05.35s,+81° 19′ 35.1″,4.28,−3.31,1076,K3III,,144.271,81.326,Draconis,HD 81817 Draconis
4495,Draco,τ Dra,τ,Tau,60,,,181984,94648,19h 15m 33.29s,+73° 21′ 18.8″,4.45,1.14,150,K3III,,288.888,73.355,Draconis,Tau Draconis
4496,Draco,ρ Dra,ρ,Rho,67,,,190940,98702,20h 02m 49.05s,+67° 52′ 24.4″,4.51,−0.97,406,K3III,,300.704,67.873,Draconis,Rho Draconis
4497,Draco,ψ1 Dra A,ψ1,Psi 1,31,,,162003,86614,17h 41m 56.31s,+72° 08′ 58.2″,4.57,2.85,72,F5IV-V,"Dziban, Dsiban; component of the ψ1 Dra System",265.483,72.149,Draconis,Psi 1 Draconis
4498,Draco,CU Dra,i,I,10,,CU,121130,67627,13h 51m 25.94s,+64° 43′ 23.8″,4.58,−0.82,391,M3III,variable,207.854,64.723,Draconis,I Draconis
4499,Draco,π Dra,π,Pi,58,,,182564,95081,19h 20m 40.07s,+65° 42′ 51.9″,4.6,0.41,225,A2IIIs,,290.167,65.714,Draconis,Pi Draconis
4500,Draco,ο Dra,ο,Omicron,47,,,175306,92512,18h 51m 12.01s,+59° 23′ 17.8″,4.63,−0.34,322,K0II-III SB,RS CVn variable,282.800,59.388,Draconis,Omicron Draconis
4501,Draco,σ Dra,σ,Sigma,61,,,185144,96100,19h 32m 20.59s,+69° 39′ 55.4″,4.67,5.87,19,K0V,"Alsafi, Athafi; nearby",293.083,69.665,Draconis,Sigma Draconis
4502,Draco,ω Dra,ω,Omega,28,,,160922,86201,17h 36m 57.09s,+68° 45′ 25.9″,4.77,2.92,76,F5V,,264.238,68.757,Draconis,Omega Draconis
4503,Draco,45 Dra,d,D,45,,,171635,90905,18h 32m 34.52s,+57° 02′ 44.2″,4.77,−4.96,2885,F7Ib,,278.142,57.046,Draconis,D Draconis
4504,Draco,42 Dra,,42,42,,,170693,90344,18h 25m 58.99s,+65° 33′ 48.8″,4.82,−0.12,317,K2III,"Fafnir,[3] has a planet (b)",276.492,65.563,Draconis,42 Draconis
