USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
4754,Eridanus,Achernar,α,Alpha,,2,,10144,7588,01h 37m 42.75s,-57° 14′ 12.0″,0.45,−2.77,144,B3Vp,8th-brightest star; Be star,24.425,-56.763,Eridani,Alpha Eridani
4755,Eridanus,β Eri,β,Beta,67,290,,33111,23875,05h 07m 51.03s,-05° 05′ 10.5″,2.78,0.6,89,A3IIIvar,"Cursa, Kursa.",76.963,-4.914,Eridani,Beta Eridani
4756,Eridanus,θ1 Eri,θ1,Theta 1,,48,,18622,13847,02h 58m 15.72s,-40° 18′ 17.0″,2.88,−0.59,161,A4III+...,"Acamar, Achr al Nahr, Postrema Fluminis;[1] binary star with θ2 Eri.",44.563,-39.695,Eridani,Theta 1 Eridani
4757,Eridanus,γ Eri,γ,Gamma,34,158,,25025,18543,03h 58m 01.73s,-13° 30′ 29.7″,2.97,−1.19,221,M1IIIb Ca-1,"Zaurak, Zaurac, Zaurack",59.504,-12.492,Eridani,Gamma Eridani
4758,Eridanus,δ Eri,δ,Delta,23,121,,23249,17378,03h 43m 14.96s,-09° 45′ 54.7″,3.52,3.74,29,K0IV,Rana; RS CVn variable,55.808,-8.235,Eridani,Delta Eridani
4759,Eridanus,υ4 Eri,υ4,Upsilon 4,41,204,,27376,20042,04h 17m 53.62s,-33° 47′ 54.0″,3.55,−0.14,178,B9V,Variable star,64.471,-32.202,Eridani,Upsilon 4 Eridani
4760,Eridanus,φ Eri,φ,Phi,,14,,14228,10602,02h 16m 30.50s,-51° 30′ 43.6″,3.56,0.18,155,B8IV-V,,34.125,-50.488,Eridani,Phi Eridani
4761,Eridanus,χ Eri,χ,Chi,,7,,11937,9007,01h 55m 56.83s,-51° 36′ 34.5″,3.69,2.48,57,G5IV,,28.983,-50.391,Eridani,Chi Eridani
4762,Eridanus,τ4 Eri,τ4,Tau 4,16,81,,20720,15474,03h 19m 30.97s,-21° 45′ 28.6″,3.7,−0.79,258,M3/M4III,,49.875,-20.242,Eridani,Tau 4 Eridani
4763,Eridanus,ε Eri,ε,Epsilon,18,101,,22049,16537,03h 32m 56.42s,-09° 27′ 29.9″,3.72,6.18,10,K2V,"Ran,[2] Sadira, Al Sadirah[citation needed]; 9th-nearest star system; has two asteroid belts, dust disk, one planet (b) and one unconfirmed planet (c); BY Draconis variable",53.233,-8.542,Eridani,Epsilon Eridani
