USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
4978,Fornax,α For,α,Alpha,,,,20010,14879,03h 12m 04.28s,-28° 59′ 20.8″,3.85,3.05,46,F8V,"12 Eri, Dalim, Fornacis; binary star; component B is a suspected variable, Vmax = 6m, Vmin = 8m",48.017,-27.011,Fornacis,Alpha Fornacis
4979,Fornax,β For,β,Beta,,,,17652,13147,02h 49m 05.36s,-32° 24′ 22.6″,4.45,0.88,169,G8III,double star,42.271,-31.594,Fornacis,Beta Fornacis
4980,Fornax,ν For,ν,Nu,,,,12767,9677,02h 04m 29.43s,-29° 17′ 48.6″,4.68,−0.54,361,B9.5p (Si),"α2 CVn variable, Vmax = 4.68m, Vmin = 4.73m, P = 1.89 d",31.121,-28.703,Fornacis,Nu Fornacis
4981,Fornax,ω For,ω,Omega,,,,16046,11918,02h 33m 50.71s,-28° 13′ 56.4″,4.96,−0.76,453,B9V,double star,38.458,-27.768,Fornacis,Omega Fornacis
4982,Fornax,δ For,δ,Delta,,,,23227,17304,03h 42m 14.90s,-31° 56′ 18.2″,4.99,−1.77,733,B5III,,55.558,-30.062,Fornacis,Delta Fornacis
4983,Fornax,φ For,φ,Phi,,,,15427,11477,02h 28m 01.69s,-33° 48′ 39.8″,5.13,1.78,153,A2/A3V,,37.004,-32.189,Fornacis,Phi Fornacis
4984,Fornax,κ For,κ,Kappa,,,,14802,11072,02h 22m 32.42s,-23° 48′ 58.7″,5.19,3.48,71,G2V,spectroscopic binary,35.633,-22.184,Fornacis,Kappa Fornacis
4985,Fornax,μ For,μ,Mu,,,,13709,10320,02h 12m 54.46s,-30° 43′ 25.8″,5.27,0.23,332,A0V,,33.225,-29.276,Fornacis,Mu Fornacis
4986,Fornax,π For,π,Pi,,,,12438,9440,02h 01m 14.80s,-30° 00′ 05.6″,5.34,0.68,278,G8III,,30.308,-29.999,Fornacis,Pi Fornacis
4987,Fornax,γ2 For,γ2,Gamma 2,,,,17729,13202,02h 49m 54.15s,-27° 56′ 31.3″,5.39,−0.76,554,A1V,,42.475,-26.058,Fornacis,Gamma 2 Fornacis
4988,Fornax,η3 For,η3,Eta 3,,,,17829,13265,02h 50m 40.40s,-35° 40′ 32.6″,5.48,−0.58,531,K2III,,42.667,-34.324,Fornacis,Eta 3 Fornacis
4989,Fornax,ρ For,ρ,Rho,,,,23940,17738,03h 47m 56.02s,-30° 10′ 02.4″,5.52,0.83,282,G6III,"suspected variable, Vmax = 5.45m, Vmin = 5.55m",56.983,-29.833,Fornacis,Rho Fornacis
4990,Fornax,AI For,,AI,,,AI,20729,15479,03h 19m 34.90s,-24° 07′ 22.2″,5.63,−2.15,1173,M1III,semiregular variable,49.892,-23.877,Fornacis,AI Fornacis
4991,Fornax,ζ For,ζ,Zeta,,,,18692,13942,02h 59m 36.07s,-25° 16′ 27.6″,5.69,3.14,105,F3V,binary star,44.900,-24.726,Fornacis,Zeta Fornacis
4992,Fornax,χ2 For,χ2,Chi 2,,,,21574,16112,03h 27m 33.37s,-35° 40′ 52.8″,5.71,−0.06,464,K2III,suspected variable,51.888,-34.319,Fornacis,Chi 2 Fornacis
4993,Fornax,ι1 For,ι1,Iota 1,,,,16307,12122,02h 36m 09.28s,-30° 02′ 41.9″,5.74,−0.76,649,G8/K0III,,39.038,-29.955,Fornacis,Iota 1 Fornacis
4994,Fornax,λ2 For,λ2,Lambda 2,,,,16417,12186,02h 36m 58.62s,-34° 34′ 38.4″,5.78,3.74,83,G1V,has a planet (b),39.242,-33.423,Fornacis,Lambda 2 Fornacis
4995,Fornax,ι2 For,ι2,Iota 2,,,,16538,12288,02h 38m 18.60s,-30° 11′ 38.0″,5.84,3.08,116,F5V,,39.575,-29.806,Fornacis,Iota 2 Fornacis
4996,Fornax,ε For,ε,Epsilon,,,,18907,14086,03h 01m 37.45s,-28° 05′ 25.7″,5.88,3.47,99,G8/K0V,,45.404,-27.910,Fornacis,Epsilon Fornacis
4997,Fornax,λ1 For,λ1,Lambda 1,,,,15975,11867,02h 33m 07.04s,-34° 38′ 59.7″,5.91,0.58,380,K0/K1III,,38.279,-33.350,Fornacis,Lambda 1 Fornacis
4998,Fornax,σ For,σ,Sigma,,,,23738,17618,03h 46m 27.42s,-29° 20′ 17.4″,5.91,0.89,329,A2V,,56.613,-28.662,Fornacis,Sigma Fornacis
4999,Fornax,η2 For,η2,Eta 2,,,,17793,13225,02h 50m 14.75s,-35° 50′ 37.3″,5.92,−0.01,500,K0III,double star,42.558,-34.156,Fornacis,Eta 2 Fornacis
5000,Fornax,ψ For,ψ,Psi,,,,18149,13473,02h 53m 34.35s,-38° 26′ 13.5″,5.93,2.06,194,F5V,,43.392,-37.563,Fornacis,Psi Fornacis
5001,Fornax,HD 20606,,HD 20606,,,,20606,15357,03h 18m 02.49s,-28° 47′ 49.3″,5.93,1.97,202,F3V+...,,49.508,-27.203,Fornacis,HD 20606 Fornacis
5002,Fornax,HD 21430,,HD 21430,,,,21430,16029,03h 26m 22.52s,-27° 19′ 03.4″,5.93,0.31,434,K0III,,51.592,-26.683,Fornacis,HD 21430 Fornacis
5003,Fornax,HD 16975,,HD 16975,,,,16975,12608,02h 42m 06.59s,-38° 23′ 01.4″,5.99,0.66,380,G8III,,40.525,-37.616,Fornacis,HD 16975 Fornacis
5004,Fornax,τ For,τ,Tau,,,,22789,17007,03h 38m 47.66s,-27° 56′ 35.2″,6.01,0.47,417,A0V,,54.696,-26.057,Fornacis,Tau Fornacis
5005,Fornax,HD 11643,,HD 11643,,,,11643,8820,01h 53m 23.08s,-38° 35′ 40.9″,6.09,0.77,378,K1/K2III,,28.346,-37.406,Fornacis,HD 11643 Fornacis
5006,Fornax,HD 15471,,HD 15471,,,,15471,11524,02h 28m 35.46s,-31° 06′ 08.6″,6.11,0.83,370,K2IIICN...,,37.146,-30.898,Fornacis,HD 15471 Fornacis
5007,Fornax,γ1 For,γ1,Gamma 1,,,,17713,13197,02h 49m 50.99s,-24° 33′ 36.0″,6.14,0.91,363,K0III,multiple star,42.458,-23.440,Fornacis,Gamma 1 Fornacis
