USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
5055,Gemini,Pollux,β,Beta,78,,,62509,37826,07h 45m 19.36s,+28° 01′ 34.7″,1.16,1.09,34,K0III,"Al-Ras al-Taum al-Mu'ahar, Muekher al Dzira, Posterior Brachii;[1] suspected variable, Vmax = 1.10m, Vmin = 1.17m; has a planet (b)",116.329,28.026,Geminorum,Beta Geminorum
5056,Gemini,Castor A,α,Alpha,66,,,60179A,36850,07h 34m 36.00s,+31° 53′ 19.1″,1.9,1.05,52,A2Vm,"Al-Ras al-Taum al-Muqadim, Aoul al Dzira, Prima Brachii[1]",113.650,31.889,Geminorum,Alpha Geminorum
5057,Gemini,γ Gem,γ,Gamma,24,,,47105,31681,06h 37m 42.70s,+16° 23′ 57.9″,1.93,−0.60,105,A0IV,"Alhena, Almeisan, Nir al Henat, Prima του al Henat[1]",99.425,16.399,Geminorum,Gamma Geminorum
5058,Gemini,μ Gem,μ,Mu,13,,,44478,30343,06h 22m 57.59s,+22° 30′ 49.9″,2.87,−1.39,232,M3.0III,"Tejat Posterior, Tejat, Calx, Pish Pai; semiregular variable, Vmax = 2.75m, Vmin = 3.02m",95.738,22.514,Geminorum,Mu Geminorum
5059,Gemini,Castor B,α,Alpha,66,,,60178,,07h 34m 36.00s,+31° 53′ 19.0″,2.88,,51,,,113.650,31.889,Geminorum,Alpha Geminorum
5060,Gemini,ε Gem,ε,Epsilon,27,,,48329,32246,06h 43m 55.93s,+25° 07′ 52.2″,3.06,−4.15,903,G8Ib,"Mebsuta; variable star, Vmax = 2.97m, Vmin = 3.09m",100.979,25.131,Geminorum,Epsilon Geminorum
5061,Gemini,η Gem,η,Eta,7,,,42995,29655,06h 14m 52.70s,+22° 30′ 24.6″,3.31,−1.84,349,M3III,"Propus, Praepes, Tejat Prior; semiregular and Algol variable, Vmax = 3.15m, Vmin = 3.9m, P = 232.9 d",93.717,22.507,Geminorum,Eta Geminorum
5062,Gemini,ξ Gem,ξ,Xi,31,,,48737,32362,06h 45m 17.43s,+12° 53′ 45.8″,3.35,2.13,57,F5IV,"Alzir; suspected variable, Vmax = 3.33m, Vmin = 3.42m",101.321,12.896,Geminorum,Xi Geminorum
5063,Gemini,δ Gem,δ,Delta,55,,,56986,35550,07h 20m 07.39s,+21° 58′ 56.4″,3.5,2.22,59,F0IV...,Wasat,110.029,21.982,Geminorum,Delta Geminorum
5064,Gemini,κ Gem,κ,Kappa,77,,,62345,37740,07h 44m 26.87s,+24° 23′ 53.3″,3.57,0.35,143,G8III,"Jīxīn (積薪),[2] 隆博星 (Takahiro-boshi)",116.108,24.398,Geminorum,Kappa Geminorum
5065,Gemini,λ Gem,λ,Lambda,54,,,56537,35350,07h 18m 05.61s,+16° 32′ 25.7″,3.58,1.27,94,A3V...,"suspected variable, Vmax = 3.52m, Vmin = 3.62m",109.521,16.540,Geminorum,Lambda Geminorum
5066,Gemini,θ Gem,θ,Theta,34,,,50019,33018,06h 52m 47.34s,+33° 57′ 40.9″,3.6,−0.30,197,A3III,,103.196,33.961,Geminorum,Theta Geminorum
5067,Gemini,ι Gem,ι,Iota,60,,,58207,36046,07h 25m 43.68s,+27° 47′ 53.8″,3.78,0.85,126,G9III+...,Propus,111.429,27.798,Geminorum,Iota Geminorum
5068,Gemini,ζ Gem,ζ,Zeta,43,,,52973,34088,07h 04m 06.54s,+20° 34′ 13.1″,4.01,−3.76,1168,G1Ib,"Mekbuda; classical Cepheid, Vmax = 3.62m, Vmin = 4.18m, P = 10.15 d",106.025,20.570,Geminorum,Zeta Geminorum
5069,Gemini,υ Gem,υ,Upsilon,69,,,60522,36962,07h 35m 55.37s,+26° 53′ 45.6″,4.06,−0.28,240,K5III,"suspected variable, Vmax = 4.04m, Vmin = 4.08m",113.979,26.896,Geminorum,Upsilon Geminorum
5070,Gemini,ν Gem A,ν,Nu,18,,,45542,30883,06h 28m 57.79s,+20° 12′ 43.8″,4.13,−1.81,502,B6III,Nucatai,97.238,20.212,Geminorum,Nu Geminorum
5071,Gemini,1 Gem,,1,1,,,41116,28734,06h 04m 07.22s,+23° 15′ 49.1″,4.16,0.84,151,G7III,Propus,91.029,23.264,Geminorum,1 Geminorum
5072,Gemini,ρ Gem,ρ,Rho,62,,,58946,36366,07h 29m 06.61s,+31° 47′ 02.7″,4.16,2.82,60,F0V...,suspected variable,112.275,31.784,Geminorum,Rho Geminorum
5073,Gemini,σ Gem,σ,Sigma,75,,,62044,37629,07h 43m 18.69s,+28° 53′ 02.7″,4.23,1.36,122,K1III SB,"RS CVn variable, Vmax = 4.13m, Vmin = 4.29m, P = 19.42 d",115.825,28.884,Geminorum,Sigma Geminorum
5074,Gemini,τ Gem,τ,Tau,46,,,54719,34693,07h 11m 08.39s,+30° 14′ 43.0″,4.41,−0.42,302,K2III,"suspected variable, Vmax = 4.37m, Vmin = 4.42m; has a brown dwarf companion",107.783,30.245,Geminorum,Tau Geminorum
5075,Gemini,30 Gem,,30,30,,,48433,32249,06h 43m 59.29s,+13° 13′ 41.3″,4.49,−0.15,276,K1III,,100.996,13.228,Geminorum,30 Geminorum
5076,Gemini,38 Gem,e,E,38,,,50635,33202,06h 54m 38.59s,+13° 10′ 40.9″,4.71,2.48,91,F0Vp,,103.658,13.178,Geminorum,E Geminorum
5077,Gemini,ο Gem,ο,Omicron,71,,,61110,37265,07h 39m 09.96s,+34° 35′ 04.7″,4.89,1.46,158,F3III,Jishui,114.788,34.584,Geminorum,Omicron Geminorum
5078,Gemini,81 Gem,g,G,81,,,62721,37908,07h 46m 07.49s,+18° 30′ 36.6″,4.89,−0.21,341,K5III,,116.529,18.510,Geminorum,G Geminorum
5079,Gemini,χ Gem,χ,Chi,,,,66216,39424,08h 03m 31.10s,+27° 47′ 39.9″,4.94,0.45,258,K2III,,120.879,27.794,Geminorum,Chi Geminorum
5080,Gemini,φ Gem,φ,Phi,83,,,64145,38538,07h 53m 29.84s,+26° 45′ 57.1″,4.97,0.51,254,A3V,,118.371,26.766,Geminorum,Phi Geminorum
5081,Gemini,65 Gem,b,B,65,,,59148,36429,07h 29m 48.78s,+27° 54′ 58.3″,5.01,−0.34,383,K2III,,112.450,27.916,Geminorum,B Geminorum
5082,Gemini,57 Gem,A,A,57,,,57727,35846,07h 23m 28.55s,+25° 03′ 02.2″,5.04,1.67,154,G8III,,110.867,25.051,Geminorum,A Geminorum
5083,Gemini,74 Gem,f,F,74,,,61338,37300,07h 39m 28.59s,+17° 40′ 28.3″,5.04,−1.02,532,M0III,"suspected variable, ΔV = 0.08m",114.867,17.674,Geminorum,F Geminorum
5084,Gemini,51 Gem,,51,51,,BQ,55383,34909,07h 13m 22.27s,+16° 09′ 32.6″,5.07,−1.59,700,K3V,semiregular variable,108.342,16.159,Geminorum,51 Geminorum
5085,Gemini,64 Gem,,64,64,,,59037,36393,07h 29m 20.46s,+28° 07′ 06.3″,5.07,1.58,163,A4V,,112.333,28.118,Geminorum,64 Geminorum
5086,Gemini,56 Gem,,56,56,,,57423,35699,07h 21m 56.90s,+20° 26′ 37.4″,5.09,−0.50,428,M0III,"suspected variable, ΔV = 0.06m",110.483,20.444,Geminorum,56 Geminorum
5087,Gemini,HD 52960,,HD 52960,,,,52960,34033,07h 03m 38.07s,+10° 57′ 06.6″,5.14,−1.65,743,K3III,,105.908,10.952,Geminorum,HD 52960 Geminorum
5088,Gemini,π Gem,π,Pi,80,,,62898,38016,07h 47m 30.34s,+33° 24′ 56.8″,5.14,−1.04,562,M0III,"suspected variable, ΔV = 0.08m",116.875,33.416,Geminorum,Pi Geminorum
5089,Gemini,26 Gem,,26,26,,,48097,32104,06h 42m 24.32s,+17° 38′ 43.9″,5.2,2.05,139,A2V,,100.600,17.645,Geminorum,26 Geminorum
5090,Gemini,ω Gem,ω,Omega,42,,,52497,33927,07h 02m 24.78s,+24° 12′ 55.6″,5.2,−3.33,1655,G5II,"slow irregular variable, Vmax = 5.18m, Vmin = 5.20m",105.600,24.215,Geminorum,Omega Geminorum
5091,Gemini,63 Gem,,63,63,,,58728,36238,07h 27m 44.39s,+21° 26′ 44.0″,5.2,2.54,111,F5IV-V...,,111.933,21.446,Geminorum,63 Geminorum
5092,Gemini,68 Gem,,68,68,,,60107,36760,07h 33m 36.50s,+15° 49′ 36.1″,5.27,−0.03,375,A1Vn,suspected variable,113.400,15.827,Geminorum,68 Geminorum
5093,Gemini,36 Gem,d,D,36,,,49908,32921,06h 51m 33.05s,+21° 45′ 40.4″,5.28,−0.77,529,A2V,,102.888,21.761,Geminorum,D Geminorum
5094,Gemini,76 Gem,c,C,76,,,62285,37704,07h 44m 06.92s,+25° 47′ 03.2″,5.3,−1.01,595,K5III,"suspected variable, Vmax = 5.28m, Vmin = 5.32m",116.025,25.784,Geminorum,C Geminorum
5095,Gemini,HD 60318,,HD 60318,,,,60318,36896,07h 35m 08.82s,+30° 57′ 39.3″,5.34,0.5,302,K0III,,113.783,30.961,Geminorum,HD 60318 Geminorum
5096,Gemini,85 Gem,,85,85,,,64648,38722,07h 55m 39.90s,+19° 53′ 02.6″,5.38,0.29,339,A0Vs,,118.913,19.884,Geminorum,85 Geminorum
5097,Gemini,28 Gem,,28,28,,,48450,32311,06h 44m 45.46s,+28° 58′ 15.6″,5.42,−0.79,570,K4III,,101.188,28.971,Geminorum,28 Geminorum
5098,Gemini,HD 59686,,HD 59686,,,,59686,36616,07h 31m 48.37s,+17° 05′ 10.4″,5.45,0.62,302,K2III,has a planet (b),112.950,17.086,Geminorum,HD 59686 Geminorum
5099,Gemini,45 Gem,,45,45,,,54131,34440,07h 08m 22.04s,+15° 55′ 51.3″,5.47,0.61,305,G8III,,107.092,15.931,Geminorum,45 Geminorum
5100,Gemini,HD 53329,,HD 53329,,,,53329,34267,07h 06m 11.63s,+34° 28′ 26.7″,5.55,0.69,305,G8IV,,106.546,34.474,Geminorum,HD 53329 Geminorum
5101,Gemini,NZ Gem,,NZ,,,NZ,61913,37521,07h 42m 03.22s,+14° 12′ 30.7″,5.55,−1.93,1022,M3S,"semiregular variable, Vmax = 5.52m, Vmin = 5.72m",115.513,14.208,Geminorum,NZ Geminorum
5102,Gemini,HD 46374,,HD 46374,,,,46374,31277,06h 33m 36.17s,+14° 09′ 19.3″,5.57,1.1,256,K2III:,,98.400,14.155,Geminorum,HD 46374 Geminorum
5103,Gemini,70 Gem,,70,70,,,60986,37204,07h 38m 32.84s,+35° 02′ 54.5″,5.58,0.72,306,K0III,,114.633,35.048,Geminorum,70 Geminorum
5104,Gemini,35 Gem,,35,35,,,49738,32814,06h 50m 25.50s,+13° 24′ 47.5″,5.68,−2.64,1502,K3III,,102.604,13.413,Geminorum,35 Geminorum
5105,Gemini,HD 49968,,HD 49968,,,,49968,32968,06h 52m 00.01s,+23° 36′ 06.3″,5.68,−0.30,513,K5III,,103.000,23.602,Geminorum,HD 49968 Geminorum
5106,Gemini,IS Gem,,IS,,,IS,49380,32740,06h 49m 41.34s,+32° 36′ 24.8″,5.72,0.85,307,K3II,semiregular variable,102.421,32.607,Geminorum,IS Geminorum
5107,Gemini,41 Gem,,41,41,,,52005,33715,07h 00m 15.82s,+16° 04′ 44.4″,5.73,−5.53,5821,K3Ib,suspected variable,105.063,16.079,Geminorum,41 Geminorum
5108,Gemini,37 Gem,,37,37,,,50692,33277,06h 55m 18.69s,+25° 22′ 32.3″,5.73,4.56,56,G0V,"suspected variable, ΔV = 0.02m",103.825,25.376,Geminorum,37 Geminorum
5109,Gemini,3 Gem,,3,3,,PU,42087,29225,06h 09m 43.99s,+23° 06′ 48.5″,5.75,,,B2.5Ib,"α Cyg variable, Vmax = 5.71m, Vmin = 5.77m, P = 6.81 d",92.429,23.113,Geminorum,3 Geminorum
5110,Gemini,47 Gem,,47,47,,,54801,34722,07h 11m 23.08s,+26° 51′ 24.0″,5.75,0.36,390,A4IV,suspected δ Sct variable,107.846,26.857,Geminorum,47 Geminorum
5111,Gemini,53 Gem,,53,53,,,55870,35152,07h 15m 57.18s,+27° 53′ 50.7″,5.75,−1.85,1079,M1III,"variable star, ΔV = 0.012m, P = 6.22 d",108.988,27.897,Geminorum,53 Geminorum
5112,Gemini,59 Gem,,59,59,,,57927,35941,07h 24m 33.44s,+27° 38′ 16.1″,5.77,1.73,209,F0:III:,δ Sct variable,111.138,27.638,Geminorum,59 Geminorum
5113,Gemini,HD 52556,,HD 52556,,,,52556,33914,07h 02m 17.49s,+15° 20′ 09.8″,5.78,−0.70,644,K1III:,,105.571,15.336,Geminorum,HD 52556 Geminorum
5114,Gemini,HD 61885,,HD 61885,,,,61885,37508,07h 41m 51.87s,+13° 28′ 49.8″,5.79,−1.12,786,M2III,semiregular variable,115.463,13.480,Geminorum,HD 61885 Geminorum
5115,Gemini,5 Gem,,5,5,,,42398,29379,06h 11m 32.31s,+24° 25′ 13.4″,5.83,−0.99,753,K0III,,92.883,24.420,Geminorum,5 Geminorum
5116,Gemini,52 Gem,,52,52,,,55621,35025,07h 14m 41.94s,+24° 53′ 06.7″,5.84,0.77,337,M1III,suspected variable,108.671,24.885,Geminorum,52 Geminorum
5117,Gemini,48 Gem,,48,48,,,55052,34819,07h 12m 26.39s,+24° 07′ 43.3″,5.85,0.7,349,F5IV,,108.108,24.129,Geminorum,48 Geminorum
5118,Gemini,33 Gem,,33,33,,OV,49606,32753,06h 49m 49.85s,+16° 12′ 10.5″,5.85,−1.38,926,B7III,"α2 CVn variable, ΔV = 0.1m, P = 2.27 d",102.454,16.203,Geminorum,33 Geminorum
5119,Gemini,HD 52609,,HD 52609,,,,52609,33937,07h 02m 33.29s,+16° 40′ 28.1″,5.86,−2.99,1918,M2III,suspected variable,105.638,16.674,Geminorum,HD 52609 Geminorum
5120,Gemini,HD 51000,,HD 51000,,,,51000,33421,06h 57m 00.54s,+33° 40′ 51.7″,5.91,0.55,385,G5III,,104.250,33.681,Geminorum,HD 51000 Geminorum
