USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
5237,Grus,α Gru,α,Alpha,,,,209952,109268,22h 08m 13.88s,-46° 57′ 38.2″,1.73,−0.73,101,B7IV,"Alnair (Al Nair, Al Na'ir); suspected variable, Vmax = 1.70m, Vmin = 1.76m",332.054,-45.039,Gruis,Alpha Gruis
5238,Grus,β Gru,β,Beta,,,,214952,112122,22h 42m 39.93s,-46° 53′ 04.4″,2.07,−1.52,170,M5III,"Tiaki, semiregular variable, Vmax = 1.90m, Vmin = 2.3m, P = 37 d",340.663,-45.116,Gruis,Beta Gruis
5239,Grus,γ Gru,γ,Gamma,,,,207971,108085,21h 53m 55.65s,-37° 21′ 53.4″,3,−0.97,203,B8III,Al Dhanab,328.479,-36.635,Gruis,Gamma Gruis
5240,Grus,ε Gru,ε,Epsilon,,,,215789,112623,22h 48m 33.20s,-51° 19′ 00.1″,3.49,0.49,130,A3V,"suspected variable, Vmax = 3.47m, Vmin = 3.53m",342.138,-50.683,Gruis,Epsilon Gruis
5241,Grus,ι Gru,ι,Iota,,,,218670,114421,23h 10m 21.43s,-45° 14′ 47.9″,3.88,0.11,185,K0III SB,,347.588,-44.754,Gruis,Iota Gruis
5242,Grus,δ1 Gru,δ1,Delta 1,,,,213009,110997,22h 29m 16.15s,-43° 29′ 44.0″,3.97,−0.82,296,G6/G8III,,337.317,-42.504,Gruis,Delta 1 Gruis
5243,Grus,ζ Gru,ζ,Zeta,,,,217364,113638,23h 00m 52.87s,-52° 45′ 14.8″,4.11,1.42,112,G8III,,345.217,-51.246,Gruis,Zeta Gruis
5244,Grus,δ2 Gru,δ2,Delta 2,,,,213080,111043,22h 29m 45.45s,-43° 44′ 57.2″,4.12,−0.87,325,M4.5IIIa,"semiregular variable, Vmax = 3.99m, Vmin = 4.2m",337.438,-42.251,Gruis,Delta 2 Gruis
5245,Grus,θ Gru,θ,Theta,,,,218227,114131,23h 06m 52.77s,-43° 31′ 13.2″,4.28,1.23,133,F5me...,,346.717,-42.480,Gruis,Theta Gruis
5246,Grus,λ Gru,λ,Lambda,,,,209688,109111,22h 06m 06.90s,-39° 32′ 35.0″,4.47,0.07,247,M0III,,331.525,-38.457,Gruis,Lambda Gruis
