USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
5310,Hercules,β Her,β,Beta,27,,,148856,80816,16h 30m 13.26s,+21° 29′ 22.7″,2.78,−0.50,148,G8III,"Kornephoros, Korneforos, Rutilicus",247.554,21.489,Herculis,Beta Herculis
5311,Hercules,ζ Her,ζ,Zeta,40,,,150680,81693,16h 41m 17.48s,+31° 36′ 06.8″,2.81,2.64,35,F9IV,Rutilicus,250.321,31.602,Herculis,Zeta Herculis
5312,Hercules,δ Her,δ,Delta,65,,,156164,84379,17h 15m 01.92s,+24° 50′ 22.5″,3.12,1.21,78,A3IVv SB,"Sarin, Menkib al Jathi al Aisr, Humerus Sinister Ingeniculi[1]",258.754,24.839,Herculis,Delta Herculis
5313,Hercules,π Her,π,Pi,67,,,156283,84380,17h 15m 02.85s,+36° 48′ 33.0″,3.16,−2.10,367,K3IIvar,,258.758,36.809,Herculis,Pi Herculis
5314,Hercules,α1 Her,α1,Alpha 1,64,,,156014,84345,17h 14m 38.86s,+14° 23′ 24.9″,3.31,−2.04,382,M5IIvar,"Ras Algethi, Rasalgethi, Rasalegti, Ras al Djathi, Caput Ingeniculi[1]",258.658,14.390,Herculis,Alpha 1 Herculis
5315,Hercules,μ Her,μ,Mu,86,,,161797,86974,17h 46m 27.72s,+27° 43′ 21.0″,3.42,3.8,27,G5IV,"Marfak Al Jathih Al Aisr, Cubitum Sinistrum Ingeniculi,[1] Jiuhe (九河),[2] Kew Ho[3]",266.613,27.723,Herculis,Mu Herculis
5316,Hercules,η Her,η,Eta,44,,,150997,81833,16h 42m 53.74s,+38° 55′ 20.9″,3.48,0.8,112,G7.5IIIb,,250.721,38.922,Herculis,Eta Herculis
5317,Hercules,ξ Her,ξ,Xi,92,,,163993,87933,17h 57m 45.83s,+29° 14′ 52.5″,3.7,0.61,135,K0III,,269.438,29.248,Herculis,Xi Herculis
5318,Hercules,γ Her,γ,Gamma,20,,,147547,80170,16h 21m 55.24s,+19° 09′ 10.9″,3.74,−0.15,195,A9III,"Hejian (河間),[4] Ho Keen[3]",245.479,19.153,Herculis,Gamma Herculis
5319,Hercules,ι Her,ι,Iota,85,,,160762,86414,17h 39m 27.89s,+46° 00′ 22.8″,3.82,−2.09,495,B3V SB,"Fekhiz al Jathih al Aisr, Femur Sinistrum Ingeniculi,[1], β Cep variable",264.863,46.006,Herculis,Iota Herculis
5320,Hercules,ο Her,ο,Omicron,103,,,166014,88794,18h 07m 32.55s,+28° 45′ 44.9″,3.84,−1.30,347,B9.5V,Zhōngshān (中山);[2] γ Cas variable,271.883,28.762,Herculis,Omicron Herculis
5321,Hercules,109 Her,,109,109,,,169414,90139,18h 23m 41.77s,+21° 46′ 13.2″,3.85,0.87,128,K2III,,275.921,21.770,Herculis,109 Herculis
