USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
5635,Hydra,Alphard,α,Alpha,30,140,,81797,46390,09h 27m 35.25s,-08° 39′ 31.3″,1.99,−1.69,177,K3III,"Alfard, Kalbelaphard, Cor Hydrae, Soheil al Fard, Soheil Solitarius[1]",141.896,-7.341,Hydrae,Alpha Hydrae
5636,Hydra,γ Hya,γ,Gamma,46,345,,115659,64962,13h 18m 55.25s,-23° 10′ 17.1″,2.99,−0.05,132,G8III,Dhanab al Shudja; Cauda Hydrae,199.729,-22.829,Hydrae,Gamma Hydrae
5637,Hydra,ζ Hya,ζ,Zeta,16,77,,76294,43813,08h 55m 23.68s,+05° 56′ 43.9″,3.11,−0.21,151,G8III-IV,Hydrobius; Minazal V,133.846,5.945,Hydrae,Zeta Hydrae
5638,Hydra,ν Hya,ν,Nu,,254,,93813,52943,10h 49m 37.43s,-16° 11′ 38.9″,3.11,−0.03,138,K0/K1III,,162.404,-15.806,Hydrae,Nu Hydrae
5639,Hydra,π Hya,π,Pi,49,368,,123123,68895,14h 06m 22.27s,-26° 40′ 55.3″,3.25,0.79,101,K2III,,211.592,-25.318,Hydrae,Pi Hydrae
5640,Hydra,ε Hya,ε,Epsilon,11,59,,74874,43109,08h 46m 46.65s,+06° 25′ 08.1″,3.38,0.29,135,G0III-IV,"Ashlesha, BY Draconis variable",131.692,6.419,Hydrae,Epsilon Hydrae
5641,Hydra,ξ Hya,ξ,Xi,,288,,100407,56343,11h 33m 00.26s,-31° 51′ 27.1″,3.54,0.55,129,G8III,,173.250,-30.143,Hydrae,Xi Hydrae
5642,Hydra,λ Hya,λ,Lambda,41,201,,88284,49841,10h 10m 35.40s,-12° 21′ 13.8″,3.61,0.88,115,K0III,,152.646,-11.646,Hydrae,Lambda Hydrae
5643,Hydra,μ Hya,μ,Mu,42,221,,90432,51069,10h 26m 05.51s,-16° 50′ 09.9″,3.83,−0.58,248,K4III,,156.521,-15.164,Hydrae,Mu Hydrae
5644,Hydra,θ Hya,θ,Theta,22,108,,79469,45336,09h 14m 21.79s,+02° 18′ 54.1″,3.89,0.91,129,B9.5V,,138.588,2.315,Hydrae,Theta Hydrae
