USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
5911,Hydrus,β Hyi,β,Beta,,,,2151,2021,00h 25m 39.20s,-77° 15′ 18.1″,2.79,3.45,24,G2IV,"suspected variable, Vmax = 2.75m, Vmin = 2.81m",6.413,-76.745,Hydri,Beta Hydri
5912,Hydrus,α Hyi,α,Alpha,,,,12311,9236,01h 58m 45.87s,-61° 34′ 11.7″,2.86,1.16,71,F0V,Head of Hydrus,29.688,-60.430,Hydri,Alpha Hydri
5913,Hydrus,γ Hyi,γ,Gamma,,,,24512,17678,03h 47m 14.23s,-74° 14′ 21.3″,3.26,−0.83,214,M2III,Foo Pih; semiregular variable,56.808,-73.761,Hydri,Gamma Hydri
5914,Hydrus,δ Hyi,δ,Delta,,,,15008,11001,02h 21m 45.02s,-68° 39′ 33.9″,4.08,0.99,135,A3V,,35.438,-67.341,Hydri,Delta Hydri
5915,Hydrus,ε Hyi,ε,Epsilon,,,,16978,12394,02h 39m 35.22s,-68° 16′ 01.0″,4.12,0.76,153,B9III,,39.896,-67.733,Hydri,Epsilon Hydri
5916,Hydrus,η2 Hyi,η2,Eta 2,,,,11977,8928,01h 54m 56.01s,-67° 38′ 50.9″,4.68,0.57,217,G5III,has a planet (b),28.733,-66.353,Hydri,Eta 2 Hydri
5917,Hydrus,ν Hyi,ν,Nu,,,,18293,13244,02h 50m 28.54s,-75° 04′ 00.8″,4.76,−0.26,329,K3III,,42.617,-74.933,Hydri,Nu Hydri
5918,Hydrus,ζ Hyi,ζ,Zeta,,,,17566,12876,02h 45m 32.53s,-67° 37′ 00.2″,4.83,0.05,295,A2IV/V,,41.383,-66.383,Hydri,Zeta Hydri
5919,Hydrus,λ Hyi,λ,Lambda,,,,4815,3781,00h 48m 35.12s,-74° 55′ 24.1″,5.09,1.1,205,K5III,,12.146,-73.077,Hydri,Lambda Hydri
5920,Hydrus,μ Hyi,μ,Mu,,,,16522,11757,02h 31m 40.12s,-79° 06′ 33.3″,5.27,0.51,292,G4III,,37.917,-78.891,Hydri,Mu Hydri
