USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
5957,Indus,α Ind,α,Alpha,,,,196171,101772,20h 37m 33.99s,-47° 17′ 30.0″,3.11,0.65,101,K0III,"Pe Sze, the Persian[1]",309.388,-46.708,Indi,Alpha Indi
5958,Indus,β Ind,β,Beta,,,,198700,103227,20h 54m 48.58s,-58° 27′ 14.7″,3.67,−2.66,603,K0III,"variable star, ΔV = 0.004m, P = 1.83080 d",313.700,-57.546,Indi,Beta Indi
5959,Indus,θ Ind,θ,Theta,,,,202730,105319,21h 19m 51.88s,-53° 26′ 57.4″,4.39,2.02,97,A5V,,319.963,-52.551,Indi,Theta Indi
5960,Indus,δ Ind,δ,Delta,,,,208450,108431,21h 57m 55.03s,-54° 59′ 33.2″,4.4,0.63,185,F0IV,,329.479,-53.008,Indi,Delta Indi
5961,Indus,η Ind,η,Eta,,,,197157,102333,20h 44m 02.19s,-51° 55′ 15.0″,4.51,2.59,79,A6:var,,311.008,-50.079,Indi,Eta Indi
5962,Indus,ε Ind,ε,Epsilon,,,,209100,108870,22h 03m 17.44s,-56° 46′ 47.3″,4.69,6.89,12,K5V,one of the nearest known star systems; binary brown dwarf and cold Jovian planet companions,330.821,-55.220,Indi,Epsilon Indi
5963,Indus,ζ Ind,ζ,Zeta,,,,198048,102790,20h 49m 28.93s,-46° 13′ 36.8″,4.9,−0.57,404,K5III,,312.367,-45.773,Indi,Zeta Indi
5964,Indus,ι Ind,ι,Iota,,,,198308,102950,20h 51m 30.05s,-51° 36′ 29.4″,5.06,−1.14,567,K1II/III,,312.875,-50.392,Indi,Iota Indi
5965,Indus,μ Ind,μ,Mu,,,,200365,104085,21h 05m 14.23s,-54° 43′ 37.0″,5.17,0.02,349,K2III,,316.308,-53.273,Indi,Mu Indi
5966,Indus,ν Ind,ν,Nu,,,,211998,110618,22h 24m 34.39s,-72° 15′ 13.6″,5.28,2.98,94,A3V: + F9V,,336.142,-71.746,Indi,Nu Indi
5967,Indus,ο Ind,ο,Omicron,,,,207241,107835,21h 50m 47.23s,-69° 37′ 45.9″,5.52,−0.65,558,M0III,,327.696,-68.371,Indi,Omicron Indi
5968,Indus,HD 217831,,HD 217831,,,,217831,113969,23h 04m 52.15s,-68° 49′ 13.4″,5.53,1.82,180,F4III,,346.217,-67.180,Indi,HD 217831 Indi
5969,Indus,HD 212728,,HD 212728,,,,212728,110935,22h 28m 37.44s,-67° 29′ 20.0″,5.56,2.36,142,A3V,,337.154,-66.511,Indi,HD 212728 Indi
5970,Indus,HD 207229,,HD 207229,,,,207229,107773,21h 50m 00.13s,-64° 42′ 44.8″,5.62,0.57,334,K1III,has a planet (b),327.500,-63.288,Indi,HD 207229 Indi
5971,Indus,κ2 Ind,κ2,Kappa 2,,,,209529,109081,22h 05m 50.95s,-59° 38′ 09.4″,5.62,−0.37,514,K4III,,331.458,-58.364,Indi,Kappa 2 Indi
5972,Indus,HD 202103,,HD 202103,,,,202103,104978,21h 15m 45.84s,-53° 15′ 47.0″,5.73,0.3,397,A6IV,,318.938,-52.737,Indi,HD 202103 Indi
5973,Indus,HD 199623,,HD 199623,,,,199623,103673,21h 00m 21.56s,-51° 15′ 56.3″,5.76,3.48,93,F5IV-V,,315.088,-50.734,Indi,HD 199623 Indi
5974,Indus,HD 212211,,HD 212211,,,,212211,110668,22h 25m 10.39s,-70° 25′ 53.3″,5.78,2.26,165,F3III,,336.292,-69.569,Indi,HD 212211 Indi
5975,Indus,HD 207964,,HD 207964,,,,207964,108195,21h 55m 11.34s,-61° 53′ 11.0″,5.92,2.58,152,F1III,,328.796,-60.114,Indi,HD 207964 Indi
5976,Indus,T Ind,,T,,,T,202874,105334,21h 20m 09.48s,-45° 01′ 18.8″,6,,1900,C,"semiregular variable, Vmax = 5.76m, Vmin = 6.47m, P = 272 d",320.038,-44.978,Indi,T Indi
5977,Indus,HD 206399,,HD 206399,,,,206399,107423,21h 45m 28.81s,-71° 00′ 31.8″,6.02,−0.76,741,B8IV,,326.367,-70.991,Indi,HD 206399 Indi
5978,Indus,HD 208796,,HD 208796,,,,208796,108626,22h 00m 24.22s,-55° 53′ 00.4″,6.02,−0.40,627,B9IV/V,,330.100,-54.117,Indi,HD 208796 Indi
5979,Indus,ρ Ind,ρ,Rho,,,,216437,113137,22h 54m 39.56s,-70° 04′ 26.0″,6.04,3.92,86,G4IV-V,has a planet (b),343.663,-69.926,Indi,Rho Indi
5980,Indus,γ Ind,γ,Gamma,,,,203760,105841,21h 26m 15.44s,-54° 39′ 38.0″,6.1,2.08,208,F1III,,321.563,-53.339,Indi,Gamma Indi
5981,Indus,BG Ind,κ1,Kappa 1,,,BG,208496,108478,21h 58m 30.07s,-59° 00′ 44.0″,6.13,2.02,217,F3V,"Algol variable, Vmax = 6.11m, Vmin = 6.36m, P = 1.46406335 d",329.625,-58.988,Indi,Kappa 1 Indi
5982,Indus,HD 202874,,HD 202874,,,,202874,105334,21h 20m 09.48s,-45° 01′ 18.8″,6.15,−2.63,1863,C5II,,320.038,-44.978,Indi,HD 202874 Indi
5983,Indus,HD 219644,,HD 219644,,,,219644,115062,23h 18m 19.99s,-67° 28′ 16.4″,6.15,−0.27,628,K2/K3III,,349.579,-66.529,Indi,HD 219644 Indi
5984,Indus,π Ind,π,Pi,,,,208149,108281,21h 56m 14.04s,-57° 53′ 58.6″,6.17,0.06,543,A3m...,,329.058,-56.101,Indi,Pi Indi
5985,Indus,HD 218288,,HD 218288,,,,218288,114268,23h 08m 35.55s,-73° 35′ 10.0″,6.18,−0.17,607,K3III,,347.146,-72.414,Indi,HD 218288 Indi
5986,Indus,HD 205877,,HD 205877,,,,205877,106978,21h 39m 59.74s,-52° 21′ 32.5″,6.2,−0.23,631,F7III,suspected variable,324.996,-51.641,Indi,HD 205877 Indi
5987,Indus,HD 205417,,HD 205417,,,,205417,106818,21h 38m 02.80s,-64° 49′ 26.9″,6.22,−0.07,591,A0/A1IV,,324.508,-63.176,Indi,HD 205417 Indi
5988,Indus,HD 198766,,HD 198766,,,,198766,103206,20h 54m 35.10s,-50° 43′ 38.3″,6.23,−2.16,1552,B5IV,,313.646,-49.273,Indi,HD 198766 Indi
5989,Indus,HD 199642,,HD 199642,,,,199642,103693,21h 00m 43.41s,-53° 44′ 20.5″,6.26,−0.70,805,K5/M0III,"variable star, ΔV = 0.009m, P = 0.08931 d",315.179,-52.261,Indi,HD 199642 Indi
5990,Indus,HD 203548,,HD 203548,,,,203548,105685,21h 24m 20.80s,-46° 36′ 52.8″,6.3,1.38,314,A5m...,,321.083,-45.386,Indi,HD 203548 Indi
5991,Indus,HD 205935,,HD 205935,,,,205935,107030,21h 40m 33.69s,-55° 44′ 16.8″,6.33,−0.31,694,K0III-IV,,325.138,-54.262,Indi,HD 205935 Indi
5992,Indus,HD 215729,,HD 215729,,,,215729,112694,22h 49m 17.45s,-70° 20′ 53.0″,6.35,1.35,327,A2V,,342.321,-69.652,Indi,HD 215729 Indi
5993,Indus,HD 204228,,HD 204228,,,,204228,106065,21h 29m 00.08s,-53° 42′ 21.1″,6.39,1.17,361,K2IIICN...,,322.250,-52.294,Indi,HD 204228 Indi
5994,Indus,HD 203010,,HD 203010,,,,203010,105425,21h 21m 16.60s,-49° 56′ 16.3″,6.4,1.16,364,K3III,,320.317,-48.062,Indi,HD 203010 Indi
5995,Indus,HD 204873,,HD 204873,,,,204873,106419,21h 33m 17.62s,-52° 44′ 15.9″,6.43,−0.71,872,K4III,,323.321,-51.263,Indi,HD 204873 Indi
5996,Indus,HD 200887,,HD 200887,,,,200887,104296,21h 07m 44.50s,-45° 22′ 46.0″,6.45,1.57,308,A9V,,316.933,-44.621,Indi,HD 200887 Indi
5997,Indus,HD 206690,,HD 206690,,,,206690,107409,21h 45m 18.67s,-49° 29′ 56.0″,6.46,0.93,417,K1III,,326.325,-48.501,Indi,HD 206690 Indi
5998,Indus,HD 218497,,HD 218497,,,,218497,114367,23h 09m 44.73s,-67° 52′ 34.2″,6.47,2.86,172,F3IV,,347.433,-66.124,Indi,HD 218497 Indi
5999,Indus,HD 218558,,HD 218558,,,,218558,114408,23h 10m 11.99s,-66° 51′ 27.8″,6.47,2.5,203,K0IV,,347.546,-65.143,Indi,HD 218558 Indi
6000,Indus,HD 206429,,HD 206429,,,,206429,107299,21h 43m 59.16s,-57° 19′ 30.4″,6.49,3.3,141,F7IV/V,,325.996,-56.675,Indi,HD 206429 Indi
6001,Indus,HD 208184,,HD 208184,,,,208184,108268,21h 56m 03.42s,-52° 27′ 49.2″,6.5,0.09,623,G6III,,329.013,-51.536,Indi,HD 208184 Indi
6002,Indus,HD 206653,,BC,,,BC,206653,107525,21h 46m 37.91s,-67° 35′ 46.8″,7.2,,901,Ap...,"α2 CVn variable, Vmax = 7.18m, Vmin = 7.24m, P = 1.788 d",326.654,-66.404,Indi,BC Indi
6003,Indus,HD 209295,,CK,,,CK,209295,108976,22h 04m 38.43s,-64° 43′ 42.01″,7.32,,381,A9/F0V,"γ Dor and δ Sct variable, Vmax = 7.25m, Vmin = 7.41m, P = 0.88547 d",331.158,-63.283,Indi,CK Indi
6004,Indus,HD 208217,,BD,,,BD,208217,108340,21h 56m 56.69s,-61° 50′ 46.3″,7.5,,455,Ap...,"α2 CVn variable, ΔV = 0.01m",329.233,-60.154,Indi,BD Indi
6005,Indus,BS Ind,,BS,,,BS,202947,105404,21h 20m 59.80s,-52° 28′ 40.1″,8.9,,144.5,G9V,"Algol variable, ΔV = 0.165m, P = 0.435338 d",320.246,-51.522,Indi,BS Indi
6006,Indus,RS Ind,,RS,,,RS,,,21h 36m 49.74s,-70° 20′ 00.8″,9.51,,,F4,Algol variable,324.204,-69.667,Indi,RS Indi
6007,Indus,V Ind,,V,,,V,201484,104613,21h 11m 29.90s,-45° 04′ 28.4″,10.01,,2080,F0V,"RR Lyr variable, Vmax = 9.334m, Vmin = 10.439m, P = 0.4796017 d",317.871,-44.926,Indi,V Indi
