USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
6013,Lacerta,α Lac,α,Alpha,7,,,213558,111169,22h 31m 17.38s,+50° 16′ 56.8″,3.76,1.28,102,A1V,,337.821,50.282,Lacertae,Alpha Lacertae
6014,Lacerta,1 Lac,,1,1,,,211388,109937,22h 15m 58.17s,+37° 44′ 55.4″,4.14,−2.28,627,K3III,suspected variable,333.992,37.749,Lacertae,1 Lacertae
6015,Lacerta,5 Lac,,5,5,,V412,213310,111022,22h 29m 31.82s,+47° 42′ 24.8″,4.34,−3.42,1164,M0II,slow irregular variable,337.379,47.707,Lacertae,5 Lacertae
6016,Lacerta,β Lac,β,Beta,3,,,212496,110538,22h 23m 33.64s,+52° 13′ 46.2″,4.42,0.84,170,G9III,,335.888,52.229,Lacertae,Beta Lacertae
6017,Lacerta,HD 211073,,HD 211073,,,,211073,109754,22h 13m 52.70s,+39° 42′ 53.6″,4.5,−1.69,563,K3III,"suspected variable, Vmax = 4.49m, Vmin = 4.55m",333.467,39.715,Lacertae,HD 211073 Lacertae
6018,Lacerta,11 Lac,,11,11,,,214868,111944,22h 40m 30.78s,+44° 16′ 34.6″,4.5,−0.33,302,K3III,"variable star, ΔV = 0.003m, P = 17.30403 d",340.125,44.276,Lacertae,11 Lacertae
6019,Lacerta,6 Lac,,6,6,,,213420,111104,22h 30m 29.26s,+43° 07′ 24.2″,4.52,−3.60,1370,B2IV,,337.621,43.123,Lacertae,6 Lacertae
6020,Lacerta,2 Lac,,2,2,,,212120,110351,22h 21m 01.53s,+46° 32′ 11.6″,4.55,−1.42,509,B6V,"suspected rotating ellipsoidal variable, Vmax = 4.53m, Vmin = 4.56m",335.254,46.536,Lacertae,2 Lacertae
6021,Lacerta,4 Lac,,4,4,,,212593,110609,22h 24m 31.00s,+49° 28′ 35.0″,4.55,−4.51,2117,B9Iab,,336.129,49.476,Lacertae,4 Lacertae
6022,Lacerta,9 Lac,,9,9,,,214454,111674,22h 37m 22.47s,+51° 32′ 43.3″,4.64,1.03,172,A8IV,,339.342,51.545,Lacertae,9 Lacertae
6023,Lacerta,10 Lac,,10,10,,,214680,111841,22h 39m 15.68s,+39° 03′ 01.0″,4.89,−2.67,1058,O9V,Spectrum anchor point;[1] suspected β Cep variable,339.813,39.050,Lacertae,10 Lacertae
6024,Lacerta,15 Lac,,15,15,,,216397,112917,22h 52m 01.95s,+43° 18′ 44.5″,4.95,−0.05,326,M0III,,343.004,43.312,Lacertae,15 Lacertae
