USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
6118,Leo,Regulus,α,Alpha,32,,,87901,49669,10h 08m 22.46s,+11° 58′ 01.9″,1.36,−0.52,77,B7V,"Cor Leonis, Qalb, Kabelaced, Qalb al-Asad, Rex",152.092,11.967,Leonis,Alpha Leonis
6119,Leo,Denebola,β,Beta,94,,,102647,57632,11h 49m 03.88s,+14° 34′ 20.4″,2.14,1.92,36,A3Vvar,"Deneb Alased, Deneb Aleet; δ Sct variable",177.263,14.572,Leonis,Beta Leonis
6120,Leo,γ1 Leo,γ1,Gamma 1,41,,,89484,50583,10h 19m 58.16s,+19° 50′ 30.7″,2.37,−0.92,126,K0III,"Algieba, Al Gieba, Algeiba; has a confirmed planet (b) and an unconfirmed planet (c)",154.992,19.842,Leonis,Gamma 1 Leonis
6121,Leo,δ Leo,δ,Delta,68,,,97603,54872,11h 14m 06.41s,+20° 31′ 26.5″,2.56,1.32,58,A4V,"Zosma, Zozma, Zozca, Zosca, Zubra, Duhr, Dhur",168.525,20.524,Leonis,Delta Leonis
6122,Leo,ε Leo,ε,Epsilon,17,,,84441,47908,09h 45m 51.10s,+23° 46′ 27.4″,2.97,−1.46,251,G0II,"Ras Elased, Ras Elased Australis, Algenubi",146.463,23.774,Leonis,Epsilon Leonis
6123,Leo,θ Leo,θ,Theta,70,,,97633,54879,11h 14m 14.44s,+15° 25′ 47.1″,3.33,−0.35,178,A2V,"Chertan, Chort, Coxa",168.558,15.430,Leonis,Theta Leonis
6124,Leo,ζ Leo,ζ,Zeta,36,,,89025,50335,10h 16m 41.40s,+23° 25′ 02.4″,3.43,−1.08,260,F0III,"Adhafera, Aldhafera, Aldhafara",154.171,23.417,Leonis,Zeta Leonis
6125,Leo,η Leo,η,Eta,30,,,87737,49583,10h 07m 19.95s,+16° 45′ 45.6″,3.48,−5.60,2131,A0Ib,"Al Jabhah, Al Jabbah, Al'Dzhabkhakh",151.829,16.763,Leonis,Eta Leonis
6126,Leo,ο Leo A,ο,Omicron,14,,,83808,47508,09h 41m 09.12s,+09° 53′ 32.6″,3.52,0.43,135,A5V+...,Subra,145.288,9.892,Leonis,Omicron Leonis
6127,Leo,ο Leo B,ο,Omicron,14,,HD 83809,83809,,09h 41m 13.40s,+09° 54′ 35.0″,3.7,,130,,component of the ο Leo system,145.304,9.910,Leonis,Omicron Leonis
6128,Leo,γ2 Leo,γ2,Gamma 2,41,,,89485,,10h 19m 58.60s,+19° 50′ 26.0″,3.8,,130,,,154.992,19.841,Leonis,Gamma 2 Leonis
6129,Leo,ρ Leo,ρ,Rho,47,14,,91316,51624,10h 32m 48.68s,+09° 18′ 23.7″,3.84,−7.38,5719,B1Ib SB,"Shir, Ser; α Cyg variable",158.200,9.306,Leonis,Rho Leonis
6130,Leo,μ Leo,μ,Mu,24,,,85503,48455,09h 52m 45.96s,+26° 00′ 25.5″,3.88,0.83,133,K0III,"Rasalas, Ras Elased Borealis, Ras al Asad al Shamaliyy, Alshemali, has a planet (b)",148.188,26.007,Leonis,Mu Leonis
6131,Leo,ι Leo,ι,Iota,78,,,99028,55642,11h 23m 55.37s,+10° 31′ 46.9″,4,2.08,79,F2IV SB,"Tsze Tseang,[1] Xīcìjiāng (西次將)[2]",170.979,10.529,Leonis,Iota Leonis
6132,Leo,σ Leo,σ,Sigma,77,46,,98664,55434,11h 21m 08.25s,+06° 01′ 45.7″,4.05,−0.04,214,B9.5Vs,"Shang Tseang,[1] Xīshǎngjiāng (西上將)[2]",170.283,6.029,Leonis,Sigma Leonis
6133,Leo,54 Leo,,54,54,,,94601,53417,10h 55m 36.85s,+24° 44′ 59.1″,4.3,−0.44,289,A1,,163.900,24.750,Leonis,54 Leonis
6134,Leo,υ Leo,υ,Upsilon,91,69,,100920,56647,11h 36m 56.93s,-00° 49′ 25.9″,4.3,0.61,178,G9III,,174.233,0.824,Leonis,Upsilon Leonis
6135,Leo,λ Leo,λ,Lambda,4,,,82308,46750,09h 31m 43.24s,+22° 58′ 05.0″,4.32,−0.75,336,K5IIIvar,"Alterf, Al Terf",142.929,22.968,Leonis,Lambda Leonis
6136,Leo,31 Leo,A,A,31,,,87837,49637,10h 07m 54.32s,+09° 59′ 51.6″,4.39,−0.23,274,K4III,,151.975,9.998,Leonis,A Leonis
6137,Leo,60 Leo,b,B,60,,,95608,53954,11h 02m 19.78s,+20° 10′ 47.1″,4.42,1.53,124,A1m,,165.579,20.180,Leonis,B Leonis
6138,Leo,φ Leo,φ,Phi,74,43,,98058,55084,11h 16m 39.76s,-03° 39′ 05.5″,4.45,0.56,195,A7IVn,,169.163,-2.349,Leonis,Phi Leonis
