USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
6275,Leo Minor,46 LMi,,46,46,,,94264,53229,10h 53m 18.64s,+34° 12′ 56.0″,3.79,1.41,98,K0III-IV,"Praecipua (mistransferred), Praecipula; presumably intended to be α; suspected variable, Vmax = 3.79m, Vmin = 3.84m",163.325,34.216,Leonis Minoris,46 Leonis Minoris
6276,Leo Minor,β LMi,β,Beta,31,,,90537,51233,10h 27m 53.09s,+36° 42′ 26.9″,4.2,0.95,146,G8III-IV,binary star,156.971,36.707,Leonis Minoris,Beta Leonis Minoris
6277,Leo Minor,21 LMi,,21,21,,,87696,49593,10h 07m 25.73s,+35° 14′ 40.9″,4.49,2.26,91,A7V,"suspected δ Sct variable, Vmax = 4.47m, Vmin = 4.52m",151.854,35.244,Leonis Minoris,21 Leonis Minoris
6278,Leo Minor,10 LMi,,10,10,,SU,82635,46952,09h 34m 13.38s,+36° 23′ 51.4″,4.54,0.88,176,G8III,"RS CVn variable, ΔV = 0.02m",143.554,36.398,Leonis Minoris,10 Leonis Minoris
6279,Leo Minor,37 LMi,,37,37,,,92125,52098,10h 38m 43.21s,+31° 58′ 34.4″,4.68,−1.13,474,G0II,Praecipua (original),159.679,31.976,Leonis Minoris,37 Leonis Minoris
6280,Leo Minor,30 LMi,,30,30,,,90277,51056,10h 25m 54.87s,+33° 47′ 46.5″,4.72,0.71,207,F0V,,156.475,33.796,Leonis Minoris,30 Leonis Minoris
6281,Leo Minor,41 LMi,,41,41,,,92825,52457,10h 43m 25.03s,+23° 11′ 18.2″,5.08,1.06,207,A3Vn,,160.854,23.188,Leonis Minoris,41 Leonis Minoris
6282,Leo Minor,19 LMi,,19,19,,,86146,48833,09h 57m 41.14s,+41° 03′ 20.5″,5.11,2.81,94,F6Vs,,149.421,41.056,Leonis Minoris,19 Leonis Minoris
6283,Leo Minor,42 LMi,,42,42,,,93152,52638,10h 45m 51.91s,+30° 40′ 56.6″,5.36,0.04,377,A1Vn,,161.463,30.682,Leonis Minoris,42 Leonis Minoris
6284,Leo Minor,20 LMi,,20,20,,,86728,49081,10h 01m 01.02s,+31° 55′ 29.0″,5.37,4.5,49,G1V,Cor; binary star,150.254,31.925,Leonis Minoris,20 Leonis Minoris
6285,Leo Minor,11 LMi,,11,11,,SV,82885,47080,09h 35m 40.03s,+35° 48′ 38.8″,5.39,5.16,36,G8IV-V,"RS CVn variable, ΔV = 0.04m",143.917,35.811,Leonis Minoris,11 Leonis Minoris
6286,Leo Minor,8 LMi,,8,8,,,82198,46735,09h 31m 32.45s,+35° 06′ 12.6″,5.4,−0.24,436,M1III,"suspected variable, ΔV = 0.07m",142.883,35.103,Leonis Minoris,8 Leonis Minoris
6287,Leo Minor,23 LMi,,23,23,,,88960,50303,10h 16m 14.48s,+29° 18′ 38.0″,5.49,1,257,A0Vn,,154.058,29.311,Leonis Minoris,23 Leonis Minoris
6288,Leo Minor,40 LMi,,40,40,,,92769,52422,10h 43m 01.95s,+26° 19′ 32.5″,5.51,2.22,148,A4Vn,,160.754,26.326,Leonis Minoris,40 Leonis Minoris
