USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
6329,Lepus,α Lep,α,Alpha,11,,,36673,25985,05h 32m 43.81s,-17° 49′ 20.3″,2.58,−5.40,1283,F0Ib,"Arneb (Elarneb), Arsh; suspected variable, Vmax = 2.56m, Vmin = 2.62m",83.179,-16.178,Leporis,Alpha Leporis
6330,Lepus,β Lep,β,Beta,9,,,36079,25606,05h 28m 14.73s,-20° 45′ 33.2″,2.81,−0.63,159,G5II,Nihal (Nibal),82.058,-19.241,Leporis,Beta Leporis
6331,Lepus,ε Lep,ε,Epsilon,2,,,32887,23685,05h 05m 27.65s,-22° 22′ 15.1″,3.19,−1.02,227,K4III,"suspected variable, Vmax = 3.12m, Vmin = 3.20m",76.363,-21.629,Leporis,Epsilon Leporis
6332,Lepus,μ Lep,μ,Mu,5,,,33904,24305,05h 12m 55.87s,-16° 12′ 19.5″,3.29,−0.47,184,B9IV: HgMn,"α2 CVn variable, Vmax = 2.97m, Vmin = 3.41m, P = 2 d",78.229,-15.795,Leporis,Mu Leporis
6333,Lepus,ζ Lep,ζ,Zeta,14,,,38678,27288,05h 46m 57.35s,-14° 49′ 19.0″,3.55,1.89,70,A2Vann,has a possible asteroid belt,86.738,-13.178,Leporis,Zeta Leporis
6334,Lepus,γ Lep,γ,Gamma,13,,,38393,27072,05h 44m 27.97s,-22° 26′ 51.0″,3.59,3.83,29,F7V,,86.113,-21.553,Leporis,Gamma Leporis
6335,Lepus,η Lep,η,Eta,16,,,40136,28103,05h 56m 24.32s,-14° 10′ 04.9″,3.71,2.82,49,F1V,,89.100,-13.832,Leporis,Eta Leporis
6336,Lepus,δ Lep,δ,Delta,15,,,39364,27654,05h 51m 19.15s,-20° 52′ 39.0″,3.76,1.08,112,G8III/IV,,87.829,-19.123,Leporis,Delta Leporis
6337,Lepus,λ Lep,λ,Lambda,6,,,34816,24845,05h 19m 34.53s,-13° 10′ 36.4″,4.29,−3.30,1076,B0.5IV,,79.892,-12.823,Leporis,Lambda Leporis
6338,Lepus,κ Lep,κ,Kappa,4,,,33949,24327,05h 13m 13.89s,-12° 56′ 28.6″,4.36,−1.81,559,B7V,suspected variable,78.304,-11.059,Leporis,Kappa Leporis
6339,Lepus,ι Lep,ι,Iota,3,,,33802,24244,05h 12m 17.89s,-11° 52′ 08.9″,4.45,0.11,241,B8V,,78.071,-10.131,Leporis,Iota Leporis
6340,Lepus,θ Lep,θ,Theta,18,,,41695,28910,06h 06m 09.33s,-14° 56′ 07.0″,4.67,1.08,170,A0V,,91.538,-13.065,Leporis,Theta Leporis
6341,Lepus,HD 34968,,HD 34968,,,,34968,24927,05h 20m 26.91s,-21° 14′ 23.1″,4.7,−1.04,459,A0V,"suspected variable, Vmax = 4.67m, Vmin = 4.72m",80.108,-20.760,Leporis,HD 34968 Leporis
6342,Lepus,HD 32309,,HD 32309,,,,32309,23362,05h 01m 25.56s,-20° 03′ 06.8″,4.91,0.88,209,B9V,,75.354,-19.948,Leporis,HD 32309 Leporis
6343,Lepus,17 Lep,,17,17,,SS,41511,28816,06h 04m 59.13s,-16° 29′ 03.9″,4.92,−2.66,1069,Ap shell,"rotating ellipsoidal and Z And variable, Vmax = 4.82m, Vmin = 5.06m, P = 260.34 d",91.246,-15.516,Leporis,17 Leporis
6344,Lepus,HD 32436,,HD 32436,,,,32436,23430,05h 02m 09.77s,-26° 16′ 29.4″,5.01,0.65,242,K1III,aka HR 1628,75.538,-25.725,Leporis,HD 32436 Leporis
6345,Lepus,HD 41312,,HD 41312,,,,41312,28675,06h 03m 15.56s,-26° 17′ 05.1″,5.03,−0.35,388,K3II/IIICNv,,90.813,-25.715,Leporis,HD 41312 Leporis
6346,Lepus,HD 34310,,HD 34310,,,,34310,24505,05h 15m 24.37s,-26° 56′ 36.4″,5.06,0.45,272,B9V,,78.850,-25.057,Leporis,HD 34310 Leporis
6347,Lepus,HD 35162,,HD 35162,,,,35162,25045,05h 21m 46.27s,-24° 46′ 22.6″,5.06,0.28,294,A2/A3,,80.442,-23.227,Leporis,HD 35162 Leporis
6348,Lepus,8 Lep,,8,8,,,35337,25202,05h 23m 30.16s,-13° 55′ 38.5″,5.25,−3.47,1811,B2IV,,80.875,-12.073,Leporis,8 Leporis
6349,Lepus,19 Lep,,19,19,,,42042,29048,06h 07m 41.63s,-19° 09′ 57.6″,5.28,−1.41,710,M1III,semiregular variable,91.921,-18.834,Leporis,19 Leporis
6350,Lepus,ν Lep,ν,Nu,7,,,34863,24873,05h 19m 59.03s,-12° 18′ 56.2″,5.29,0.25,332,B7/B8V,,79.996,-11.684,Leporis,Nu Leporis
6351,Lepus,HD 41841,,HD 41841,,,,41841,28943,06h 06m 32.10s,-23° 06′ 38.8″,5.46,−0.36,475,A2V,,91.633,-22.889,Leporis,HD 41841 Leporis
6352,Lepus,HD 34538,,HD 34538,,,,34538,24679,05h 17m 40.25s,-13° 31′ 10.9″,5.48,2.06,158,G8IV,"suspected variable, Vmax = 5.38m, Vmin = 5.50m",79.417,-12.481,Leporis,HD 34538 Leporis
6353,Lepus,HD 39070,,HD 39070,,,,39070,27517,05h 49m 36.55s,-14° 29′ 00.8″,5.49,0.6,310,G8III,,87.400,-13.517,Leporis,HD 39070 Leporis
6354,Lepus,HD 42301,,HD 42301,,,,42301,29150,06h 08m 57.87s,-22° 25′ 38.2″,5.49,1.02,255,A0V,,92.238,-21.573,Leporis,HD 42301 Leporis
6355,Lepus,10 Lep,,10,10,,,36473,25853,05h 31m 07.62s,-20° 51′ 48.8″,5.53,0.93,272,A0V,,82.779,-19.137,Leporis,10 Leporis
6356,Lepus,HD 42341,,HD 42341,,,,42341,29205,06h 09m 34.53s,-14° 35′ 04.9″,5.56,1.49,212,K2III,,92.392,-13.416,Leporis,HD 42341 Leporis
6357,Lepus,RX Lep,,RX,,,RX,33664,24169,05h 11m 22.85s,-11° 50′ 57.2″,5.6,−0.08,447,M6.2III,"semiregular variable, Vmax = 5.12m, Vmin = 6.65m, P = 79.54 d",77.842,-10.151,Leporis,RX Leporis
6358,Lepus,HD 32667,,HD 32667,,,,32667,23554,05h 03m 53.26s,-24° 23′ 17.0″,5.61,1.72,196,A2IV,,75.971,-23.612,Leporis,HD 32667 Leporis
6359,Lepus,HD 39853,,HD 39853,,,,39853,27938,05h 54m 43.59s,-11° 46′ 27.3″,5.62,−1.18,746,K3 comp,suspected variable,88.679,-10.226,Leporis,HD 39853 Leporis
6360,Lepus,HD 35505,,HD 35505,,,,35505,25280,05h 24m 28.47s,-16° 58′ 32.7″,5.64,1.5,220,A0V,,81.117,-15.024,Leporis,HD 35505 Leporis
6361,Lepus,HD 31925,,HD 31925,,,,31925,23166,04h 59m 01.44s,-16° 22′ 34.8″,5.65,2.47,141,F5V,"suspected variable, Vmax = 5.62m, Vmin = 5.69m",74.754,-15.624,Leporis,HD 31925 Leporis
6362,Lepus,HD 32890,,HD 32890,,,,32890,23668,05h 05m 16.19s,-26° 09′ 08.1″,5.71,1.37,240,K2III,,76.317,-25.848,Leporis,HD 32890 Leporis
6363,Lepus,HD 42443,,HD 42443,,,,42443,29234,06h 09m 47.91s,-22° 46′ 28.2″,5.71,2.04,176,F5V,,92.446,-21.226,Leporis,HD 42443 Leporis
6364,Lepus,HD 42621,,HD 42621,,,,42621,29294,06h 10m 34.69s,-27° 09′ 15.1″,5.72,0.68,331,K1III,,92.642,-26.846,Leporis,HD 42621 Leporis
6365,Lepus,HD 38206,,HD 38206,,,,38206,26966,05h 43m 21.66s,-18° 33′ 26.8″,5.73,1.53,226,A0V,,85.838,-17.443,Leporis,HD 38206 Leporis
6366,Lepus,1 Lep,,1,1,,,32503,23474,05h 02m 44.94s,-22° 47′ 42.3″,5.74,−0.29,524,K1IV,,75.683,-21.205,Leporis,1 Leporis
6367,Lepus,YY Lep,,YY,,,YY,41933,28984,06h 06m 57.52s,-21° 48′ 44.2″,5.74,−1.54,931,M3II/III,semiregular variable,91.738,-20.188,Leporis,YY Leporis
6368,Lepus,HD 35736,,HD 35736,,,,35736,25397,05h 25m 59.82s,-19° 41′ 43.3″,5.78,2.61,140,F5V,,81.496,-18.305,Leporis,HD 35736 Leporis
6369,Lepus,HD 39190,,HD 39190,,,,39190,27533,05h 49m 53.51s,-22° 58′ 18.9″,5.87,−0.49,610,A1V,,87.471,-21.028,Leporis,HD 39190 Leporis
6370,Lepus,12 Lep,,12,12,,,38090,26865,05h 42m 13.96s,-22° 22′ 25.5″,5.88,−0.97,765,A2/A3V,,85.554,-21.626,Leporis,12 Leporis
6371,Lepus,HD 40151,,HD 40151,,,,40151,28085,05h 56m 14.20s,-22° 50′ 24.2″,5.95,1.19,292,K0/K1III,,89.058,-21.160,Leporis,HD 40151 Leporis
6372,Lepus,HD 34721,,HD 34721,,,,34721,24786,05h 18m 50.24s,-18° 07′ 48.7″,5.96,3.98,81,G0V,,79.708,-17.870,Leporis,HD 34721 Leporis
6373,Lepus,HD 33093,,HD 33093,,,,33093,23831,05h 07m 24.88s,-12° 29′ 27.6″,5.97,3.17,118,G2V,suspected variable,76.850,-11.509,Leporis,HD 33093 Leporis
6374,Lepus,HD 32996,,HD 32996,,,,32996,23777,05h 06m 36.73s,-13° 07′ 21.6″,6.04,0.81,363,B9.5/A0IV,,76.650,-12.878,Leporis,HD 32996 Leporis
6375,Lepus,HD 40972,,HD 40972,,,,40972,28520,06h 01m 13.11s,-25° 25′ 03.8″,6.04,0.81,363,A0V,,90.304,-24.583,Leporis,HD 40972 Leporis
6376,Lepus,HD 35991,,HD 35991,,,,35991,25532,05h 27m 36.49s,-21° 22′ 32.8″,6.08,0.75,380,K0III,,81.900,-20.624,Leporis,HD 35991 Leporis
6377,Lepus,HD 42729,,HD 42729,,,,42729,29347,06h 11m 13.66s,-26° 28′ 55.6″,6.08,−0.50,675,B9.5IV/V,,92.804,-25.518,Leporis,HD 42729 Leporis
6378,Lepus,HD 37306,,HD 37306,,,,37306,26395,05h 37m 08.76s,-11° 46′ 31.7″,6.1,2,215,A2V,,84.283,-10.225,Leporis,HD 37306 Leporis
6379,Lepus,HD 38054,,HD 38054,,,,38054,26866,05h 42m 14.49s,-17° 31′ 49.4″,6.15,−0.16,597,K3III,,85.558,-16.470,Leporis,HD 38054 Leporis
6380,Lepus,HD 38392,,AK,,,AK,38392,,05h 44m 26.50s,-22° 25′ 18.0″,6.15,,,K2V,"common proper motion with γ Lep; BY Draconis variable, ΔV = 0.06m, P = 21.4 d",86.108,-21.578,Leporis,AK Leporis
6381,Lepus,HD 39385,,HD 39385,,,,39385,27670,05h 51m 28.62s,-22° 55′ 36.6″,6.16,0.49,443,K0IIICN...,,87.867,-21.073,Leporis,HD 39385 Leporis
6382,Lepus,HD 38713,,HD 38713,,,,38713,27308,05h 47m 07.81s,-16° 14′ 17.0″,6.18,−0.36,664,G8III,,86.779,-15.762,Leporis,HD 38713 Leporis
6383,Lepus,HD 41125,,HD 41125,,,,41125,28622,06h 02m 33.81s,-14° 29′ 49.9″,6.2,0.58,434,K0III,,90.638,-13.503,Leporis,HD 41125 Leporis
6384,Lepus,HD 40745,,AC,,,AC,40745,28434,06h 00m 17.66s,-12° 53′ 59.7″,6.21,2.32,195,F2IV,γ Doradus variable,90.071,-11.100,Leporis,AC Leporis
6385,Lepus,HD 34045,,HD 34045,,,,34045,24394,05h 13m 59.94s,-14° 36′ 24.7″,6.22,1.84,245,A9II/III,,78.496,-13.393,Leporis,HD 34045 Leporis
