USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
6420,Libra,β Lib,β,Beta,27,,,135742,74785,15h 17m 00.47s,-09° 22′ 58.3″,2.61,−0.84,160,B8V,Zubeneschamali; suspected variable,229.250,-8.617,Librae,Beta Librae
6421,Libra,α2 Lib,α2,Alpha 2,9,,,130841,72622,14h 50m 52.78s,-16° 02′ 29.8″,2.75,0.88,77,A3IV,Zubenelgenubi; spectroscopic binary; suspected variable; member of the α Lib system,222.717,-15.959,Librae,Alpha 2 Librae
6422,Libra,σ Lib,σ,Sigma,20,,,133216,73714,15h 04m 04.26s,-25° 16′ 54.7″,3.25,−1.51,292,M3/M4III,"previously γ Scorpii, Brachium; semiregular variable, Vmax = 3.2m, Vmin = 3.46m, P = 20 d",226.017,-24.718,Librae,Sigma Librae
6423,Libra,υ Lib,υ,Upsilon,39,,,139063,76470,15h 37m 01.46s,-28° 08′ 06.3″,3.6,−0.28,195,K3III,,234.254,-27.865,Librae,Upsilon Librae
6424,Libra,τ Lib,τ,Tau,40,,,139365,76600,15h 38m 39.38s,-29° 46′ 39.7″,3.66,−2.01,445,B2.5V,,234.663,-28.223,Librae,Tau Librae
6425,Libra,γ Lib,γ,Gamma,38,,,138905,76333,15h 35m 31.54s,-14° 47′ 22.4″,3.91,0.56,152,K0III,"Zubenelhakrabi, has two planets (b & c)",233.879,-13.211,Librae,Gamma Librae
6426,Libra,θ Lib,θ,Theta,46,,,142198,77853,15h 53m 49.48s,-16° 43′ 46.6″,4.13,0.64,163,K0III,,238.454,-15.271,Librae,Theta Librae
6427,Libra,16 Lib,,16,16,,,132052,73165,14h 57m 11.06s,-04° 20′ 45.9″,4.47,2.24,91,F0V,,224.296,-3.654,Librae,16 Librae
6428,Libra,ι1 Lib,ι1,Iota 1,24,,,134759,74392,15h 12m 13.31s,-19° 47′ 29.9″,4.54,−0.77,376,Asp...,"α2 CVn variable, Vmax = 4.53m, Vmin = 4.56m, P = 3.10 d",228.054,-18.209,Librae,Iota 1 Librae
6429,Libra,37 Lib,,37,37,,,138716,76219,15h 34m 10.52s,-10° 03′ 50.3″,4.61,2.3,94,K1IV,,233.542,-9.936,Librae,37 Librae
6430,Libra,κ Lib,κ,Kappa,43,,,139997,76880,15h 41m 56.82s,-19° 40′ 42.9″,4.75,−0.69,400,K5III,"Rì (日)[1], suspected variable",235.483,-18.322,Librae,Kappa Librae
6431,Libra,δ Lib,δ,Delta,19,,,132742,73473,15h 00m 58.39s,-08° 31′ 08.2″,4.91,0.06,304,B9.5V,"Zuben Elakribi; Algol variable, Vmax = 4.91m, Vmin = 5.9m, P = 2.33 d",225.242,-7.481,Librae,Delta Librae
6432,Libra,ε Lib,ε,Epsilon,31,,,137052,75379,15h 24m 11.93s,-10° 19′ 18.8″,4.92,2.37,106,F5IV,,231.046,-9.678,Librae,Epsilon Librae
6433,Libra,11 Lib,,11,11,,,130952,72631,14h 51m 01.02s,-02° 17′ 55.9″,4.93,0.82,216,G8...,"RS CVn variable, Vmax = 4.91m, Vmin = 4.95m, P = 60.55 d",222.754,-1.701,Librae,11 Librae
6434,Libra,48 Lib,,48,48,,FX,142983,78207,15h 58m 11.38s,-14° 16′ 45.5″,4.95,−1.03,513,B8Ia/Iab,"γ Cas variable, Vmax = 4.74m, Vmin = 4.96m",239.546,-13.721,Librae,48 Librae
6435,Libra,42 Lib,,42,42,,,139663,76742,15h 40m 16.91s,-23° 49′ 05.0″,4.97,−0.37,381,K3III,suspected variable,235.067,-22.182,Librae,42 Librae
6436,Libra,λ Lib,λ,Lambda,45,,,142096,77811,15h 53m 20.06s,-20° 10′ 01.2″,5.03,−0.16,356,B3V,"α2 CVn variable, ΔV = 0.02m, P = 3.31 d[dubious – discuss]",238.333,-19.833,Librae,Lambda Librae
6437,Libra,36 Lib,,36,36,,,138688,76259,15h 34m 37.31s,-28° 02′ 48.9″,5.13,−0.14,369,K2/K3III,,233.654,-27.953,Librae,36 Librae
6438,Libra,α1 Lib,α1,Alpha 1,8,,,130819,72603,14h 50m 41.26s,-15° 59′ 49.5″,5.15,3.28,77,F3V,spectroscopic binary; member of the α Lib system,222.671,-14.003,Librae,Alpha 1 Librae
6439,Libra,HR 5780,,IU,,,IU,138764,76243,15h 34m 26.53s,-09° 11′ 00.1″,5.16,0,351,B6IV,"slowly pulsating B star, Vmax = 5.14m, Vmin = 5.19m, P = 1.26 d",233.608,-8.817,Librae,IU Librae
