USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
6538,Lupus,α Lup,α,Alpha,,,,129056,71860,14h 41m 55.77s,-47° 23′ 17.3″,2.3,−3.83,548,B1.5III,"Men; β Cep variable, Vmax = 2.29m, Vmin = 2.34m, P = 0.2598466 d. 70% likelihood of being a member of Scorpius–Centaurus Association.[1]",220.479,-46.612,Lupi,Alpha Lupi
6539,Lupus,β Lup,β,Beta,,,,132058,73273,14h 58m 31.95s,-43° 08′ 01.9″,2.68,−3.35,523,B2III,Kekouan,224.629,-42.866,Lupi,Beta Lupi
6540,Lupus,γ Lup,γ,Gamma,,,,138690,76297,15h 35m 08.46s,-41° 10′ 00.1″,2.8,−3.40,567,B2IV,rotating ellipsoidal variable. 91% likelihood of being a member of Scorpius–Centaurus Association.[1],233.783,-40.833,Lupi,Gamma Lupi
6541,Lupus,δ Lup,δ,Delta,,,,136298,75141,15h 21m 22.34s,-40° 38′ 50.9″,3.22,−2.75,510,B1.5IV,"β Cep variable, Vmax = 3.2m, Vmin = 3.24m, P = 0.16547 d",230.342,-39.353,Lupi,Delta Lupi
6542,Lupus,ε Lup,ε,Epsilon,,,,136504,75264,15h 22m 40.89s,-44° 41′ 22.5″,3.37,−2.58,504,B2IV-V,"β Cep variable, Vmax = 3.36m, Vmin = 3.38m, P = 0.0965 d",230.667,-43.311,Lupi,Epsilon Lupi
6543,Lupus,ζ Lup,ζ,Zeta,,,,134505,74395,15h 12m 17.20s,-52° 05′ 56.7″,3.41,0.65,116,G8III,,228.071,-51.901,Lupi,Zeta Lupi
6544,Lupus,η Lup,η,Eta,,,,143118,78384,16h 00m 07.34s,-38° 23′ 47.9″,3.42,−2.48,493,B2.5IV,suspected variable,240.029,-37.604,Lupi,Eta Lupi
6545,Lupus,ι Lup,ι,Iota,,,,125238,69996,14h 19m 24.23s,-46° 03′ 29.1″,3.55,−1.61,352,B2.5IV,"β Cep variable, Vmax = 3.54m, Vmin = 3.55m",214.850,-45.942,Lupi,Iota Lupi
6546,Lupus,φ1 Lup,φ1,Phi 1,,,,136422,75177,15h 21m 48.44s,-36° 15′ 40.2″,3.57,−1.43,326,K5III,"variable star, ΔV = 0.008m, P = 4.81719 d",230.450,-35.739,Lupi,Phi 1 Lupi
6547,Lupus,κ1 Lup,κ1,Kappa 1,,,,134481,74376,15h 11m 56.16s,-48° 44′ 15.7″,3.88,0.14,182,B9V,Qízhènjiāngjūn (騎陣將軍)[2],227.983,-47.263,Lupi,Kappa 1 Lupi
6548,Lupus,π Lup,π,Pi,,,,133242,73807,15h 05m 07.11s,-47° 03′ 04.3″,3.91,−2.01,497,B5,,226.279,-46.949,Lupi,Pi Lupi
6549,Lupus,χ Lup,χ,Chi,5,,,141556,77634,15h 50m 57.54s,-33° 37′ 37.6″,3.97,−0.03,206,B9.5III-IV,,237.738,-32.373,Lupi,Chi Lupi
6550,Lupus,ρ Lup,ρ,Rho,,,,128345,71536,14h 37m 53.25s,-49° 25′ 32.7″,4.05,−0.84,310,B5V,"53 Per variable, Vmax = 4.04m, Vmin = 4.05m, P = 0.44527 d",219.471,-48.574,Lupi,Rho Lupi
6551,Lupus,λ Lup,λ,Lambda,,,,133955,74117,15h 08m 50.63s,-45° 16′ 47.3″,4.07,−1.41,406,B3V,,227.208,-44.720,Lupi,Lambda Lupi
6552,Lupus,θ Lup,θ,Theta,,,,144294,78918,16h 06m 35.56s,-36° 48′ 08.0″,4.22,−1.28,411,B2.5Vn,suspected variable,241.646,-35.198,Lupi,Theta Lupi
6553,Lupus,μ Lup,μ,Mu,,,,135734,74911,15h 18m 32.05s,-47° 52′ 30.7″,4.27,−0.48,291,B8V,,229.633,-46.125,Lupi,Mu Lupi
6554,Lupus,ο Lup,ο,Omicron,,,,130807,72683,14h 51m 38.32s,-43° 34′ 31.1″,4.32,−1.16,408,B5IV,"suspected variable, ΔV = 0.02m",222.908,-42.425,Lupi,Omicron Lupi
6555,Lupus,τ2 Lup,τ2,Tau 2,,,,126354,70576,14h 26m 10.80s,-45° 22′ 45.3″,4.33,−0.59,314,A7:+...,,216.542,-44.621,Lupi,Tau 2 Lupi
6556,Lupus,ω Lup,ω,Omega,,,,139127,76552,15h 38m 03.32s,-42° 34′ 02.9″,4.34,0.1,230,K4.5III,,234.513,-41.433,Lupi,Omega Lupi
6557,Lupus,2 Lup,f,F,2,,,135758,74857,15h 17m 49.84s,-30° 08′ 55.2″,4.35,−0.53,308,K1II/III,,229.454,-29.851,Lupi,F Lupi
6558,Lupus,σ Lup,σ,Sigma,,,,127381,71121,14h 32m 37.08s,-50° 27′ 25.6″,4.44,−1.79,574,B2III,"SX Ari variable, Vmax = 4.42m, Vmin = 4.44m, P = 3.01927 d",218.154,-49.543,Lupi,Sigma Lupi
6559,Lupus,φ2 Lup,φ2,Phi 2,,,,136664,75304,15h 23m 09.36s,-36° 51′ 30.4″,4.54,−1.81,606,B4V,,230.788,-35.142,Lupi,Phi 2 Lupi
6560,Lupus,KT Lup,d,D,,,KT,138769,76371,15h 35m 53.27s,-44° 57′ 30.0″,4.55,−1.07,434,B3IVp,Be star,233.971,-43.042,Lupi,D Lupi
6561,Lupus,τ1 Lup,τ1,Tau 1,,,,126341,70574,14h 26m 08.24s,-45° 13′ 17.0″,4.56,−2.95,1035,B2IV,"β Cep variable, Vmax = 4.54m, Vmin = 4.58m, P = 0.17738884 d",216.533,-44.779,Lupi,Tau 1 Lupi
6562,Lupus,HD 137058,k,K,,,,137058,75501,15h 25m 20.25s,-38° 44′ 00.9″,4.6,−0.70,374,A0V,,231.333,-37.267,Lupi,K Lupi
6563,Lupus,HD 139664,g,G,,,,139664,76829,15h 41m 11.52s,-44° 39′ 38.0″,4.64,3.42,57,F5IV-V,,235.296,-43.339,Lupi,G Lupi
6564,Lupus,ψ1 Lup,ψ1,Psi 1,3,,,139521,76705,15h 39m 45.97s,-34° 24′ 42.8″,4.66,0.28,245,G8/K0III,,234.938,-33.588,Lupi,Psi 1 Lupi
6565,Lupus,ψ2 Lup,ψ2,Psi 2,4,,,140008,76945,15h 42m 41.04s,-34° 42′ 37.2″,4.75,−0.67,396,B5V,,235.671,-33.290,Lupi,Psi 2 Lupi
