USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
6686,Lynx,α Lyn,α,Alpha,40,,,80493,45860,09h 21m 03.46s,+34° 23′ 33.1″,3.14,−1.02,222,K7IIIvar,suspected variable,140.263,34.393,Lycinis,Alpha Lycinis
6687,Lynx,38 Lyn,,38,38,,,80081,45688,09h 18m 50.67s,+36° 48′ 10.4″,3.82,0.96,122,A1V,,139.708,36.803,Lycinis,38 Lycinis
6688,Lynx,10 UMa,,10,-10,,,76943,44248,09h 00m 38.75s,+41° 47′ 00.4″,3.96,2.88,54,F5V,,135.158,41.783,Lycinis,10 Lycinis
6689,Lynx,31 Lyn,,31,31,,BN,70272,41075,08h 22m 50.13s,+43° 11′ 18.1″,4.25,−1.13,389,K4.5III,"Alsciaukat, Mabsuthat; semiregular variable, Vmax = 4.21m, Vmin = 4.27m",125.708,43.188,Lycinis,31 Lycinis
6690,Lynx,15 Lyn,,15,15,,,50522,33449,06h 57m 16.60s,+58° 25′ 23.0″,4.35,0.76,170,G5III-IV,,104.317,58.423,Lycinis,15 Lycinis
6691,Lynx,2 Lyn,,2,2,,UZ,43378,30060,06h 19m 37.39s,+59° 00′ 39.3″,4.44,1.14,149,A2Vs,"eclipsing binary and δ Sct variable, Vmax = 4.43m, Vmin = 4.73m",94.904,59.011,Lycinis,2 Lycinis
6692,Lynx,HD 77912,,HD 77912,,,,77912,44700,09h 06m 31.79s,+38° 27′ 08.1″,4.56,−2.03,678,G8Ib-II,,136.629,38.452,Lycinis,HD 77912 Lycinis
6693,Lynx,21 Lyn,,21,21,,,58142,36145,07h 26m 42.86s,+49° 12′ 41.9″,4.61,0.2,249,A1V,suspected variable,111.675,49.211,Lycinis,21 Lycinis
6694,Lynx,27 Lyn,,27,27,,,67006,39847,08h 08m 27.50s,+51° 30′ 24.0″,4.78,0.65,218,A2V,suspected variable,122.113,51.507,Lycinis,27 Lycinis
6695,Lynx,HD 82741,,HD 82741,,,,82741,47029,09h 35m 03.85s,+39° 37′ 17.2″,4.81,0.58,229,K0III,,143.763,39.621,Lycinis,HD 82741 Lycinis
6696,Lynx,12 Lyn,,12,12,,,48250,32438,06h 46m 14.15s,+59° 26′ 30.1″,4.86,0.63,229,A3V,,101.558,59.442,Lycinis,12 Lycinis
6697,Lynx,ψ10 Aur,(ψ10),Psi,16,,,50973,33485,06h 57m 37.12s,+45° 05′ 38.8″,4.9,0.71,225,A2Vn,suspected variable,104.404,45.094,Lycinis,Psi Lycinis
6698,Lynx,24 Lyn,,24,24,,,61497,37609,07h 43m 00.46s,+58° 42′ 37.8″,4.93,0.62,237,A3IVn,,115.750,58.710,Lycinis,24 Lycinis
6699,Lynx,1 Lyn,,1,1,,UW,42973,29919,06h 17m 54.83s,+61° 30′ 55.1″,4.95,−1.34,590,M3III,"slow irregular variable, ΔV = 0.11m",94.475,61.515,Lycinis,1 Lycinis
6700,Lynx,HD 56169,,HD 56169,,,,56169,35384,07h 18m 31.98s,+49° 27′ 53.1″,5,0.2,297,A4IIIn,,109.629,49.465,Lycinis,HD 56169 Lycinis
6701,Lynx,35 Lyn,,35,35,,,75506,43531,08h 51m 56.84s,+43° 43′ 35.4″,5.15,0.53,274,K0III,,132.983,43.726,Lycinis,35 Lycinis
6702,Lynx,DU Lyn,,DU,,,DU,62647,37946,07h 46m 39.26s,+37° 31′ 02.5″,5.18,0.18,326,M3III,"semiregular variable, ΔV = 0.13m",116.663,37.517,Lycinis,DU Lycinis
6703,Lynx,18 Lyn,,18,18,,,55280,35146,07h 15m 55.02s,+59° 38′ 17.1″,5.2,1.34,193,K2III,,108.979,59.638,Lycinis,18 Lycinis
6704,Lynx,5 Lyn,,5,5,,,44708,30679,06h 26m 48.88s,+58° 25′ 02.7″,5.21,−1.39,682,K4III,,96.700,58.417,Lycinis,5 Lycinis
6705,Lynx,42 Lyn,,42,42,,,83287,47300,09h 38m 21.79s,+40° 14′ 23.2″,5.28,2.36,125,F0V,,144.588,40.240,Lycinis,42 Lycinis
6706,Lynx,50 Cam,,50,-50,,,61931,37701,07h 44m 04.19s,+50° 26′ 01.9″,5.31,−1.32,689,A0IIIn,,116.017,50.434,Lycinis,50 Lycinis
6707,Lynx,36 Lyn,,36,36,,EI,79158,45290,09h 13m 48.23s,+43° 13′ 04.5″,5.32,−0.90,573,B8IIIMNp,"SX Arietis variable, ΔV = 0.03m, P = 3.83 d",138.450,43.218,Lycinis,36 Lycinis
6708,Lynx,13 Lyn,,13,13,,,48432,32489,06h 46m 49.49s,+57° 10′ 09.4″,5.34,1.32,208,K0III,,101.704,57.169,Lycinis,13 Lycinis
6709,Lynx,14 Lyn A,,14,14,,,49618,33048,06h 53m 05.06s,+59° 26′ 55.2″,5.34,−0.31,441,G4III...,component of the 14 Lyn system,103.271,59.449,Lycinis,14 Lycinis
6710,Lynx,22 Lyn,,22,22,,,58855,36439,07h 29m 55.86s,+49° 40′ 21.6″,5.35,3.86,65,F6V,,112.479,49.673,Lycinis,22 Lycinis
6711,Lynx,34 Lyn,,34,34,,,73593,42604,08h 41m 01.05s,+45° 50′ 01.6″,5.35,1.64,180,G0IV,,130.254,45.834,Lycinis,34 Lycinis
6712,Lynx,UY Lyn,,UY,,,UY,54895,34912,07h 13m 23.39s,+51° 25′ 43.4″,5.47,−1.40,773,M3III,"slow irregular variable, Vmax = 5.47m, Vmin = 5.55m",108.346,51.429,Lycinis,UY Lycinis
6713,Lynx,26 Lyn,,26,26,,,64144,38639,07h 54m 42.74s,+47° 33′ 52.5″,5.47,−0.49,508,K4III,,118.675,47.564,Lycinis,26 Lycinis
6714,Lynx,HD 70313,,HD 70313,,,,70313,41152,08h 23m 48.53s,+53° 13′ 11.8″,5.52,1.97,168,A3V,suspected variable,125.950,53.220,Lycinis,HD 70313 Lycinis
6715,Lynx,RR Lyn,,RR,,,RR,44691,30651,06h 26m 25.86s,+56° 17′ 06.2″,5.53,0.93,271,A3m,"Algol variable, Vmax = 5.52m, Vmin = 6.03m, P = 9.95 d",96.604,56.285,Lycinis,RR Lycinis
6716,Lynx,HD 48766,,HD 48766,,,,48766,32609,06h 48m 12.23s,+55° 42′ 16.0″,5.54,2.18,153,F5V:+...,,102.050,55.704,Lycinis,HD 48766 Lycinis
6717,Lynx,HD 55575,,HD 55575,,,,55575,35136,07h 15m 50.11s,+47° 14′ 25.5″,5.54,4.41,55,G0V,,108.958,47.240,Lycinis,HD 55575 Lycinis
6718,Lynx,HD 61363,,HD 61363,,,,61363,37441,07h 41m 12.45s,+48° 07′ 54.7″,5.58,0.58,326,K0III,,115.300,48.132,Lycinis,HD 61363 Lycinis
6719,Lynx,43 Lyn,,43,43,,,83805,47570,09h 42m 00.38s,+39° 45′ 28.7″,5.61,0.52,340,G8III,,145.500,39.758,Lycinis,43 Lycinis
6720,Lynx,29 Lyn,,29,29,,,68930,40646,08h 17m 50.42s,+59° 34′ 16.1″,5.63,0.78,304,A7IV,,124.458,59.571,Lycinis,29 Lycinis
6721,Lynx,HD 60437,,HD 60437,,,,60437,37023,07h 36m 31.66s,+46° 10′ 49.3″,5.66,−0.35,518,M0III,,114.129,46.180,Lycinis,HD 60437 Lycinis
6722,Lynx,HD 58661,,HD 58661,,,,58661,36348,07h 28m 51.49s,+48° 11′ 02.5″,5.7,0.2,410,B9MNp...,suspected variable,112.213,48.184,Lycinis,HD 58661 Lycinis
6723,Lynx,HD 76291,,HD 76291,,,,76291,43923,08h 56m 50.06s,+45° 37′ 54.3″,5.72,1.48,229,K1IV,,134.208,45.632,Lycinis,HD 76291 Lycinis
6724,Lynx,HD 56963,,HD 56963,,,,56963,35643,07h 21m 17.54s,+45° 13′ 41.4″,5.74,3.05,112,A7s,,110.321,45.228,Lycinis,HD 56963 Lycinis
6725,Lynx,33 Lyn,,33,33,,,72524,42090,08h 34m 43.90s,+36° 25′ 11.0″,5.76,0.8,321,A2Vnn,,128.679,36.420,Lycinis,33 Lycinis
6726,Lynx,HD 61294,,HD 61294,,,,61294,37369,07h 40m 14.72s,+38° 20′ 40.4″,5.77,−1.22,815,M0III,suspected variable,115.058,38.344,Lycinis,HD 61294 Lycinis
6727,Lynx,HD 65301,,HD 65301,,,,65301,39221,08h 01m 20.75s,+59° 02′ 50.3″,5.78,2.58,142,F2:V:,,120.333,59.047,Lycinis,HD 65301 Lycinis
6728,Lynx,19 Lyn,,19,19,,,57103,35785,07h 22m 52.06s,+55° 16′ 53.3″,5.8,0.01,468,B8V,,110.717,55.281,Lycinis,19 Lycinis
6729,Lynx,HD 57646,,HD 57646,,,,57646,35984,07h 24m 57.08s,+51° 53′ 14.4″,5.8,−1.93,1148,K5III,,111.238,51.887,Lycinis,HD 57646 Lycinis
6730,Lynx,6 Lyn,,6,6,,,45410,31039,06h 30m 47.14s,+58° 09′ 48.4″,5.86,2.08,186,K0IV,has a planet (b),97.696,58.163,Lycinis,6 Lycinis
6731,Lynx,11 Lyn,,11,11,,,46590,31665,06h 37m 38.40s,+56° 51′ 27.0″,5.87,0.9,322,A2V,,99.408,56.858,Lycinis,11 Lycinis
6732,Lynx,HD 68077,,HD 68077,,,,68077,40305,08h 13m 50.20s,+56° 27′ 08.3″,5.88,−0.03,495,G9III,suspected variable,123.458,56.452,Lycinis,HD 68077 Lycinis
6733,Lynx,HD 72184,,HD 72184,,,,72184,41935,08h 32m 55.06s,+38° 01′ 00.4″,5.88,1.84,210,K2III,,128.229,38.017,Lycinis,HD 72184 Lycinis
6734,Lynx,30 Lyn,,30,30,,,69548,40875,08h 20m 26.00s,+57° 44′ 35.7″,5.89,3.39,103,F4V,,125.108,57.743,Lycinis,30 Lycinis
6735,Lynx,HD 76292,,HD 76292,,,,76292,43894,08h 56m 30.58s,+40° 12′ 05.6″,5.9,1.6,236,F3III,,134.125,40.201,Lycinis,HD 76292 Lycinis
6736,Lynx,HD 67224,,HD 67224,,,,67224,39995,08h 10m 03.80s,+58° 14′ 54.3″,5.91,−0.27,560,K4III:,suspected variable,122.513,58.248,Lycinis,HD 67224 Lycinis
6737,Lynx,HD 55866,,HD 55866,,,,55866,35304,07h 17m 33.72s,+52° 07′ 52.0″,5.93,−0.43,609,K1III:,,109.388,52.131,Lycinis,HD 55866 Lycinis
