USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
6821,Lyra,Vega,α,Alpha,3,,,172167,91262,18h 36m 56.19s,+38° 46′ 58.8″,0.03,0.58,25,A0Vvar,"Wega, Fidis, Harp Star, Al Nesr al Waki, Vulture Cadens;[1] 5th brightest star, has a dust disk; δ Sct variable, Vmax = -0.02m, Vmin = 0.07m, P = 0.19 d",279.233,38.783,Lyrae,Alpha Lyrae
6822,Lyra,γ Lyr,γ,Gamma,14,,,176437,93194,18h 58m 56.62s,+32° 41′ 22.4″,3.25,−3.20,634,B9III,"Sulafat, Sulaphat; suspected variable, Vmax = 3.23m, Vmin = 3.26m",284.733,32.689,Lyrae,Gamma Lyrae
6823,Lyra,β Lyr A,β,Beta,10,,,174638,92420,18h 50m 04.79s,+33° 21′ 45.6″,3.52,−3.64,881,A8:V comp SB,"Sheliak, Shelyak, Shiliak; prototype β Lyr variable, Vmax = 3.30m, Vmin = 4.35m, P = 12.94061713 d",282.517,33.363,Lyrae,Beta Lyrae
6824,Lyra,R Lyr,,13,13,,R,175865,92862,18h 55m 20.09s,+43° 56′ 45.2″,4.08,−1.07,349,M5IIIvar,"semiregular variable, Vmax = 3.81m, Vmin = 4.44m, P = 46 d",283.833,43.946,Lyrae,13 Lyrae
6825,Lyra,δ2 Lyr,δ2,Delta 2,12,,,175588,92791,18h 54m 30.29s,+36° 53′ 55.0″,4.22,−2.98,898,M4IIvar,"semiregular variable, Vmax = 4.22m, Vmin = 4.33m",283.625,36.899,Lyrae,Delta 2 Lyrae
6826,Lyra,κ Lyr,κ,Kappa,1,,,168775,89826,18h 19m 51.72s,+36° 03′ 52.0″,4.33,0.02,238,K2IIIvar,"suspected variable, Vmax = 4.31m, Vmin = 4.35m",274.963,36.064,Lyrae,Kappa Lyrae
6827,Lyra,ζ1 Lyr,ζ1,Zeta 1,6,,,173648,91971,18h 44m 46.34s,+37° 36′ 18.2″,4.34,0.97,154,Am,"variable star, ΔV = 0.003m, P = 1.53243 d",281.192,37.605,Lyrae,Zeta 1 Lyrae
6828,Lyra,θ Lyr,θ,Theta,21,,,180809,94713,19h 16m 22.10s,+38° 08′ 01.4″,4.35,−2.51,769,K0II,"suspected variable, Vmax = 4.32m, Vmin = 4.37m",289.092,38.134,Lyrae,Theta Lyrae
6829,Lyra,η Lyr,η,Eta,20,,,180163,94481,19h 13m 45.49s,+39° 08′ 45.5″,4.43,−3.09,1042,B2.5IV,"Aladfar; variable star, ΔV = 0.005m, P = 19.73944 d",288.438,39.146,Lyrae,Eta Lyrae
6830,Lyra,ε2 Lyr A,ε2,Epsilon 2,5,,,173607,91926,18h 44m 22.78s,+39° 36′ 45.3″,4.6,1.13,160,A8Vn,"component of the ε Lyr system; binary star; suspected variable, ΔV = 0.02m",281.092,39.613,Lyrae,Epsilon 2 Lyrae
6831,Lyra,ε1 Lyr A,ε1,Epsilon 1,4,,,173582,91919,18h 44m 20.34s,+39° 40′ 11.9″,4.67,1.19,162,F1V,component of the ε Lyr system; binary star,281.083,39.670,Lyrae,Epsilon 1 Lyrae
6832,Lyra,HD 173780,,HD 173780,,,,173780,92088,18h 46m 04.47s,+26° 39′ 43.5″,4.83,0.39,252,K3III,,281.517,26.662,Lyrae,HD 173780 Lyrae
6833,Lyra,λ Lyr,λ,Lambda,15,,,176670,93279,19h 00m 00.82s,+32° 08′ 43.8″,4.94,−3.43,1538,K3III,suspected variable,285.000,32.145,Lyrae,Lambda Lyrae
