USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
7029,Microscopium,γ Mic,γ,Gamma,,,,199951,103738,21h 01m 17.46s,-32° 15′ 28.0″,4.67,0.49,223,G8III,"variable star, ΔV = 0.007m, P = 8.72829 d",315.321,-31.742,Microscopii,Gamma Microscopii
7030,Microscopium,ε Mic,ε,Epsilon,,,,202627,105140,21h 17m 56.25s,-32° 10′ 20.9″,4.71,1.19,165,A0V,,319.483,-31.828,Microscopii,Epsilon Microscopii
7031,Microscopium,θ1 Mic,θ1,Theta 1,,,,203006,105382,21h 20m 45.58s,-40° 48′ 34.2″,4.8,1.01,186,A2p,"α² CVn variable, Vmax = 4.77m, Vmin = 4.87m, P = 2.1215 d",320.188,-39.191,Microscopii,Theta 1 Microscopii
7032,Microscopium,α Mic,α,Alpha,,,,198232,102831,20h 49m 58.08s,-33° 46′ 46.8″,4.89,−0.45,380,G8III,,312.492,-32.221,Microscopii,Alpha Microscopii
7033,Microscopium,ι Mic,ι,Iota,,,,197937,102693,20h 48m 29.00s,-43° 59′ 17.8″,5.11,2.04,134,F1IV,,312.121,-42.012,Microscopii,Iota Microscopii
7034,Microscopium,ν Mic,ν,Nu,,,,195569,101477,20h 33m 55.06s,-44° 30′ 57.5″,5.12,1.01,216,K0III,,308.479,-43.484,Microscopii,Nu Microscopii
7035,Microscopium,2 PsA,,HD 200763,,,,200763,104174,21h 06m 24.68s,-32° 20′ 29.9″,5.2,0.02,354,K2III,,316.600,-31.659,Microscopii,HD 200763 Microscopii
7036,Microscopium,HD 201772,,HD 201772,,,,201772,104738,21h 13m 02.93s,-39° 25′ 28.7″,5.25,2.63,109,F5V,,318.258,-38.576,Microscopii,HD 201772 Microscopii
7037,Microscopium,ζ Mic,ζ,Zeta,,,,200163,103882,21h 02m 57.97s,-38° 37′ 52.3″,5.32,2.58,115,F3V,,315.738,-37.369,Microscopii,Zeta Microscopii
7038,Microscopium,HD 198716,,HD 198716,,,,198716,103127,20h 53m 40.15s,-39° 48′ 34.7″,5.34,−0.17,412,K2III,,313.417,-38.191,Microscopii,HD 198716 Microscopii
7039,Microscopium,3 PsA,,HD 201901,,,,201901,104750,21h 13m 17.27s,-27° 37′ 08.6″,5.41,0.01,391,K3III,,318.321,-26.381,Microscopii,HD 201901 Microscopii
7040,Microscopium,HD 196737,,HD 196737,,,,196737,102014,20h 40m 19.81s,-33° 25′ 54.9″,5.47,1.14,239,K1III,,310.079,-32.568,Microscopii,HD 196737 Microscopii
7041,Microscopium,HD 197630,,HD 197630,,,,197630,102497,20h 46m 20.03s,-39° 11′ 57.1″,5.48,0.52,320,B8/B9V,"variable star, ΔV = 0.005m, P = 0.32138 d",311.583,-38.801,Microscopii,HD 197630 Microscopii
