USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
7090,Monoceros,α Mon,α,Alpha,26,,,61935,37447,07h 41m 14.88s,-09° 33′ 03.9″,3.94,0.71,144,K0III,,115.308,-8.449,Monocerotis,Alpha Monocerotis
7091,Monoceros,γ Mon,γ,Gamma,5,,,43232,29651,06h 14m 51.34s,-06° 16′ 29.0″,3.99,−2.49,644,K3III,,93.713,-5.725,Monocerotis,Gamma Monocerotis
7092,Monoceros,δ Mon,δ,Delta,22,,,55185,34769,07h 11m 51.86s,-00° 29′ 34.0″,4.15,−1.15,375,A2V,,107.963,0.493,Monocerotis,Delta Monocerotis
7093,Monoceros,ζ Mon,ζ,Zeta,29,,,67594,39863,08h 08m 35.66s,-02° 59′ 01.6″,4.36,−4.41,1852,G2Ib,,122.146,-1.016,Monocerotis,Zeta Monocerotis
7094,Monoceros,ε Mon A,ε,Epsilon,8,,,44769,30419,06h 23m 46.10s,+04° 35′ 34.2″,4.39,1.41,128,A5IV,component of the ε Mon system,95.942,4.593,Monocerotis,Epsilon Monocerotis
7095,Monoceros,13 Mon,,13,13,,,46300,31216,06h 32m 54.23s,+07° 19′ 58.7″,4.47,−3.86,1509,A0Ib,suspected variable,98.225,7.333,Monocerotis,13 Monocerotis
7096,Monoceros,18 Mon,,18,18,,,49293,32578,06h 47m 51.66s,+02° 24′ 43.9″,4.48,−0.81,373,K0III,,101.963,2.412,Monocerotis,18 Monocerotis
7097,Monoceros,β Mon A,β,Beta,11,,,45725,30867,06h 28m 49.07s,-07° 01′ 59.0″,4.6,−2.03,691,B3Ve,component of the β Mon system; Be star,97.204,-6.967,Monocerotis,Beta Monocerotis
7098,Monoceros,S Mon,,15,15,,S,47839,31978,06h 40m 58.66s,+09° 53′ 44.7″,4.66,−2.82,1022,O7V + O9.5V,"in NGC 2264; irregular variable, Vmax = 4.62m, Vmin = 4.68m",100.242,9.896,Monocerotis,15 Monocerotis
7099,Monoceros,28 Mon,,28,28,,V645,65953,39211,08h 01m 13.30s,-01° 23′ 32.7″,4.68,−1.12,472,K4III,"FK Com variable, ΔV = 0.02m, P = 0.21 d",120.304,-0.608,Monocerotis,28 Monocerotis
7100,Monoceros,17 Mon,,17,17,,,49161,32533,06h 47m 19.84s,+08° 02′ 14.2″,4.77,−1.09,484,K4III,,101.829,8.037,Monocerotis,17 Monocerotis
7101,Monoceros,20 Mon,,20,20,,,54810,34622,07h 10m 13.68s,-04° 14′ 15.5″,4.91,0.85,211,K0III,,107.554,-3.763,Monocerotis,20 Monocerotis
7102,Monoceros,3 Mon,,3,3,,,40967,28574,06h 01m 50.43s,-10° 35′ 52.6″,4.92,−2.47,979,B5III,suspected variable,90.458,-9.402,Monocerotis,3 Monocerotis
7103,Monoceros,27 Mon,,27,27,,,65695,39079,07h 59m 44.18s,-03° 40′ 46.5″,4.93,0.51,250,K2III,,119.933,-2.321,Monocerotis,27 Monocerotis
7104,Monoceros,19 Mon,,19,19,,V637,52918,33971,07h 02m 54.78s,-04° 14′ 21.3″,4.99,−2.68,1116,B1V,"β Cep variable, Vmax = 4.96m, Vmin = 5.01m, P = 0.19 d",105.725,-3.761,Monocerotis,19 Monocerotis
7105,Monoceros,2 Mon,,2,2,,,40536,28325,05h 59m 04.31s,-09° 33′ 29.3″,5.04,0.02,328,A6m,,89.767,-8.442,Monocerotis,2 Monocerotis
7106,Monoceros,HD 42690,,HD 42690,,,,42690,29417,06h 11m 51.82s,-06° 33′ 01.0″,5.06,−2.78,1203,B2V,,92.963,-5.450,Monocerotis,HD 42690 Monocerotis
7107,Monoceros,10 Mon,,10,10,,,45546,30772,06h 27m 57.57s,-04° 45′ 43.7″,5.06,−3.03,1353,B2V,,96.988,-3.238,Monocerotis,10 Monocerotis
7108,Monoceros,HD 49331,,HD 49331,,,,49331,32558,06h 47m 37.22s,-08° 59′ 54.6″,5.08,−2.94,1309,M1II,"suspected variable, Vmax = 5.00m, Vmin = 5.11m",101.904,-7.002,Monocerotis,HD 49331 Monocerotis
7109,Monoceros,HD 46487,,HD 46487,,,,46487,31278,06h 33m 37.92s,-01° 13′ 12.4″,5.09,−0.99,536,B5Vn,,98.404,-0.780,Monocerotis,HD 46487 Monocerotis
7110,Monoceros,25 Mon,,25,25,,,61064,37088,07h 37m 16.73s,-04° 06′ 39.7″,5.13,1.18,202,F6III,"suspected δ Sct variable, ΔV = 0.01m",114.317,-3.889,Monocerotis,25 Monocerotis
7111,Monoceros,HR 2142,,V696,,,V696,41335,28744,06h 04m 13.50s,-06° 42′ 32.2″,5.19,−2.06,918,B2Vne+,unique variable,91.054,-5.291,Monocerotis,V696 Monocerotis
7112,Monoceros,77 Ori,,77,-77,,,45416,30717,06h 27m 13.76s,+00° 17′ 57.4″,5.19,−2.13,950,K1II,,96.804,0.299,Monocerotis,77 Monocerotis
7113,Monoceros,HD 48217,,HD 48217,,,,48217,32064,06h 41m 56.37s,-09° 10′ 02.7″,5.21,−0.11,378,M0III,,100.483,-8.833,Monocerotis,HD 48217 Monocerotis
7114,Monoceros,HD 52666,,HD 52666,,,,52666,33878,07h 01m 56.39s,-05° 43′ 19.5″,5.21,−1.38,682,M2III,"suspected variable, Vmax = 5.15m, Vmin = 5.21m",105.483,-4.278,Monocerotis,HD 52666 Monocerotis
7115,Monoceros,HD 46089,,HD 46089,,,,46089,31119,06h 31m 48.29s,+11° 32′ 39.6″,5.22,1.16,211,A3V,,97.950,11.544,Monocerotis,HD 46089 Monocerotis
7116,Monoceros,7 Mon,,7,7,,,44112,30073,06h 19m 42.80s,-07° 49′ 22.5″,5.27,−1.74,823,B2.5V,,94.925,-6.177,Monocerotis,7 Monocerotis
7117,Monoceros,HD 43993,,HD 43993,,,,43993,29996,06h 18m 50.58s,-09° 23′ 23.9″,5.36,−0.62,511,K1III,,94.708,-8.610,Monocerotis,HD 43993 Monocerotis
7118,Monoceros,HD 41692,,HD 41692,,,,41692,28949,06h 06m 38.74s,-04° 11′ 37.8″,5.37,−3.71,2131,B5IV,,91.658,-3.806,Monocerotis,HD 41692 Monocerotis
7119,Monoceros,β Mon B,β,Beta,11,,,45726,,06h 28m 49.50s,-07° 02′ 04.0″,5.4,,700,,component of the β Mon system,97.204,-6.966,Monocerotis,Beta Monocerotis
7120,Monoceros,HD 46229,,HD 46229,,,,46229,31121,06h 31m 50.07s,-08° 09′ 29.5″,5.43,−1.70,869,K2III,,97.958,-7.842,Monocerotis,HD 46229 Monocerotis
7121,Monoceros,21 Mon,,21,21,,V571,55057,34724,07h 11m 23.63s,-00° 18′ 06.9″,5.44,0.92,261,F2V,"δ Sct variable, Vmax = 5.43m, Vmin = 5.5m, P = 0.089 d",107.846,0.302,Monocerotis,21 Monocerotis
7122,Monoceros,HD 50747,,HD 50747,,,,50747,33184,06h 54m 24.66s,-01° 07′ 37.1″,5.45,−0.42,484,A4IV,"γ Dor variable, ΔV = 0.001m, P = 0.21 d",103.600,-0.873,Monocerotis,HD 50747 Monocerotis
7123,Monoceros,HD 62902,,HD 62902,,,,62902,37901,07h 46m 02.16s,-06° 46′ 20.2″,5.49,1.17,238,K5III,,116.508,-5.228,Monocerotis,HD 62902 Monocerotis
7124,Monoceros,HD 47054,,HD 47054,,,,47054,31583,06h 36m 35.33s,-05° 12′ 40.0″,5.52,−1.52,834,B8V,,99.146,-4.789,Monocerotis,HD 47054 Monocerotis
7125,Monoceros,78 Ori,,78,-78,,,45433,30720,06h 27m 15.59s,-00° 16′ 33.6″,5.55,−1.26,749,K5III,,96.813,0.276,Monocerotis,78 Monocerotis
7126,Monoceros,HD 45415,,HD 45415,,,,45415,30728,06h 27m 20.48s,+02° 54′ 29.7″,5.55,0.79,292,G9III,,96.833,2.908,Monocerotis,HD 45415 Monocerotis
7127,Monoceros,β Mon C,β,Beta,,,,45727,,06h 28m 49.50s,-07° 02′ 04.0″,5.6,,700,,component of the β Mon system,97.204,-6.966,Monocerotis,Beta Monocerotis
7128,Monoceros,HD 46304,,HD 46304,,,,46304,31167,06h 32m 23.13s,-05° 52′ 07.4″,5.6,2.42,141,F0Vnn+...,,98.096,-4.131,Monocerotis,HD 46304 Monocerotis
7129,Monoceros,HD 59311,,HD 59311,,,,59311,36388,07h 29m 18.68s,-01° 54′ 19.1″,5.6,−2.89,1630,K5III,,112.325,-0.095,Monocerotis,HD 59311 Monocerotis
7130,Monoceros,HD 63752,,HD 63752,,,,63752,38253,07h 50m 10.58s,-09° 11′ 00.4″,5.6,−2.57,1405,K3III,,117.542,-8.817,Monocerotis,HD 63752 Monocerotis
7131,Monoceros,HD 53208,,HD 53208,,,,53208,34086,07h 04m 05.25s,-05° 19′ 26.3″,5.63,−2.38,1304,K3III,suspected variable,106.021,-4.676,Monocerotis,HD 53208 Monocerotis
7132,Monoceros,HD 49147,,HD 49147,,,,49147,32474,06h 46m 39.02s,-10° 06′ 26.5″,5.66,−0.42,535,B9.5V,,101.663,-9.893,Monocerotis,HD 49147 Monocerotis
7133,Monoceros,HD 49434,,HD 49434,,,,49434,32617,06h 48m 19.09s,-01° 19′ 07.8″,5.75,2.74,131,F1V,δ Sct and γ Dor variable,102.079,-0.681,Monocerotis,HD 49434 Monocerotis
7134,Monoceros,HD 49643,,HD 49643,,,,49643,32698,06h 49m 16.41s,-02° 16′ 19.3″,5.75,−0.42,558,B8IIIn,,102.317,-1.728,Monocerotis,HD 49643 Monocerotis
7135,Monoceros,HD 50277,,HD 50277,,,,50277,33024,06h 52m 49.49s,+08° 22′ 49.6″,5.75,1.77,204,F0Vn,,103.204,8.380,Monocerotis,HD 50277 Monocerotis
