USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
7466,Octans,ν Oct,ν,Nu,,,,205478,107089,21h 41m 28.47s,-77° 23′ 22.1″,3.76,2.1,69,K0III,suspected variable,325.367,-76.611,Octanis,Nu Octanis
7467,Octans,β Oct,β,Beta,,,,214846,112405,22h 46m 03.72s,-81° 22′ 53.8″,4.13,0.96,140,A9IV/V,,341.513,-80.619,Octanis,Beta Octanis
7468,Octans,δ Oct,δ,Delta,,,,124882,70638,14h 26m 55.74s,-83° 40′ 04.3″,4.31,−0.35,279,K2III,suspected variable,216.729,-82.332,Octanis,Delta Octanis
7469,Octans,θ Oct,θ,Theta,,,,224889,122,00h 01m 35.85s,-77° 03′ 55.1″,4.78,0.63,221,K2III,,0.396,-76.935,Octanis,Theta Octanis
7470,Octans,ε Oct,ε,Epsilon,,,BO,210967,110256,22h 20m 01.48s,-80° 26′ 22.7″,5.09,0.51,268,M6III,"semiregular variable, Vmax = 4.58m, Vmin = 5.3m, P = 55 d",335.004,-79.561,Octanis,Epsilon Octanis
7471,Octans,γ1 Oct,γ1,Gamma 1,,,,223647,117689,23h 52m 06.69s,-82° 01′ 07.6″,5.1,0.53,267,G7III,,358.025,-81.981,Octanis,Gamma 1 Octanis
7472,Octans,α Oct,α,Alpha,,,,199532,104043,21h 04m 43.03s,-77° 01′ 22.3″,5.13,1.85,148,F4III,β Lyr variable,316.179,-76.977,Octanis,Alpha Octanis
7473,Octans,λ Oct,λ,Lambda,,,,206240,107843,21h 50m 54.25s,-82° 43′ 07.8″,5.27,−0.36,435,G8/K0III+..,,327.725,-81.281,Octanis,Lambda Octanis
7474,Octans,γ3 Oct,γ3,Gamma 3,,,,636,814,00h 10m 02.27s,-82° 13′ 26.4″,5.29,0.93,242,K1/K2III,,2.508,-81.776,Octanis,Gamma 3 Octanis
7475,Octans,χ Oct,χ,Chi,,,,164461,92824,18h 54m 47.65s,-87° 36′ 19.9″,5.29,0.87,250,K3III,,283.696,-86.395,Octanis,Chi Octanis
7476,Octans,ξ Oct,ξ,Xi,,,,215573,112781,22h 50m 22.75s,-80° 07′ 25.7″,5.32,−0.35,444,B6IV,"53 Per variable, Vmax = 5.32m, Vmin = 5.36m, P = 1.76866 d",342.592,-79.876,Octanis,Xi Octanis
7477,Octans,ζ Oct,ζ,Zeta,,,,79837,43908,08h 56m 41.88s,-85° 39′ 47.6″,5.43,2.01,157,F0III,,134.171,-84.337,Octanis,Zeta Octanis
7478,Octans,ι Oct,ι,Iota,,,,111482,63031,12h 54m 58.35s,-85° 07′ 24.3″,5.45,0.17,371,K0III,,193.742,-84.877,Octanis,Iota Octanis
7479,Octans,σ Oct,σ,Sigma,,,,177482,104382,21h 08m 46.01s,-88° 57′ 23.4″,5.45,0.86,270,F0III,"Polaris Australis, south pole star; δ Sct variable, ΔV = 0.05m, P = 0.097 d",317.192,-87.044,Octanis,Sigma Octanis
7480,Octans,φ Oct,φ,Phi,,,,167468,90133,18h 23m 36.44s,-75° 02′ 39.6″,5.47,1.57,197,A0V,,275.900,-74.956,Octanis,Phi Octanis
7481,Octans,ψ Oct,ψ,Psi,,,,210853,110078,22h 17m 50.70s,-77° 30′ 41.7″,5.49,2.56,125,F3III,,334.458,-76.489,Octanis,Psi Octanis
7482,Octans,τ Oct,τ,Tau,,,,219765,115836,23h 28m 03.57s,-87° 28′ 56.1″,5.5,−0.52,522,K2III,,352.013,-86.518,Octanis,Tau Octanis
