USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
7543,Ophiuchus,α Oph,α,Alpha,55,,,159561,86032,17h 34m 56.00s,+12° 33′ 38.1″,2.08,1.3,47,A5III,"Ras Alhague, Rasalhague",263.733,12.561,Ophiuchi,Alpha Ophiuchi
7544,Ophiuchus,η Oph,η,Eta,35,90,,155125,84012,17h 10m 22.66s,-15° 43′ 30.5″,2.43,0.37,84,A2.5Va,Sabik,257.592,-14.275,Ophiuchi,Eta Ophiuchi
7545,Ophiuchus,ζ Oph,ζ,Zeta,13,28,,149757,81377,16h 37m 09.53s,-10° 34′ 01.7″,2.54,−3.20,458,O9.5V,Han; γ Cas variable; Be star,249.288,-9.433,Ophiuchi,Zeta Ophiuchi
7546,Ophiuchus,δ Oph,δ,Delta,1,7,,146051,79593,16h 14m 20.77s,-03° 41′ 38.3″,2.73,−0.86,170,M1III,"Yed Prior, Yad, Jed Prior",243.583,-2.306,Ophiuchi,Delta Ophiuchi
7547,Ophiuchus,β Oph,β,Beta,60,168,,161096,86742,17h 43m 28.38s,+04° 34′ 00.9″,2.76,0.76,82,K2III,"Cebalrai, Celbalrai, Celb-al-Rai, Kelb Alrai, Cheleb",265.867,4.567,Ophiuchi,Beta Ophiuchi
7548,Ophiuchus,κ Oph,κ,Kappa,27,65,,153210,83000,16h 57m 40.27s,+09° 22′ 30.2″,3.19,1.09,86,K2IIIvar,,254.417,9.375,Ophiuchi,Kappa Ophiuchi
7549,Ophiuchus,ε Oph,ε,Epsilon,2,9,,146791,79882,16h 18m 19.24s,-04° 41′ 33.4″,3.23,0.64,107,G8III,"Yed Posterior, Yad, Jed Posterior",244.579,-3.308,Ophiuchi,Epsilon Ophiuchi
7550,Ophiuchus,θ Oph,θ,Theta,42,126,,157056,84970,17h 22m 00.58s,-24° 59′ 58.2″,3.27,−2.92,563,B2IV,β Cep variable,260.500,-23.001,Ophiuchi,Theta Ophiuchi
7551,Ophiuchus,ν Oph,ν,Nu,64,186,,163917,88048,17h 59m 01.60s,-09° 46′ 24.1″,3.32,−0.03,153,K0III,Sinistra; has two brown dwarfs,269.754,-8.227,Ophiuchi,Nu Ophiuchi
7552,Ophiuchus,72 Oph,,72,72,199,,165777,88771,18h 07m 21.02s,+09° 33′ 49.2″,3.71,1.69,83,A4IVs,,271.838,9.564,Ophiuchi,72 Ophiuchi
7553,Ophiuchus,γ Oph,γ,Gamma,62,172,,161868,87108,17h 47m 53.57s,+02° 42′ 26.9″,3.75,1.43,95,A0V,"Tsung Ching, Muliphen [2][3]",266.971,2.707,Ophiuchi,Gamma Ophiuchi
