USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
7745,Orion,Rigel,β,Beta,19,,,34085,24436,05h 14m 32.27s,-08° 12′ 05.9″,0.18,−6.69,773,B8Ia + B9V + B9V,"7th brightest star, triple star system; α Cyg variable",78.633,-7.799,Orionis,Beta Orionis
7746,Orion,Betelgeuse,α,Alpha,58,,,39801,27989,05h 55m 10.29s,+07° 24′ 25.3″,0.42,−6.02,643,M2Ib,"9th brightest star on average, semiregular variable, Vmax = 0m, Vmin = 1.3m, P = 2335 d",88.792,7.407,Orionis,Alpha Orionis
7747,Orion,Bellatrix,γ,Gamma,24,,,35468,25336,05h 25m 07.87s,+06° 20′ 59.0″,1.64,−2.72,243,B2III,suspected variable,81.279,6.350,Orionis,Gamma Orionis
7748,Orion,Alnilam,ε,Epsilon,46,,,37128,26311,05h 36m 12.81s,-01° 12′ 06.9″,1.69,−6.38,1342,B0Ia,"α Cyg variable, α Cyg variable, Vmax = 1.64m, Vmin = 1.74m",84.050,-0.798,Orionis,Epsilon Orionis
7749,Orion,Alnitak A,ζ,Zeta,50,,,37742,26727,05h 40m 45.52s,-01° 56′ 33.3″,1.88,-6,817,O9.7Ib,component of the Alnitak system; suspected variable,85.188,-0.058,Orionis,Zeta Orionis
7750,Orion,Saiph,κ,Kappa,53,,,38771,27366,05h 47m 45.39s,-09° 40′ 10.6″,2.07,−4.65,721,B0.5Ia,suspected variable,86.938,-8.331,Orionis,Kappa Orionis
7751,Orion,Mintaka AB,δ,Delta,34,,,36486,25930,05h 32m 00.40s,-00° 17′ 56.7″,2.2,-5.8,916,B0III+O9V,"component of the Mintaka system; Algol variable, Vmax = 2.20m, Vmin = 2.32m, P = 5.73 d",83.000,0.299,Orionis,Delta Orionis
7752,Orion,ι Ori,ι,Iota,44,,,37043,26241,05h 35m 25.98s,-05° 54′ 35.6″,2.75,−5.30,1325,O9III,Hatysa,83.854,-4.090,Orionis,Iota Orionis
7753,Orion,π3 Ori,π3,Pi 3,1,,,30652,22449,04h 49m 50.14s,+06° 57′ 40.5″,3.19,3.67,26,F6V,Tabit; suspected variable,72.458,6.961,Orionis,Pi 3 Orionis
7754,Orion,η Ori,η,Eta,28,,,35411,25281,05h 24m 28.62s,-02° 23′ 49.7″,3.35,−3.86,901,B1V + B2,"Saif al Jabbar, Saiph; β Cep variable, Vmax = 3.31m, Vmin = 3.6m, P = 7.99 d",81.117,-1.603,Orionis,Eta Orionis
