USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
8050,Pavo,α Pav,α,Alpha,,,,193924,100751,20h 25m 38.85s,-56° 44′ 05.6″,1.94,−1.81,183,B2IV,"Peacock, Joo Tseo; suspected variable, Vmax = 1.93m, Vmin = 1.96m",306.408,-55.265,Pavonis,Alpha Pavonis
8051,Pavo,β Pav,β,Beta,,,,197051,102395,20h 44m 57.56s,-66° 12′ 11.7″,3.42,0.29,137,A5IV,,311.238,-65.797,Pavonis,Beta Pavonis
8052,Pavo,δ Pav,δ,Delta,,,,190248,99240,20h 08m 41.86s,-66° 10′ 45.6″,3.55,4.62,20,G5IV-Vvar,Sun-like star,302.171,-65.821,Pavonis,Delta Pavonis
8053,Pavo,η Pav,η,Eta,,,,160635,86929,17h 45m 44.00s,-64° 43′ 25.4″,3.61,−1.67,371,K1III,,266.433,-63.276,Pavonis,Eta Pavonis
8054,Pavo,ε Pav,ε,Epsilon,,,,188228,98495,20h 00m 35.39s,-72° 54′ 36.7″,3.97,1.41,106,A0V,"suspected variable, Vmax = 3.93m, Vmin = 3.97m",300.146,-71.090,Pavonis,Epsilon Pavonis
8055,Pavo,ζ Pav,ζ,Zeta,,,,171759,91792,18h 43m 02.13s,-71° 25′ 39.8″,4.01,−0.03,210,K2III,,280.758,-70.573,Pavonis,Zeta Pavonis
8056,Pavo,γ Pav,γ,Gamma,,,,203608,105858,21h 26m 26.49s,-65° 22′ 05.3″,4.21,4.39,30,F6V,"suspected variable, Vmax = 4.17m, Vmin = 4.30m",321.608,-64.632,Pavonis,Gamma Pavonis
8057,Pavo,λ Pav,λ,Lambda,,,,173948,92609,18h 52m 13.04s,-62° 11′ 15.2″,4.22,−4.50,1811,B2II-III,"γ Cas variable, Vmax = 4m, Vmin = 4.26m",283.054,-61.813,Pavonis,Lambda Pavonis
8058,Pavo,π Pav,π,Pi,,,,165040,88866,18h 08m 34.79s,-63° 40′ 05.0″,4.33,1.19,138,Am,,272.142,-62.332,Pavonis,Pi Pavonis
8059,Pavo,ξ Pav,ξ,Xi,,,,168339,90098,18h 23m 13.62s,-61° 29′ 38.1″,4.35,−1.20,420,M1III SB,,275.804,-60.506,Pavonis,Xi Pavonis
8060,Pavo,κ Pav,κ,Kappa,,,,174694,93015,18h 56m 57.04s,-67° 14′ 00.7″,4.4,−1.71,543,F5Ib-II:,"W Vir variable, Vmax = 3.91m, Vmin = 4.78m, P = 9.083 d",284.238,-66.767,Pavonis,Kappa Pavonis
8061,Pavo,ν Pav,ν,Nu,,,,169978,90797,18h 31m 22.43s,-62° 16′ 41.5″,4.63,−1.20,479,B8III,"53 Per variable, Vmax = 4.60m, Vmin = 4.64m, P = 0.85584 d",277.842,-61.722,Pavonis,Nu Pavonis
8062,Pavo,φ1 Pav,φ1,Phi 1,,,,195627,101612,20h 35m 34.77s,-60° 34′ 52.7″,4.75,2.55,90,F1III,,308.892,-59.419,Pavonis,Phi 1 Pavonis
8063,Pavo,HD 172555,,HD 172555,,,,172555,92024,18h 45m 26.86s,-64° 52′ 15.2″,4.78,2.45,95,A7V,,281.358,-63.129,Pavonis,HD 172555 Pavonis
8064,Pavo,ρ Pav,ρ,Rho,,,,195961,101773,20h 37m 35.24s,-61° 31′ 47.1″,4.85,0.98,195,Fm...,"δ Sct variable, ΔV = 0.055m, P = 0.1141 d",309.396,-60.470,Pavonis,Rho Pavonis
8065,Pavo,NU Pav,,NU,,,NU,189124,98608,20h 01m 44.72s,-59° 22′ 33.0″,4.95,−0.67,434,M6III,"semiregular variable, Vmax = 4.91m, Vmin = 5.26m, P = 60 d",300.433,-58.624,Pavonis,NU Pavonis
8066,Pavo,ο Pav,ο,Omicron,,,,201371,104755,21h 13m 20.44s,-70° 07′ 34.4″,5.06,−2.12,888,M2III,"semiregular variable, Vmax = 5.00m, Vmin = 5.10m, P = 228.3 d",318.333,-69.874,Pavonis,Omicron Pavonis
8067,Pavo,φ2 Pav,φ2,Phi 2,,,,196378,101983,20h 40m 02.27s,-60° 32′ 51.0″,5.11,3.19,79,F8V,,310.008,-59.453,Pavonis,Phi 2 Pavonis
8068,Pavo,ω Pav,ω,Omega,,,,175329,93163,18h 58m 36.59s,-60° 12′ 02.3″,5.14,−0.86,516,K1III-IV,suspected variable,284.650,-59.799,Pavonis,Omega Pavonis
8069,Pavo,υ Pav,υ,Upsilon,,,,196519,102157,20h 41m 57.06s,-66° 45′ 38.3″,5.14,−1.92,840,B8Vvar,,310.488,-65.239,Pavonis,Upsilon Pavonis
8070,Pavo,HD 188162,,HD 188162,,,,188162,98174,19h 57m 06.28s,-58° 54′ 04.7″,5.24,0.41,302,B9.5IV,,299.275,-57.099,Pavonis,HD 188162 Pavonis
8071,Pavo,HD 177389,,HD 177389,,,,177389,94150,19h 09m 52.62s,-68° 25′ 27.6″,5.31,2.48,120,G8/K0III/IV,,287.467,-67.576,Pavonis,HD 177389 Pavonis
8072,Pavo,μ2 Pav,μ2,Mu 2,,,,188887,98624,20h 01m 52.40s,-66° 56′ 37.7″,5.32,1.04,234,K2IVCN...,,300.467,-65.056,Pavonis,Mu 2 Pavonis
8073,Pavo,HD 186219,,HD 186219,,,,186219,97534,19h 49m 25.29s,-72° 30′ 12.3″,5.39,2.3,135,A4III,,297.354,-71.497,Pavonis,HD 186219 Pavonis
8074,Pavo,HD 186957,,HD 186957,,,,186957,97646,19h 50m 44.78s,-59° 11′ 37.1″,5.41,0.9,260,A0IV,,297.683,-58.806,Pavonis,HD 186957 Pavonis
8075,Pavo,σ Pav,σ,Sigma,,,,197635,102773,20h 49m 18.28s,-68° 46′ 35.0″,5.41,0.56,305,K0III,,312.325,-67.224,Pavonis,Sigma Pavonis
