USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
8153,Pegasus,ε Peg,ε,Epsilon,8,11,,206778,107315,21h 44m 11.14s,+09° 52′ 30.0″,2.38,−4.19,672,K2Ibvar,"Enif, Enf, Enir, Al Anf, Fom, Fum al Faras, Os Pegasi",326.046,9.875,Pegasi,Epsilon Pegasi
8154,Pegasus,β Peg,β,Beta,53,,,217906,113881,23h 03m 46.33s,+28° 04′ 56.8″,2.44,−1.49,199,M2II-IIIvar,"Scheat, Sheat, Seat Alpheras, Menkib",345.942,28.082,Pegasi,Beta Pegasi
8155,Pegasus,α Peg,α,Alpha,54,,,218045,113963,23h 04m 45.62s,+15° 12′ 19.3″,2.49,−0.67,140,B9.5III,"Markab, Marchab, Menkib al Faras, Matn al Faras",346.188,15.205,Pegasi,Alpha Pegasi
8156,Pegasus,γ Peg,γ,Gamma,88,,,886,1067,00h 13m 14.15s,+15° 11′ 01.0″,2.83,−2.22,333,B2IV,Algenib; β Cep variable,3.308,15.184,Pegasi,Gamma Pegasi
8157,Pegasus,η Peg,η,Eta,44,,,215182,112158,22h 43m 00.13s,+30° 13′ 16.7″,2.93,−1.16,215,G2II-III..,"Matar, Sad al Matar",340.750,30.221,Pegasi,Eta Pegasi
8158,Pegasus,ζ Peg,ζ,Zeta,42,,,214923,112029,22h 41m 27.67s,+10° 49′ 53.0″,3.41,−0.62,208,B8.5V,"Homam, Homan, Humam, Al Hammam",340.363,10.831,Pegasi,Zeta Pegasi
8159,Pegasus,μ Peg,μ,Mu,48,,,216131,112748,22h 50m 00.10s,+24° 36′ 06.1″,3.51,0.74,117,M2III,"Sadalbari, Sad al Bari, Sad al Nazi",342.500,24.602,Pegasi,Mu Pegasi
8160,Pegasus,θ Peg,θ,Theta,26,25,,210418,109427,22h 10m 11.82s,+06° 11′ 52.0″,3.52,1.16,97,A2V,"Baham, Biham, Sad al Baham",332.546,6.198,Pegasi,Theta Pegasi
8161,Pegasus,ι Peg,ι,Iota,24,,,210027,109176,22h 07m 00.47s,+25° 20′ 42.2″,3.77,3.42,38,F5V,,331.750,25.345,Pegasi,Iota Pegasi
8162,Pegasus,λ Peg,λ,Lambda,47,,,215665,112440,22h 46m 31.84s,+23° 33′ 56.4″,3.97,−1.45,395,G8II-III,Sadalpheretz,341.629,23.566,Pegasi,Lambda Pegasi
8163,Pegasus,1 Peg,,1,1,,,203504,105502,21h 22m 05.13s,+19° 48′ 15.7″,4.08,0.71,154,K1III,,320.521,19.804,Pegasi,1 Pegasi
8164,Pegasus,κ Peg,κ,Kappa,10,,,206901,107354,21h 44m 38.70s,+25° 38′ 42.0″,4.14,1.4,115,F5IV,Jih,326.158,25.645,Pegasi,Kappa Pegasi
8165,Pegasus,ξ Peg,ξ,Xi,46,,,215648,112447,22h 46m 41.44s,+12° 10′ 26.7″,4.2,3.15,53,F7V,,341.671,12.174,Pegasi,Xi Pegasi
8166,Pegasus,π Peg,π,Pi,29,,,210459,109410,22h 09m 59.25s,+33° 10′ 41.8″,4.28,−0.16,252,F5III,Woo,332.496,33.178,Pegasi,Pi Pegasi
8167,Pegasus,9 Peg,,9,9,,,206859,107348,21h 44m 30.69s,+17° 21′ 00.2″,4.34,−2.87,901,G5Ib,,326.125,17.350,Pegasi,9 Pegasi
8168,Pegasus,υ Peg,υ,Upsilon,68,,,220657,115623,23h 25m 22.66s,+23° 24′ 14.4″,4.42,0.79,173,F8IV,Alkarab,351.342,23.404,Pegasi,Upsilon Pegasi
8169,Pegasus,2 Peg,,2,2,,,204724,106140,21h 29m 56.88s,+23° 38′ 19.8″,4.52,−1.14,442,M1III,,322.483,23.639,Pegasi,2 Pegasi
8170,Pegasus,55 Peg,,55,55,42,,218329,114144,23h 07m 00.26s,+09° 24′ 34.3″,4.54,−0.43,322,M2III,,346.750,9.409,Pegasi,55 Pegasi
8171,Pegasus,70 Peg,,70,70,,,221115,115919,23h 29m 09.26s,+12° 45′ 37.8″,4.54,0.86,178,G8III,,352.288,12.760,Pegasi,70 Pegasi
8172,Pegasus,τ Peg,τ,Tau,62,,,220061,115250,23h 20m 38.22s,+23° 44′ 25.3″,4.58,1.03,167,A5V,"Salm, Kerb, El Khereb, Markab; δ Sct variable",350.158,23.740,Pegasi,Tau Pegasi
8173,Pegasus,ψ Peg,ψ,Psi,84,,,224427,118131,23h 57m 45.55s,+25° 08′ 29.3″,4.63,−0.98,432,M3III,,359.438,25.141,Pegasi,Psi Pegasi
8174,Pegasus,56 Peg,,56,56,,,218356,114155,23h 07m 06.74s,+25° 28′ 06.0″,4.76,−1.32,537,K0IIp,,346.775,25.468,Pegasi,56 Pegasi
8175,Pegasus,32 Peg,,32,32,,,212097,110371,22h 21m 19.33s,+28° 19′ 49.9″,4.78,−1.57,607,B9III,,335.329,28.330,Pegasi,32 Pegasi
8176,Pegasus,35 Peg,,35,35,33,,212943,110882,22h 27m 51.48s,+04° 41′ 47.1″,4.78,1.33,160,K0III,,336.963,4.696,Pegasi,35 Pegasi
8177,Pegasus,χ Peg,χ,Chi,89,,,1013,1168,00h 14m 36.11s,+20° 12′ 24.1″,4.79,−0.21,326,M2III,,3.650,20.207,Pegasi,Chi Pegasi
8178,Pegasus,ο Peg,ο,Omicron,43,,,214994,112051,22h 41m 45.41s,+29° 18′ 27.7″,4.8,−0.05,305,A1IV,,340.438,29.308,Pegasi,Omicron Pegasi
8179,Pegasus,31 Peg,,31,31,,IN,212076,110386,22h 21m 31.07s,+12° 12′ 18.6″,4.82,−2.55,970,B2IV-V,IN Peg; Be star,335.379,12.205,Pegasi,31 Pegasi
8180,Pegasus,ν Peg,ν,Nu,22,20,,209747,109068,22h 05m 40.69s,+05° 03′ 29.8″,4.86,0.32,263,K4III,,331.417,5.058,Pegasi,Nu Pegasi
8181,Pegasus,ρ Peg,ρ,Rho,50,40,,216735,113186,22h 55m 13.62s,+08° 48′ 57.9″,4.91,0.22,282,A1V,,343.804,8.816,Pegasi,Rho Pegasi
8182,Pegasus,78 Peg,,78,78,,,222842,117073,23h 43m 59.44s,+29° 21′ 41.6″,4.93,0.65,234,K0III,,355.996,29.361,Pegasi,78 Pegasi
8183,Pegasus,72 Peg,,72,72,,,221673,116310,23h 33m 57.15s,+31° 19′ 31.2″,4.97,−1.16,548,K4III,,353.488,31.325,Pegasi,72 Pegasi
8184,Pegasus,57 Peg,,57,57,43,GZ,218634,114347,23h 09m 31.45s,+08° 40′ 37.8″,5.05,−1.79,762,M4Sv,GZ Peg,347.379,8.677,Pegasi,57 Pegasi
8185,Pegasus,φ Peg,φ,Phi,81,,,223768,117718,23h 52m 29.29s,+19° 07′ 13.3″,5.06,−0.58,437,M2III,,358.121,19.120,Pegasi,Phi Pegasi
8186,Pegasus,14 Peg,,14,14,,,207650,107763,21h 49m 50.68s,+30° 10′ 27.4″,5.07,0.23,302,A1Vs,,327.458,30.174,Pegasi,14 Pegasi
