USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
8354,Perseus,α Per,α,Alpha,33,,,20902,15863,03h 24m 19.35s,+49° 51′ 40.5″,1.79,−4.50,592,F5Ib,"Mirfak, Mirphak, Marphak, Markfak, Algenib, Alcheb; one unconfirmed planet (b)",51.079,49.861,Persei,Alpha Persei
8355,Perseus,Algol,β,Beta,26,,,19356,14576,03h 08m 10.13s,+40° 57′ 20.3″,2.09,−0.18,93,B8V,"El Ghoul, Gorgona, Gorgonea Prima, Demon Star, Ghoul Star; prototype of Algol variables",47.042,40.956,Persei,Beta Persei
8356,Perseus,ζ Per,ζ,Zeta,44,,,24398,18246,03h 54m 07.92s,+31° 53′ 01.2″,2.84,−4.55,982,B1Ib,"Atik, Menkhib",58.529,31.884,Persei,Zeta Persei
8357,Perseus,ε Per,ε,Epsilon,45,,,24760,18532,03h 57m 51.22s,+40° 00′ 37.0″,2.9,−3.19,538,B0.5V,β Cep variable,59.463,40.010,Persei,Epsilon Persei
8358,Perseus,γ Per A,γ,Gamma,23,,,18925,14328,03h 04m 47.79s,+53° 30′ 23.2″,2.91,−1.57,256,G8III+...,,46.196,53.506,Persei,Gamma Persei
8359,Perseus,γ Per B,γ,Gamma,23,,,18926,,03h 04m 44.10s,+53° 31′ 10.0″,3,,243,,,46.183,53.519,Persei,Gamma Persei
8360,Perseus,δ Per,δ,Delta,39,,,22928,17358,03h 42m 55.48s,+47° 47′ 15.6″,3.01,−3.04,528,B5III SB,γ Cas variable,55.729,47.788,Persei,Delta Persei
8361,Perseus,ρ Per,ρ,Rho,25,,,19058,14354,03h 05m 10.50s,+38° 50′ 25.9″,3.32,−1.67,325,M3IIIvar,Gorgonea Tertia,46.292,38.840,Persei,Rho Persei
8362,Perseus,η Per,η,Eta,15,,,17506,13268,02h 50m 41.79s,+55° 53′ 43.9″,3.77,−4.28,1331,K3Ib comp SB,Miram,42.671,55.895,Persei,Eta Persei
8363,Perseus,ν Per,ν,Nu,41,,,23230,17529,03h 45m 11.64s,+42° 34′ 42.8″,3.77,−2.39,556,F5IIvar,,56.296,42.578,Persei,Nu Persei
