USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
8528,Phoenix,α Phe,α,Alpha,,,48,2261,2081,00h 26m 16.87s,-42° 18′ 18.4″,2.4,0.52,77,K0III...,"Ankaa, Nair al Zaurak, Cymbae, Lucida Cymbae",6.567,-41.695,Phoenicis,Alpha Phoenicis
8529,Phoenix,β Phe,β,Beta,,,85,6595,5165,01h 06m 05.11s,-46° 43′ 06.6″,3.32,−0.60,198,G8IIIvar,,16.521,-45.282,Phoenicis,Beta Phoenicis
8530,Phoenix,γ Phe,γ,Gamma,,,106,9053,6867,01h 28m 21.94s,-43° 19′ 03.8″,3.41,−0.87,234,K5II-III,,22.088,-42.683,Phoenicis,Gamma Phoenicis
8531,Phoenix,ε Phe,ε,Epsilon,,,39,496,765,00h 09m 24.54s,-45° 44′ 49.2″,3.88,0.71,140,K0III,,2.350,-44.253,Phoenicis,Epsilon Phoenicis
8532,Phoenix,κ Phe,κ,Kappa,,,46,2262,2072,00h 26m 12.12s,-43° 40′ 47.7″,3.93,2.07,77,A7V,,6.550,-42.320,Phoenicis,Kappa Phoenicis
8533,Phoenix,δ Phe,δ,Delta,,,109,9362,7083,01h 31m 14.98s,-49° 04′ 23.1″,3.93,0.66,147,K0III-IV,,22.808,-48.927,Phoenicis,Delta Phoenicis
8534,Phoenix,ζ Phe,ζ,Zeta,,,89,6882,5348,01h 08m 23.06s,-55° 14′ 45.0″,3.94,−0.73,280,B6V + B0V,Wurren,17.096,-54.754,Phoenicis,Zeta Phoenicis
8535,Phoenix,η Phe,η,Eta,,,68,4150,3405,00h 43m 21.24s,-57° 27′ 47.2″,4.36,0.02,240,A0IV,,10.838,-56.537,Phoenicis,Eta Phoenicis
8536,Phoenix,ψ Phe,ψ,Psi,,,126,11695,8837,01h 53m 38.82s,-46° 18′ 08.8″,4.39,−0.58,321,M4III SB,"semiregular variable, Vmax = 4.3m, Vmin = 4.5m, P = 30 d",28.408,-45.698,Phoenicis,Psi Phoenicis
8537,Phoenix,μ Phe,μ,Mu,,,64,3919,3245,00h 41m 19.58s,-46° 05′ 06.0″,4.59,0.19,247,G8III,,10.329,-45.915,Phoenicis,Mu Phoenicis
8538,Phoenix,ι Phe,ι,Iota,,,9,221760,116389,23h 35m 04.53s,-42° 36′ 54.4″,4.69,0.07,273,A2V,Alpha2 Canum Venaticorum variable,353.767,-41.385,Phoenicis,Iota Phoenicis
8539,Phoenix,HD 222095,,11,,,11,222095,116602,23h 37m 50.94s,-45° 29′ 32.4″,4.74,0.8,200,A2V,,354.458,-44.508,Phoenicis,11 Phoenicis
