USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
8623,Pictor,α Pic,α,Alpha,,,,50241,32607,06h 48m 11.54s,-61° 56′ 31.1″,3.3,0.83,99,A7IV,,102.046,-60.058,Pictoris,Alpha Pictoris
8624,Pictor,β Pic,β,Beta,,,,39060,27321,05h 47m 17.08s,-51° 04′ 00.2″,3.85,2.42,63,A5V,"δ Sct variable, Vmax = 3.80m, Vmin = 3.86m, P = 0.026260 d; has a protoplanetary disk and has two planets (b & c)",86.821,-50.933,Pictoris,Beta Pictoris
8625,Pictor,γ Pic,γ,Gamma,,,,39523,27530,05h 49m 49.58s,-56° 09′ 59.4″,4.5,0.87,174,K1III,,87.454,-55.834,Pictoris,Gamma Pictoris
8626,Pictor,δ Pic,δ,Delta,,,,42933,29276,06h 10m 17.91s,-54° 58′ 07.2″,4.72,−3.81,1655,B0.5IV,"β Lyr variable, Vmax = 4.65m, Vmin = 4.9m, P = 1.672541 d",92.571,-53.031,Pictoris,Delta Pictoris
8627,Pictor,HD 42540,,HD 42540,,,,42540,28991,06h 07m 03.36s,-62° 09′ 15.9″,5.04,−0.37,394,K2/K3III,,91.763,-61.846,Pictoris,HD 42540 Pictoris
8628,Pictor,η2 Pic,η2,Eta 2,,,,33042,23649,05h 04m 57.95s,-49° 34′ 40.2″,5.05,−0.76,474,M2IIIvar,"suspected variable, Vmax = 5.00m, Vmin = 5.1m",76.238,-48.422,Pictoris,Eta 2 Pictoris
8629,Pictor,HD 39640,,HD 39640,,,,39640,27621,05h 50m 53.22s,-52° 06′ 31.3″,5.16,0.61,264,G8III,,87.721,-51.891,Pictoris,HD 39640 Pictoris
8630,Pictor,HD 46355,,HD 46355,,,,46355,30932,06h 29m 28.54s,-56° 51′ 10.2″,5.2,0.29,312,K0III,,97.367,-55.147,Pictoris,HD 46355 Pictoris
8631,Pictor,HD 40292,,HD 40292,,,,40292,27947,05h 54m 50.11s,-52° 38′ 09.9″,5.29,2.58,114,F0Ve...,,88.708,-51.364,Pictoris,HD 40292 Pictoris
8632,Pictor,λ Pic,λ,Lambda,,,,30185,21914,04h 42m 46.46s,-50° 28′ 53.1″,5.3,0.19,343,K0/K1III,,70.692,-49.519,Pictoris,Lambda Pictoris
8633,Pictor,HD 38871,,HD 38871,,,,38871,27243,05h 46m 27.37s,-46° 35′ 50.0″,5.31,−0.44,460,K0/K1II,,86.613,-45.403,Pictoris,HD 38871 Pictoris
8634,Pictor,η1 Pic,η1,Eta 1,,,,32743,23482,05h 02m 48.73s,-49° 09′ 05.3″,5.37,3.28,85,F2V,,75.700,-48.849,Pictoris,Eta 1 Pictoris
8635,Pictor,ζ Pic,ζ,Zeta,,,,35072,24829,05h 19m 22.11s,-50° 36′ 23.5″,5.44,2.65,118,F7III-IV,,79.842,-49.394,Pictoris,Zeta Pictoris
8636,Pictor,HD 36553,,HD 36553,,,,36553,25768,05h 30m 09.46s,-47° 04′ 38.4″,5.46,2.26,143,G3IV,,82.538,-46.923,Pictoris,HD 36553 Pictoris
8637,Pictor,ι Pic A,ι,Iota,,,,31203,22531,04h 50m 55.39s,-53° 27′ 42.2″,5.58,2.73,121,F0IV...,,72.729,-52.538,Pictoris,Iota Pictoris
8638,Pictor,ν Pic,ν,Nu,,,,45229,30342,06h 22m 55.87s,-56° 22′ 11.7″,5.6,2.09,164,Am,,95.729,-55.630,Pictoris,Nu Pictoris
8639,Pictor,HD 41214,,HD 41214,,,,41214,28484,06h 00m 49.20s,-51° 12′ 59.6″,5.65,1.65,206,A1m...,,90.204,-50.784,Pictoris,HD 41214 Pictoris
8640,Pictor,μ Pic,μ,Mu,,,,46860,31137,06h 31m 58.31s,-58° 45′ 13.8″,5.69,−1.04,724,B9V,suspected variable,97.992,-57.246,Pictoris,Mu Pictoris
8641,Pictor,HD 45557,,HD 45557,,,,45557,30463,06h 24m 13.88s,-60° 16′ 53.0″,5.78,1.06,287,A0V,,96.054,-59.719,Pictoris,HD 45557 Pictoris
8642,Pictor,HD 40733,,HD 40733,,,,40733,28287,05h 58m 37.56s,-44° 02′ 04.5″,5.81,−2.13,1264,G8II,,89.654,-43.966,Pictoris,HD 40733 Pictoris
8643,Pictor,HD 45984,,HD 45984,,,,45984,30703,06h 27m 04.14s,-58° 00′ 07.6″,5.82,−0.53,606,K3III,,96.767,-57.998,Pictoris,HD 45984 Pictoris
8644,Pictor,HD 36734,,HD 36734,,,,36734,25887,05h 31m 35.99s,-45° 55′ 31.5″,5.86,0.07,468,K3III,,82.896,-44.075,Pictoris,HD 36734 Pictoris
8645,Pictor,HD 39937,,HD 39937,,,,39937,27737,05h 52m 20.18s,-57° 09′ 21.6″,5.93,0.41,415,F7IV,,88.083,-56.844,Pictoris,HD 39937 Pictoris
8646,Pictor,HD 34347,,HD 34347,,,,34347,24384,05h 13m 53.33s,-52° 01′ 50.6″,6.03,−0.63,701,K3III,,78.471,-51.969,Pictoris,HD 34347 Pictoris
8647,Pictor,HD 35765,,HD 35765,,,,35765,25317,05h 24m 55.58s,-44° 13′ 32.5″,6.09,0.03,532,K1III,,81.229,-43.774,Pictoris,HD 35765 Pictoris
8648,Pictor,κ Pic,κ,Kappa,,,,35580,25098,05h 22m 22.15s,-56° 08′ 04.0″,6.1,−0.71,749,B8/B9V,,80.592,-55.866,Pictoris,Kappa Pictoris
8649,Pictor,TX Pic,,TX,,,TX,37434,26300,05h 36m 02.85s,-47° 18′ 49.4″,6.1,0.08,522,K2III,"RS CVn variable, Vmax = 6.08m, Vmin = 6.12m",84.008,-46.686,Pictoris,TX Pictoris
8650,Pictor,HD 40200,,HD 40200,,,,40200,27937,05h 54m 41.12s,-49° 37′ 37.4″,6.11,−1.53,1101,B3V,,88.671,-48.373,Pictoris,HD 40200 Pictoris
8651,Pictor,HD 50571,,HD 50571,,,,50571,32775,06h 50m 01.01s,-60° 14′ 57.9″,6.11,3.51,108,F7III-IV,has a planet (b),102.504,-59.751,Pictoris,HD 50571 Pictoris
8652,Pictor,AE Pic,,AE,,,AE,46792,31068,06h 31m 10.65s,-61° 52′ 46.5″,6.15,−1.58,1148,B3V,β Lyr variable,97.792,-60.121,Pictoris,AE Pictoris
8653,Pictor,HD 39110,,HD 39110,,,,39110,27317,05h 47m 13.33s,-54° 21′ 38.6″,6.19,−1.68,1221,K3III,,86.804,-53.639,Pictoris,HD 39110 Pictoris
8654,Pictor,AK Pic,,AK,,,AK,48189,31711,06h 38m 00.42s,-61° 32′ 00.8″,6.18,4.47,71,G1/G2V,"T Tau star, ΔV = 0.05m, P = 2.60 d",99.500,-60.467,Pictoris,AK Pictoris
8655,Pictor,HD 33116,,HD 33116,,,,33116,23653,05h 05m 00.61s,-54° 24′ 26.7″,6.26,−0.40,700,M2III,semiregular variable,76.250,-53.593,Pictoris,HD 33116 Pictoris
8656,Pictor,θ Pic,θ,Theta,,,,35860,25303,05h 24m 46.29s,-52° 18′ 58.2″,6.26,0.19,534,A0V,,81.192,-51.684,Pictoris,Theta Pictoris
8657,Pictor,HD 45796,,HD 45796,,,,45796,30524,06h 24m 55.81s,-63° 49′ 41.4″,6.26,−0.43,710,B6V,suspected variable,96.229,-62.172,Pictoris,HD 45796 Pictoris
8658,Pictor,HD 45461,,HD 45461,,,,45461,30352,06h 23m 01.48s,-63° 40′ 59.4″,6.3,−1.28,1069,M1III,,95.754,-62.317,Pictoris,HD 45461 Pictoris
8659,Pictor,HD 39547,,HD 39547,,,,39547,27583,05h 50m 28.83s,-52° 46′ 04.5″,6.32,−0.84,883,K0/K1III,,87.617,-51.232,Pictoris,HD 39547 Pictoris
8660,Pictor,R Pic,,R,,,R,30551,22170,04h 46m 09.55s,-49° 14′ 45.1″,6.35,,6700,M2.5:IIe,"semiregular variable, Vmax = 6.35m, Vmin = 10.1m, P = 168 d",71.538,-48.754,Pictoris,R Pictoris
8661,Pictor,HD 38458,,HD 38458,,,,38458,27001,05h 43m 41.12s,-45° 49′ 59.2″,6.38,1.82,266,F0IIIn,"suspected variable, named ε by Lacaille but dropped by Gould",85.921,-44.167,Pictoris,HD 38458 Pictoris
8662,Pictor,HD 39312,,HD 39312,,,,39312,27512,05h 49m 34.13s,-44° 52′ 31.5″,6.38,−1.79,1405,K1III,,87.392,-43.125,Pictoris,HD 39312 Pictoris
8663,Pictor,ι Pic B,ι,Iota,,,,31204,22534,04h 50m 56.58s,-53° 27′ 35.7″,6.42,3.89,105,F0IV,,72.733,-52.540,Pictoris,Iota Pictoris
8664,Pictor,HD 37226,,HD 37226,,,,37226,26079,05h 33m 44.30s,-54° 54′ 08.3″,6.42,2.67,183,F8V,,83.433,-53.098,Pictoris,HD 37226 Pictoris
8665,Pictor,HD 37781,,HD 37781,,,,37781,26515,05h 38m 17.42s,-50° 38′ 27.7″,6.43,0.41,522,A0V,,84.571,-49.359,Pictoris,HD 37781 Pictoris
8666,Pictor,HD 44120,,HD 44120,,,,44120,29788,06h 16m 18.84s,-59° 12′ 45.8″,6.44,3.64,119,G1V,,94.075,-58.788,Pictoris,HD 44120 Pictoris
8667,Pictor,SW Pic,,SW,,,SW,41586,28596,06h 02m 09.32s,-60° 05′ 48.7″,6.45,−0.61,825,M4III,"semiregular variable, ΔV = 0.12m",90.538,-59.903,Pictoris,SW Pictoris
8668,Pictor,HD 29805,,HD 29805,,,,29805,21666,04h 39m 04.29s,-51° 40′ 22.1″,6.45,−0.07,656,K2III,,69.767,-50.327,Pictoris,HD 29805 Pictoris
8669,Pictor,HD 45701,,HD 45701,,,,45701,30480,06h 24m 26.57s,-63° 25′ 43.1″,6.45,3.94,104,G3III/IV,,96.108,-62.571,Pictoris,HD 45701 Pictoris
8670,Pictor,HD 45450,,HD 45450,,,,45450,30423,06h 23m 46.92s,-58° 32′ 38.2″,6.47,1.52,319,A3V,,95.942,-57.456,Pictoris,HD 45450 Pictoris
8671,Pictor,HD 34587,,HD 34587,,,,34587,24520,05h 15m 38.80s,-52° 10′ 56.0″,6.48,−0.62,856,K2III,,78.908,-51.818,Pictoris,HD 34587 Pictoris
8672,Pictor,HD 40665,,HD 40665,,,,40665,28180,05h 57m 14.36s,-53° 25′ 32.5″,6.48,−0.24,720,K5/M0III,,89.308,-52.574,Pictoris,HD 40665 Pictoris
8673,Pictor,S Pic,,S,,,S,33894,24126,05h 10m 57.25s,-48° 30′ 25.45″,6.5,,1330,M7e,"Mira variable, Vmax = 6.5m, Vmin = 14.0m, P = 422 d",77.738,-47.499,Pictoris,S Pictoris
8674,Pictor,HD 33331,,TU,,,TU,33331,23833,05h 07m 25.93s,-44° 49′ 18.0″,6.93,,964,B5III,"slowly pulsating B star, ΔV = 0.03m, P = 1.14686 d",76.854,-43.178,Pictoris,TU Pictoris
8675,Pictor,HD 40307,,HD 40307,,,,40307,27887,05h 54m 04.24s,-60° 01′ 24.4″,7.17,6.63,42,K2.5V,"has six planets (b, c, d, e, f and g)",88.517,-59.977,Pictoris,HD 40307 Pictoris
