USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
8685,Pisces,η Psc,η,Eta,99,,,9270,7097,01h 31m 28.99s,+15° 20′ 45.0″,3.62,−1.16,294,G8III,"Alpherg, Kullat-Nunu; variable",22.867,15.346,Piscium,Eta Piscium
8686,Pisces,γ Psc,γ,Gamma,6,21,,219615,114971,23h 17m 09.49s,+03° 16′ 56.1″,3.7,0.68,131,G7III,Simmah,349.288,3.282,Piscium,Gamma Piscium
8687,Pisces,ω Psc,ω,Omega,28,56,,224617,118268,23h 59m 18.60s,+06° 51′ 48.9″,4.03,1.47,106,F4IV,"Dzaneb al Samkat, Cauda Piscis[1]",359.825,6.863,Piscium,Omega Piscium
8688,Pisces,ι Psc,ι,Iota,17,39,,222368,116771,23h 39m 56.82s,+05° 37′ 38.5″,4.13,3.43,45,F7V,,354.983,5.627,Piscium,Iota Piscium
8689,Pisces,ο Psc,ο,Omicron,110,127,,10761,8198,01h 45m 23.59s,+09° 09′ 27.5″,4.26,−0.23,258,K0III,"Torcular, Torcularis Septentrionalis",26.346,9.158,Piscium,Omicron Piscium
8690,Pisces,ε Psc,ε,Epsilon,71,103,,6186,4906,01h 02m 56.66s,+07° 53′ 24.3″,4.27,0.44,190,K0III,"Kaht, 悠翔星 (Haruto-boshi)",15.733,7.890,Piscium,Epsilon Piscium
8691,Pisces,θ Psc,θ,Theta,10,29,,220954,115830,23h 27m 58.17s,+06° 22′ 44.8″,4.27,0.83,159,K1III,,351.992,6.379,Piscium,Theta Piscium
8692,Pisces,α Psc A,α,Alpha,113,,,12446,9487,02h 02m 02.80s,+02° 45′ 49.5″,4.33,,139,A0p,"Alrescha, Al Rescha, Alrischa, Alrisha, Rescha, El Rischa, Al Richa, Kaitain, Okda; α² CVn variable",30.508,2.764,Piscium,Alpha Piscium
8693,Pisces,30 Psc,,30,30,59,YY,224935,154,00h 01m 57.59s,-06° 00′ 50.3″,4.37,−1.15,415,M3III,YY Psc,0.488,-5.986,Piscium,30 Piscium
8694,Pisces,δ Psc,δ,Delta,63,97,,4656,3786,00h 48m 40.90s,+07° 35′ 06.7″,4.44,−0.42,305,K5III,Linteum,12.167,7.585,Piscium,Delta Piscium
8695,Pisces,ν Psc,ν,Nu,106,125,,10380,7884,01h 41m 25.91s,+05° 29′ 15.4″,4.45,−0.81,368,K3III,,25.354,5.488,Piscium,Nu Piscium
8696,Pisces,β Psc,β,Beta,4,14,,217891,113889,23h 03m 52.61s,+03° 49′ 12.3″,4.48,−1.42,492,B6Ve,"Fumalsamakah, Fum al Samakah, Samaka",345.967,3.820,Piscium,Beta Piscium
8697,Pisces,λ Psc,λ,Lambda,18,41,,222603,116928,23h 42m 02.88s,+01° 46′ 49.5″,4.49,2.04,101,A7V,,355.508,1.780,Piscium,Lambda Piscium
8698,Pisces,τ Psc,τ,Tau,83,,,7106,5586,01h 11m 39.59s,+30° 05′ 23.0″,4.51,1.03,162,K0III-IV...,Anunitum,17.913,30.090,Piscium,Tau Piscium
8699,Pisces,33 Psc,,33,33,63,BC,28,443,00h 05m 20.15s,-05° 42′ 28.2″,4.61,1.63,128,K1III,BC Psc; RS CVn variable,1.333,-4.292,Piscium,33 Piscium
