USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
8862,Piscis Austrinus,Fomalhaut,α,Alpha,24,,,216956,113368,22h 57m 38.83s,-29° 37′ 18.6″,1.17,1.74,25,A3V,"Fom Alhout Algenubi:Os Piscis Meridiani:Os Piscis Meridionalis:Os Piscis Notii:Difda al Auwel;18th brightest star; has a circumstellar disk and one known planet (b); suspected variable",344.408,-28.378,Piscis Austrini,Alpha Piscis Austrini
8863,Piscis Austrinus,ε PsA,ε,Epsilon,18,,,214748,111954,22h 40m 39.33s,-27° 02′ 37.0″,4.18,−2.61,744,B8V,"suspected variable, Vmax = 4.12m, Vmin = 4.24m",340.163,-26.956,Piscis Austrini,Epsilon Piscis Austrini
8864,Piscis Austrinus,δ PsA,δ,Delta,23,,,216763,113246,22h 55m 56.89s,-32° 32′ 22.9″,4.2,0.61,170,G8III,Tiāngāng (天綱)[1],343.983,-31.461,Piscis Austrini,Delta Piscis Austrini
8865,Piscis Austrinus,β PsA,β,Beta,17,,,213398,111188,22h 31m 30.29s,-32° 20′ 45.7″,4.29,1,148,A1V,,337.875,-31.654,Piscis Austrini,Beta Piscis Austrini
8866,Piscis Austrinus,ι PsA,ι,Iota,9,,,206742,107380,21h 44m 56.79s,-33° 01′ 32.0″,4.35,0.36,205,B9.5V,,326.233,-32.974,Piscis Austrini,Iota Piscis Austrini
8867,Piscis Austrinus,γ PsA,γ,Gamma,22,,,216336,112948,22h 52m 31.56s,-32° 52′ 31.6″,4.46,0.29,222,A0III,"suspected variable, Vmax = 4.45m, Vmin = 4.50m",343.129,-31.125,Piscis Austrini,Gamma Piscis Austrini
8868,Piscis Austrinus,μ PsA,μ,Mu,14,,,210049,109285,22h 08m 22.95s,-32° 59′ 18.2″,4.5,1.49,130,A2V,suspected variable,332.092,-31.012,Piscis Austrini,Mu Piscis Austrini
8869,Piscis Austrinus,τ PsA,τ,Tau,15,,,210302,109422,22h 10m 08.48s,-32° 32′ 54.4″,4.94,3.58,61,F6V,,332.533,-31.452,Piscis Austrini,Tau Piscis Austrini
8870,Piscis Austrinus,υ PsA,υ,Upsilon,,,,210066,109289,22h 08m 25.93s,-34° 02′ 37.4″,4.99,−1.06,528,K4III,,332.104,-33.956,Piscis Austrini,Upsilon Piscis Austrini
8871,Piscis Austrinus,θ PsA,θ,Theta,10,,,207155,107608,21h 47m 44.17s,-30° 53′ 53.9″,5.02,−0.06,339,A1V,,326.933,-29.102,Piscis Austrini,Theta Piscis Austrini
8872,Piscis Austrinus,π PsA,π,Pi,,,,217792,113860,23h 03m 29.76s,-34° 44′ 58.6″,5.12,2.84,93,A9V,"γ Dor variable, Vmax = 5.10m, Vmin = 5.12m, P = 1.06039 d",345.871,-33.251,Piscis Austrini,Pi Piscis Austrini
8873,Piscis Austrinus,HD 210271,,HD 210271,,,,210271,109404,22h 09m 55.71s,-34° 00′ 54.1″,5.37,1.3,212,A5IV,,332.479,-33.985,Piscis Austrini,HD 210271 Piscis Austrini
8874,Piscis Austrinus,η PsA,η,Eta,12,,,209014,108661,22h 00m 50.22s,-28° 27′ 13.5″,5.43,−2.03,1012,B8/B9V+...,"suspected variable, Vmax = 5.33m, Vmin = 5.44m",330.208,-27.546,Piscis Austrini,Eta Piscis Austrini
8875,Piscis Austrinus,λ PsA,λ,Lambda,16,,,210934,109789,22h 14m 18.74s,-27° 46′ 00.9″,5.45,−0.51,508,B7V,,333.575,-26.233,Piscis Austrini,Lambda Piscis Austrini
8876,Piscis Austrinus,WX PsA,,WX,,,WX,217236,113532,22h 59m 35.76s,-29° 27′ 44.4″,5.51,0.26,366,F0V,δ Sct variable,344.896,-28.538,Piscis Austrini,WX Piscis Austrini
8877,Piscis Austrinus,HD 217484,,HD 217484,,,,217484,113669,23h 01m 19.35s,-28° 51′ 14.1″,5.55,−0.72,584,K3III,,345.329,-27.146,Piscis Austrini,HD 217484 Piscis Austrini
8878,Piscis Austrinus,HD 210848,,HD 210848,,,,210848,109737,22h 13m 44.39s,-25° 10′ 51.3″,5.58,1.43,221,F7II,,333.433,-24.819,Piscis Austrini,HD 210848 Piscis Austrini
8879,Piscis Austrinus,VZ PsA,,VZ,,,VZ,214484,111809,22h 38m 51.46s,-33° 04′ 53.0″,5.66,0.04,435,A0V,"Algol variable, Vmax = 5.66m, Vmin = 5.83m, P = 5.76333 d",339.713,-32.919,Piscis Austrini,VZ Piscis Austrini
8880,Piscis Austrinus,HD 217303,,HD 217303,,,,217303,113562,23h 00m 05.77s,-25° 09′ 50.4″,5.66,−1.02,706,K0IICNIII,,345.021,-24.836,Piscis Austrini,HD 217303 Piscis Austrini
8881,Piscis Austrinus,8 PsA,,8,8,,,205471,106654,21h 36m 10.90s,-26° 10′ 17.2″,5.73,2.07,176,A7/A8IV,,324.042,-25.829,Piscis Austrini,8 Piscis Austrini
8882,Piscis Austrinus,HD 214122,,HD 214122,,,,214122,111600,22h 36m 35.47s,-31° 39′ 49.3″,5.82,0.92,312,K2III,,339.146,-30.336,Piscis Austrini,HD 214122 Piscis Austrini
