USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
8917,Puppis,ζ Pup,ζ,Zeta,,248,,66811,39429,08h 03m 35.07s,-40° 00′ 11.5″,2.21,−5.95,1399,O5Iaf,"Naos, Suhail Hadar, Muliphein; α Cyg variable",120.896,-39.997,Puppis,Zeta Puppis
8918,Puppis,π Pup,π,Pi,,82,,56855,35264,07h 17m 08.56s,-37° 05′ 51.0″,2.71,−4.92,1094,K3Ib,Ahadi,109.283,-36.903,Puppis,Pi Puppis
8919,Puppis,ρ Pup,ρ,Rho,15,253,,67523,39757,08h 07m 32.70s,-24° 18′ 16.0″,2.83,1.41,63,F2mF5IIp,Tureis; δ Sct variable,121.883,-23.696,Puppis,Rho Puppis
8920,Puppis,τ Pup,τ,Tau,,39,,50310,32768,06h 49m 56.14s,-50° 36′ 51.8″,2.94,−0.80,183,K0III...,,102.483,-49.386,Puppis,Tau Puppis
8921,Puppis,ν Pup,ν,Nu,,20,,47670,31685,06h 37m 45.67s,-43° 11′ 45.3″,3.17,−2.39,423,B8III SB,,99.438,-42.804,Puppis,Nu Puppis
8922,Puppis,σ Pup,σ,Sigma,,99,,59717,36377,07h 29m 13.88s,-43° 18′ 06.8″,3.25,−0.51,184,K5III SB,,112.304,-42.698,Puppis,Sigma Puppis
8923,Puppis,ξ Pup,ξ,Xi,7,191,,63700,38170,07h 49m 17.66s,-24° 51′ 35.2″,3.34,−4.74,1347,G6Ia,"Azmidi, Asmidiske, Azmidiske",117.321,-23.140,Puppis,Xi Puppis
8924,Puppis,c Pup,c,C,,175,,63032,37819,07h 45m 15.30s,-37° 58′ 07.0″,3.62,−4.52,1387,K4III,,116.313,-36.031,Puppis,C Puppis
8925,Puppis,HD 64440,a,A,,213,,64440,38414,07h 52m 13.05s,-40° 34′ 32.9″,3.71,−1.41,345,G5III...,,118.054,-39.424,Puppis,A Puppis
8926,Puppis,3 Pup,l,L,3,157,,62623,37677,07h 43m 48.47s,-28° 57′ 17.4″,3.94,−5.30,2280,A2Iab,B[e] star,115.950,-27.045,Puppis,L Puppis
8927,Puppis,HD 63922,P,P,,199,,63922,38164,07h 49m 14.30s,-46° 22′ 23.6″,4.1,−4.80,1964,B0III,,117.308,-45.627,Puppis,P Puppis
8928,Puppis,11 Pup,j,J,11,222,,65228,38835,07h 56m 51.56s,-22° 52′ 48.5″,4.2,−1.74,502,F7/F8II,,119.213,-21.120,Puppis,J Puppis
8929,Puppis,HD 64760,J,J,,218,,64760,38518,07h 53m 18.16s,-48° 06′ 10.6″,4.22,−4.65,1940,B0.5Ib,,118.325,-47.897,Puppis,J Puppis
8930,Puppis,ο Pup,ο,Omicron,,183,,63462,38070,07h 48m 05.17s,-25° 56′ 13.8″,4.4,−5.00,2470,B1IV:nne,Be star,117.021,-24.063,Puppis,Omicron Puppis
8931,Puppis,16 Pup,,16,16,256,,67797,39906,08h 09m 01.64s,-19° 14′ 42.0″,4.4,−1.41,472,B5V,,122.254,-18.755,Puppis,16 Puppis
8932,Puppis,L2 Puppis,L2,L2,,73,,56096,34922,07h 13m 32.23s,-44° 38′ 25.9″,4.42,0.5,198,M5e,,108.383,-43.360,Puppis,L2 Puppis
8933,Puppis,HD 69142,h2,H2,,279,,69142,40326,08h 14m 02.89s,-40° 20′ 51.8″,4.42,−0.47,310,K1II/III,,123.508,-39.653,Puppis,H2 Puppis
8934,Puppis,NS Pup,h1,H1,,267,NS,68553,40091,08h 11m 21.50s,-39° 37′ 06.8″,4.44,−4.36,1874,K4III,Irregular (Ld) variable,122.838,-38.382,Puppis,H1 Puppis
8935,Puppis,HD 70060,q,Q,,289,,70060,40706,08h 18m 33.39s,-36° 39′ 34.3″,4.44,2.16,93,A4m...,,124.638,-35.341,Puppis,Q Puppis
8936,Puppis,HD 60532,,108 G,,108,,60532,36795,07h 34m 03.18s,-22° 17′ 45.8″,4.46,2.41,84,F6V,has two planets (b & c),113.513,-21.704,Puppis,108 G Puppis
8937,Puppis,V Pup,,V,,233,V,65818,38957,07h 58m 14.44s,-49° 14′ 41.7″,4.47,−3.29,1164,B1Vp + B2,β Lyr eclipsing variable,119.558,-48.755,Puppis,V Puppis
8938,Puppis,QW Pup,I,I,,71,QW,55892,34834,07h 12m 33.74s,-46° 45′ 34.4″,4.49,2.86,69,F0IV,γ Dor variable,108.138,-45.241,Puppis,I Puppis
8939,Puppis,QZ Pup,b,B,,214,QZ,64503,38455,07h 52m 38.65s,-38° 51′ 46.2″,4.49,−1.98,640,B2V,Ellipsoidal variable,118.158,-37.137,Puppis,B Puppis
8940,Puppis,k1 Pup,k1,K1,,133,,61555,37229,07h 38m 49.88s,-26° 48′ 14.0″,4.5,−1.92,454,B6V,"Markab, Markeb; component of the k Puppis system",114.704,-25.196,Puppis,K1 Puppis
8941,Puppis,HD 61330,f,F,,127,,61330,37096,07h 37m 22.12s,-34° 58′ 06.9″,4.53,−0.67,358,B8IV/V,,114.342,-33.032,Puppis,F Puppis
8942,Puppis,HD 65810,,232 G,,232,,65810,39095,07h 59m 52.06s,-18° 23′ 56.9″,4.61,0.29,238,A1V,,119.967,-17.601,Puppis,232 G Puppis
8943,Puppis,k2 Pup,k2,K2,,134,,61556,,07h 38m 49.80s,-26° 48′ 13.0″,4.62,−1.81,462,B5IV,component of the k Puppis system,114.704,-25.196,Puppis,K2 Puppis
8944,Puppis,1 Pup,,1,1,155,,62576,37648,07h 43m 32.40s,-28° 24′ 39.4″,4.63,−2.75,976,K5III,,115.883,-27.589,Puppis,1 Puppis
