USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
9175,Pyxis,α Pyx,α,Alpha,,,,74575,42828,08h 43m 35.55s,-33° 11′ 11.1″,3.68,−3.39,845,B1.5III,"β Cep variable, Vmax = 3.67m, Vmin = 3.70m",130.896,-32.814,Pyxidis,Alpha Pyxidis
9176,Pyxis,β Pyx,β,Beta,,,,74006,42515,08h 40m 06.14s,-35° 18′ 29.9″,3.97,−1.41,388,G5II/III,,130.025,-34.692,Pyxidis,Beta Pyxidis
9177,Pyxis,γ Pyx,γ,Gamma,,,,75691,43409,08h 50m 32.01s,-27° 42′ 36.2″,4.02,−0.01,209,K3III,,132.633,-26.290,Pyxidis,Gamma Pyxidis
9178,Pyxis,κ Pyx,κ,Kappa,,,,78541,44824,09h 08m 02.86s,-25° 51′ 30.7″,4.62,−1.25,487,K4/K5III,"variable star, ΔV = 0.006m, P = 8.50919 d",137.008,-24.142,Pyxidis,Kappa Pyxidis
9179,Pyxis,θ Pyx,θ,Theta,,,,80874,45902,09h 21m 29.60s,-25° 57′ 55.5″,4.71,−1.31,522,M0III,semiregular variable,140.371,-24.035,Pyxidis,Theta Pyxidis
9180,Pyxis,λ Pyx,λ,Lambda,,,,81169,46026,09h 23m 12.34s,-28° 50′ 02.1″,4.71,0.98,182,G8III,,140.800,-27.166,Pyxidis,Lambda Pyxidis
9181,Pyxis,ζ Pyx,ζ,Zeta,,,,73898,42483,08h 39m 42.49s,-29° 33′ 39.1″,4.86,0.56,236,G5III,,129.925,-28.439,Pyxidis,Zeta Pyxidis
9182,Pyxis,δ Pyx,δ,Delta,,,,76483,43825,08h 55m 31.52s,-27° 40′ 53.9″,4.87,0.66,226,A3IV,,133.879,-26.319,Pyxidis,Delta Pyxidis
9183,Pyxis,HD 73752,,HD 73752,,,,73752,42430,08h 39m 08.07s,-22° 39′ 46.5″,5.05,3.55,65,G3/G5V,,129.783,-21.337,Pyxidis,HD 73752 Pyxidis
9184,Pyxis,HD 75605,,HD 75605,,,,75605,43352,08h 49m 51.50s,-32° 46′ 49.5″,5.19,0.96,229,G8III,,132.463,-31.220,Pyxidis,HD 75605 Pyxidis
9185,Pyxis,η Pyx,η,Eta,,,,73495,42334,08h 37m 52.17s,-26° 15′ 17.9″,5.24,0.89,242,A0V,suspected variable,129.467,-25.745,Pyxidis,Eta Pyxidis
9186,Pyxis,HD 72310,,HD 72310,,,,72310,41817,08h 31m 30.94s,-19° 34′ 38.8″,5.42,0.08,381,B9.5IV/V,,127.875,-18.423,Pyxidis,HD 72310 Pyxidis
9187,Pyxis,ε Pyx,ε,Epsilon,,,,78922,45001,09h 09m 56.41s,-30° 21′ 55.0″,5.59,1.52,212,A4IV,"variable star, ΔV = 0.006m, P = 6.15574 d",137.483,-29.635,Pyxidis,Epsilon Pyxidis
9188,Pyxis,HD 72227,,HD 72227,,,,72227,41723,08h 30m 28.62s,-32° 09′ 33.4″,5.61,−2.21,1194,K3III,,127.617,-31.841,Pyxidis,HD 72227 Pyxidis
