USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
9265,Sagitta,γ Sge,γ,Gamma,12,,,189319,98337,19h 58m 45.39s,+19° 29′ 31.5″,3.51,−1.11,274,K5III,"variable star, ΔV = 0.004m, P = 6.37836 d",299.688,19.492,Sagittae,Gamma Sagittae
9266,Sagitta,δ Sge A,δ,Delta,7,,,187076,97365,19h 47m 23.27s,+18° 32′ 03.3″,3.82,−1.87,448,M2II + B6,"semiregular variable, Vmax = 3.75m, Vmin = 3.83m",296.846,18.534,Sagittae,Delta Sagittae
9267,Sagitta,δ Sge B,δ,Delta,7,,,187077,,19h 47m 23.10s,+18° 32′ 01.0″,3.8,,590,,,296.846,18.534,Sagittae,Delta Sagittae
9268,Sagitta,α Sge,α,Alpha,5,,,185758,96757,19h 40m 05.78s,+18° 00′ 50.2″,4.39,−1.42,473,G0II,"Sham, Alsahm",295.021,18.014,Sagittae,Alpha Sagittae
9269,Sagitta,β Sge,β,Beta,6,,,185958,96837,19h 41m 02.93s,+17° 28′ 34.0″,4.39,−1.39,466,G8II,,295.258,17.476,Sagittae,Beta Sagittae
9270,Sagitta,ζ Sge,ζ,Zeta,8,,,187362,97496,19h 48m 58.65s,+19° 08′ 31.1″,5.01,0.01,326,A3V,,297.242,19.142,Sagittae,Zeta Sagittae
9271,Sagitta,η Sge,η,Eta,16,,,190608,98920,20h 05m 09.47s,+19° 59′ 27.2″,5.09,1.61,162,K2III,suspected variable,301.288,19.991,Sagittae,Eta Sagittae
9272,Sagitta,13 Sge,,13,13,,VZ,189577,98438,20h 00m 03.31s,+17° 30′ 59.5″,5.33,−1.47,746,M4IIIa,"semiregular variable, Vmax = 5.27m, Vmin = 5.57m",300.013,17.516,Sagittae,13 Sagittae
9273,Sagitta,11 Sge,,11,11,,,189090,98234,19h 57m 45.44s,+16° 47′ 20.8″,5.54,0.07,404,B9III,,299.438,16.789,Sagittae,11 Sagittae
9274,Sagitta,1 Sge,,1,1,,,180317,94620,19h 15m 17.34s,+21° 13′ 55.6″,5.65,0.71,318,A4V,,288.821,21.232,Sagittae,1 Sagittae
9275,Sagitta,ε Sge,ε,Epsilon,4,,,185194,96516,19h 37m 17.38s,+16° 27′ 46.0″,5.67,−0.14,473,G8IIIvar,"suspected variable, Vmax = 5.64m, Vmin = 5.67m",294.321,16.463,Sagittae,Epsilon Sagittae
9276,Sagitta,S Sge,,10,10,,S,188727,98085,19h 56m 01.26s,+16° 38′ 05.3″,5.71,−4.89,4289,G5Ibv SB,"Cepheid variable, Vmax = 5.24m, Vmin = 6.04m, P = 8.382086 d",299.004,16.635,Sagittae,10 Sagittae
9277,Sagitta,15 Sge,,15,15,,,190406,98819,20h 04m 06.47s,+17° 04′ 16.2″,5.8,4.56,58,G1V,"binary star; suspected variable, Vmax = 5.77m, Vmin = 5.80m",301.025,17.071,Sagittae,15 Sagittae
9278,Sagitta,HD 193579,,HD 193579,,,,193579,100276,20h 20m 21.40s,+17° 47′ 34.8″,5.82,−0.01,477,K5III,,305.088,17.793,Sagittae,HD 193579 Sagittae
9279,Sagitta,HD 190211,,HD 190211,,,,190211,98738,20h 03m 16.39s,+18° 30′ 03.7″,5.99,−1.09,849,K3Iab:,,300.817,18.501,Sagittae,HD 190211 Sagittae
9280,Sagitta,HD 180242,,HD 180242,,,,180242,94598,19h 15m 02.69s,+20° 12′ 11.3″,6.03,−0.70,724,G8III,"suspected variable, Vmax = 6m, Vmin = 6.04m",288.758,20.203,Sagittae,HD 180242 Sagittae
9281,Sagitta,HD 178428,,HD 178428,,,,178428,93966,19h 07m 57.28s,+16° 51′ 14.9″,6.08,4.47,68,G5V,spectroscopic binary,286.988,16.854,Sagittae,HD 178428 Sagittae
9282,Sagitta,HD 177199,,HD 177199,,,,177199,93523,19h 02m 52.62s,+19° 39′ 39.7″,6.11,−2.26,1538,K1III,,285.717,19.661,Sagittae,HD 177199 Sagittae
9283,Sagitta,18 Sge,,18,18,,,192836,99913,20h 16m 19.78s,+21° 35′ 55.5″,6.11,1.31,298,K1III,,304.079,21.599,Sagittae,18 Sagittae
9284,Sagitta,9 Sge,,9,9,,QZ,188001,97796,19h 52m 21.77s,+18° 40′ 18.8″,6.23,−6.96,14174,O8e,"spectroscopic eclipsing binary, Vmax = 6.16m, Vmin = 6.23m",298.088,18.672,Sagittae,9 Sagittae
9285,Sagitta,HD 191814,,HD 191814,,,,191814,99445,20h 11m 03.53s,+21° 08′ 04.2″,6.24,0.25,514,K0,,302.763,21.134,Sagittae,HD 191814 Sagittae
9286,Sagitta,2 Sge,,2,2,,,182490,95398,19h 24m 22.08s,+16° 56′ 15.9″,6.27,1.08,355,A2III-IV,,291.092,16.938,Sagittae,2 Sagittae
9287,Sagitta,V340 Sge,,V340,,,V340,185622,96688,19h 39m 25.34s,+16° 34′ 16.1″,6.37,−2.87,2296,M0Iab-Ib SB,slow irregular variable,294.854,16.571,Sagittae,V340 Sagittae
9288,Sagitta,V344 Sge,,V344,,,V344,191178,99176,20h 08m 06.50s,+16° 39′ 51.7″,6.39,−4.18,4234,M3III,irregular variable,302.025,16.664,Sagittae,V344 Sagittae
9289,Sagitta,HD 180377,,HD 180377,,,,180377,94646,19h 15m 33.37s,+18° 30′ 58.8″,6.46,−1.13,1072,M2III,semiregular variable,288.888,18.516,Sagittae,HD 180377 Sagittae
9290,Sagitta,HD 176776,,HD 176776,,,,176776,93374,19h 01m 05.43s,+19° 18′ 34.6″,6.47,0.74,457,K1III,,285.271,19.309,Sagittae,HD 176776 Sagittae
9291,Sagitta,U Sge,,U,,,U,181182,94910,19h 18m 48.41s,+19° 36′ 37.7″,6.5,−0.96,1012,B8III + K,"Algol variable, Vmax = 6.45m, Vmin = 9.28m, P = 3.38061933 d",289.700,19.610,Sagittae,U Sagittae
9292,Sagitta,θ Sge,θ,Theta,17,,,191570,99352,20h 09m 56.61s,+20° 54′ 53.2″,6.51,3.24,147,F5IV,,302.483,20.915,Sagittae,Theta Sagittae
9293,Sagitta,V338 Sge,,V338,,,V338,179588,94377,19h 12m 34.45s,+16° 50′ 47.1″,6.69,,791,B9IV,Eclipsing binary,288.142,16.846,Sagittae,V338 Sagittae
9294,Sagitta,3 Sge,,3,3,,,182571,95435,19h 24m 45.39s,+16° 57′ 25.4″,6.84,1.36,407,A0,,291.188,16.957,Sagittae,3 Sagittae
9295,Sagitta,HD 183143,,HT,,,HT,183143,95657,19h 27m 26.56s,+18° 17′ 45.2″,6.86,,7100,B7Iae,"Alpha Cygni variable, Vmax = 6.71m, Vmin = 6.95m, P = 40.44 d",291.858,18.296,Sagittae,HT Sagittae
