USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
9315,Sagittarius,ε Sgr,ε,Epsilon,20,61,,169022,90185,18h 24m 10.35s,-34° 23′ 03.5″,1.79,−1.44,145,B9.5III,"Kaus Australis, Thalith al Warida[1]",276.042,-33.616,Sagittarii,Epsilon Sagittarii
9316,Sagittarius,σ Sgr,σ,Sigma,34,112,,175191,92855,18h 55m 15.92s,-26° 17′ 47.7″,2.05,−2.14,224,B2.5V,"Nunki, Thani al Sadira[1]",283.813,-25.704,Sagittarii,Sigma Sagittarii
9317,Sagittarius,ζ Sgr,ζ,Zeta,38,130,,176687,93506,19h 02m 36.72s,-29° 52′ 48.4″,2.6,0.42,89,A3IV,"Ascella, Thalith al Sadira[1]",285.650,-28.120,Sagittarii,Zeta Sagittarii
9318,Sagittarius,δ Sgr,δ,Delta,19,54,,168454,89931,18h 20m 59.62s,-29° 49′ 40.9″,2.72,−2.14,306,K3III,"Kaus Media (Kaus Medius, Kaus Meridionalis, Thani al Warida[1])",275.246,-28.172,Sagittarii,Delta Sagittarii
9319,Sagittarius,λ Sgr,λ,Lambda,22,67,,169916,90496,18h 27m 58.27s,-25° 25′ 16.5″,2.82,0.95,77,K1IIIb,Kaus Borealis,276.992,-24.579,Sagittarii,Lambda Sagittarii
9320,Sagittarius,π Sgr,π,Pi,41,147,,178524,94141,19h 09m 45.83s,-21° 01′ 24.7″,2.88,−2.77,440,F2II/III,"Al Baldah,[2] Nir al Beldat, Lucida Oppidi[1]",287.438,-20.977,Sagittarii,Pi Sagittarii
9321,Sagittarius,γ2 Sgr,γ2,Gamma 2,10,28,,165135,88635,18h 05m 48.52s,-30° 25′ 25.1″,2.98,0.63,96,K0III,"Alnasl, Nash, Nushaba, Awal al Warida[1]",271.450,-29.576,Sagittarii,Gamma 2 Sagittarii
9322,Sagittarius,η Sgr,η,Eta,,46,,167618,89642,18h 17m 37.73s,-36° 45′ 40.6″,3.1,−0.20,149,M2III,Rabi al Warida[1]irregular variable,274.404,-35.239,Sagittarii,Eta Sagittarii
9323,Sagittarius,φ Sgr,φ,Phi,27,95,,173300,92041,18h 45m 39.35s,-26° 59′ 26.8″,3.17,−1.08,231,B8.5III,Awal al Sadira[1],281.413,-25.009,Sagittarii,Phi Sagittarii
9324,Sagittarius,τ Sgr,τ,Tau,40,139,,177716,93864,19h 06m 56.44s,-27° 40′ 11.3″,3.32,0.48,120,K1/K2III,Rabi al Sadira[1],286.733,-26.330,Sagittarii,Tau Sagittarii
9325,Sagittarius,ξ2 Sgr,ξ2,Xi2,37,120,,175775,93085,18h 57m 43.78s,-21° 06′ 23.8″,3.52,−1.77,372,G8/K0II/III,,284.429,-20.894,Sagittarii,Xi2 Sagittarii
9326,Sagittarius,ο Sgr,ο,Omicron,39,136,,177241,93683,19h 04m 40.93s,-21° 44′ 28.9″,3.76,0.61,139,K0III,,286.167,-20.259,Sagittarii,Omicron Sagittarii
9327,Sagittarius,μ Sgr,μ,Mu,13,41,,166937,89341,18h 13m 45.81s,-21° 03′ 31.8″,3.84,,3000,B2III:,Polis;[2] quintuple star; Algol variable,273.438,-20.941,Sagittarii,Mu Sagittarii
9328,Sagittarius,ρ1 Sgr,ρ1,Rho 1,44,174,,181577,95168,19h 21m 40.38s,-17° 50′ 50.1″,3.92,1.06,122,F0III/IV,δ Sct variable,290.417,-16.153,Sagittarii,Rho 1 Sagittarii
9329,Sagittarius,β1 Sgr,β1,Beta 1,,168,,181454,95241,19h 22m 38.29s,-44° 27′ 32.1″,3.96,−1.36,378,B9V,Arkab Prior,290.658,-43.541,Sagittarii,Beta 1 Sagittarii
