USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
9542,Scorpius,Antares A,α,Alpha,21,,,148478,80763,16h 29m 24.47s,-26° 25′ 55.0″,0.91,−5.24,553,M1.5Iab-b,"Cor Scorpii, Qalb al-Aqrab, Vespertilo; 16th brightest star; binary; semiregular variable, Vmax = 0.75m, Vmin = 1.21m, P = 2180 d",247.350,-25.568,Scorpii,Alpha Scorpii
9543,Scorpius,λ Sco,λ,Lambda,35,,,158926,85927,17h 33m 36.53s,-37° 06′ 13.5″,1.62,−5.05,703,B2IV+DA7.9,"Shaula; β Cep and Algol variable, Vmax = 1.59m, Vmin = 1.65m, P = 0.21 d",263.400,-36.896,Scorpii,Lambda Scorpii
9544,Scorpius,θ Sco,θ,Theta,,,,159532,86228,17h 37m 19.13s,-42° 59′ 52.2″,1.86,−2.75,272,F1II,"Sargas; suspected variable, Vmax = 1.84m, Vmin = 1.88m",264.329,-41.002,Scorpii,Theta Scorpii
9545,Scorpius,δ Sco,δ,Delta,7,,,143275,78401,16h 00m 20.01s,-22° 37′ 17.8″,2.29,−3.16,401,B0.2IVe,"Dschubba, Al Jabba, Iclarkrau; γ Cas variable, Vmax = 1.59m, Vmin = 2.32m",240.083,-21.379,Scorpii,Delta Scorpii
9546,Scorpius,ε Sco,ε,Epsilon,26,,,151680,82396,16h 50m 10.24s,-34° 17′ 33.4″,2.29,0.78,65,K2IIIb,"Wei, Larawag; suspected variable, Vmax = 2.24m, Vmin = 2.35m",252.542,-33.708,Scorpii,Epsilon Scorpii
9547,Scorpius,κ Sco,κ,Kappa,,,,160578,86670,17h 42m 29.28s,-39° 01′ 47.7″,2.39,−3.38,464,B1.5III,"Girtab; β Cep variable, Vmax = 2.41m, Vmin = 2.42m, P = 0.20 d",265.621,-38.970,Scorpii,Kappa Scorpii
9548,Scorpius,β1 Sco,β1,Beta 1,8,,,144217,78820,16h 05m 26.23s,-19° 48′ 19.4″,2.62,−3.44,530,B0.5V,"Acrab, Elacrab, Graffias, Grafias, Grassias; suspected variable, Vmax = 2.61m, Vmin = 2.67m",241.358,-18.195,Scorpii,Beta 1 Scorpii
9549,Scorpius,υ Sco,υ,Upsilon,34,,,158408,85696,17h 30m 45.84s,-37° 17′ 44.7″,2.7,−3.31,518,B2IV,"Lesath, Lesuth",262.688,-36.704,Scorpii,Upsilon Scorpii
9550,Scorpius,τ Sco,τ,Tau,23,,,149438,81266,16h 35m 52.96s,-28° 12′ 57.5″,2.82,−2.78,430,B0V,"Paikauhale[1], Alniyat, Al Niyat",248.967,-27.784,Scorpii,Tau Scorpii
9551,Scorpius,π Sco,π,Pi,6,,,143018,78265,15h 58m 51.12s,-26° 06′ 50.6″,2.89,−2.85,459,B1V + B2V,"Fang; Nur[2]; Vrischika, Iclil rotating ellipsoidal variable, Vmax = 2.88m, Vmin = 2.91m, P = 1.57 d",239.713,-25.886,Scorpii,Pi Scorpii
9552,Scorpius,σ Sco,σ,Sigma,20,,,147165,80112,16h 21m 11.32s,-25° 35′ 33.9″,2.9,−3.86,734,B1III,"Alniyat, Al Niyat, β Cep variable, Vmax = 2.86m, Vmin = 2.94m, P = 0.25 d",245.296,-24.408,Scorpii,Sigma Scorpii
9553,Scorpius,ι1 Sco,ι1,Iota 1,,,,161471,87073,17h 47m 35.08s,-40° 07′ 37.1″,2.99,−5.71,1791,F3Ia,Apollyon,266.896,-39.873,Scorpii,Iota 1 Scorpii
9554,Scorpius,μ1 Sco,μ1,Mu 1,,,,151890,82514,16h 51m 52.24s,-38° 02′ 50.4″,3,−4.01,821,B1.5IV + B,"Xamidimura, Denebakrab; β Lyr variable, Vmax = 2.94m, Vmin = 3.22m, P = 1.45 d",252.967,-37.953,Scorpii,Mu 1 Scorpii
9555,Scorpius,G Sco,G,G,,,,161892,87261,17h 49m 51.45s,-37° 02′ 36.1″,3.19,0.24,127,K0/K1III,"γ Tel, Fuyue",267.463,-36.957,Scorpii,G Scorpii
9556,Scorpius,η Sco,η,Eta,,,,155203,84143,17h 12m 09.18s,-43° 14′ 18.6″,3.32,1.61,72,F3p,suspected variable,258.038,-42.762,Scorpii,Eta Scorpii
9557,Scorpius,μ2 Sco,μ2,Mu 2,,,,151985,82545,16h 52m 20.15s,-38° 01′ 02.9″,3.56,−2.44,517,B2IV,"Pipirima, Shéngōng (神宮),[3]",253.083,-37.983,Scorpii,Mu 2 Scorpii
9558,Scorpius,ζ2 Sco,ζ2,Zeta 2,,,,152334,82729,16h 54m 35.11s,-42° 21′ 38.7″,3.62,0.3,150,K4III,"suspected variable, Vmax = 3.59m, Vmin = 3.65m",253.646,-41.639,Scorpii,Zeta 2 Scorpii
9559,Scorpius,ρ Sco,ρ,Rho,5,,,142669,78104,15h 56m 53.09s,-29° 12′ 50.4″,3.87,−1.62,409,B2IV/V,"Iklil, suspected variable",239.221,-28.786,Scorpii,Rho Scorpii
