USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
9816,Sculptor,α Scl,α,Alpha,,,,5737,4577,00h 58m 36.35s,-29° 21′ 26.9″,4.3,−2.27,672,B7IIIp,SX Ari variable,14.650,-28.643,Sculptoris,Alpha Sculptoris
9817,Sculptor,β Scl,β,Beta,,,,221507,116231,23h 32m 58.19s,-37° 49′ 06.1″,4.38,0.69,178,B9.5IVMNpe.,"suspected α2 CVn variable, Vmax = 4.35m, Vmin = 4.39m",353.242,-36.182,Sculptoris,Beta Sculptoris
9818,Sculptor,γ Scl,γ,Gamma,,,,219784,115102,23h 18m 49.43s,-32° 31′ 54.6″,4.41,0.72,179,K1III,"variable star, ΔV = 0.004m, P = 0.10 d",349.704,-31.468,Sculptoris,Gamma Sculptoris
9819,Sculptor,δ Scl,δ,Delta,,,,223352,117452,23h 48m 55.48s,-28° 07′ 48.1″,4.59,1.37,143,A0V,,357.229,-27.870,Sculptoris,Delta Sculptoris
9820,Sculptor,η Scl,η,Eta,,,,2429,2210,00h 27m 55.71s,-33° 00′ 25.4″,4.86,−1.27,548,M2/M3III,"semiregular variable, Vmax = 4.8m, Vmin = 4.9m",6.979,-32.993,Sculptoris,Eta Sculptoris
9821,Sculptor,ζ Scl,ζ,Zeta,,,,224990,183,00h 02m 19.91s,-29° 43′ 13.6″,5.04,−0.93,509,B4V,,0.579,-28.280,Sculptoris,Zeta Sculptoris
9822,Sculptor,ι Scl,ι,Iota,,,,1737,1708,00h 21m 31.18s,-28° 58′ 52.7″,5.18,0.29,310,K0III,,5.379,-27.019,Sculptoris,Iota Sculptoris
9823,Sculptor,θ Scl,θ,Theta,,,,739,950,00h 11m 43.89s,-35° 08′ 00.2″,5.24,3.55,71,F3/F5V,,2.929,-34.867,Sculptoris,Theta Sculptoris
9824,Sculptor,π Scl,π,Pi,,,,10537,7955,01h 42m 08.65s,-32° 19′ 36.7″,5.25,1.13,217,K1II/III,,25.533,-31.673,Sculptoris,Pi Sculptoris
9825,Sculptor,ε Scl,ε,Epsilon,,,,10830,8209,01h 45m 38.65s,-25° 03′ 08.8″,5.29,3.1,89,F2IV,suspected variable,26.408,-24.948,Sculptoris,Epsilon Sculptoris
9826,Sculptor,μ Scl,μ,Mu,,,,222433,116820,23h 40m 38.21s,-32° 04′ 22.8″,5.3,0.55,291,K0III,"suspected variable, Vmax = 5.30m, Vmin = 5.33m",355.158,-31.927,Sculptoris,Mu Sculptoris
9827,Sculptor,κ2 Scl,κ2,Kappa 2,,,,720,930,00h 11m 34.42s,-27° 47′ 59.2″,5.41,−0.85,581,K2III,,2.892,-26.200,Sculptoris,Kappa 2 Sculptoris
9828,Sculptor,κ1 Scl,κ1,Kappa 1,,,,493,761,00h 09m 21.02s,-27° 59′ 16.5″,5.42,1.24,224,F3V,,2.338,-26.012,Sculptoris,Kappa 1 Sculptoris
9829,Sculptor,HD 9525,,HD 9525,,,,9525,7213,01h 32m 56.05s,-36° 51′ 54.7″,5.49,0.94,265,K1/K2III,,23.233,-35.135,Sculptoris,HD 9525 Sculptoris
9830,Sculptor,σ Scl,σ,Sigma,,,,6178,4852,01h 02m 26.38s,-31° 33′ 07.4″,5.5,1.29,227,A1/A2IV,α2 CVn variable,15.608,-30.448,Sculptoris,Sigma Sculptoris
9831,Sculptor,HD 3059,,HD 3059,,,,3059,2661,00h 33m 41.06s,-29° 33′ 29.5″,5.55,−0.37,497,K1III,,8.421,-28.442,Sculptoris,HD 3059 Sculptoris
9832,Sculptor,ξ Scl,ξ,Xi,,,,6055,4770,01h 01m 18.23s,-38° 54′ 59.9″,5.59,−0.83,628,K1III,,15.325,-37.084,Sculptoris,Xi Sculptoris
9833,Sculptor,BU Scl,,BU,,,BU,224630,118277,23h 59m 27.90s,-29° 29′ 06.6″,5.59,−1.56,879,K5III,slow irregular variable,359.863,-28.515,Sculptoris,BU Sculptoris
