USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
9894,Scutum,α Sct,α,Alpha,,,,171443,91117,18h 35m 12.44s,-08° 14′ 35.9″,3.85,0.21,174,K2III,"suspected variable, Vmax = 3.81m, Vmin = 3.87m",278.800,-7.757,Scuti,Alpha Scuti
9895,Scutum,β Sct,β,Beta,,,,173764,92175,18h 47m 10.48s,-04° 44′ 52.2″,4.22,−2.41,689,G5II...,,281.792,-3.252,Scuti,Beta Scuti
9896,Scutum,ζ Sct,ζ,Zeta,,,,169156,90135,18h 23m 39.55s,-08° 56′ 04.2″,4.66,0.82,191,K0III,,275.913,-7.066,Scuti,Zeta Scuti
9897,Scutum,γ Sct,γ,Gamma,,,,170296,90595,18h 29m 11.85s,-14° 33′ 56.9″,4.67,−0.09,291,A1IV/V,,277.296,-13.434,Scuti,Gamma Scuti
9898,Scutum,δ Sct,δ,Delta,,,,172748,91726,18h 42m 16.42s,-09° 03′ 09.2″,4.7,0.91,187,F2IIIp d Del,"triple star; prototype Delta Scuti variable, Vmax = 4.6m, Vmin = 4.79m, P = 0.1937697 d",280.567,-8.948,Scuti,Delta Scuti
9899,Scutum,η Sct,η,Eta,,,,175751,93026,18h 57m 03.63s,-05° 50′ 46.4″,4.83,0.82,207,K1III,,284.263,-4.154,Scuti,Eta Scuti
9900,Scutum,ε Sct,ε,Epsilon,,,,173009,91845,18h 43m 31.24s,-08° 16′ 30.9″,4.88,−1.14,522,G8II,,280.879,-7.725,Scuti,Epsilon Scuti
9901,Scutum,HD 175156,,HD 175156,,,,175156,92814,18h 54m 43.12s,-15° 36′ 10.9″,5.08,−3.46,1663,B3II,,283.679,-14.397,Scuti,HD 175156 Scuti
9902,Scutum,HD 171391,,HD 171391,,,,171391,91105,18h 35m 02.36s,-10° 58′ 37.9″,5.12,0.38,290,G8III,suspected variable,278.758,-9.023,Scuti,HD 171391 Scuti
9903,Scutum,R Sct,,R,,,R,173819,92202,18h 47m 28.98s,-05° 42′ 18.3″,5.38,−2.79,1405,K0Ibpvar,"RV Tauri variable, Vmax = 4.2m, Vmin = 8.6m, P = 146.5 d",281.867,-4.295,Scuti,R Scuti
9904,Scutum,V450 Sct,,V450,,,V450,170975,90913,18h 32m 43.32s,-14° 51′ 56.4″,5.47,−2.48,1268,K3Iab,semiregular variable,278.179,-13.134,Scuti,V450 Scuti
9905,Scutum,HD 173638,,HD 173638,,,,173638,92136,18h 46m 43.32s,-10° 07′ 30.1″,5.69,,,F2Ib-II,"suspected irregular variable, Vmax = 5.64m, Vmin = 5.81m",281.679,-9.875,Scuti,HD 173638 Scuti
9906,Scutum,HD 169033,,HD 169033,,,,169033,90096,18h 23m 12.17s,-12° 00′ 52.9″,5.71,−0.66,612,B5V,,275.800,-11.986,Scuti,HD 169033 Scuti
