USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
9966,Serpens,α Ser,α,Alpha,24,21 Cap,,140573,77070,15h 44m 16.00s,+06° 25′ 31.9″,2.63,0.87,73,K2III,"Unukalhai, Unukalhay, Unuk al Hay, Unuk Elhai, Unuk, Cor Serpentis",236.067,6.425,Serpentis,Alpha Serpentis
9967,Serpens,η Ser,η,Eta,58,34 Cau,,168723,89962,18h 21m 18.92s,-02° 53′ 49.6″,3.23,1.84,62,K0III-IV,"Donghai, Tung Hae[2]",275.325,-1.103,Serpentis,Eta Serpentis
9968,Serpens,μ Ser,μ,Mu,32,27 Cap,,141513,77516,15h 49m 37.27s,-03° 25′ 48.5″,3.54,0.14,156,A0V,Tiānrǔ (天乳)[3],237.404,-2.570,Serpentis,Mu Serpentis
9969,Serpens,ξ Ser,ξ,Xi,55,8 Cau,,159876,86263,17h 37m 35.23s,-15° 23′ 54.3″,3.54,0.99,105,F0IIIp,"Nanhai, Nan Hae[2]",264.396,-14.602,Serpentis,Xi Serpentis
9970,Serpens,β Ser,β,Beta,28,,,141003,77233,15h 46m 11.21s,+15° 25′ 18.9″,3.65,0.29,153,A3V,Chow,236.546,15.422,Serpentis,Beta Serpentis
9971,Serpens,ε Ser,ε,Epsilon,37,29 Cap,,141795,77622,15h 50m 48.89s,+04° 28′ 39.3″,3.71,2.04,70,A2m,"Ba, Pa,[2] component of the δ Ser system; quadruple star; Delta Scuti-type variable star",237.700,4.478,Serpentis,Epsilon Serpentis
9972,Serpens,γ Ser,γ,Gamma,41,,,142860,78072,15h 56m 26.99s,+15° 39′ 53.0″,5.2,3.62,36,F6V,"Ainalhai, Zheng, Ching[2]",239.108,15.665,Serpentis,Gamma Serpentis
9973,Serpens,κ Ser,κ,Kappa,35,,,141477,77450,15h 48m 44.41s,+18° 08′ 30.4″,4.09,−1.05,348,M1III,Gudja[4],237.183,18.142,Serpentis,Kappa Serpentis
9974,Serpens,δ Ser A,δ,Delta,13,,,138917,76276,15h 34m 48.19s,+10° 32′ 19.9″,3.8,−0.24,210,F0IV,quadruple star; Delta Scuti-type variable star,233.700,10.539,Serpentis,Delta Serpentis
9975,Serpens,ο Ser,ο,Omicron,56,11 Cau,,160613,86565,17h 41m 24.92s,-12° 52′ 30.6″,4.24,0.68,168,A2Va,Delta Scuti-type variable star,265.350,-11.125,Serpentis,Omicron Serpentis
9976,Serpens,ν Ser,ν,Nu,53,1 Cau,,156928,84880,17h 20m 49.64s,-12° 50′ 48.8″,4.32,0.45,193,A0/A1V,,260.204,-11.153,Serpentis,Nu Serpentis
9977,Serpens,λ Ser,λ,Lambda,27,25 Cap,,141004,77257,15h 46m 26.75s,+07° 21′ 11.7″,4.42,4.07,38,G0Vvar,,236.608,7.353,Serpentis,Lambda Serpentis
9978,Serpens,ι Ser,ι,Iota,21,,,140159,76852,15h 41m 33.09s,+19° 40′ 13.8″,4.51,0.66,192,A1V,,235.388,19.670,Serpentis,Iota Serpentis
9979,Serpens,ζ Ser,ζ,Zeta,57,17 Cau,,164259,88175,18h 00m 28.92s,-03° 41′ 24.6″,4.62,2.79,76,F3V,,270.117,-2.310,Serpentis,Zeta Serpentis
9980,Serpens,θ1 Ser,θ1,Theta 1,63,71 Cau,,175638,92946,18h 56m 13.16s,+04° 12′ 12.7″,4.62,1.59,132,A5V,"Alya, Alga, Dzaneb al Haiyet, Cauda Serpentis[5]",284.054,4.203,Serpentis,Theta 1 Serpentis
9981,Serpens,ρ Ser,ρ,Rho,38,,,141992,77661,15h 51m 15.94s,+20° 58′ 40.4″,4.74,−0.68,395,K5III,,237.813,20.978,Serpentis,Rho Serpentis
9982,Serpens,π Ser,π,Pi,44,,,143894,78554,16h 02m 17.69s,+22° 48′ 15.8″,4.82,1.15,177,A3V,,240.571,22.804,Serpentis,Pi Serpentis
9983,Serpens,σ Ser,σ,Sigma,50,49 Cap,,147449,80179,16h 22m 04.44s,+01° 01′ 44.1″,4.82,2.64,89,F0V,,245.517,1.029,Serpentis,Sigma Serpentis
9984,Serpens,θ2 Ser,θ2,Theta 2,63,72 Cau,,175639,92951,18h 56m 14.61s,+04° 12′ 07.4″,4.98,1.77,143,A5Vn,,284.058,4.202,Serpentis,Theta 2 Serpentis
9985,Serpens,5 Ser,,5,5,9 Cap,MQ,136202,74975,15h 19m 18.58s,+01° 46′ 00.0″,5.04,3.08,81,F8III-IV,MQ Ser; BY Draconis variable,229.825,1.767,Serpentis,5 Serpentis
9986,Serpens,b Ser,b,B,36,30 Cap,,141851,77660,15h 51m 15.65s,-03° 05′ 25.5″,5.09,1.65,159,A3Vn,,237.813,-2.910,Serpentis,B Serpentis
9987,Serpens,10 Ser,,10,10,13 Cap,,137898,75761,15h 28m 38.29s,+01° 50′ 31.8″,5.15,2.28,122,A8IV,,232.158,1.842,Serpentis,10 Serpentis
9988,Serpens,τ1 Ser,τ1,Tau 1,9,,,137471,75530,15h 25m 47.41s,+15° 25′ 41.0″,5.16,−2.09,918,M1III,,231.446,15.428,Serpentis,Tau 1 Serpentis
9989,Serpens,R Ser,,R,,,R,141850,,15h 50m 41.70s,+15° 08′ 01.0″,5.2,,,,Mira variable,237.671,15.134,Serpentis,R Serpentis
9990,Serpens,d Ser,d,D,59,,,169986,,18h 27m 12.20s,+00° 11′ 48.0″,5.2,,470,,,276.800,0.197,Serpentis,D Serpentis
9991,Serpens,d Ser,d,D,59,41 Cau,,169985,90441,18h 27m 12.51s,+00° 11′ 46.1″,5.2,−0.63,479,G0III+...,,276.800,0.196,Serpentis,D Serpentis
9992,Serpens,δ Ser B,δ,Delta,13,,,138918,,15h 34m 48.10s,+10° 32′ 21.0″,4.2,,210,F0IV,,233.700,10.539,Serpentis,Delta Serpentis
9993,Serpens,ω Ser,ω,Omega,34,28 Cap,,141680,77578,15h 50m 17.53s,+02° 11′ 47.8″,5.21,0.68,263,G8III,has a planet (b),237.571,2.196,Serpentis,Omega Serpentis
9994,Serpens,16 Ser,,16,16,,,139195,76425,15h 36m 29.55s,+10° 00′ 37.6″,5.26,0.97,235,K0p,,234.121,10.010,Serpentis,16 Serpentis
9995,Serpens,3 Ser,,3,3,2 Cap,,135482,74649,15h 15m 11.37s,+04° 56′ 21.7″,5.32,−0.46,467,K0III,,228.796,4.939,Serpentis,3 Serpentis
9996,Serpens,χ Ser,χ,Chi,20,,,140160,76866,15h 41m 47.39s,+12° 50′ 51.1″,5.34,1.11,228,A0p Sr,α2 CVn-type variable star,235.446,12.848,Serpentis,Chi Serpentis
9997,Serpens,6 Ser,,6,6,11 Cap,,136514,75119,15h 21m 02.02s,+00° 42′ 56.1″,5.35,0.98,244,K3III,,230.258,0.716,Serpentis,6 Serpentis
9998,Serpens,c Ser,c,C,60,45 Cau,,170474,90642,18h 29m 40.96s,-01° 59′ 06.8″,5.38,1.08,236,K0III,,277.417,-0.015,Serpentis,C Serpentis
9999,Serpens,A2 Ser,A2,A2,25,24 Cap,PT,140873,77227,15h 46m 05.65s,-01° 48′ 14.8″,5.39,−0.10,408,B8III,PT Ser,236.521,-0.196,Serpentis,A2 Serpentis
10000,Serpens,43 G. Ser Cap,,43 Cap G,,43 Cap,,145206,79195,16h 09m 50.53s,-03° 28′ 00.2″,5.39,−0.51,494,K4III,,242.458,-2.533,Serpentis,43 Cap G Serpentis
10001,Serpens,32 G. Ser Cau,,32 Cau G,,32 Cau,,168415,89851,18h 20m 08.77s,-15° 49′ 53.8″,5.39,−0.41,470,K3III,,275.033,-14.169,Serpentis,32 Cau G Serpentis
