USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10100,Sextans,α Sex,α,Alpha,15,,,87887,49641,10h 07m 56.30s,-00° 22′ 17.9″,4.48,−0.25,287,A0III,,151.983,0.371,Sextantis,Alpha Sextantis
10101,Sextans,γ Sex,γ,Gamma,8,,,85558,48437,09h 52m 30.47s,-08° 06′ 17.7″,5.07,0.55,261,A2V,double star,148.125,-7.895,Sextantis,Gamma Sextantis
10102,Sextans,β Sex,β,Beta,30,,,90994,51437,10h 30m 17.50s,-00° 38′ 13.1″,5.08,−0.04,345,B6V,"α2 CVn variable, Vmax = 5m, Vmin = 5.1m",157.571,0.637,Sextantis,Beta Sextantis
10103,Sextans,δ Sex,δ,Delta,29,,,90882,51362,10h 29m 28.73s,-02° 44′ 20.6″,5.19,0.37,300,B9.5V,,157.367,-1.261,Sextantis,Delta Sextantis
10104,Sextans,ε Sex,ε,Epsilon,22,,,89254,50414,10h 17m 37.90s,-08° 04′ 08.1″,5.25,1.51,183,F2III,,154.404,-7.931,Sextantis,Epsilon Sextantis
10105,Sextans,HD 90362,,HD 90362,,,,90362,51046,10h 25m 44.35s,-07° 03′ 36.5″,5.6,0.58,329,M0.5III,suspected variable,156.433,-6.940,Sextantis,HD 90362 Sextantis
10106,Sextans,18 Sex,,18,18,,,88333,49865,10h 10m 55.86s,-08° 25′ 06.1″,5.64,−0.17,473,K2III,,152.729,-7.582,Sextantis,18 Sextantis
10107,Sextans,HD 84607,,HD 84607,,,,84607,47960,09h 46m 23.64s,+01° 47′ 08.5″,5.65,1.03,273,F4IV,,146.596,1.786,Sextantis,HD 84607 Sextantis
10108,Sextans,19 Sex,,19,19,,,88547,50027,10h 12m 48.39s,+04° 36′ 52.9″,5.77,−0.27,527,K0III:,,153.200,4.614,Sextantis,19 Sextantis
10109,Sextans,35 Sex,,35,35,,,92841,52452,10h 43m 20.91s,+04° 44′ 51.9″,5.77,−0.88,697,K3III+...,double star,160.833,4.748,Sextantis,35 Sextantis
10110,Sextans,41 Sex,,41,41,,,93903,52980,10h 50m 18.06s,-08° 53′ 51.8″,5.8,0.55,366,A3m,,162.575,-7.103,Sextantis,41 Sextantis
10111,Sextans,HD 93833,,HD 93833,,,,93833,52948,10h 49m 43.48s,-09° 51′ 09.5″,5.85,0.72,346,G8III:,,162.429,-8.148,Sextantis,HD 93833 Sextantis
10112,Sextans,HD 85709,,HD 85709,,,,85709,48519,09h 53m 42.93s,+05° 57′ 30.8″,5.9,−2.26,1399,M2III,"suspected variable, Vmax = 5.89m, Vmin = 5.95m",148.425,5.958,Sextantis,HD 85709 Sextantis
10113,Sextans,17 Sex,,17,17,,,88195,49812,10h 10m 07.56s,-08° 24′ 29.4″,5.91,−0.13,527,A1V,,152.529,-7.592,Sextantis,17 Sextantis
10114,Sextans,HD 93655,,HD 93655,,,,93655,52863,10h 48m 40.57s,-01° 57′ 32.1″,5.92,−0.14,531,M2III,suspected variable,162.167,-0.041,Sextantis,HD 93655 Sextantis
10115,Sextans,HD 94014,,HD 94014,,,,94014,53035,10h 51m 05.44s,-03° 05′ 33.5″,5.95,−0.04,514,K2,,162.771,-2.908,Sextantis,HD 94014 Sextantis
10116,Sextans,25 Sex,,25,25,,SS,90044,50885,10h 23m 26.51s,-04° 04′ 26.6″,5.97,0.77,351,B9p Si(CrSr),"α2 CVn variable, Vmax = 5.94m, Vmin = 5.98m, P = 4.37 d",155.858,-3.926,Sextantis,25 Sextantis
10117,Sextans,6 Sex,,6,6,,,85364,48341,09h 51m 14.02s,-04° 14′ 35.8″,6.01,2.07,200,A8III,,147.808,-3.757,Sextantis,6 Sextantis
10118,Sextans,7 Sex,,7,7,,,85504,48414,09h 52m 12.27s,+02° 27′ 14.0″,6.02,−1.52,1048,A0Vs,"suspected variable, Vmax = 5.98m, Vmin = 6.03m",148.050,2.454,Sextantis,7 Sextantis
10119,Sextans,HD 90763,,HD 90763,,,,90763,51302,10h 28m 43.96s,-03° 44′ 32.3″,6.05,1.68,244,A1sp...,suspected variable,157.179,-2.258,Sextantis,HD 90763 Sextantis
10120,Sextans,HD 89033,,HD 89033,,,,89033,50292,10h 16m 09.01s,-11° 12′ 12.3″,6.08,−0.39,642,K0,,154.038,-10.797,Sextantis,HD 89033 Sextantis
10121,Sextans,HD 87262,,HD 87262,,,,87262,49293,10h 03m 40.99s,-09° 34′ 25.6″,6.09,−1.84,1259,K0,suspected variable,150.917,-8.426,Sextantis,HD 87262 Sextantis
10122,Sextans,14 Sex,,14,14,,,87682,49530,10h 06m 47.44s,+05° 36′ 41.5″,6.2,1.07,345,K1III,,151.696,5.611,Sextantis,14 Sextantis
10123,Sextans,HD 91106,,HD 91106,,,,91106,51490,10h 30m 58.78s,-07° 38′ 15.2″,6.2,−0.66,767,K5III+...,,157.742,-6.363,Sextantis,HD 91106 Sextantis
10124,Sextans,HD 88372,,HD 88372,,,,88372,49900,10h 11m 17.76s,-07° 18′ 59.7″,6.23,0.37,484,A2Vn,,152.821,-6.684,Sextantis,HD 88372 Sextantis
10125,Sextans,4 Sex,,4,4,,,85217,48273,09h 50m 30.17s,+04° 20′ 37.6″,6.24,2.93,150,F6V...,,147.625,4.344,Sextantis,4 Sextantis
10126,Sextans,33 Sex,,33,33,,,92588,52316,10h 41m 24.27s,-01° 44′ 28.3″,6.25,3.57,112,K1IV,,160.350,-0.259,Sextantis,33 Sextantis
