USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10163,Taurus,Aldebaran,α,Alpha,87,,,29139,21421,04h 35m 55.20s,+16° 30′ 35.1″,0.87,−0.63,65,K5III,"Cor Tauri, Parilicium; 13th brightest star, variable",68.979,16.510,Tauri,Alpha Tauri
10164,Taurus,β Tau,β,Beta,112,,,35497,25428,05h 26m 17.50s,+28° 36′ 28.3″,1.65,−1.37,131,B7III,"El Nath, Alnath, Nath",81.571,28.608,Tauri,Beta Tauri
10165,Taurus,Alcyone A,η,Eta,25,,,23630,17702,03h 47m 29.06s,+24° 06′ 18.9″,2.85,−2.41,368,B7III,"member of the Pleiades star cluster, binary star",56.871,24.105,Tauri,Eta Tauri
10166,Taurus,ζ Tau,ζ,Zeta,123,,,37202,26451,05h 37m 38.68s,+21° 08′ 33.3″,2.97,−2.56,417,B4IIIp,Tianguan; γ Cas variable,84.408,21.143,Tauri,Zeta Tauri
10167,Taurus,θ2 Tau,θ2,Theta 2,78,,,28319,20894,04h 28m 39.67s,+15° 52′ 15.4″,3.4,0.1,149,A7III,"Chamukuy, member of the Hyades star cluster; δ Sct variable",67.163,15.871,Tauri,Theta 2 Tauri
10168,Taurus,λ Tau,λ,Lambda,35,,,25204,18724,04h 00m 40.82s,+12° 29′ 25.4″,3.41,−1.87,370,B3V + A,eclipsing binary; Algol variable,60.167,12.490,Tauri,Lambda Tauri
10169,Taurus,ε Tau,ε,Epsilon,74,,,28305,20889,04h 28m 36.93s,+19° 10′ 49.9″,3.53,0.15,155,K0III,"Ain, Oculus Borealis; member of the Hyades star cluster; has a planet (b)",67.150,19.180,Tauri,Epsilon Tauri
10170,Taurus,ο Tau,ο,Omicron,1,3,,21120,15900,03h 24m 48.84s,+09° 01′ 44.6″,3.61,−0.45,211,G8III,,51.200,9.029,Tauri,Omicron Tauri
10171,Taurus,Atlas A,,27,27,,,23850,17847,03h 49m 09.73s,+24° 03′ 12.7″,3.62,−1.72,380,B8III,member of the Pleiades star cluster; triple star,57.288,24.053,Tauri,27 Tauri
10172,Taurus,γ Tau,γ,Gamma,54,,,27371,20205,04h 19m 47.53s,+15° 37′ 39.7″,3.65,0.28,154,G8III,"Hyadum I, Prima Hyadum, Primus Hyadum; member of the Hyades star cluster",64.946,15.628,Tauri,Gamma Tauri
10173,Taurus,Electra,,17,17,,,23302,17499,03h 44m 52.52s,+24° 06′ 48.4″,3.72,−1.56,370,B6III,member of the Pleiades star cluster,56.217,24.113,Tauri,17 Tauri
10174,Taurus,ξ Tau,ξ,Xi,2,4,,21364,16083,03h 27m 10.12s,+09° 43′ 58.0″,3.73,−0.44,222,B9Vn,eclipsing binary,51.792,9.733,Tauri,Xi Tauri
10175,Taurus,δ1 Tau,δ1,Delta 1,61,,,27697,20455,04h 22m 56.03s,+17° 32′ 33.3″,3.77,0.41,153,G8III,"Hyadum II, Secunda Hyadum, Secundus Hyadum; member of the Hyades star cluster",65.733,17.543,Tauri,Delta 1 Tauri
10176,Taurus,θ1 Tau,θ1,Theta 1,77,,,28307,20885,04h 28m 34.43s,+15° 57′ 44.0″,3.84,0.42,158,G7III,member of the Hyades star cluster,67.142,15.962,Tauri,Theta 1 Tauri
10177,Taurus,Maia,,20,20,,,23408,17573,03h 45m 49.59s,+24° 22′ 04.3″,3.87,−1.34,360,B8III,member of the Pleiades star cluster,56.454,24.368,Tauri,20 Tauri
